Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
TMO|2025-09-02 13:30|489.3100|492.7000|479.0300|482.0400|324451|7.2700|3.3900|3.0100|BEARISH
TMO|2025-09-02 14:30|482.0100|483.1000|479.8800|482.0100|180148|0.0000|1.0900|2.1300|BULLISH
TMO|2025-09-02 15:30|482.0300|483.5600|481.1000|482.2150|103712|0.1850|1.3450|0.9300|BULLISH
TMO|2025-09-02 16:30|482.0750|484.2050|481.0950|483.3800|78910|1.3050|0.8250|0.9800|BULLISH
TMO|2025-09-02 17:30|483.5500|486.0899|483.4921|485.2000|66946|1.6500|0.8899|0.0579|BULLISH
TMO|2025-09-02 18:30|485.0400|486.6900|484.4400|486.6000|92913|1.5600|0.0900|0.6000|BULLISH
TMO|2025-09-02 19:30|486.5850|487.5800|485.2150|487.5600|212559|0.9750|0.0200|1.3700|BULLISH
TMO|2025-09-03 13:30|487.0300|489.5400|482.7350|483.6700|262568|3.3600|2.5100|0.9350|BEARISH
TMO|2025-09-03 14:30|483.6850|485.2650|482.5750|482.7500|131560|0.9350|1.5800|0.1750|BEARISH
TMO|2025-09-03 15:30|482.8800|483.1400|481.5300|482.9600|100136|0.0800|0.1800|1.3500|BULLISH
TMO|2025-09-03 16:30|483.1300|483.8900|482.8200|482.9400|71127|0.1900|0.7600|0.1200|BEARISH
TMO|2025-09-03 17:30|482.8200|484.3100|481.7700|484.1000|92342|1.2800|0.2100|1.0500|BULLISH
TMO|2025-09-03 18:30|484.2600|485.2900|483.6600|484.3200|139125|0.0600|0.9700|0.6000|BULLISH
TMO|2025-09-03 19:30|484.2500|485.1400|483.7600|484.6000|229945|0.3500|0.5400|0.4900|BULLISH
TMO|2025-09-04 13:30|482.0800|484.2950|471.6100|479.8400|323266|2.2400|2.2150|8.2300|BEARISH
TMO|2025-09-04 14:30|479.8400|483.8000|478.2900|483.5200|174719|3.6800|0.2800|1.5500|BULLISH
TMO|2025-09-04 15:30|483.4100|484.5500|482.8100|484.4699|86355|1.0599|0.0801|0.6000|BULLISH
TMO|2025-09-04 16:30|484.1350|485.8600|483.3700|485.3800|90722|1.2450|0.4800|0.7650|BULLISH
TMO|2025-09-04 17:30|485.5800|486.8500|484.6501|486.0800|87308|0.5000|0.7700|0.9299|BULLISH
TMO|2025-09-04 18:30|486.0700|489.6375|485.2800|488.8700|142614|2.8000|0.7675|0.7900|BULLISH
TMO|2025-09-04 19:30|488.7900|490.2600|488.5300|489.4900|246419|0.7000|0.7700|0.2600|BULLISH
TMO|2025-09-05 13:30|490.0000|502.0000|489.8300|495.6550|267959|5.6550|6.3450|0.1700|BULLISH
TMO|2025-09-05 14:30|495.8500|495.8500|491.4500|494.0800|156461|1.7700|0.0000|2.6300|BEARISH
TMO|2025-09-05 15:30|494.0800|495.2250|493.1350|493.4000|96443|0.6800|1.1450|0.2650|BEARISH
TMO|2025-09-05 16:30|493.3750|494.0600|492.2800|492.3100|78153|1.0650|0.6850|0.0300|BEARISH
TMO|2025-09-05 17:30|492.2550|492.8475|489.1200|490.5800|146509|1.6750|0.5925|1.4600|BEARISH
TMO|2025-09-05 18:30|490.4800|492.4000|489.7200|492.0550|143999|1.5750|0.3450|0.7600|BULLISH
TMO|2025-09-05 19:30|492.0550|492.8250|491.0150|492.5900|209558|0.5350|0.2350|1.0400|BULLISH
TMO|2025-09-08 13:30|487.7700|490.0650|480.9500|481.9200|532393|5.8500|2.2950|0.9700|BEARISH
TMO|2025-09-08 14:30|482.1300|487.8700|482.1300|486.4000|127282|4.2700|1.4700|0.0000|BULLISH
TMO|2025-09-08 15:30|486.3700|486.8100|484.5983|484.6950|92978|1.6750|0.4400|0.0967|BEARISH
TMO|2025-09-08 16:30|484.5100|484.9768|481.3500|484.3900|117287|0.1200|0.4668|3.0400|BEARISH
TMO|2025-09-08 17:30|484.3800|485.7350|482.7300|485.7350|140515|1.3550|0.0000|1.6500|BULLISH
TMO|2025-09-08 18:30|485.9250|487.3500|484.9700|485.1100|230273|0.8150|1.4250|0.1400|BEARISH
TMO|2025-09-08 19:30|485.2950|488.0400|485.1900|487.8300|274471|2.5350|0.2100|0.1050|BULLISH
TMO|2025-09-09 13:30|485.2300|489.9900|482.2600|482.5025|187137|2.7275|4.7600|0.2425|BEARISH
TMO|2025-09-09 14:30|482.6400|483.5400|481.5200|483.3100|173624|0.6700|0.2300|1.1200|BULLISH
TMO|2025-09-09 15:30|483.3300|484.6400|482.4800|483.7100|84034|0.3800|0.9300|0.8500|BULLISH
TMO|2025-09-09 16:30|483.4700|485.0766|483.4100|484.9200|64392|1.4500|0.1566|0.0600|BULLISH
TMO|2025-09-09 17:30|484.7600|486.2100|484.4700|485.3950|125571|0.6350|0.8150|0.2900|BULLISH
TMO|2025-09-09 18:30|485.5000|485.9050|483.4100|483.7150|177620|1.7850|0.4050|0.3050|BEARISH
TMO|2025-09-09 19:30|483.7150|484.4750|482.3800|482.4100|267968|1.3050|0.7600|0.0300|BEARISH
TMO|2025-09-10 13:30|481.1200|485.8199|477.5800|481.3900|223925|0.2700|4.4299|3.5400|BULLISH
TMO|2025-09-10 14:30|481.3100|482.0850|479.5000|482.0800|131508|0.7700|0.0050|1.8100|BULLISH
TMO|2025-09-10 15:30|482.0900|483.9800|481.4525|483.2400|101092|1.1500|0.7400|0.6375|BULLISH
TMO|2025-09-10 16:30|483.1600|483.1600|480.3400|480.6600|78081|2.5000|0.0000|0.3200|BEARISH
TMO|2025-09-10 17:30|480.6700|480.6700|477.9100|478.4200|141932|2.2500|0.0000|0.5100|BEARISH
TMO|2025-09-10 18:30|478.4200|478.8600|476.1000|476.1000|156187|2.3200|0.4400|0.0000|BEARISH
TMO|2025-09-10 19:30|476.0800|478.0150|475.6350|476.3400|295023|0.2600|1.6750|0.4450|BULLISH
TMO|2025-09-11 13:30|482.5400|489.3000|480.3575|488.2750|231594|5.7350|1.0250|2.1825|BULLISH
TMO|2025-09-11 14:30|488.3875|490.9650|486.3750|490.1000|189842|1.7125|0.8650|2.0125|BULLISH
TMO|2025-09-11 15:30|490.5500|490.9500|488.6500|489.4350|108142|1.1150|0.4000|0.7850|BEARISH
TMO|2025-09-11 16:30|489.6800|490.3500|488.4800|489.9600|109500|0.2800|0.3900|1.2000|BULLISH
TMO|2025-09-11 17:30|490.2600|490.5341|488.6236|488.9900|89288|1.2700|0.2741|0.3664|BEARISH
TMO|2025-09-11 18:30|488.7600|491.3150|488.5400|491.3150|124210|2.5550|0.0000|0.2200|BULLISH
TMO|2025-09-11 19:30|491.4100|492.0000|490.4500|491.4100|197362|0.0000|0.5900|0.9600|BULLISH
TMO|2025-09-12 13:30|488.6100|491.2600|484.2508|488.5650|217826|0.0450|2.6500|4.3142|BEARISH
TMO|2025-09-12 14:30|488.5650|488.5650|482.6200|483.0700|165034|5.4950|0.0000|0.4500|BEARISH
TMO|2025-09-12 15:30|483.1000|483.2900|480.9350|482.4900|150313|0.6100|0.1900|1.5550|BEARISH
TMO|2025-09-12 16:30|482.4850|485.0600|481.9000|484.6700|91967|2.1850|0.3900|0.5850|BULLISH
TMO|2025-09-12 17:30|484.7925|485.6400|483.7800|485.0630|136200|0.2705|0.5770|1.0125|BULLISH
TMO|2025-09-12 18:30|485.0300|485.2700|482.9000|483.3200|114801|1.7100|0.2400|0.4200|BEARISH
TMO|2025-09-12 19:30|483.3700|483.4890|479.4800|479.4800|251082|3.8900|0.1190|0.0000|BEARISH
TMO|2025-09-15 13:30|478.7800|482.9400|478.0100|480.5900|190980|1.8100|2.3500|0.7700|BULLISH
TMO|2025-09-15 14:30|480.5750|481.4000|474.8950|475.1800|154375|5.3950|0.8250|0.2850|BEARISH
TMO|2025-09-15 15:30|475.1800|476.0800|473.6400|474.4300|98600|0.7500|0.9000|0.7900|BEARISH
TMO|2025-09-15 16:30|474.5000|477.2500|474.4400|475.0400|121798|0.5400|2.2100|0.0600|BULLISH
TMO|2025-09-15 17:30|475.2000|476.6100|473.8100|474.1100|198175|1.0900|1.4100|0.3000|BEARISH
TMO|2025-09-15 18:30|473.9300|475.2300|471.0000|471.3600|290017|2.5700|1.3000|0.3600|BEARISH
TMO|2025-09-15 19:30|471.3100|474.9400|470.7400|474.4800|325545|3.1700|0.4600|0.5700|BULLISH
TMO|2025-09-16 13:30|470.2700|478.2500|470.0500|475.9000|238352|5.6300|2.3500|0.2200|BULLISH
TMO|2025-09-16 14:30|476.0250|480.0700|474.1524|477.5000|212401|1.4750|2.5700|1.8726|BULLISH
TMO|2025-09-16 15:30|477.3900|481.3490|476.8200|479.4400|159388|2.0500|1.9090|0.5700|BULLISH
TMO|2025-09-16 16:30|479.6400|481.7700|478.6800|481.7700|171016|2.1300|0.0000|0.9600|BULLISH
TMO|2025-09-16 17:30|481.7750|483.2400|480.0200|480.5150|208873|1.2600|1.4650|0.4950|BEARISH
TMO|2025-09-16 18:30|480.7600|484.5900|480.2830|482.7400|211428|1.9800|1.8500|0.4770|BULLISH
TMO|2025-09-16 19:30|482.6250|482.6300|480.6500|480.8900|253543|1.7350|0.0050|0.2400|BEARISH
TMO|2025-09-17 13:30|484.0000|486.5700|477.7200|479.6450|308463|4.3550|2.5700|1.9250|BEARISH
TMO|2025-09-17 14:30|479.4000|479.8400|476.5001|476.6100|186573|2.7900|0.4400|0.1099|BEARISH
TMO|2025-09-17 15:30|476.6300|477.4800|475.0000|475.2300|126220|1.4000|0.8500|0.2300|BEARISH
TMO|2025-09-17 16:30|475.5100|477.0000|475.3900|476.9950|113459|1.4850|0.0050|0.1200|BULLISH
TMO|2025-09-17 17:30|477.1400|482.0300|475.8900|478.0475|355610|0.9075|3.9825|1.2500|BULLISH
