Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
TMUS|2025-09-02 13:30|251.7000|258.4800|251.2000|258.4800|669758|6.7800|0.0000|0.5000|BULLISH
TMUS|2025-09-02 14:30|258.4127|258.6600|256.9890|257.0600|423937|1.3527|0.2473|0.0710|BEARISH
TMUS|2025-09-02 15:30|256.9700|257.5950|256.2701|257.3150|321140|0.3450|0.2800|0.6999|BULLISH
TMUS|2025-09-02 16:30|257.3700|257.4400|256.1800|257.1900|288299|0.1800|0.0700|1.0100|BEARISH
TMUS|2025-09-02 17:30|257.1650|258.2400|256.4050|256.7000|432402|0.4650|1.0750|0.2950|BEARISH
TMUS|2025-09-02 18:30|256.6450|256.7400|254.9800|255.5400|483585|1.1050|0.0950|0.5600|BEARISH
TMUS|2025-09-02 19:30|255.5400|256.2600|255.3900|255.8530|710004|0.3130|0.4070|0.1500|BULLISH
TMUS|2025-09-03 13:30|253.1500|254.4100|251.3200|253.1900|675457|0.0400|1.2200|1.8300|BULLISH
TMUS|2025-09-03 14:30|253.0700|253.6700|252.3900|253.1500|319695|0.0800|0.5200|0.6800|BULLISH
TMUS|2025-09-03 15:30|253.2100|253.4400|251.8000|252.3500|315113|0.8600|0.2300|0.5500|BEARISH
TMUS|2025-09-03 16:30|252.3400|253.0966|251.8550|252.2100|265163|0.1300|0.7566|0.3550|BEARISH
TMUS|2025-09-03 17:30|252.2400|252.5610|251.5895|252.4000|271971|0.1600|0.1610|0.6505|BULLISH
TMUS|2025-09-03 18:30|252.3300|252.4300|251.7150|252.0400|368465|0.2900|0.1000|0.3250|BEARISH
TMUS|2025-09-03 19:30|252.0450|252.8300|251.7700|252.6700|675831|0.6250|0.1600|0.2750|BULLISH
TMUS|2025-09-04 13:30|254.2100|256.6900|253.2855|253.8550|470991|0.3550|2.4800|0.5695|BEARISH
TMUS|2025-09-04 14:30|253.8550|254.0800|252.8800|253.4350|269809|0.4200|0.2250|0.5550|BEARISH
TMUS|2025-09-04 15:30|253.4100|253.6900|252.3900|252.7700|419309|0.6400|0.2800|0.3800|BEARISH
TMUS|2025-09-04 16:30|252.8800|252.8800|251.5600|251.7200|294528|1.1600|0.0000|0.1600|BEARISH
TMUS|2025-09-04 17:30|251.7500|252.0800|250.9400|250.9500|259349|0.8000|0.3300|0.0100|BEARISH
TMUS|2025-09-04 18:30|250.9300|252.3500|250.7500|251.8900|432755|0.9600|0.4600|0.1800|BULLISH
TMUS|2025-09-04 19:30|251.9500|252.5400|251.7000|252.1200|632995|0.1700|0.4200|0.2500|BULLISH
