Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
TSLA|2025-09-02 13:30|327.0000|333.3284|325.6000|332.7550|18522989|5.7550|0.5734|1.4000|BULLISH
TSLA|2025-09-02 14:30|332.7750|332.7900|327.9000|328.4085|8457833|4.3665|0.0150|0.5085|BEARISH
TSLA|2025-09-02 15:30|328.3800|329.8690|327.0300|329.2500|6914884|0.8700|0.6190|1.3500|BULLISH
TSLA|2025-09-02 16:30|329.2300|330.3900|328.4500|329.8000|5065715|0.5700|0.5900|0.7800|BULLISH
TSLA|2025-09-02 17:30|329.8200|330.6400|327.9300|328.1800|5076802|1.6400|0.8200|0.2500|BEARISH
TSLA|2025-09-02 18:30|328.2000|329.4900|327.8700|329.2850|5045024|1.0850|0.2050|0.3300|BULLISH
TSLA|2025-09-02 19:30|329.2850|329.8772|328.9400|329.3700|4153662|0.0850|0.5072|0.3450|BULLISH
TSLA|2025-09-03 13:30|335.1000|337.3100|328.5100|336.0800|23334852|0.9800|1.2300|6.5900|BULLISH
TSLA|2025-09-03 14:30|336.0899|342.5300|336.0100|340.1500|19473135|4.0601|2.3800|0.0799|BULLISH
TSLA|2025-09-03 15:30|340.1700|343.3300|339.3400|341.7150|10627653|1.5450|1.6150|0.8300|BULLISH
TSLA|2025-09-03 16:30|341.7400|342.5599|340.5219|341.7450|6317426|0.0050|0.8149|1.2181|BULLISH
TSLA|2025-09-03 17:30|341.7612|342.0299|336.3900|336.8200|8432413|4.9412|0.2687|0.4300|BEARISH
TSLA|2025-09-03 18:30|336.7900|336.8082|334.6200|335.6278|10187732|1.1622|0.0182|1.0078|BEARISH
TSLA|2025-09-03 19:30|335.6284|337.1487|334.0100|334.0400|6772611|1.5884|1.5203|0.0300|BEARISH
TSLA|2025-09-04 13:30|336.1700|337.6350|331.4800|333.7600|19435646|2.4100|1.4650|2.2800|BEARISH
TSLA|2025-09-04 14:30|333.7350|334.9800|332.4211|334.7910|8847257|1.0560|0.1890|1.3139|BULLISH
TSLA|2025-09-04 15:30|334.7704|336.1000|332.8602|333.1826|6692219|1.5878|1.3296|0.3224|BEARISH
TSLA|2025-09-04 16:30|333.2000|335.1050|333.0601|335.0800|4903020|1.8800|0.0250|0.1399|BULLISH
TSLA|2025-09-04 17:30|335.0516|336.3300|334.7573|335.3991|4814049|0.3475|0.9309|0.2943|BULLISH
TSLA|2025-09-04 18:30|335.3984|337.7300|335.3886|336.8500|6327169|1.4516|0.8800|0.0098|BULLISH
TSLA|2025-09-04 19:30|336.8800|338.8900|336.7400|338.5645|5320932|1.6845|0.3255|0.1400|BULLISH
TSLA|2025-09-05 13:30|350.2583|355.8700|346.2300|347.8600|41713898|2.3983|5.6117|1.6300|BEARISH
TSLA|2025-09-05 14:30|347.8700|349.1700|344.6801|348.5600|15547953|0.6900|0.6100|3.1899|BULLISH
TSLA|2025-09-05 15:30|348.5700|349.5000|345.8400|347.7937|9176713|0.7763|0.9300|1.9537|BEARISH
TSLA|2025-09-05 16:30|347.8100|353.0000|346.8401|352.0750|9524856|4.2650|0.9250|0.9699|BULLISH
TSLA|2025-09-05 17:30|352.0500|352.2892|349.2600|351.1800|9246120|0.8700|0.2392|1.9200|BEARISH
TSLA|2025-09-05 18:30|351.1800|351.5400|347.8650|348.8200|10606400|2.3600|0.3600|0.9550|BEARISH
TSLA|2025-09-05 19:30|348.8388|351.2700|348.0400|350.8000|7999249|1.9612|0.4700|0.7988|BULLISH
TSLA|2025-09-08 13:30|354.6880|358.0000|350.2000|352.3300|24325676|2.3580|3.3120|2.1300|BEARISH
TSLA|2025-09-08 14:30|352.3200|352.4600|347.4500|349.2832|12792337|3.0368|0.1400|1.8332|BEARISH
TSLA|2025-09-08 15:30|349.2800|350.3000|346.6300|348.0000|9348763|1.2800|1.0200|1.3700|BEARISH
TSLA|2025-09-08 16:30|347.9700|348.0900|344.8400|347.4300|8078343|0.5400|0.1200|2.5900|BEARISH
TSLA|2025-09-08 17:30|347.4800|347.6300|344.9000|346.5385|6495908|0.9415|0.1500|1.6385|BEARISH
TSLA|2025-09-08 18:30|346.5300|347.2200|345.4800|346.1000|5775860|0.4300|0.6900|0.6200|BEARISH
TSLA|2025-09-08 19:30|346.1300|346.9500|345.7500|346.4000|5156464|0.2700|0.5500|0.3800|BULLISH
TSLA|2025-09-09 13:30|347.2670|350.7600|345.5000|346.6150|17961191|0.6520|3.4930|1.1150|BEARISH
TSLA|2025-09-09 14:30|346.6400|347.3699|343.8200|346.3800|9666021|0.2600|0.7299|2.5600|BEARISH
TSLA|2025-09-09 15:30|346.3500|348.5000|346.0706|347.6930|5907576|1.3430|0.8070|0.2794|BULLISH
TSLA|2025-09-09 16:30|347.6900|348.2000|346.2000|346.8943|4794972|0.7957|0.5100|0.6943|BEARISH
TSLA|2025-09-09 17:30|346.9300|347.8400|345.9500|346.5850|4079299|0.3450|0.9100|0.6350|BEARISH
TSLA|2025-09-09 18:30|346.6000|347.1560|345.7000|346.3500|5327950|0.2500|0.5560|0.6500|BEARISH
TSLA|2025-09-09 19:30|346.3600|347.2000|346.0850|347.0400|4181752|0.6800|0.1600|0.2750|BULLISH
TSLA|2025-09-10 13:30|350.7000|352.2000|346.0700|349.1600|17505161|1.5400|1.5000|3.0900|BEARISH
TSLA|2025-09-10 14:30|349.0900|356.3200|349.0700|354.6703|15561690|5.5803|1.6497|0.0200|BULLISH
TSLA|2025-09-10 15:30|354.7200|355.8000|353.5000|354.2330|6879827|0.4870|1.0800|0.7330|BEARISH
TSLA|2025-09-10 16:30|354.2400|355.3815|352.6900|354.2600|6016079|0.0200|1.1215|1.5500|BULLISH
TSLA|2025-09-10 17:30|354.2610|356.2800|353.2100|353.6542|6397367|0.6068|2.0190|0.4442|BEARISH
TSLA|2025-09-10 18:30|353.6399|354.4432|347.1600|347.4500|9736011|6.1899|0.8033|0.2900|BEARISH
TSLA|2025-09-10 19:30|347.4800|350.2600|347.3950|347.7900|6718007|0.3100|2.4700|0.0850|BULLISH
TSLA|2025-09-11 13:30|350.2200|359.2799|347.6000|358.8800|24289250|8.6600|0.3999|2.6200|BULLISH
TSLA|2025-09-11 14:30|358.8500|363.3000|357.0200|361.6300|10856523|2.7800|1.6700|1.8300|BULLISH
TSLA|2025-09-11 15:30|361.6100|363.5700|360.3200|360.4090|19537555|1.2010|1.9600|0.0890|BEARISH
TSLA|2025-09-11 16:30|360.4100|364.3200|360.1800|364.0891|9235800|3.6791|0.2309|0.2300|BULLISH
TSLA|2025-09-11 17:30|364.0850|367.6400|363.6600|365.2600|13779548|1.1750|2.3800|0.4250|BULLISH
TSLA|2025-09-11 18:30|365.2200|368.3500|364.9200|367.0650|10986615|1.8450|1.2850|0.3000|BULLISH
TSLA|2025-09-11 19:30|367.0700|368.9900|365.8200|368.7950|8326710|1.7250|0.1950|1.2500|BULLISH
TSLA|2025-09-12 13:30|371.8753|392.4288|371.7500|391.7650|53519551|19.8897|0.6638|0.1253|BULLISH
TSLA|2025-09-12 14:30|391.8000|394.1900|386.9000|388.2250|26676814|3.5750|2.3900|1.3250|BEARISH
TSLA|2025-09-12 15:30|388.2250|392.6700|387.8000|391.6650|13875018|3.4400|1.0050|0.4250|BULLISH
TSLA|2025-09-12 16:30|391.6650|395.9900|391.0800|393.6000|19010027|1.9350|2.3900|0.5850|BULLISH
TSLA|2025-09-12 17:30|393.5700|395.5000|393.2000|394.9500|12428407|1.3800|0.5500|0.3700|BULLISH
TSLA|2025-09-12 18:30|394.9750|396.6899|392.6100|393.9800|19328869|0.9950|1.7149|1.3700|BEARISH
TSLA|2025-09-12 19:30|393.9600|396.5000|391.8801|396.0000|12162526|2.0400|0.5000|2.0799|BULLISH
TSLA|2025-09-15 13:30|423.2000|425.6999|414.3000|416.5600|67189807|6.6400|2.4999|2.2600|BEARISH
TSLA|2025-09-15 14:30|416.5500|424.1273|415.8032|422.4000|19601078|5.8500|1.7273|0.7468|BULLISH
TSLA|2025-09-15 15:30|422.4100|422.7300|417.4056|418.5000|12007689|3.9100|0.3200|1.0944|BEARISH
TSLA|2025-09-15 16:30|418.5100|420.1800|415.7900|417.5250|10289334|0.9850|1.6700|1.7350|BEARISH
TSLA|2025-09-15 17:30|417.5000|418.2000|406.6000|406.6793|16641777|10.8207|0.7000|0.0793|BEARISH
TSLA|2025-09-15 18:30|406.6600|409.8500|402.4301|407.7300|20903461|1.0700|2.1200|4.2299|BULLISH
TSLA|2025-09-15 19:30|407.7100|411.2400|406.4100|410.2450|10594928|2.5350|0.9950|1.3000|BULLISH
TSLA|2025-09-16 13:30|414.4950|419.5800|411.4300|416.1700|32714090|1.6750|3.4100|3.0650|BULLISH
TSLA|2025-09-16 14:30|416.2086|421.1500|416.0113|418.5801|17115869|2.3715|2.5699|0.1973|BULLISH
TSLA|2025-09-16 15:30|418.6000|420.6300|417.0601|420.1328|10964806|1.5328|0.4972|1.5399|BULLISH
TSLA|2025-09-16 16:30|420.1400|422.1200|418.0901|418.7751|10772313|1.3649|1.9800|0.6850|BEARISH
TSLA|2025-09-16 17:30|418.7750|420.1400|417.5000|418.8750|6886985|0.1000|1.2650|1.2750|BULLISH
TSLA|2025-09-16 18:30|418.8601|420.9500|418.3600|420.5530|7600818|1.6929|0.3970|0.5001|BULLISH
TSLA|2025-09-16 19:30|420.5500|423.2500|420.5000|421.5500|9887949|1.0000|1.7000|0.0500|BULLISH
TSLA|2025-09-17 13:30|415.6050|417.2000|409.6700|412.6201|25362516|2.9849|1.5950|2.9501|BEARISH
TSLA|2025-09-17 14:30|412.6600|418.6100|411.9200|417.2000|11648950|4.5400|1.4100|0.7400|BULLISH
TSLA|2025-09-17 15:30|417.1700|419.9596|416.8100|419.5365|7865506|2.3665|0.4231|0.3600|BULLISH
TSLA|2025-09-17 16:30|419.5550|420.4200|416.6100|419.7326|6866508|0.1776|0.6874|2.9450|BULLISH
TSLA|2025-09-17 17:30|419.7614|424.6900|411.7700|418.9450|18409039|0.8164|4.9286|7.1750|BEARISH
