Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
TXN|2025-09-02 13:30|199.3800|200.1700|198.2900|199.0000|887543|0.3800|0.7900|0.7100|BEARISH
TXN|2025-09-02 14:30|198.9500|199.1400|197.1807|197.6050|612457|1.3450|0.1900|0.4243|BEARISH
TXN|2025-09-02 15:30|197.6106|197.8100|196.7600|196.7800|614379|0.8306|0.1994|0.0200|BEARISH
TXN|2025-09-02 16:30|196.7800|198.1500|196.7700|198.0100|451935|1.2300|0.1400|0.0100|BULLISH
TXN|2025-09-02 17:30|197.9700|198.4500|197.8500|198.0900|388107|0.1200|0.3600|0.1200|BULLISH
TXN|2025-09-02 18:30|198.1100|199.0000|198.0205|198.9500|539522|0.8400|0.0500|0.0895|BULLISH
TXN|2025-09-02 19:30|198.9250|200.0000|198.9250|199.8200|1010919|0.8950|0.1800|0.0000|BULLISH
TXN|2025-09-03 13:30|199.8100|200.0750|198.3900|198.3900|363750|1.4200|0.2650|0.0000|BEARISH
TXN|2025-09-03 14:30|198.4200|198.8500|194.0200|194.3750|1116822|4.0450|0.4300|0.3550|BEARISH
TXN|2025-09-03 15:30|194.3420|194.7548|191.3778|193.6400|1537901|0.7020|0.4128|2.2622|BEARISH
TXN|2025-09-03 16:30|193.6650|194.7700|193.1000|194.1950|876436|0.5300|0.5750|0.5650|BULLISH
TXN|2025-09-03 17:30|194.2148|194.3400|193.1500|193.6950|347542|0.5198|0.1252|0.5450|BEARISH
TXN|2025-09-03 18:30|193.6800|194.4200|193.5600|194.3700|383616|0.6900|0.0500|0.1200|BULLISH
TXN|2025-09-03 19:30|194.3800|195.8300|194.3004|195.7400|1042230|1.3600|0.0900|0.0796|BULLISH
TXN|2025-09-04 13:30|183.5680|185.7450|181.6900|185.6500|3348534|2.0820|0.0950|1.8780|BULLISH
TXN|2025-09-04 14:30|185.5800|187.9500|184.7600|187.4100|1342254|1.8300|0.5400|0.8200|BULLISH
TXN|2025-09-04 15:30|187.3500|188.1400|186.3650|187.8400|899221|0.4900|0.3000|0.9850|BULLISH
TXN|2025-09-04 16:30|187.7950|188.4400|187.2300|187.9300|723957|0.1350|0.5100|0.5650|BULLISH
TXN|2025-09-04 17:30|187.9800|188.5000|187.1100|187.1300|579976|0.8500|0.5200|0.0200|BEARISH
TXN|2025-09-04 18:30|187.1200|188.6800|187.1200|188.3000|738752|1.1800|0.3800|0.0000|BULLISH
TXN|2025-09-04 19:30|188.3200|188.5850|187.0700|187.2600|2017965|1.0600|0.2650|0.1900|BEARISH
TXN|2025-09-05 13:30|187.0800|189.2650|185.6000|187.4200|2720789|0.3400|1.8450|1.4800|BULLISH
TXN|2025-09-05 14:30|187.3700|187.7400|185.7800|186.9700|826783|0.4000|0.3700|1.1900|BEARISH
TXN|2025-09-05 15:30|187.0200|187.1100|185.4056|185.6200|723955|1.4000|0.0900|0.2144|BEARISH
TXN|2025-09-05 16:30|185.6600|186.7900|185.2900|186.6400|440911|0.9800|0.1500|0.3700|BULLISH
TXN|2025-09-05 17:30|186.6550|187.5100|186.2400|187.3300|489708|0.6750|0.1800|0.4150|BULLISH
TXN|2025-09-05 18:30|187.3200|187.5700|186.9800|187.0300|1047363|0.2900|0.2500|0.0500|BEARISH
TXN|2025-09-05 19:30|186.9900|187.9900|186.8800|187.9000|1273768|0.9100|0.0900|0.1100|BULLISH
TXN|2025-09-08 13:30|188.1500|188.3699|184.8300|185.2800|1197013|2.8700|0.2199|0.4500|BEARISH
TXN|2025-09-08 14:30|185.3200|186.1000|184.1000|184.5600|814495|0.7600|0.7800|0.4600|BEARISH
TXN|2025-09-08 15:30|184.5000|184.5300|183.6900|184.1300|1062121|0.3700|0.0300|0.4400|BEARISH
TXN|2025-09-08 16:30|184.1700|184.4700|183.7200|184.2900|558110|0.1200|0.1800|0.4500|BULLISH
TXN|2025-09-08 17:30|184.2600|184.5399|183.0700|183.6150|940043|0.6450|0.2799|0.5450|BEARISH
TXN|2025-09-08 18:30|183.5810|184.0600|183.4100|183.9100|918666|0.3290|0.1500|0.1710|BULLISH
TXN|2025-09-08 19:30|183.9100|186.0600|183.8700|185.7900|1802171|1.8800|0.2700|0.0400|BULLISH
TXN|2025-09-09 13:30|184.4000|185.5650|183.8100|184.0350|1384738|0.3650|1.1650|0.2250|BEARISH
TXN|2025-09-09 14:30|183.9900|185.4550|183.6600|185.3000|643171|1.3100|0.1550|0.3300|BULLISH
TXN|2025-09-09 15:30|185.3300|185.3900|184.3900|184.6150|440903|0.7150|0.0600|0.2250|BEARISH
TXN|2025-09-09 16:30|184.6100|185.1204|184.2600|185.0200|557667|0.4100|0.1004|0.3500|BULLISH
TXN|2025-09-09 17:30|185.0600|185.6600|185.0375|185.1050|348945|0.0450|0.5550|0.0225|BULLISH
TXN|2025-09-09 18:30|185.1300|185.1600|184.3300|184.5100|437721|0.6200|0.0300|0.1800|BEARISH
TXN|2025-09-09 19:30|184.5150|185.1700|184.1803|185.0300|805601|0.5150|0.1400|0.3347|BULLISH
TXN|2025-09-10 13:30|184.8300|185.4900|183.0700|183.2975|817892|1.5325|0.6600|0.2275|BEARISH
TXN|2025-09-10 14:30|183.2300|183.9500|182.9800|183.6800|496855|0.4500|0.2700|0.2500|BULLISH
