Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
T|2025-09-02 13:30|29.3000|29.3954|29.1000|29.2700|5920580|0.0300|0.0954|0.1700|BEARISH
T|2025-09-02 14:30|29.2700|29.3500|29.2450|29.2650|2980241|0.0050|0.0800|0.0200|BEARISH
T|2025-09-02 15:30|29.2650|29.2700|29.1035|29.1650|2719876|0.1000|0.0050|0.0615|BEARISH
T|2025-09-02 16:30|29.1700|29.1750|29.0200|29.0201|2377851|0.1499|0.0050|0.0001|BEARISH
T|2025-09-02 17:30|29.0200|29.0900|29.0150|29.0593|2020936|0.0393|0.0307|0.0050|BULLISH
T|2025-09-02 18:30|29.0550|29.0800|29.0000|29.0150|2668554|0.0400|0.0250|0.0150|BEARISH
T|2025-09-02 19:30|29.0150|29.1100|29.0000|29.0800|4038140|0.0650|0.0300|0.0150|BULLISH
T|2025-09-03 13:30|29.0100|29.0200|28.4450|28.5850|5479065|0.4250|0.0100|0.1400|BEARISH
T|2025-09-03 14:30|28.5850|28.8350|28.5300|28.8250|4085932|0.2400|0.0100|0.0550|BULLISH
T|2025-09-03 15:30|28.8300|28.9700|28.8200|28.9250|2669182|0.0950|0.0450|0.0100|BULLISH
T|2025-09-03 16:30|28.9250|28.9950|28.8200|28.9100|2347938|0.0150|0.0700|0.0900|BEARISH
T|2025-09-03 17:30|28.9100|28.9700|28.8300|28.9450|1983005|0.0350|0.0250|0.0800|BULLISH
T|2025-09-03 18:30|28.9400|29.0500|28.9300|29.0250|2791462|0.0850|0.0250|0.0100|BULLISH
T|2025-09-03 19:30|29.0200|29.0800|28.9901|29.0450|3417526|0.0250|0.0350|0.0299|BULLISH
T|2025-09-04 13:30|29.1800|29.5999|29.0300|29.5300|5405206|0.3500|0.0699|0.1500|BULLISH
T|2025-09-04 14:30|29.5300|29.5900|29.4600|29.5200|3066961|0.0100|0.0600|0.0600|BEARISH
