Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
UBER|2025-09-02 13:30|92.2600|93.5300|91.9200|92.9400|3018001|0.6800|0.5900|0.3400|BULLISH
UBER|2025-09-02 14:30|92.9350|93.5370|92.7400|92.8250|1560354|0.1100|0.6020|0.0850|BEARISH
UBER|2025-09-02 15:30|92.8200|92.8500|92.1700|92.4450|1155153|0.3750|0.0300|0.2750|BEARISH
UBER|2025-09-02 16:30|92.4350|92.8700|92.4250|92.7600|725803|0.3250|0.1100|0.0100|BULLISH
UBER|2025-09-02 17:30|92.7700|93.1100|92.7600|92.9084|810446|0.1384|0.2016|0.0100|BULLISH
UBER|2025-09-02 18:30|92.9166|93.1200|92.6100|92.8200|1499217|0.0966|0.2034|0.2100|BEARISH
UBER|2025-09-02 19:30|92.8250|92.9400|92.7100|92.8050|1534582|0.0200|0.1150|0.0950|BEARISH
UBER|2025-09-03 13:30|92.7500|94.1400|92.1800|93.6600|2972574|0.9100|0.4800|0.5700|BULLISH
UBER|2025-09-03 14:30|93.6800|94.7650|93.6600|94.0200|2061581|0.3400|0.7450|0.0200|BULLISH
UBER|2025-09-03 15:30|94.0200|94.0900|93.1700|93.6650|1313421|0.3550|0.0700|0.4950|BEARISH
UBER|2025-09-03 16:30|93.6700|93.7700|92.9900|92.9950|924990|0.6750|0.1000|0.0050|BEARISH
UBER|2025-09-03 17:30|93.0000|93.0000|92.7000|92.8800|838469|0.1200|0.0000|0.1800|BEARISH
UBER|2025-09-03 18:30|92.8700|92.9400|92.5600|92.7400|1253093|0.1300|0.0700|0.1800|BEARISH
UBER|2025-09-03 19:30|92.7350|92.9600|92.7349|92.9150|1222234|0.1800|0.0450|0.0001|BULLISH
UBER|2025-09-04 13:30|93.1100|93.1250|90.9300|91.7100|3392954|1.4000|0.0150|0.7800|BEARISH
UBER|2025-09-04 14:30|91.7100|91.9825|91.4800|91.7800|2169118|0.0700|0.2025|0.2300|BULLISH
UBER|2025-09-04 15:30|91.7700|92.7600|91.6900|92.4400|1675312|0.6700|0.3200|0.0800|BULLISH
UBER|2025-09-04 16:30|92.4400|92.4950|91.9600|92.4950|1344605|0.0550|0.0000|0.4800|BULLISH
UBER|2025-09-04 17:30|92.4900|92.8900|92.4900|92.8150|1001490|0.3250|0.0750|0.0000|BULLISH
UBER|2025-09-04 18:30|92.8050|92.9400|92.2600|92.3050|1159245|0.5000|0.1350|0.0450|BEARISH
UBER|2025-09-04 19:30|92.3000|92.3290|91.9100|91.9900|2110872|0.3100|0.0290|0.0800|BEARISH
UBER|2025-09-05 13:30|92.5300|92.5300|90.9200|90.9800|5568020|1.5500|0.0000|0.0600|BEARISH
UBER|2025-09-05 14:30|90.9600|91.0000|89.8800|90.6250|2950758|0.3350|0.0400|0.7450|BEARISH
UBER|2025-09-05 15:30|90.6400|90.8700|90.4500|90.5000|1327610|0.1400|0.2300|0.0500|BEARISH
UBER|2025-09-05 16:30|90.5100|90.5750|88.8400|90.3200|3945064|0.1900|0.0650|1.4800|BEARISH
UBER|2025-09-05 17:30|90.3000|90.8700|90.2600|90.7750|1556179|0.4750|0.0950|0.0400|BULLISH
UBER|2025-09-05 18:30|90.7800|90.9700|90.4900|90.8650|1727328|0.0850|0.1050|0.2900|BULLISH
