Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
UNH|2025-09-02 13:30|308.3050|312.8900|307.3000|312.0700|3979326|3.7650|0.8200|1.0050|BULLISH
UNH|2025-09-02 14:30|312.0522|312.7500|309.8300|310.1600|1575575|1.8922|0.6978|0.3300|BEARISH
UNH|2025-09-02 15:30|310.0950|311.8800|309.3200|310.1300|1056415|0.0350|1.7500|0.7750|BULLISH
UNH|2025-09-02 16:30|310.1450|310.9100|309.4000|310.0700|736801|0.0750|0.7650|0.6700|BEARISH
UNH|2025-09-02 17:30|310.2000|310.8511|309.6900|310.1000|715639|0.1000|0.6511|0.4100|BEARISH
UNH|2025-09-02 18:30|310.0600|310.1500|308.5829|309.7100|723048|0.3500|0.0900|1.1271|BEARISH
UNH|2025-09-02 19:30|309.7050|309.9300|308.5600|308.6800|881381|1.0250|0.2250|0.1200|BEARISH
UNH|2025-09-03 13:30|308.1100|309.5900|304.2400|304.6572|2775318|3.4528|1.4800|0.4172|BEARISH
UNH|2025-09-03 14:30|304.7500|305.7000|303.7000|304.8950|1270778|0.1450|0.8050|1.0500|BULLISH
UNH|2025-09-03 15:30|304.9000|305.5500|304.5850|305.1100|1286293|0.2100|0.4400|0.3150|BULLISH
UNH|2025-09-03 16:30|305.1831|306.2600|304.9100|305.5275|631994|0.3444|0.7325|0.2731|BULLISH
UNH|2025-09-03 17:30|305.5300|306.2600|305.1600|306.0475|544493|0.5175|0.2125|0.3700|BULLISH
UNH|2025-09-03 18:30|306.0000|306.7400|305.6700|305.8100|643692|0.1900|0.7400|0.1400|BEARISH
UNH|2025-09-03 19:30|305.8100|307.6800|305.7810|307.3600|1030359|1.5500|0.3200|0.0290|BULLISH
UNH|2025-09-04 13:30|306.1000|309.5600|304.1000|308.2400|2184188|2.1400|1.3200|2.0000|BULLISH
UNH|2025-09-04 14:30|308.2850|309.1000|306.9100|308.2774|980038|0.0076|0.8150|1.3674|BEARISH
UNH|2025-09-04 15:30|308.3000|309.8500|308.0800|309.1825|805047|0.8825|0.6675|0.2200|BULLISH
UNH|2025-09-04 16:30|309.1900|309.6400|308.4900|309.3752|563676|0.1852|0.2648|0.7000|BULLISH
