Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
UNP|2025-09-02 13:30|222.2100|222.7700|219.5700|220.7450|496188|1.4650|0.5600|1.1750|BEARISH
UNP|2025-09-02 14:30|220.7450|220.7500|219.3500|219.5950|399372|1.1500|0.0050|0.2450|BEARISH
UNP|2025-09-02 15:30|219.6100|220.1450|219.4900|219.8500|276860|0.2400|0.2950|0.1200|BULLISH
UNP|2025-09-02 16:30|219.8500|220.8000|219.3400|220.7000|304018|0.8500|0.1000|0.5100|BULLISH
UNP|2025-09-02 17:30|220.6950|221.3600|220.6400|221.0100|310281|0.3150|0.3500|0.0550|BULLISH
UNP|2025-09-02 18:30|221.0000|221.7000|220.6500|221.6200|397747|0.6200|0.0800|0.3500|BULLISH
UNP|2025-09-02 19:30|221.6000|222.1600|221.4850|221.9400|700839|0.3400|0.2200|0.1150|BULLISH
UNP|2025-09-03 13:30|221.4200|222.5000|220.2124|220.5850|1145198|0.8350|1.0800|0.3726|BEARISH
UNP|2025-09-03 14:30|220.5900|221.0969|220.1550|220.2200|249750|0.3700|0.5069|0.0650|BEARISH
UNP|2025-09-03 15:30|220.2500|220.3100|219.7450|219.9200|178037|0.3300|0.0600|0.1750|BEARISH
UNP|2025-09-03 16:30|219.9200|220.0100|218.7500|219.6550|422603|0.2650|0.0900|0.9050|BEARISH
UNP|2025-09-03 17:30|219.6600|220.1800|218.9600|220.0850|329665|0.4250|0.0950|0.7000|BULLISH
UNP|2025-09-03 18:30|220.0600|220.6900|219.9950|220.2300|337614|0.1700|0.4600|0.0650|BULLISH
UNP|2025-09-03 19:30|220.2600|221.8200|220.2300|221.7900|583413|1.5300|0.0300|0.0300|BULLISH
UNP|2025-09-04 13:30|222.6600|222.6600|220.5100|222.4300|745852|0.2300|0.0000|1.9200|BEARISH
UNP|2025-09-04 14:30|222.3537|222.6900|221.7000|222.1100|285895|0.2437|0.3363|0.4100|BEARISH
UNP|2025-09-04 15:30|222.1600|223.1350|221.9800|222.5700|269157|0.4100|0.5650|0.1800|BULLISH
UNP|2025-09-04 16:30|222.6300|222.7000|222.0700|222.5600|288073|0.0700|0.0700|0.4900|BEARISH
UNP|2025-09-04 17:30|222.5600|222.8850|222.0900|222.8350|260255|0.2750|0.0500|0.4700|BULLISH
UNP|2025-09-04 18:30|222.8200|223.2600|222.4000|222.7900|417778|0.0300|0.4400|0.3900|BEARISH
UNP|2025-09-04 19:30|222.7950|223.4800|222.7350|223.0600|612413|0.2650|0.4200|0.0600|BULLISH
