Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
V|2025-09-02 13:30|349.3100|350.1675|346.0800|349.2100|952192|0.1000|0.8575|3.1300|BEARISH
V|2025-09-02 14:30|349.2100|349.7000|347.8500|348.1100|529424|1.1000|0.4900|0.2600|BEARISH
V|2025-09-02 15:30|348.1100|348.1100|346.5634|347.2700|466848|0.8400|0.0000|0.7066|BEARISH
V|2025-09-02 16:30|347.2400|349.0400|346.8911|348.7467|333995|1.5067|0.2933|0.3489|BULLISH
V|2025-09-02 17:30|348.7800|349.5800|348.3600|348.4200|289296|0.3600|0.8000|0.0600|BEARISH
V|2025-09-02 18:30|348.4400|349.4800|348.1422|349.4200|289417|0.9800|0.0600|0.2978|BULLISH
V|2025-09-02 19:30|349.3600|350.0200|349.2800|349.8500|499981|0.4900|0.1700|0.0800|BULLISH
V|2025-09-03 13:30|349.6190|350.3339|347.2600|349.0500|639808|0.5690|0.7149|1.7900|BEARISH
V|2025-09-03 14:30|349.0050|350.0800|348.7100|348.8500|402304|0.1550|1.0750|0.1400|BEARISH
V|2025-09-03 15:30|348.8900|349.0900|347.8800|348.3100|345939|0.5800|0.2000|0.4300|BEARISH
V|2025-09-03 16:30|348.3200|348.6400|347.8300|348.4900|323808|0.1700|0.1500|0.4900|BULLISH
V|2025-09-03 17:30|348.4850|348.7400|347.6800|348.5400|367817|0.0550|0.2000|0.8050|BULLISH
V|2025-09-03 18:30|348.5300|348.7700|348.2800|348.5800|386827|0.0500|0.1900|0.2500|BULLISH
V|2025-09-03 19:30|348.6000|350.8900|348.6000|350.8900|755056|2.2900|0.0000|0.0000|BULLISH
V|2025-09-04 13:30|350.7300|351.0998|349.1600|349.7550|560998|0.9750|0.3698|0.5950|BEARISH
V|2025-09-04 14:30|349.8200|351.5000|349.6200|351.2200|347714|1.4000|0.2800|0.2000|BULLISH
V|2025-09-04 15:30|351.2000|351.5100|350.8800|350.9400|386298|0.2600|0.3100|0.0600|BEARISH
V|2025-09-04 16:30|350.9500|351.7500|350.4800|351.7200|262650|0.7700|0.0300|0.4700|BULLISH
V|2025-09-04 17:30|351.7500|352.6200|351.3900|352.6000|297712|0.8500|0.0200|0.3600|BULLISH
V|2025-09-04 18:30|352.5475|352.6300|351.1700|351.1900|521625|1.3575|0.0825|0.0200|BEARISH
V|2025-09-04 19:30|351.1900|351.4500|349.9800|350.3300|925532|0.8600|0.2600|0.3500|BEARISH
V|2025-09-05 13:30|351.3750|352.6213|347.1000|347.7600|835591|3.6150|1.2463|0.6600|BEARISH
V|2025-09-05 14:30|347.7450|347.7850|342.7200|344.1800|694347|3.5650|0.0400|1.4600|BEARISH
V|2025-09-05 15:30|344.2350|344.5300|341.9100|342.6650|532058|1.5700|0.2950|0.7550|BEARISH
V|2025-09-05 16:30|342.7050|342.9650|340.9250|341.3950|331451|1.3100|0.2600|0.4700|BEARISH
V|2025-09-05 17:30|341.3900|342.4500|340.2000|341.9200|510207|0.5300|0.5300|1.1900|BULLISH
V|2025-09-05 18:30|341.9200|343.4300|340.9900|343.1100|475494|1.1900|0.3200|0.9300|BULLISH
V|2025-09-05 19:30|343.0800|343.3400|342.2600|343.1500|637556|0.0700|0.1900|0.8200|BULLISH
V|2025-09-08 13:30|342.3400|343.6370|341.0000|343.4050|749219|1.0650|0.2320|1.3400|BULLISH
V|2025-09-08 14:30|343.4050|344.1500|343.1200|343.2300|460917|0.1750|0.7450|0.1100|BEARISH
V|2025-09-08 15:30|343.3500|343.9300|343.0700|343.5600|357497|0.2100|0.3700|0.2800|BULLISH
V|2025-09-08 16:30|343.5700|344.3820|343.3600|344.3050|316423|0.7350|0.0770|0.2100|BULLISH
V|2025-09-08 17:30|344.1900|344.3605|342.4850|343.0400|382122|1.1500|0.1705|0.5550|BEARISH
V|2025-09-08 18:30|343.1150|343.2000|341.9100|341.9800|475737|1.1350|0.0850|0.0700|BEARISH
V|2025-09-08 19:30|341.9900|343.3050|341.2850|342.3800|1056780|0.3900|0.9250|0.7050|BULLISH
V|2025-09-09 13:30|341.5000|346.3200|341.4950|344.8154|687890|3.3154|1.5046|0.0050|BULLISH
V|2025-09-09 14:30|344.7850|345.4600|343.3700|345.3200|467875|0.5350|0.1400|1.4150|BULLISH
V|2025-09-09 15:30|345.3100|345.7250|342.5300|342.7200|373613|2.5900|0.4150|0.1900|BEARISH
V|2025-09-09 16:30|342.7300|344.1100|342.3300|343.9750|358122|1.2450|0.1350|0.4000|BULLISH
V|2025-09-09 17:30|343.9100|345.7300|343.9000|345.3050|477725|1.3950|0.4250|0.0100|BULLISH
V|2025-09-09 18:30|345.1800|345.9500|344.1601|344.9100|602413|0.2700|0.7700|0.7499|BEARISH
V|2025-09-09 19:30|344.9100|345.1850|343.9200|343.9500|781698|0.9600|0.2750|0.0300|BEARISH
V|2025-09-10 13:30|342.6100|342.6100|338.7622|339.3100|1222031|3.3000|0.0000|0.5478|BEARISH
V|2025-09-10 14:30|339.2900|339.3000|336.4400|338.2500|975354|1.0400|0.0100|1.8100|BEARISH
V|2025-09-10 15:30|338.3100|339.3400|337.4300|338.7400|657946|0.4300|0.6000|0.8800|BULLISH
