Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
WMT|2025-09-02 13:30|97.2300|97.7100|96.5100|97.2300|3828500|0.0000|0.4800|0.7200|BULLISH
WMT|2025-09-02 14:30|97.2342|97.5100|97.2000|97.4250|1707473|0.1908|0.0850|0.0342|BULLISH
WMT|2025-09-02 15:30|97.4300|97.7700|97.2550|97.5350|1947361|0.1050|0.2350|0.1750|BULLISH
WMT|2025-09-02 16:30|97.5350|97.5799|97.3100|97.4100|928186|0.1250|0.0449|0.1000|BEARISH
WMT|2025-09-02 17:30|97.4000|97.6980|97.3850|97.6499|900601|0.2499|0.0481|0.0150|BULLISH
WMT|2025-09-02 18:30|97.6458|97.7250|97.5100|97.6650|1245277|0.0192|0.0600|0.1358|BULLISH
WMT|2025-09-02 19:30|97.6600|97.8500|97.6230|97.8400|2254778|0.1800|0.0100|0.0370|BULLISH
WMT|2025-09-03 13:30|97.8500|98.4400|97.5000|97.9900|3319580|0.1400|0.4500|0.3500|BULLISH
WMT|2025-09-03 14:30|98.0000|98.4800|97.7050|98.3400|1815431|0.3400|0.1400|0.2950|BULLISH
WMT|2025-09-03 15:30|98.3400|98.6550|98.3000|98.4900|1467366|0.1500|0.1650|0.0400|BULLISH
WMT|2025-09-03 16:30|98.4800|98.7900|98.2750|98.6900|1374780|0.2100|0.1000|0.2050|BULLISH
WMT|2025-09-03 17:30|98.6900|98.9200|98.6500|98.8250|1202512|0.1350|0.0950|0.0400|BULLISH
WMT|2025-09-03 18:30|98.8200|99.1500|98.7650|99.1000|2225196|0.2800|0.0500|0.0550|BULLISH
WMT|2025-09-03 19:30|99.1000|99.4400|99.0350|99.4400|3276194|0.3400|0.0000|0.0650|BULLISH
WMT|2025-09-04 13:30|99.9100|100.5750|99.6500|100.2099|3495318|0.2999|0.3651|0.2600|BULLISH
WMT|2025-09-04 14:30|100.2100|100.8550|100.2100|100.7150|1886102|0.5050|0.1400|0.0000|BULLISH
WMT|2025-09-04 15:30|100.7100|101.3500|100.6650|101.0050|2626432|0.2950|0.3450|0.0450|BULLISH
WMT|2025-09-04 16:30|101.0100|101.0950|100.8400|100.9300|1198150|0.0800|0.0850|0.0900|BEARISH
WMT|2025-09-04 17:30|100.9300|100.9800|100.6600|100.6700|1138443|0.2600|0.0500|0.0100|BEARISH
WMT|2025-09-04 18:30|100.6700|100.7200|100.4450|100.5350|1246593|0.1350|0.0500|0.0900|BEARISH
WMT|2025-09-04 19:30|100.5350|100.9500|100.4735|100.9200|2080159|0.3850|0.0300|0.0615|BULLISH
WMT|2025-09-05 13:30|101.0800|101.4800|99.6500|100.0400|4484440|1.0400|0.4000|0.3900|BEARISH
