Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
XOM|2025-09-02 13:30|114.1800|114.8700|113.3300|114.2100|2304856|0.0300|0.6600|0.8500|BULLISH
XOM|2025-09-02 14:30|114.2000|114.3700|113.9200|114.0700|1146483|0.1300|0.1700|0.1500|BEARISH
XOM|2025-09-02 15:30|114.0900|114.7300|114.0200|114.5900|892742|0.5000|0.1400|0.0700|BULLISH
XOM|2025-09-02 16:30|114.5950|115.1550|114.5300|115.0700|1686918|0.4750|0.0850|0.0650|BULLISH
XOM|2025-09-02 17:30|115.0600|115.2400|114.6400|114.6700|896274|0.3900|0.1800|0.0300|BEARISH
XOM|2025-09-02 18:30|114.6800|114.6900|114.2500|114.5083|987645|0.1717|0.0100|0.2583|BEARISH
XOM|2025-09-02 19:30|114.5050|114.8000|114.4200|114.6750|2449089|0.1700|0.1250|0.0850|BULLISH
XOM|2025-09-03 13:30|113.9700|114.4300|111.8100|111.8600|2489226|2.1100|0.4600|0.0500|BEARISH
XOM|2025-09-03 14:30|111.8500|112.3501|111.4600|112.2400|1625360|0.3900|0.1101|0.3900|BULLISH
XOM|2025-09-03 15:30|112.2450|112.7700|112.1600|112.3000|1401848|0.0550|0.4700|0.0850|BULLISH
XOM|2025-09-03 16:30|112.3100|112.4200|112.0300|112.2300|917351|0.0800|0.1100|0.2000|BEARISH
XOM|2025-09-03 17:30|112.2250|112.3050|111.8736|112.0550|1017985|0.1700|0.0800|0.1814|BEARISH
XOM|2025-09-03 18:30|112.0550|112.0650|111.6500|111.7300|1234133|0.3250|0.0100|0.0800|BEARISH
XOM|2025-09-03 19:30|111.7400|112.0400|111.6900|111.9450|3109809|0.2050|0.0950|0.0500|BULLISH
XOM|2025-09-04 13:30|112.1050|112.2900|111.3800|111.9950|1462483|0.1100|0.1850|0.6150|BEARISH
XOM|2025-09-04 14:30|111.9999|112.5667|111.8100|112.4100|912002|0.4101|0.1567|0.1899|BULLISH
XOM|2025-09-04 15:30|112.4200|112.8400|112.3500|112.7700|739178|0.3500|0.0700|0.0700|BULLISH
XOM|2025-09-04 16:30|112.7700|112.9400|112.6400|112.8700|618455|0.1000|0.0700|0.1300|BULLISH
XOM|2025-09-04 17:30|112.8600|113.1250|112.5800|112.5800|895367|0.2800|0.2650|0.0000|BEARISH
XOM|2025-09-04 18:30|112.5800|112.7638|112.4500|112.4943|1011860|0.0857|0.1838|0.0443|BEARISH
XOM|2025-09-04 19:30|112.4950|112.5850|112.3850|112.4250|2261386|0.0700|0.0900|0.0400|BEARISH
XOM|2025-09-05 13:30|111.6000|111.7800|110.4400|110.7400|3099477|0.8600|0.1800|0.3000|BEARISH
