Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
AAL|2025-09-02 13:30|13.2400|13.5150|13.1500|13.2450|14797384|0.0050|0.2700|0.0900|BULLISH
AAL|2025-09-02 14:30|13.2450|13.2700|12.9600|13.0000|14215068|0.2450|0.0250|0.0400|BEARISH
AAL|2025-09-02 15:30|12.9950|13.0700|12.9400|13.0300|15973734|0.0350|0.0400|0.0550|BULLISH
AAL|2025-09-02 16:30|13.0350|13.1900|13.0300|13.1700|14351299|0.1350|0.0200|0.0050|BULLISH
AAL|2025-09-02 17:30|13.1650|13.2500|13.1600|13.2158|11493141|0.0508|0.0342|0.0050|BULLISH
AAL|2025-09-02 18:30|13.2199|13.4000|13.2000|13.3965|11953722|0.1766|0.0035|0.0199|BULLISH
AAL|2025-09-02 19:30|13.3900|13.4100|13.3300|13.3950|9598221|0.0050|0.0150|0.0600|BULLISH
AAL|2025-09-03 13:30|13.4500|14.0100|13.4350|13.8000|16294782|0.3500|0.2100|0.0150|BULLISH
AAL|2025-09-03 14:30|13.8050|13.8500|13.4900|13.5050|16559745|0.3000|0.0450|0.0150|BEARISH
AAL|2025-09-03 15:30|13.5000|13.5450|13.4100|13.4201|11622948|0.0799|0.0450|0.0101|BEARISH
AAL|2025-09-03 16:30|13.4250|13.5200|13.4100|13.4901|12041859|0.0651|0.0299|0.0150|BULLISH
AAL|2025-09-03 17:30|13.4950|13.5600|13.4000|13.4450|10458761|0.0500|0.0650|0.0450|BEARISH
AAL|2025-09-03 18:30|13.4450|13.5100|13.4000|13.4850|8085529|0.0400|0.0250|0.0450|BULLISH
AAL|2025-09-03 19:30|13.4850|13.5200|13.4350|13.4600|6305459|0.0250|0.0350|0.0250|BEARISH
AAL|2025-09-04 13:30|13.4700|13.6600|13.3400|13.4201|14188009|0.0499|0.1900|0.0801|BEARISH
AAL|2025-09-04 14:30|13.4219|13.4300|13.2800|13.3558|11383673|0.0661|0.0081|0.0758|BEARISH
AAL|2025-09-04 15:30|13.3508|13.5250|13.2800|13.3100|13732875|0.0408|0.1742|0.0300|BEARISH
AAL|2025-09-04 16:30|13.3099|13.3300|13.1200|13.1259|10697969|0.1840|0.0201|0.0059|BEARISH
AAL|2025-09-04 17:30|13.1300|13.1500|12.9944|13.0150|9314706|0.1150|0.0200|0.0206|BEARISH
AAL|2025-09-04 18:30|13.0150|13.0200|12.8700|12.8850|9959525|0.1300|0.0050|0.0150|BEARISH
AAL|2025-09-04 19:30|12.8854|12.9350|12.8500|12.8598|8075720|0.0256|0.0496|0.0098|BEARISH
AAL|2025-09-05 13:30|12.9000|13.2500|12.8150|13.1050|14235092|0.2050|0.1450|0.0850|BULLISH
AAL|2025-09-05 14:30|13.1100|13.2000|13.0000|13.1865|14319173|0.0765|0.0135|0.1100|BULLISH
AAL|2025-09-05 15:30|13.1900|13.2200|13.1300|13.1793|14246178|0.0107|0.0300|0.0493|BEARISH
AAL|2025-09-05 16:30|13.1800|13.2800|13.1000|13.1094|12498356|0.0706|0.1000|0.0094|BEARISH
AAL|2025-09-05 17:30|13.1050|13.1500|13.0000|13.0650|12997557|0.0400|0.0450|0.0650|BEARISH
AAL|2025-09-05 18:30|13.0600|13.0980|12.9800|13.0050|12303791|0.0550|0.0380|0.0250|BEARISH
AAL|2025-09-05 19:30|13.0050|13.0900|12.9950|13.0900|6870630|0.0850|0.0000|0.0100|BULLISH
AAL|2025-09-08 13:30|13.0700|13.2200|12.9450|13.1750|12961328|0.1050|0.0450|0.1250|BULLISH
AAL|2025-09-08 14:30|13.1701|13.1800|12.9701|13.0061|19464318|0.1640|0.0099|0.0360|BEARISH
AAL|2025-09-08 15:30|13.0050|13.0265|12.8900|12.9250|18033660|0.0800|0.0215|0.0350|BEARISH
AAL|2025-09-08 16:30|12.9250|13.0300|12.9100|12.9899|10049006|0.0649|0.0401|0.0150|BULLISH
AAL|2025-09-08 17:30|12.9850|12.9899|12.9100|12.9601|9898023|0.0249|0.0049|0.0501|BEARISH
AAL|2025-09-08 18:30|12.9600|12.9900|12.9000|12.9201|9066439|0.0399|0.0300|0.0201|BEARISH
AAL|2025-09-08 19:30|12.9250|12.9600|12.8900|12.9500|7943328|0.0250|0.0100|0.0350|BULLISH
AAL|2025-09-09 13:30|12.9400|12.9900|12.8100|12.8456|7517440|0.0944|0.0500|0.0356|BEARISH
AAL|2025-09-09 14:30|12.8450|12.9000|12.7900|12.8835|8873444|0.0385|0.0165|0.0550|BULLISH
AAL|2025-09-09 15:30|12.8850|12.9100|12.7500|12.7950|10746180|0.0900|0.0250|0.0450|BEARISH
AAL|2025-09-09 16:30|12.7999|12.8100|12.6400|12.7250|10709995|0.0749|0.0101|0.0850|BEARISH
AAL|2025-09-09 17:30|12.7250|12.8000|12.6900|12.7850|8358201|0.0600|0.0150|0.0350|BULLISH
AAL|2025-09-09 18:30|12.7850|12.9100|12.7200|12.7600|10788517|0.0250|0.1250|0.0400|BEARISH
AAL|2025-09-09 19:30|12.7550|12.7900|12.7200|12.7400|6472556|0.0150|0.0350|0.0200|BEARISH
AAL|2025-09-10 13:30|12.7300|13.1000|12.6350|12.9850|15146854|0.2550|0.1150|0.0950|BULLISH
AAL|2025-09-10 14:30|12.9850|13.0000|12.7650|12.8201|16402844|0.1649|0.0150|0.0551|BEARISH
AAL|2025-09-10 15:30|12.8250|12.8800|12.7800|12.7800|13282132|0.0450|0.0550|0.0000|BEARISH
AAL|2025-09-10 16:30|12.7851|12.8400|12.7400|12.7500|11551108|0.0351|0.0549|0.0100|BEARISH
AAL|2025-09-10 17:30|12.7536|12.8400|12.7400|12.8301|8804659|0.0765|0.0099|0.0136|BULLISH
AAL|2025-09-10 18:30|12.8350|12.8600|12.7900|12.8100|11795540|0.0250|0.0250|0.0200|BEARISH
AAL|2025-09-10 19:30|12.8050|12.8500|12.7800|12.8200|8937066|0.0150|0.0300|0.0250|BULLISH
AAL|2025-09-11 13:30|12.9400|13.0200|12.6500|12.8953|14158870|0.0447|0.0800|0.2453|BEARISH
AAL|2025-09-11 14:30|12.9000|13.0900|12.6100|12.6800|14107028|0.2200|0.1900|0.0700|BEARISH
AAL|2025-09-11 15:30|12.6836|12.7400|12.6100|12.6800|22550117|0.0036|0.0564|0.0700|BEARISH
AAL|2025-09-11 16:30|12.6899|12.9600|12.6800|12.8601|15674873|0.1702|0.0999|0.0099|BULLISH
AAL|2025-09-11 17:30|12.8610|13.0500|12.8501|12.9550|14080948|0.0940|0.0950|0.0109|BULLISH
AAL|2025-09-11 18:30|12.9535|13.0100|12.9050|12.9549|12943694|0.0014|0.0551|0.0485|BULLISH
AAL|2025-09-11 19:30|12.9550|12.9900|12.8800|12.9650|7489452|0.0100|0.0250|0.0750|BULLISH
AAL|2025-09-12 13:30|13.0000|13.2300|12.8900|12.9750|11494038|0.0250|0.2300|0.0850|BEARISH
AAL|2025-09-12 14:30|12.9799|13.0500|12.9600|13.0101|9818872|0.0302|0.0399|0.0199|BULLISH
AAL|2025-09-12 15:30|13.0101|13.1300|12.9900|13.0060|13446382|0.0041|0.1199|0.0160|BEARISH
AAL|2025-09-12 16:30|13.0035|13.0600|12.9500|13.0390|12105979|0.0355|0.0210|0.0535|BULLISH
AAL|2025-09-12 17:30|13.0399|13.0500|12.9150|12.9599|13330196|0.0800|0.0101|0.0449|BEARISH
AAL|2025-09-12 18:30|12.9550|12.9800|12.8900|12.9298|11412644|0.0252|0.0250|0.0398|BEARISH
AAL|2025-09-12 19:30|12.9300|12.9600|12.9000|12.9100|10585406|0.0200|0.0300|0.0100|BEARISH
AAL|2025-09-15 13:30|12.9400|12.9600|12.7200|12.8550|12446619|0.0850|0.0200|0.1350|BEARISH
AAL|2025-09-15 14:30|12.8551|12.8900|12.6400|12.6457|18902317|0.2094|0.0349|0.0057|BEARISH
AAL|2025-09-15 15:30|12.6450|12.7100|12.6300|12.6350|14879918|0.0100|0.0650|0.0050|BEARISH
AAL|2025-09-15 16:30|12.6350|12.6600|12.5300|12.5563|10846867|0.0787|0.0250|0.0263|BEARISH
AAL|2025-09-15 17:30|12.5550|12.6400|12.5500|12.5950|13450116|0.0400|0.0450|0.0050|BULLISH
AAL|2025-09-15 18:30|12.5950|12.6100|12.5400|12.5550|12503621|0.0400|0.0150|0.0150|BEARISH
AAL|2025-09-15 19:30|12.5600|12.5700|12.4800|12.5301|13818207|0.0299|0.0100|0.0501|BEARISH
AAL|2025-09-16 13:30|12.6000|12.6150|12.2200|12.2445|13269190|0.3555|0.0150|0.0245|BEARISH
AAL|2025-09-16 14:30|12.2450|12.2900|12.1636|12.1850|14035245|0.0600|0.0450|0.0214|BEARISH
AAL|2025-09-16 15:30|12.1852|12.3300|12.1735|12.3050|15937188|0.1198|0.0250|0.0117|BULLISH
AAL|2025-09-16 16:30|12.3050|12.4200|12.2800|12.4000|15479735|0.0950|0.0200|0.0250|BULLISH
AAL|2025-09-16 17:30|12.3950|12.4600|12.3900|12.4051|9379324|0.0101|0.0549|0.0050|BULLISH
AAL|2025-09-16 18:30|12.4050|12.4300|12.3600|12.3800|9828716|0.0250|0.0250|0.0200|BEARISH
AAL|2025-09-16 19:30|12.3700|12.4300|12.3100|12.4200|10252957|0.0500|0.0100|0.0600|BULLISH
AAL|2025-09-17 13:30|12.4300|12.6700|12.4000|12.6500|12758657|0.2200|0.0200|0.0300|BULLISH
AAL|2025-09-17 14:30|12.6570|12.7250|12.6100|12.6451|19398907|0.0119|0.0680|0.0351|BEARISH
AAL|2025-09-17 15:30|12.6499|12.6700|12.5800|12.5950|19763268|0.0549|0.0201|0.0150|BEARISH
AAL|2025-09-17 16:30|12.5957|12.6200|12.5300|12.5437|14563183|0.0520|0.0243|0.0137|BEARISH
AAL|2025-09-17 17:30|12.5401|12.8200|12.5100|12.7343|15939836|0.1942|0.0857|0.0301|BULLISH
AAL|2025-09-17 18:30|12.7350|12.7394|12.3600|12.5050|14282020|0.2300|0.0044|0.1450|BEARISH
AAL|2025-09-17 19:30|12.5000|12.5499|12.4400|12.4750|8813585|0.0250|0.0499|0.0350|BEARISH
AAL|2025-09-18 13:30|12.5900|12.6250|12.4700|12.5550|11935406|0.0350|0.0350|0.0850|BEARISH
AAL|2025-09-18 14:30|12.5500|12.5800|12.5000|12.5501|17210818|0.0001|0.0299|0.0500|BULLISH
AAL|2025-09-18 15:30|12.5543|12.6000|12.5000|12.5548|23332498|0.0005|0.0452|0.0543|BULLISH
AAL|2025-09-18 16:30|12.5543|12.6200|12.5200|12.5712|15701629|0.0169|0.0488|0.0343|BULLISH
AAL|2025-09-18 17:30|12.5707|12.6100|12.5101|12.5300|13281911|0.0407|0.0393|0.0199|BEARISH
AAL|2025-09-18 18:30|12.5343|12.6200|12.5200|12.5862|15256749|0.0519|0.0338|0.0143|BULLISH
