Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
ADI|2025-09-02 13:30|246.5000|246.8450|243.9000|245.9625|604133|0.5375|0.3450|2.0625|BEARISH
ADI|2025-09-02 14:30|246.0650|246.7650|244.3000|244.8200|220887|1.2450|0.7000|0.5200|BEARISH
ADI|2025-09-02 15:30|244.8600|245.5800|244.4100|244.9400|170522|0.0800|0.6400|0.4500|BULLISH
ADI|2025-09-02 16:30|244.9050|246.1300|244.9050|245.9450|133808|1.0400|0.1850|0.0000|BULLISH
ADI|2025-09-02 17:30|245.9500|246.8699|245.9400|246.0800|177552|0.1300|0.7899|0.0100|BULLISH
ADI|2025-09-02 18:30|246.0800|247.2400|245.9300|247.0950|218443|1.0150|0.1450|0.1500|BULLISH
ADI|2025-09-02 19:30|247.1400|248.5200|247.0700|248.3500|602300|1.2100|0.1700|0.0700|BULLISH
ADI|2025-09-03 13:30|248.3200|248.8700|246.9500|247.0351|265549|1.2849|0.5500|0.0851|BEARISH
ADI|2025-09-03 14:30|246.9100|247.8300|242.1800|242.4050|421843|4.5050|0.9200|0.2250|BEARISH
ADI|2025-09-03 15:30|242.4300|243.4700|241.9300|242.4600|328598|0.0300|1.0100|0.5000|BULLISH
ADI|2025-09-03 16:30|242.5750|243.5900|242.0500|243.3675|176997|0.7925|0.2225|0.5250|BULLISH
ADI|2025-09-03 17:30|243.4200|243.5700|242.0900|242.5900|172108|0.8300|0.1500|0.5000|BEARISH
ADI|2025-09-03 18:30|242.4700|243.2900|242.2200|243.1400|232599|0.6700|0.1500|0.2500|BULLISH
ADI|2025-09-03 19:30|243.2200|244.6200|243.1400|244.5500|597913|1.3300|0.0700|0.0800|BULLISH
ADI|2025-09-04 13:30|243.0050|243.0050|239.5800|242.4400|965488|0.5650|0.0000|2.8600|BEARISH
ADI|2025-09-04 14:30|242.4400|244.9375|241.7050|244.3100|391196|1.8700|0.6275|0.7350|BULLISH
ADI|2025-09-04 15:30|244.2500|244.7600|243.7800|243.8450|248195|0.4050|0.5100|0.0650|BEARISH
ADI|2025-09-04 16:30|243.7700|244.3650|243.7062|244.2100|159839|0.4400|0.1550|0.0638|BULLISH
ADI|2025-09-04 17:30|244.3400|245.3600|244.2300|245.0700|139116|0.7300|0.2900|0.1100|BULLISH
ADI|2025-09-04 18:30|245.0700|246.0600|245.0100|245.7500|200166|0.6800|0.3100|0.0600|BULLISH
ADI|2025-09-04 19:30|245.7700|246.3200|244.8750|246.1000|545732|0.3300|0.2200|0.8950|BULLISH
ADI|2025-09-05 13:30|246.2200|249.7300|245.4900|247.5700|418029|1.3500|2.1600|0.7300|BULLISH
ADI|2025-09-05 14:30|247.4650|247.7000|245.5600|246.9850|230462|0.4800|0.2350|1.4250|BEARISH
ADI|2025-09-05 15:30|246.8900|247.6100|246.1200|246.2000|172492|0.6900|0.7200|0.0800|BEARISH
ADI|2025-09-05 16:30|246.3400|246.6100|245.8650|245.9700|104639|0.3700|0.2700|0.1050|BEARISH
ADI|2025-09-05 17:30|245.9500|246.6900|245.3800|246.4800|129482|0.5300|0.2100|0.5700|BULLISH
ADI|2025-09-05 18:30|246.4500|247.2625|246.4500|246.6650|151487|0.2150|0.5975|0.0000|BULLISH
ADI|2025-09-05 19:30|246.6600|247.2300|246.5200|246.9700|328935|0.3100|0.2600|0.1400|BULLISH
ADI|2025-09-08 13:30|248.3700|249.3900|246.7200|248.6200|402181|0.2500|0.7700|1.6500|BULLISH
ADI|2025-09-08 14:30|248.7200|248.9100|247.6100|248.0750|198290|0.6450|0.1900|0.4650|BEARISH
ADI|2025-09-08 15:30|247.9900|248.0574|247.0950|247.2400|135619|0.7500|0.0674|0.1450|BEARISH
ADI|2025-09-08 16:30|247.2700|247.8450|246.7000|246.8600|267383|0.4100|0.5750|0.1600|BEARISH
ADI|2025-09-08 17:30|246.8600|248.5000|246.6400|248.2050|156465|1.3450|0.2950|0.2200|BULLISH
ADI|2025-09-08 18:30|248.3100|248.5700|247.9200|248.1250|184516|0.1850|0.2600|0.2050|BEARISH
ADI|2025-09-08 19:30|248.1250|249.2300|248.0550|248.9900|396247|0.8650|0.2400|0.0700|BULLISH
ADI|2025-09-09 13:30|248.1100|249.3200|247.2350|247.6300|291301|0.4800|1.2100|0.3950|BEARISH
ADI|2025-09-09 14:30|247.6300|248.4400|246.5225|248.3100|223208|0.6800|0.1300|1.1075|BULLISH
ADI|2025-09-09 15:30|248.2550|248.2550|247.1312|247.8150|157547|0.4400|0.0000|0.6838|BEARISH
ADI|2025-09-09 16:30|247.8850|248.0550|247.3300|247.9600|152061|0.0750|0.0950|0.5550|BULLISH
ADI|2025-09-09 17:30|247.9600|248.5200|247.5800|248.1700|165065|0.2100|0.3500|0.3800|BULLISH
ADI|2025-09-09 18:30|248.1250|248.1250|246.9700|247.3700|191969|0.7550|0.0000|0.4000|BEARISH
ADI|2025-09-09 19:30|247.3500|248.3700|247.1000|248.1600|314854|0.8100|0.2100|0.2500|BULLISH
ADI|2025-09-10 13:30|248.3000|249.0500|245.9900|247.6950|406802|0.6050|0.7500|1.7050|BEARISH
ADI|2025-09-10 14:30|247.6000|248.5600|247.2200|247.4700|210481|0.1300|0.9600|0.2500|BEARISH
ADI|2025-09-10 15:30|247.5600|247.7599|246.4400|246.5550|186665|1.0050|0.1999|0.1150|BEARISH
ADI|2025-09-10 16:30|246.5550|247.2000|246.0950|246.5196|143974|0.0354|0.6450|0.4246|BEARISH
ADI|2025-09-10 17:30|246.4400|246.9800|245.8696|246.2750|179773|0.1650|0.5400|0.4054|BEARISH
ADI|2025-09-10 18:30|246.3000|247.1500|246.1892|246.3400|207371|0.0400|0.8100|0.1108|BULLISH
ADI|2025-09-10 19:30|246.3400|247.8000|245.9550|247.2000|377184|0.8600|0.6000|0.3850|BULLISH
ADI|2025-09-11 13:30|247.7600|249.9700|246.4900|248.8950|326861|1.1350|1.0750|1.2700|BULLISH
ADI|2025-09-11 14:30|248.9000|248.9700|247.2001|248.1800|41152|0.7200|0.0700|0.9799|BEARISH
ADI|2025-09-11 15:30|248.2800|248.3900|247.5400|247.6100|250869|0.6700|0.1100|0.0700|BEARISH
