Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
ADM|2025-09-02 13:30|62.5500|62.8128|62.0600|62.2300|529353|0.3200|0.2628|0.1700|BEARISH
ADM|2025-09-02 14:30|62.2300|62.2900|61.8600|61.9405|339967|0.2895|0.0600|0.0805|BEARISH
ADM|2025-09-02 15:30|61.9450|62.2600|61.6750|61.6800|312738|0.2650|0.3150|0.0050|BEARISH
ADM|2025-09-02 16:30|61.6800|62.0600|61.6400|61.9900|255788|0.3100|0.0700|0.0400|BULLISH
ADM|2025-09-02 17:30|61.9900|62.0750|61.8000|61.8900|269485|0.1000|0.0850|0.0900|BEARISH
ADM|2025-09-02 18:30|61.8951|61.9400|61.6200|61.8750|369581|0.0201|0.0449|0.2550|BEARISH
ADM|2025-09-02 19:30|61.8800|62.1500|61.6200|62.0350|797782|0.1550|0.1150|0.2600|BULLISH
ADM|2025-09-03 13:30|61.7600|61.7800|61.1217|61.1700|393244|0.5900|0.0200|0.0483|BEARISH
ADM|2025-09-03 14:30|61.1800|61.6800|61.1500|61.6500|273216|0.4700|0.0300|0.0300|BULLISH
ADM|2025-09-03 15:30|61.6600|61.7300|61.4100|61.6201|277685|0.0399|0.0700|0.2101|BEARISH
ADM|2025-09-03 16:30|61.6300|61.7000|61.4050|61.5900|283309|0.0400|0.0700|0.1850|BEARISH
ADM|2025-09-03 17:30|61.5950|61.7300|61.4550|61.7250|232560|0.1300|0.0050|0.1400|BULLISH
ADM|2025-09-03 18:30|61.7250|61.7550|61.4800|61.6050|279290|0.1200|0.0300|0.1250|BEARISH
ADM|2025-09-03 19:30|61.6050|61.7350|61.5500|61.7200|510487|0.1150|0.0150|0.0550|BULLISH
ADM|2025-09-04 13:30|61.8800|62.1900|61.3400|61.8800|270716|0.0000|0.3100|0.5400|BULLISH
ADM|2025-09-04 14:30|61.8900|62.0600|61.7551|61.9100|244228|0.0200|0.1500|0.1349|BULLISH
ADM|2025-09-04 15:30|61.9100|61.9550|61.6295|61.7100|313244|0.2000|0.0450|0.0805|BEARISH
ADM|2025-09-04 16:30|61.7100|61.7100|61.4700|61.4700|222506|0.2400|0.0000|0.0000|BEARISH
ADM|2025-09-04 17:30|61.4500|61.6700|61.4100|61.6550|153217|0.2050|0.0150|0.0400|BULLISH
