Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
AEE|2025-09-02 13:30|99.6300|99.7000|99.0100|99.4850|121860|0.1450|0.0700|0.4750|BEARISH
AEE|2025-09-02 14:30|99.4702|99.9350|99.4600|99.6500|65661|0.1798|0.2850|0.0102|BULLISH
AEE|2025-09-02 15:30|99.6500|99.7800|99.1500|99.3000|65537|0.3500|0.1300|0.1500|BEARISH
AEE|2025-09-02 16:30|99.2800|99.3200|99.1100|99.1850|58348|0.0950|0.0400|0.0750|BEARISH
AEE|2025-09-02 17:30|99.1900|99.4300|99.1600|99.3200|91329|0.1300|0.1100|0.0300|BULLISH
AEE|2025-09-02 18:30|99.3400|99.3400|99.1000|99.1000|108745|0.2400|0.0000|0.0000|BEARISH
AEE|2025-09-02 19:30|99.1100|99.7500|99.0900|99.6900|480747|0.5800|0.0600|0.0200|BULLISH
AEE|2025-09-03 13:30|99.7200|99.8750|98.9100|99.2500|93670|0.4700|0.1550|0.3400|BEARISH
AEE|2025-09-03 14:30|99.2650|99.9000|99.0800|99.8500|76854|0.5850|0.0500|0.1850|BULLISH
AEE|2025-09-03 15:30|99.8800|99.9400|99.5850|99.5850|74509|0.2950|0.0600|0.0000|BEARISH
AEE|2025-09-03 16:30|99.5800|99.6000|99.3200|99.4751|70901|0.1049|0.0200|0.1551|BEARISH
AEE|2025-09-03 17:30|99.4800|99.7400|99.3400|99.6750|78353|0.1950|0.0650|0.1400|BULLISH
AEE|2025-09-03 18:30|99.6550|99.7500|99.3900|99.6050|97014|0.0500|0.0950|0.2150|BEARISH
AEE|2025-09-03 19:30|99.6200|100.0500|99.6000|99.9400|240819|0.3200|0.1100|0.0200|BULLISH
AEE|2025-09-04 13:30|100.6400|100.7500|99.9500|100.1400|90006|0.5000|0.1100|0.1900|BEARISH
AEE|2025-09-04 14:30|100.1100|100.4425|99.8300|100.3650|194267|0.2550|0.0775|0.2800|BULLISH
AEE|2025-09-04 15:30|100.3650|100.3900|100.1200|100.3100|148288|0.0550|0.0250|0.1900|BEARISH
AEE|2025-09-04 16:30|100.3100|100.7600|100.1800|100.6760|157004|0.3660|0.0840|0.1300|BULLISH
AEE|2025-09-04 17:30|100.6800|100.6800|100.3300|100.4100|128957|0.2700|0.0000|0.0800|BEARISH
AEE|2025-09-04 18:30|100.4100|100.7500|100.3800|100.6900|172036|0.2800|0.0600|0.0300|BULLISH
AEE|2025-09-04 19:30|100.6800|100.9900|100.5700|100.8700|388340|0.1900|0.1200|0.1100|BULLISH
AEE|2025-09-05 13:30|100.9300|101.1700|100.3000|100.4300|136422|0.5000|0.2400|0.1300|BEARISH
AEE|2025-09-05 14:30|100.4900|100.5100|100.1000|100.4500|134448|0.0400|0.0200|0.3500|BEARISH
AEE|2025-09-05 15:30|100.4500|100.4827|99.7200|99.7800|82334|0.6700|0.0327|0.0600|BEARISH
AEE|2025-09-05 16:30|99.8050|100.0000|99.7350|99.9200|97638|0.1150|0.0800|0.0700|BULLISH
AEE|2025-09-05 17:30|99.9600|100.2000|99.8400|100.1400|62754|0.1800|0.0600|0.1200|BULLISH
AEE|2025-09-05 18:30|100.1700|100.3900|100.1450|100.1500|80807|0.0200|0.2200|0.0050|BEARISH
AEE|2025-09-05 19:30|100.1500|100.6600|100.0950|100.6400|291119|0.4900|0.0200|0.0550|BULLISH
AEE|2025-09-08 13:30|100.2100|100.5600|99.4500|100.1500|324652|0.0600|0.3500|0.7000|BEARISH
AEE|2025-09-08 14:30|100.1400|100.5450|100.0200|100.3600|204774|0.2200|0.1850|0.1200|BULLISH
AEE|2025-09-08 15:30|100.3600|100.4000|100.0700|100.2700|147121|0.0900|0.0400|0.2000|BEARISH
AEE|2025-09-08 16:30|100.3100|100.3400|100.0200|100.0900|134791|0.2200|0.0300|0.0700|BEARISH
AEE|2025-09-08 17:30|100.1300|100.1650|99.7900|99.8450|114518|0.2850|0.0350|0.0550|BEARISH
AEE|2025-09-08 18:30|99.8450|99.9200|99.6350|99.7750|243799|0.0700|0.0750|0.1400|BEARISH
AEE|2025-09-08 19:30|99.7650|100.1400|99.5600|99.9900|400444|0.2250|0.1500|0.2050|BULLISH
AEE|2025-09-09 13:30|98.9500|99.4600|98.9500|99.1700|132890|0.2200|0.2900|0.0000|BULLISH
AEE|2025-09-09 14:30|99.1700|99.2000|98.7400|99.1150|95204|0.0550|0.0300|0.3750|BEARISH
AEE|2025-09-09 15:30|99.1050|99.3700|99.0000|99.1200|104705|0.0150|0.2500|0.1050|BULLISH
AEE|2025-09-09 16:30|99.1400|99.2400|99.0600|99.2400|83266|0.1000|0.0000|0.0800|BULLISH
AEE|2025-09-09 17:30|99.2550|99.7000|99.2550|99.7000|90179|0.4450|0.0000|0.0000|BULLISH
AEE|2025-09-09 18:30|99.7100|99.7500|99.3000|99.3100|167149|0.4000|0.0400|0.0100|BEARISH
AEE|2025-09-09 19:30|99.3100|99.4300|99.0200|99.1800|479487|0.1300|0.1200|0.1600|BEARISH
AEE|2025-09-10 13:30|99.0000|99.5550|98.7150|99.2200|134091|0.2200|0.3350|0.2850|BULLISH
AEE|2025-09-10 14:30|99.1750|99.2100|98.7900|98.8100|98030|0.3650|0.0350|0.0200|BEARISH
AEE|2025-09-10 15:30|98.8500|99.2700|98.8200|98.9800|97423|0.1300|0.2900|0.0300|BULLISH
AEE|2025-09-10 16:30|98.9600|99.1200|98.9000|99.0500|102355|0.0900|0.0700|0.0600|BULLISH
AEE|2025-09-10 17:30|99.0800|99.2200|98.9500|99.1736|90608|0.0936|0.0464|0.1300|BULLISH
AEE|2025-09-10 18:30|99.1700|99.4600|99.1600|99.3900|124773|0.2200|0.0700|0.0100|BULLISH
AEE|2025-09-10 19:30|99.2600|99.4600|99.1250|99.2800|340369|0.0200|0.1800|0.1350|BULLISH
AEE|2025-09-11 13:30|99.1900|100.1300|99.0500|100.0550|88788|0.8650|0.0750|0.1400|BULLISH
AEE|2025-09-11 14:30|100.0500|100.1850|99.8600|100.0817|99289|0.0317|0.1033|0.1900|BULLISH
AEE|2025-09-11 15:30|100.0800|100.2000|99.8450|100.0900|56139|0.0100|0.1100|0.2350|BULLISH
AEE|2025-09-11 16:30|100.0800|100.1400|99.8600|99.8800|75722|0.2000|0.0600|0.0200|BEARISH
AEE|2025-09-11 17:30|99.9300|100.1700|99.8500|100.0500|70447|0.1200|0.1200|0.0800|BULLISH
AEE|2025-09-11 18:30|100.0300|100.0950|99.8500|99.9650|100227|0.0650|0.0650|0.1150|BEARISH
AEE|2025-09-11 19:30|99.9650|100.4600|99.9450|100.3100|219541|0.3450|0.1500|0.0200|BULLISH
AEE|2025-09-12 13:30|100.2200|100.7800|100.1200|100.6500|58303|0.4300|0.1300|0.1000|BULLISH
AEE|2025-09-12 14:30|100.6450|100.8800|100.5800|100.6200|54614|0.0250|0.2350|0.0400|BEARISH
AEE|2025-09-12 15:30|100.5750|100.7500|100.5387|100.7200|44359|0.1450|0.0300|0.0363|BULLISH
AEE|2025-09-12 16:30|100.7300|100.7750|100.5600|100.7000|44587|0.0300|0.0450|0.1400|BEARISH
AEE|2025-09-12 17:30|100.7000|100.8300|100.6200|100.7300|80999|0.0300|0.1000|0.0800|BULLISH
AEE|2025-09-12 18:30|100.7500|100.9700|100.7400|100.7650|90462|0.0150|0.2050|0.0100|BULLISH
AEE|2025-09-12 19:30|100.7650|101.0400|100.6300|100.7900|259344|0.0250|0.2500|0.1350|BULLISH
AEE|2025-09-15 13:30|100.6700|101.0400|100.4500|100.7350|82916|0.0650|0.3050|0.2200|BULLISH
AEE|2025-09-15 14:30|100.7400|100.9700|100.6250|100.6750|57438|0.0650|0.2300|0.0500|BEARISH
AEE|2025-09-15 15:30|100.6700|100.6850|100.3800|100.3900|64240|0.2800|0.0150|0.0100|BEARISH
AEE|2025-09-15 16:30|100.4100|100.4500|100.2400|100.3800|47111|0.0300|0.0400|0.1400|BEARISH
