Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
AEP|2025-09-02 13:30|110.9900|111.1432|109.9000|110.6700|301053|0.3200|0.1532|0.7700|BEARISH
AEP|2025-09-02 14:30|110.6800|110.9750|110.5700|110.6900|202896|0.0100|0.2850|0.1100|BULLISH
AEP|2025-09-02 15:30|110.6750|110.9100|110.0600|110.2799|242535|0.3951|0.2350|0.2199|BEARISH
AEP|2025-09-02 16:30|110.2700|110.3030|109.8690|109.9600|196298|0.3100|0.0330|0.0910|BEARISH
AEP|2025-09-02 17:30|109.9500|110.1300|109.8500|109.9900|148312|0.0400|0.1400|0.1000|BULLISH
AEP|2025-09-02 18:30|109.9750|110.0200|109.7100|109.7300|229172|0.2450|0.0450|0.0200|BEARISH
AEP|2025-09-02 19:30|109.7400|110.1000|109.6500|110.0800|512325|0.3400|0.0200|0.0900|BULLISH
AEP|2025-09-03 13:30|110.2450|110.3300|108.8500|109.5000|425244|0.7450|0.0850|0.6500|BEARISH
AEP|2025-09-03 14:30|109.5000|110.0900|109.3500|110.0372|162428|0.5372|0.0528|0.1500|BULLISH
AEP|2025-09-03 15:30|110.0600|110.0850|109.5250|109.5400|178386|0.5200|0.0250|0.0150|BEARISH
AEP|2025-09-03 16:30|109.5400|109.8200|109.4200|109.7850|176280|0.2450|0.0350|0.1200|BULLISH
AEP|2025-09-03 17:30|109.7900|109.8800|109.5600|109.7200|219948|0.0700|0.0900|0.1600|BEARISH
AEP|2025-09-03 18:30|109.7000|109.8900|109.4700|109.8500|162790|0.1500|0.0400|0.2300|BULLISH
AEP|2025-09-03 19:30|109.8800|110.1700|109.8400|110.0400|373748|0.1600|0.1300|0.0400|BULLISH
AEP|2025-09-04 13:30|110.5400|110.7100|106.9400|108.4300|1355765|2.1100|0.1700|1.4900|BEARISH
AEP|2025-09-04 14:30|108.4400|109.1300|108.3700|108.7750|632792|0.3350|0.3550|0.0700|BULLISH
AEP|2025-09-04 15:30|108.7800|108.8750|108.2600|108.4900|321008|0.2900|0.0950|0.2300|BEARISH
AEP|2025-09-04 16:30|108.4850|108.5015|108.0300|108.3400|229001|0.1450|0.0165|0.3100|BEARISH
AEP|2025-09-04 17:30|108.3101|108.3708|107.7600|107.8696|442548|0.4405|0.0607|0.1096|BEARISH
AEP|2025-09-04 18:30|107.8700|108.3400|107.8600|108.2150|414534|0.3450|0.1250|0.0100|BULLISH
AEP|2025-09-04 19:30|108.2100|108.8200|108.1500|108.6000|660491|0.3900|0.2200|0.0600|BULLISH
AEP|2025-09-05 13:30|109.0000|109.1629|107.8000|108.2300|1246976|0.7700|0.1629|0.4300|BEARISH
AEP|2025-09-05 14:30|108.1900|108.2400|107.7000|108.1000|284949|0.0900|0.0500|0.4000|BEARISH
AEP|2025-09-05 15:30|108.1099|108.1500|107.5350|107.6000|166166|0.5099|0.0401|0.0650|BEARISH
AEP|2025-09-05 16:30|107.5900|107.8000|107.3500|107.6300|305682|0.0400|0.1700|0.2400|BULLISH
AEP|2025-09-05 17:30|107.6300|107.8600|107.4950|107.5500|215260|0.0800|0.2300|0.0550|BEARISH
AEP|2025-09-05 18:30|107.5450|107.8700|107.5450|107.7500|235778|0.2050|0.1200|0.0000|BULLISH
AEP|2025-09-05 19:30|107.7268|108.1400|107.6600|108.1000|516973|0.3732|0.0400|0.0668|BULLISH
AEP|2025-09-08 13:30|108.0000|108.2850|107.4100|107.6708|272535|0.3292|0.2850|0.2608|BEARISH
AEP|2025-09-08 14:30|107.7000|108.0345|107.5450|107.9100|175366|0.2100|0.1245|0.1550|BULLISH
AEP|2025-09-08 15:30|107.9100|107.9500|107.5900|107.7200|126950|0.1900|0.0400|0.1300|BEARISH
AEP|2025-09-08 16:30|107.7200|107.8300|107.5200|107.5900|115718|0.1300|0.1100|0.0700|BEARISH
AEP|2025-09-08 17:30|107.5864|107.7250|107.3300|107.3700|165423|0.2164|0.1386|0.0400|BEARISH
AEP|2025-09-08 18:30|107.3700|107.3750|106.8720|107.1800|199976|0.1900|0.0050|0.3080|BEARISH
AEP|2025-09-08 19:30|107.1716|107.6800|107.0100|107.5400|475325|0.3684|0.1400|0.1616|BULLISH
AEP|2025-09-09 13:30|107.2700|107.9400|107.1300|107.9400|305493|0.6700|0.0000|0.1400|BULLISH
AEP|2025-09-09 14:30|107.9500|108.1450|107.5950|108.0400|278421|0.0900|0.1050|0.3550|BULLISH
AEP|2025-09-09 15:30|108.0300|108.2950|107.9050|108.0500|228847|0.0200|0.2450|0.1250|BULLISH
AEP|2025-09-09 16:30|108.0400|108.2400|107.9500|108.2200|191552|0.1800|0.0200|0.0900|BULLISH
AEP|2025-09-09 17:30|108.2501|108.5800|108.2501|108.3900|160505|0.1399|0.1900|0.0000|BULLISH
AEP|2025-09-09 18:30|108.4000|108.5150|108.2650|108.2900|240746|0.1100|0.1150|0.0250|BEARISH
AEP|2025-09-09 19:30|108.2700|108.5300|108.0200|108.3600|468441|0.0900|0.1700|0.2500|BULLISH
AEP|2025-09-10 13:30|108.4300|108.8199|107.9600|108.2300|309617|0.2000|0.3899|0.2700|BEARISH
AEP|2025-09-10 14:30|108.2100|108.3800|107.8550|108.0600|345214|0.1500|0.1700|0.2050|BEARISH
AEP|2025-09-10 15:30|108.0600|108.5450|107.6750|107.7500|248030|0.3100|0.4850|0.0750|BEARISH
AEP|2025-09-10 16:30|107.7600|107.9700|107.5900|107.8250|229573|0.0650|0.1450|0.1700|BULLISH
AEP|2025-09-10 17:30|107.7900|108.1750|107.7900|108.1308|214426|0.3408|0.0442|0.0000|BULLISH
AEP|2025-09-10 18:30|108.1200|108.3500|108.0850|108.2000|288173|0.0800|0.1500|0.0350|BULLISH
AEP|2025-09-10 19:30|108.1800|108.4100|108.1100|108.3400|384671|0.1600|0.0700|0.0700|BULLISH
AEP|2025-09-11 13:30|108.3400|108.8200|108.1600|108.7200|279339|0.3800|0.1000|0.1800|BULLISH
AEP|2025-09-11 14:30|108.7200|108.9200|108.5490|108.7400|84445|0.0200|0.1800|0.1710|BULLISH
AEP|2025-09-11 15:30|108.7500|108.9000|108.6600|108.7900|258448|0.0400|0.1100|0.0900|BULLISH
AEP|2025-09-11 16:30|108.7800|108.7850|108.2000|108.2550|175015|0.5250|0.0050|0.0550|BEARISH
AEP|2025-09-11 17:30|108.2600|108.8050|108.2100|108.6800|241667|0.4200|0.1250|0.0500|BULLISH
AEP|2025-09-11 18:30|108.6800|108.6900|108.4050|108.4100|277831|0.2700|0.0100|0.0050|BEARISH
AEP|2025-09-11 19:30|108.4000|108.8900|108.3500|108.6900|589666|0.2900|0.2000|0.0500|BULLISH
AEP|2025-09-12 13:30|108.6600|109.4900|108.5147|109.1550|244937|0.4950|0.3350|0.1453|BULLISH
AEP|2025-09-12 14:30|109.1700|109.3050|108.9475|109.1000|151792|0.0700|0.1350|0.1525|BEARISH
