Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
AES|2025-09-02 13:30|13.3500|13.4150|13.1900|13.3075|918669|0.0425|0.0650|0.1175|BEARISH
AES|2025-09-02 14:30|13.3050|13.3200|13.1622|13.2699|832178|0.0351|0.0150|0.1077|BEARISH
AES|2025-09-02 15:30|13.2650|13.2800|13.2240|13.2350|474477|0.0300|0.0150|0.0110|BEARISH
AES|2025-09-02 16:30|13.2400|13.2950|13.1800|13.2835|576713|0.0435|0.0115|0.0600|BULLISH
AES|2025-09-02 17:30|13.2846|13.3400|13.2650|13.2850|479698|0.0004|0.0550|0.0196|BULLISH
AES|2025-09-02 18:30|13.2879|13.3100|13.2400|13.3097|617262|0.0218|0.0003|0.0479|BULLISH
AES|2025-09-02 19:30|13.3100|13.4200|13.3100|13.4150|1296331|0.1050|0.0050|0.0000|BULLISH
AES|2025-09-03 13:30|13.3500|13.4400|13.1950|13.2450|685281|0.1050|0.0900|0.0500|BEARISH
AES|2025-09-03 14:30|13.2500|13.3500|13.2450|13.2800|496690|0.0300|0.0700|0.0050|BULLISH
AES|2025-09-03 15:30|13.2750|13.2900|13.2100|13.2250|508073|0.0500|0.0150|0.0150|BEARISH
AES|2025-09-03 16:30|13.2217|13.2600|13.2100|13.2450|502694|0.0233|0.0150|0.0117|BULLISH
AES|2025-09-03 17:30|13.2450|13.3100|13.1900|13.2900|573581|0.0450|0.0200|0.0550|BULLISH
AES|2025-09-03 18:30|13.2850|13.2950|13.2150|13.2300|779870|0.0550|0.0100|0.0150|BEARISH
AES|2025-09-03 19:30|13.2350|13.2800|13.2200|13.2300|1678018|0.0050|0.0450|0.0100|BEARISH
AES|2025-09-04 13:30|13.3200|13.3200|12.6250|12.6950|2684195|0.6250|0.0000|0.0700|BEARISH
AES|2025-09-04 14:30|12.6950|12.7688|12.6300|12.7100|1817999|0.0150|0.0588|0.0650|BULLISH
AES|2025-09-04 15:30|12.7050|12.7100|12.5150|12.5800|1553825|0.1250|0.0050|0.0650|BEARISH
AES|2025-09-04 16:30|12.5715|12.5800|12.3350|12.4488|2503370|0.1227|0.0085|0.1138|BEARISH
AES|2025-09-04 17:30|12.4500|12.7200|12.3600|12.7150|2109281|0.2650|0.0050|0.0900|BULLISH
AES|2025-09-04 18:30|12.7150|12.7750|12.6800|12.7413|1037094|0.0263|0.0337|0.0350|BULLISH
AES|2025-09-04 19:30|12.7500|12.8454|12.7300|12.8000|1815444|0.0500|0.0454|0.0200|BULLISH
AES|2025-09-05 13:30|12.8800|13.1000|12.7315|12.7315|1506829|0.1485|0.2200|0.0000|BEARISH
AES|2025-09-05 14:30|12.7400|12.8100|12.6650|12.8053|868497|0.0653|0.0047|0.0750|BULLISH
AES|2025-09-05 15:30|12.8091|12.8250|12.7300|12.7700|1561635|0.0391|0.0159|0.0400|BEARISH
AES|2025-09-05 16:30|12.7742|13.0050|12.7200|12.9700|1954876|0.1958|0.0350|0.0542|BULLISH
AES|2025-09-05 17:30|12.9700|13.0550|12.8200|12.8210|2220155|0.1490|0.0850|0.0010|BEARISH
