Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
AFL|2025-09-02 13:30|106.6300|106.8000|105.2100|105.6200|402438|1.0100|0.1700|0.4100|BEARISH
AFL|2025-09-02 14:30|105.6200|106.0850|105.3200|105.4900|425886|0.1300|0.4650|0.1700|BEARISH
AFL|2025-09-02 15:30|105.4800|105.5700|105.1000|105.1250|248760|0.3550|0.0900|0.0250|BEARISH
AFL|2025-09-02 16:30|105.1200|105.2900|104.9700|105.1000|192221|0.0200|0.1700|0.1300|BEARISH
AFL|2025-09-02 17:30|105.1100|105.5690|105.1100|105.5500|222710|0.4400|0.0190|0.0000|BULLISH
AFL|2025-09-02 18:30|105.5500|105.6600|105.2100|105.5300|295468|0.0200|0.1100|0.3200|BEARISH
AFL|2025-09-02 19:30|105.5300|105.6800|105.4450|105.6000|483851|0.0700|0.0800|0.0850|BULLISH
AFL|2025-09-03 13:30|105.0900|105.6300|104.7500|105.4200|218312|0.3300|0.2100|0.3400|BULLISH
AFL|2025-09-03 14:30|105.4600|105.9650|105.4000|105.8450|245808|0.3850|0.1200|0.0600|BULLISH
AFL|2025-09-03 15:30|105.8600|105.9100|105.5700|105.5800|213142|0.2800|0.0500|0.0100|BEARISH
AFL|2025-09-03 16:30|105.5800|105.9700|105.5700|105.9400|170192|0.3600|0.0300|0.0100|BULLISH
AFL|2025-09-03 17:30|105.9600|106.3403|105.8700|106.3000|206256|0.3400|0.0403|0.0900|BULLISH
AFL|2025-09-03 18:30|106.3000|106.5200|106.2800|106.4300|253621|0.1300|0.0900|0.0200|BULLISH
AFL|2025-09-03 19:30|106.4358|106.8200|106.4358|106.7300|440235|0.2942|0.0900|0.0000|BULLISH
AFL|2025-09-04 13:30|107.1500|108.0000|106.7000|107.4550|227872|0.3050|0.5450|0.4500|BULLISH
AFL|2025-09-04 14:30|107.4500|107.6100|107.2000|107.4300|183935|0.0200|0.1600|0.2300|BEARISH
AFL|2025-09-04 15:30|107.4300|107.7300|107.4150|107.7050|172266|0.2750|0.0250|0.0150|BULLISH
AFL|2025-09-04 16:30|107.7150|108.4200|107.6550|108.3300|235198|0.6150|0.0900|0.0600|BULLISH
AFL|2025-09-04 17:30|108.3200|108.5300|108.2200|108.5300|215062|0.2100|0.0000|0.1000|BULLISH
AFL|2025-09-04 18:30|108.5350|108.6200|108.3800|108.5200|258733|0.0150|0.0850|0.1400|BEARISH
AFL|2025-09-04 19:30|108.5200|108.7650|108.4100|108.5500|506258|0.0300|0.2150|0.1100|BULLISH
AFL|2025-09-05 13:30|108.5100|108.9150|107.6700|107.6900|237866|0.8200|0.4050|0.0200|BEARISH
AFL|2025-09-05 14:30|107.7000|107.7050|106.8500|107.2900|302139|0.4100|0.0050|0.4400|BEARISH
AFL|2025-09-05 15:30|107.2800|107.3050|106.7750|106.7900|149827|0.4900|0.0250|0.0150|BEARISH
AFL|2025-09-05 16:30|106.7850|106.9250|106.5100|106.5100|217897|0.2750|0.1400|0.0000|BEARISH
AFL|2025-09-05 17:30|106.5100|106.6800|106.3000|106.5950|246371|0.0850|0.0850|0.2100|BULLISH
AFL|2025-09-05 18:30|106.5950|106.9200|106.5750|106.8200|358272|0.2250|0.1000|0.0200|BULLISH
AFL|2025-09-05 19:30|106.8200|107.0200|106.6500|106.9200|532103|0.1000|0.1000|0.1700|BULLISH
AFL|2025-09-08 13:30|106.3100|106.5500|104.6569|105.5700|402395|0.7400|0.2400|0.9131|BEARISH
AFL|2025-09-08 14:30|105.5800|106.0700|105.5800|106.0400|314920|0.4600|0.0300|0.0000|BULLISH
AFL|2025-09-08 15:30|106.0400|106.1800|105.8700|106.1800|222884|0.1400|0.0000|0.1700|BULLISH
AFL|2025-09-08 16:30|106.1900|106.3050|106.0650|106.1900|213735|0.0000|0.1150|0.1250|BULLISH
AFL|2025-09-08 17:30|106.1900|106.2100|105.8400|106.0100|176073|0.1800|0.0200|0.1700|BEARISH
AFL|2025-09-08 18:30|106.0200|106.1300|105.7150|105.8950|301901|0.1250|0.1100|0.1800|BEARISH
