Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
ALB|2025-09-02 13:30|81.9900|82.1900|79.3000|80.0400|1045261|1.9500|0.2000|0.7400|BEARISH
ALB|2025-09-02 14:30|80.0000|80.0200|79.1402|79.3900|512366|0.6100|0.0200|0.2498|BEARISH
ALB|2025-09-02 15:30|79.3900|79.7599|79.2700|79.3600|386370|0.0300|0.3699|0.0900|BEARISH
ALB|2025-09-02 16:30|79.3700|79.9800|79.3300|79.9250|344027|0.5550|0.0550|0.0400|BULLISH
ALB|2025-09-02 17:30|79.9400|80.0600|79.4500|79.5800|290108|0.3600|0.1200|0.1300|BEARISH
ALB|2025-09-02 18:30|79.5700|79.8200|79.3900|79.7150|342359|0.1450|0.1050|0.1800|BULLISH
ALB|2025-09-02 19:30|79.7300|79.8308|79.4900|79.5400|685805|0.1900|0.1008|0.0500|BEARISH
ALB|2025-09-03 13:30|79.1700|80.8500|78.6100|80.1200|424372|0.9500|0.7300|0.5600|BULLISH
ALB|2025-09-03 14:30|80.1200|80.3090|79.3500|79.5400|188520|0.5800|0.1890|0.1900|BEARISH
ALB|2025-09-03 15:30|79.5700|79.7676|79.3500|79.6800|126775|0.1100|0.0876|0.2200|BULLISH
ALB|2025-09-03 16:30|79.7100|80.5900|79.5801|80.2650|142591|0.5550|0.3250|0.1299|BULLISH
ALB|2025-09-03 17:30|80.2900|80.3000|79.5750|80.0100|133116|0.2800|0.0100|0.4350|BEARISH
ALB|2025-09-03 18:30|80.0050|80.0399|79.4400|79.7200|162211|0.2850|0.0349|0.2800|BEARISH
ALB|2025-09-03 19:30|79.7300|80.1200|79.7050|80.1100|368755|0.3800|0.0100|0.0250|BULLISH
ALB|2025-09-04 13:30|79.5300|79.7450|78.1500|78.8000|468760|0.7300|0.2150|0.6500|BEARISH
ALB|2025-09-04 14:30|78.7600|79.3988|78.7500|79.2800|172584|0.5200|0.1188|0.0100|BULLISH
ALB|2025-09-04 15:30|79.2300|79.6200|79.0900|79.5050|140349|0.2750|0.1150|0.1400|BULLISH
ALB|2025-09-04 16:30|79.5300|79.6400|79.3200|79.4393|97641|0.0907|0.1100|0.1193|BEARISH
ALB|2025-09-04 17:30|79.4100|79.5000|79.0800|79.3400|114012|0.0700|0.0900|0.2600|BEARISH
ALB|2025-09-04 18:30|79.3300|79.3700|78.8200|79.1900|2269098|0.1400|0.0400|0.3700|BEARISH
ALB|2025-09-04 19:30|79.2000|79.3000|79.0500|79.3000|370782|0.1000|0.0000|0.1500|BULLISH
ALB|2025-09-05 13:30|82.2100|84.8900|82.1150|82.2200|1225717|0.0100|2.6700|0.0950|BULLISH
ALB|2025-09-05 14:30|82.2100|82.2296|81.1100|81.9000|522580|0.3100|0.0196|0.7900|BEARISH
ALB|2025-09-05 15:30|81.9100|82.0873|81.4100|81.7000|211696|0.2100|0.1773|0.2900|BEARISH
ALB|2025-09-05 16:30|81.7300|81.7800|81.2250|81.2800|125065|0.4500|0.0500|0.0550|BEARISH
ALB|2025-09-05 17:30|81.2700|81.4200|80.8600|81.1895|273515|0.0805|0.1500|0.3295|BEARISH
ALB|2025-09-05 18:30|81.2200|81.7700|81.1300|81.3950|459463|0.1750|0.3750|0.0900|BULLISH
