Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
ALGN|2025-09-02 13:30|138.8600|139.3200|135.8900|136.7400|240286|2.1200|0.4600|0.8500|BEARISH
ALGN|2025-09-02 14:30|136.8450|136.8700|134.8000|135.2300|166042|1.6150|0.0250|0.4300|BEARISH
ALGN|2025-09-02 15:30|135.3000|136.0999|134.9700|135.7500|98389|0.4500|0.3499|0.3300|BULLISH
ALGN|2025-09-02 16:30|135.8400|136.7700|135.6300|136.7100|90732|0.8700|0.0600|0.2100|BULLISH
ALGN|2025-09-02 17:30|136.5900|137.2700|136.5300|136.5300|86780|0.0600|0.6800|0.0000|BEARISH
ALGN|2025-09-02 18:30|136.5550|137.3328|136.4300|137.2200|97537|0.6650|0.1128|0.1250|BULLISH
ALGN|2025-09-02 19:30|137.1900|137.2600|136.6400|137.1600|254899|0.0300|0.0700|0.5200|BEARISH
ALGN|2025-09-03 13:30|136.8100|137.3800|133.7150|134.2450|217219|2.5650|0.5700|0.5300|BEARISH
ALGN|2025-09-03 14:30|134.4800|135.4050|132.8850|133.2750|213708|1.2050|0.9250|0.3900|BEARISH
ALGN|2025-09-03 15:30|133.2150|133.3125|132.1600|132.6200|183376|0.5950|0.0975|0.4600|BEARISH
ALGN|2025-09-03 16:30|132.6100|133.1000|132.5200|132.8000|159064|0.1900|0.3000|0.0900|BULLISH
ALGN|2025-09-03 17:30|132.7400|132.7400|131.6800|132.5200|147112|0.2200|0.0000|0.8400|BEARISH
ALGN|2025-09-03 18:30|132.5000|132.8800|131.2600|131.3200|202519|1.1800|0.3800|0.0600|BEARISH
ALGN|2025-09-03 19:30|131.2600|132.4200|131.2300|132.3800|409550|1.1200|0.0400|0.0300|BULLISH
ALGN|2025-09-04 13:30|132.9100|132.9950|131.0000|132.5000|135204|0.4100|0.0850|1.5000|BEARISH
ALGN|2025-09-04 14:30|132.2400|133.7600|132.0700|133.5600|150914|1.3200|0.2000|0.1700|BULLISH
ALGN|2025-09-04 15:30|133.5400|134.2850|133.5400|133.8400|79213|0.3000|0.4450|0.0000|BULLISH
