Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
ALLE|2025-09-02 13:30|167.2500|168.3100|166.9100|168.3100|102674|1.0600|0.0000|0.3400|BULLISH
ALLE|2025-09-02 14:30|168.4400|168.4400|167.7801|167.8500|43346|0.5900|0.0000|0.0699|BEARISH
ALLE|2025-09-02 15:30|167.7800|167.9900|167.3900|167.3900|47288|0.3900|0.2100|0.0000|BEARISH
ALLE|2025-09-02 16:30|167.4500|167.9300|167.3100|167.9000|42034|0.4500|0.0300|0.1400|BULLISH
ALLE|2025-09-02 17:30|167.9650|168.2700|167.9650|168.0450|40224|0.0800|0.2250|0.0000|BULLISH
ALLE|2025-09-02 18:30|168.0450|168.3100|168.0450|168.1200|54609|0.0750|0.1900|0.0000|BULLISH
ALLE|2025-09-02 19:30|168.1250|168.4650|167.8300|167.8300|204062|0.2950|0.3400|0.0000|BEARISH
ALLE|2025-09-03 13:30|167.9900|168.4698|167.6350|167.8400|53590|0.1500|0.4798|0.2050|BEARISH
ALLE|2025-09-03 14:30|167.8000|168.0300|167.4800|167.5200|44629|0.2800|0.2300|0.0400|BEARISH
ALLE|2025-09-03 15:30|167.5800|167.6300|166.8600|167.3750|40404|0.2050|0.0500|0.5150|BEARISH
ALLE|2025-09-03 16:30|167.3200|167.6100|167.3200|167.5100|41889|0.1900|0.1000|0.0000|BULLISH
ALLE|2025-09-03 17:30|167.4900|167.5840|166.8400|167.5000|67011|0.0100|0.0840|0.6500|BULLISH
ALLE|2025-09-03 18:30|167.4700|167.6300|167.0400|167.1150|68711|0.3550|0.1600|0.0750|BEARISH
ALLE|2025-09-03 19:30|167.1150|167.9300|167.1150|167.7000|174657|0.5850|0.2300|0.0000|BULLISH
ALLE|2025-09-04 13:30|168.1800|168.8700|167.8200|168.7850|54575|0.6050|0.0850|0.3600|BULLISH
ALLE|2025-09-04 14:30|168.8600|169.5300|168.7900|169.4600|41529|0.6000|0.0700|0.0700|BULLISH
ALLE|2025-09-04 15:30|169.4600|169.5900|169.2400|169.5350|39540|0.0750|0.0550|0.2200|BULLISH
ALLE|2025-09-04 16:30|169.4700|169.8100|169.0900|169.7800|34690|0.3100|0.0300|0.3800|BULLISH
ALLE|2025-09-04 17:30|169.7832|170.4200|169.6300|170.2250|45135|0.4418|0.1950|0.1532|BULLISH
ALLE|2025-09-04 18:30|170.2400|170.3600|169.7800|169.8900|80349|0.3500|0.1200|0.1100|BEARISH
