Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
ALL|2025-09-02 13:30|204.3200|205.1350|202.9300|203.8200|186619|0.5000|0.8150|0.8900|BEARISH
ALL|2025-09-02 14:30|203.8100|204.6200|203.8000|204.1000|129943|0.2900|0.5200|0.0100|BULLISH
ALL|2025-09-02 15:30|204.0800|204.1400|202.7755|202.8300|107791|1.2500|0.0600|0.0545|BEARISH
ALL|2025-09-02 16:30|202.8600|202.8900|202.0400|202.2050|75231|0.6550|0.0300|0.1650|BEARISH
ALL|2025-09-02 17:30|202.2075|202.5505|202.1400|202.4700|72076|0.2625|0.0805|0.0675|BULLISH
ALL|2025-09-02 18:30|202.4700|202.8500|202.0700|202.6700|89728|0.2000|0.1800|0.4000|BULLISH
ALL|2025-09-02 19:30|202.6700|203.3000|202.6257|203.2700|162190|0.6000|0.0300|0.0443|BULLISH
ALL|2025-09-03 13:30|202.1800|203.3000|202.1800|202.3800|140447|0.2000|0.9200|0.0000|BULLISH
ALL|2025-09-03 14:30|202.2750|202.6900|201.9900|202.5250|107090|0.2500|0.1650|0.2850|BULLISH
ALL|2025-09-03 15:30|202.6400|202.7900|201.9910|202.0700|57675|0.5700|0.1500|0.0790|BEARISH
ALL|2025-09-03 16:30|202.0900|202.7600|202.0900|202.7600|48480|0.6700|0.0000|0.0000|BULLISH
ALL|2025-09-03 17:30|202.7500|203.4100|202.5400|203.2900|83693|0.5400|0.1200|0.2100|BULLISH
ALL|2025-09-03 18:30|203.2700|203.6050|203.0200|203.6050|107102|0.3350|0.0000|0.2500|BULLISH
ALL|2025-09-03 19:30|203.5700|204.6100|203.5700|204.5500|262165|0.9800|0.0600|0.0000|BULLISH
ALL|2025-09-04 13:30|206.2000|207.9600|205.6300|207.1250|194760|0.9250|0.8350|0.5700|BULLISH
ALL|2025-09-04 14:30|207.0800|207.5000|206.7500|207.3150|118608|0.2350|0.1850|0.3300|BULLISH
ALL|2025-09-04 15:30|207.2700|207.8700|207.2500|207.7300|90732|0.4600|0.1400|0.0200|BULLISH
ALL|2025-09-04 16:30|207.7800|208.3000|207.5400|208.0950|80549|0.3150|0.2050|0.2400|BULLISH
ALL|2025-09-04 17:30|208.0700|208.0700|207.6000|207.7500|98132|0.3200|0.0000|0.1500|BEARISH
ALL|2025-09-04 18:30|207.8200|208.1700|207.5100|208.1000|112683|0.2800|0.0700|0.3100|BULLISH
ALL|2025-09-04 19:30|208.1000|208.4600|208.0600|208.2600|227946|0.1600|0.2000|0.0400|BULLISH
ALL|2025-09-05 13:30|212.3000|212.3000|204.6150|204.6300|199562|7.6700|0.0000|0.0150|BEARISH
ALL|2025-09-05 14:30|204.9600|205.1200|202.1500|202.7800|227448|2.1800|0.1600|0.6300|BEARISH
ALL|2025-09-05 15:30|202.1950|202.9150|202.1190|202.7113|255044|0.5163|0.2037|0.0760|BULLISH
ALL|2025-09-05 16:30|202.5700|202.8300|202.1500|202.1500|139538|0.4200|0.2600|0.0000|BEARISH
