Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
AME|2025-09-02 13:30|183.9500|184.3850|182.5000|184.0600|143280|0.1100|0.3250|1.4500|BULLISH
AME|2025-09-02 14:30|184.0500|184.2150|183.4300|183.4983|82430|0.5517|0.1650|0.0683|BEARISH
AME|2025-09-02 15:30|183.5150|183.6000|183.1900|183.3500|54464|0.1650|0.0850|0.1600|BEARISH
AME|2025-09-02 16:30|183.3650|183.8800|183.2550|183.8800|84191|0.5150|0.0000|0.1100|BULLISH
AME|2025-09-02 17:30|183.8600|184.1750|183.8305|184.0200|72168|0.1600|0.1550|0.0295|BULLISH
AME|2025-09-02 18:30|184.0022|184.4200|184.0022|184.2800|107603|0.2778|0.1400|0.0000|BULLISH
AME|2025-09-02 19:30|184.2500|184.8200|184.1200|184.8100|181474|0.5600|0.0100|0.1300|BULLISH
AME|2025-09-03 13:30|183.9600|184.7399|182.6000|183.2200|87565|0.7400|0.7799|0.6200|BEARISH
AME|2025-09-03 14:30|183.2200|183.8000|183.1100|183.1450|61223|0.0750|0.5800|0.0350|BEARISH
AME|2025-09-03 15:30|183.1500|183.3950|182.7700|182.9400|41126|0.2100|0.2450|0.1700|BEARISH
AME|2025-09-03 16:30|182.9100|182.9700|182.6400|182.8800|29240|0.0300|0.0600|0.2400|BEARISH
AME|2025-09-03 17:30|182.9000|183.2600|182.2600|183.2100|63714|0.3100|0.0500|0.6400|BULLISH
AME|2025-09-03 18:30|183.1300|183.3500|182.9100|182.9100|82469|0.2200|0.2200|0.0000|BEARISH
AME|2025-09-03 19:30|182.9400|184.3300|182.9400|184.2200|224924|1.2800|0.1100|0.0000|BULLISH
AME|2025-09-04 13:30|184.3300|185.0800|183.6100|185.0800|103507|0.7500|0.0000|0.7200|BULLISH
AME|2025-09-04 14:30|185.0800|186.3400|185.0800|186.2450|84069|1.1650|0.0950|0.0000|BULLISH
AME|2025-09-04 15:30|186.2600|186.8900|186.1700|186.6200|109514|0.3600|0.2700|0.0900|BULLISH
AME|2025-09-04 16:30|186.6800|187.1550|186.4900|187.1400|103842|0.4600|0.0150|0.1900|BULLISH
AME|2025-09-04 17:30|187.1050|187.3600|186.9000|187.0300|73301|0.0750|0.2550|0.1300|BEARISH
AME|2025-09-04 18:30|187.0100|187.1700|186.6900|186.8800|79150|0.1300|0.1600|0.1900|BEARISH
AME|2025-09-04 19:30|186.8240|187.8800|186.7300|187.8300|205191|1.0060|0.0500|0.0940|BULLISH
AME|2025-09-05 13:30|188.9700|189.3000|187.1950|187.2100|92525|1.7600|0.3300|0.0150|BEARISH
AME|2025-09-05 14:30|187.2400|187.2400|185.7300|186.3300|92145|0.9100|0.0000|0.6000|BEARISH
AME|2025-09-05 15:30|186.3300|186.7600|186.0800|186.2600|81987|0.0700|0.4300|0.1800|BEARISH
AME|2025-09-05 16:30|186.2400|186.5700|185.9400|186.4200|60310|0.1800|0.1500|0.3000|BULLISH
AME|2025-09-05 17:30|186.4200|186.8300|186.0450|186.7090|77710|0.2890|0.1210|0.3750|BULLISH
AME|2025-09-05 18:30|186.7100|187.7050|186.7100|187.5050|107639|0.7950|0.2000|0.0000|BULLISH
AME|2025-09-05 19:30|187.5500|187.6550|186.9700|187.4600|194809|0.0900|0.1050|0.4900|BEARISH
AME|2025-09-08 13:30|187.6300|187.9250|186.0000|187.6550|354463|0.0250|0.2700|1.6300|BULLISH
AME|2025-09-08 14:30|187.7050|188.3400|187.5750|188.3400|140688|0.6350|0.0000|0.1300|BULLISH
AME|2025-09-08 15:30|188.3700|188.6300|188.1500|188.4900|96187|0.1200|0.1400|0.2200|BULLISH
AME|2025-09-08 16:30|188.5800|188.7600|188.2700|188.3150|106924|0.2650|0.1800|0.0450|BEARISH
AME|2025-09-08 17:30|188.3350|188.6800|187.5900|188.6200|96863|0.2850|0.0600|0.7450|BULLISH
AME|2025-09-08 18:30|188.6500|188.7199|188.0200|188.0500|131594|0.6000|0.0699|0.0300|BEARISH
AME|2025-09-08 19:30|188.0400|188.7500|187.8850|188.6700|187367|0.6300|0.0800|0.1550|BULLISH
AME|2025-09-09 13:30|188.3900|188.6700|186.5100|186.5400|99034|1.8500|0.2800|0.0300|BEARISH
AME|2025-09-09 14:30|186.6300|186.6400|185.8100|186.1701|84692|0.4599|0.0100|0.3601|BEARISH
AME|2025-09-09 15:30|186.2200|186.4150|186.0400|186.3400|70188|0.1200|0.0750|0.1800|BULLISH
AME|2025-09-09 16:30|186.4200|186.6800|186.2900|186.6700|62336|0.2500|0.0100|0.1300|BULLISH
AME|2025-09-09 17:30|186.6300|187.1900|186.6300|187.1300|69113|0.5000|0.0600|0.0000|BULLISH
AME|2025-09-09 18:30|187.1800|187.1900|186.7300|186.8300|93031|0.3500|0.0100|0.1000|BEARISH
AME|2025-09-09 19:30|186.8350|187.7400|186.7000|187.4800|189190|0.6450|0.2600|0.1350|BULLISH
AME|2025-09-10 13:30|186.5900|189.1599|186.1900|187.7800|115779|1.1900|1.3799|0.4000|BULLISH
AME|2025-09-10 14:30|188.0000|188.0000|186.8500|187.1000|68437|0.9000|0.0000|0.2500|BEARISH
AME|2025-09-10 15:30|187.0800|188.1200|186.8700|187.9100|53087|0.8300|0.2100|0.2100|BULLISH
AME|2025-09-10 16:30|187.8850|187.8950|187.1600|187.1600|57412|0.7250|0.0100|0.0000|BEARISH
AME|2025-09-10 17:30|187.1100|187.3200|186.4500|187.2331|77480|0.1231|0.0869|0.6600|BULLISH
AME|2025-09-10 18:30|187.2300|187.7000|186.5476|186.6700|88633|0.5600|0.4700|0.1224|BEARISH
AME|2025-09-10 19:30|186.6200|187.5700|186.4000|187.4200|209949|0.8000|0.1500|0.2200|BULLISH
AME|2025-09-11 13:30|187.8200|190.4000|187.5950|190.2600|111532|2.4400|0.1400|0.2250|BULLISH
AME|2025-09-11 14:30|190.1700|190.5300|189.8000|190.2784|87806|0.1084|0.2516|0.3700|BULLISH
AME|2025-09-11 15:30|190.3100|190.4200|189.8750|190.2850|72067|0.0250|0.1100|0.4100|BEARISH
AME|2025-09-11 16:30|190.3200|190.5200|190.1400|190.2950|60914|0.0250|0.2000|0.1550|BEARISH
AME|2025-09-11 17:30|190.3600|191.3600|190.3350|191.0300|107589|0.6700|0.3300|0.0250|BULLISH
AME|2025-09-11 18:30|191.0050|191.7400|190.8500|191.7400|144923|0.7350|0.0000|0.1550|BULLISH
AME|2025-09-11 19:30|191.7600|192.3300|191.7500|192.0100|272084|0.2500|0.3200|0.0100|BULLISH
AME|2025-09-12 13:30|191.0100|191.8950|190.5700|190.6900|75790|0.3200|0.8850|0.1200|BEARISH
AME|2025-09-12 14:30|190.6300|190.6900|190.1350|190.1350|49658|0.4950|0.0600|0.0000|BEARISH
AME|2025-09-12 15:30|190.1500|190.2100|189.9050|190.0900|63797|0.0600|0.0600|0.1850|BEARISH
AME|2025-09-12 16:30|190.1100|190.9750|190.1100|190.8900|75569|0.7800|0.0850|0.0000|BULLISH
AME|2025-09-12 17:30|190.9400|190.9600|190.6600|190.8800|57728|0.0600|0.0200|0.2200|BEARISH
AME|2025-09-12 18:30|190.8600|191.0400|190.3300|190.3300|70973|0.5300|0.1800|0.0000|BEARISH
AME|2025-09-12 19:30|190.3700|190.4450|189.7600|189.9800|213925|0.3900|0.0750|0.2200|BEARISH
AME|2025-09-15 13:30|189.9200|190.5750|187.6400|189.7900|157244|0.1300|0.6550|2.1500|BEARISH
AME|2025-09-15 14:30|189.5800|190.3900|189.4550|189.7300|97728|0.1500|0.6600|0.1250|BULLISH
AME|2025-09-15 15:30|189.7400|190.2900|189.2900|190.2551|72916|0.5151|0.0349|0.4500|BULLISH
AME|2025-09-15 16:30|190.3200|190.3200|189.7311|189.9300|67405|0.3900|0.0000|0.1989|BEARISH
AME|2025-09-15 17:30|189.9800|190.5500|189.7500|190.1700|74897|0.1900|0.3800|0.2300|BULLISH
AME|2025-09-15 18:30|190.0700|190.2600|189.7825|189.7900|112693|0.2800|0.1900|0.0075|BEARISH
AME|2025-09-15 19:30|189.8000|189.9800|189.1200|189.6400|200342|0.1600|0.1800|0.5200|BEARISH
AME|2025-09-16 13:30|189.4300|189.9500|187.3905|187.4000|96323|2.0300|0.5200|0.0095|BEARISH
AME|2025-09-16 14:30|187.3300|187.6900|186.3880|186.9000|112006|0.4300|0.3600|0.5120|BEARISH
AME|2025-09-16 15:30|186.9300|187.5900|186.7900|186.9750|64058|0.0450|0.6150|0.1400|BULLISH
AME|2025-09-16 16:30|186.9100|187.4700|186.4650|186.6150|72973|0.2950|0.5600|0.1500|BEARISH
AME|2025-09-16 17:30|186.6150|187.3350|186.5200|187.2700|111726|0.6550|0.0650|0.0950|BULLISH
AME|2025-09-16 18:30|187.2850|187.7000|186.9800|187.3300|110748|0.0450|0.3700|0.3050|BULLISH
AME|2025-09-16 19:30|187.3900|187.6500|186.9900|187.2000|261745|0.1900|0.2600|0.2100|BEARISH
AME|2025-09-17 13:30|188.1700|188.7800|186.8400|187.9200|104914|0.2500|0.6100|1.0800|BEARISH
AME|2025-09-17 14:30|187.7600|188.0900|187.4000|187.5000|106446|0.2600|0.3300|0.1000|BEARISH
AME|2025-09-17 15:30|187.5300|188.1000|187.2800|187.3700|61555|0.1600|0.5700|0.0900|BEARISH
AME|2025-09-17 16:30|187.3450|187.7250|187.0800|187.5550|143278|0.2100|0.1700|0.2650|BULLISH
AME|2025-09-17 17:30|187.5500|188.9400|187.3150|188.7000|181123|1.1500|0.2400|0.2350|BULLISH
AME|2025-09-17 18:30|188.7000|188.7000|185.5600|186.5500|132579|2.1500|0.0000|0.9900|BEARISH
AME|2025-09-17 19:30|186.4600|187.0700|186.0000|186.2600|379881|0.2000|0.6100|0.2600|BEARISH
AME|2025-09-18 13:30|187.3100|189.6150|186.5400|189.5400|118514|2.2300|0.0750|0.7700|BULLISH
AME|2025-09-18 14:30|189.4200|189.7400|187.7000|187.9350|86325|1.4850|0.3200|0.2350|BEARISH
AME|2025-09-18 15:30|187.9350|188.7800|187.6000|188.7300|61178|0.7950|0.0500|0.3350|BULLISH
AME|2025-09-18 16:30|188.7100|189.0400|188.3400|188.5000|54439|0.2100|0.3300|0.1600|BEARISH
AME|2025-09-18 17:30|188.5000|188.6900|188.0900|188.1300|66056|0.3700|0.1900|0.0400|BEARISH
AME|2025-09-18 18:30|188.1450|188.8000|188.0770|188.4750|100539|0.3300|0.3250|0.0680|BULLISH
AME|2025-09-18 19:30|188.4100|188.9800|188.1000|188.6700|340318|0.2600|0.3100|0.3100|BULLISH
AME|2025-09-19 13:30|189.3900|189.4450|187.7000|187.8000|320441|1.5900|0.0550|0.1000|BEARISH
AME|2025-09-19 14:30|187.7600|188.2900|187.3000|188.0450|111252|0.2850|0.2450|0.4600|BULLISH
AME|2025-09-19 15:30|188.0000|188.4500|187.8800|188.3300|69020|0.3300|0.1200|0.1200|BULLISH
AME|2025-09-19 16:30|188.3300|188.5100|188.1600|188.2950|38764|0.0350|0.1800|0.1350|BEARISH
