Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
AMT|2025-09-02 13:30|202.6000|205.2150|202.1000|202.2900|522306|0.3100|2.6150|0.1900|BEARISH
AMT|2025-09-02 14:30|202.3950|202.5500|201.7000|202.4200|219357|0.0250|0.1300|0.6950|BULLISH
AMT|2025-09-02 15:30|202.3600|202.6100|201.7000|202.0500|158692|0.3100|0.2500|0.3500|BEARISH
AMT|2025-09-02 16:30|202.0400|202.1400|200.9750|201.0036|129383|1.0364|0.1000|0.0286|BEARISH
AMT|2025-09-02 17:30|201.0300|201.0600|199.4000|199.5600|219581|1.4700|0.0300|0.1600|BEARISH
AMT|2025-09-02 18:30|199.5650|199.5963|198.7500|199.3200|267189|0.2450|0.0313|0.5700|BEARISH
AMT|2025-09-02 19:30|199.2900|200.4900|199.2900|200.4900|438480|1.2000|0.0000|0.0000|BULLISH
AMT|2025-09-03 13:30|201.4900|202.8000|199.3750|201.0075|645986|0.4825|1.3100|1.6325|BEARISH
AMT|2025-09-03 14:30|200.9800|201.0250|199.2800|199.5000|296949|1.4800|0.0450|0.2200|BEARISH
AMT|2025-09-03 15:30|199.4800|199.6800|198.5400|198.7600|261808|0.7200|0.2000|0.2200|BEARISH
AMT|2025-09-03 16:30|198.6900|198.9650|197.2710|197.5100|252091|1.1800|0.2750|0.2390|BEARISH
AMT|2025-09-03 17:30|197.4700|197.4850|196.4987|197.1300|296141|0.3400|0.0150|0.6313|BEARISH
AMT|2025-09-03 18:30|197.1050|197.4900|195.5950|195.5950|365379|1.5100|0.3850|0.0000|BEARISH
AMT|2025-09-03 19:30|195.5900|196.2600|195.2000|196.2300|834766|0.6400|0.0300|0.3900|BULLISH
AMT|2025-09-04 13:30|197.9200|198.1900|194.6600|195.4250|356666|2.4950|0.2700|0.7650|BEARISH
AMT|2025-09-04 14:30|195.4250|196.1129|194.5600|195.9600|450515|0.5350|0.1529|0.8650|BULLISH
AMT|2025-09-04 15:30|195.9550|196.4100|194.3500|194.5800|250972|1.3750|0.4550|0.2300|BEARISH
AMT|2025-09-04 16:30|194.6150|194.6150|193.2100|193.5450|251659|1.0700|0.0000|0.3350|BEARISH
AMT|2025-09-04 17:30|193.5300|194.2500|193.0500|193.3250|359023|0.2050|0.7200|0.2750|BEARISH
AMT|2025-09-04 18:30|193.3300|195.3850|193.2800|195.2000|372048|1.8700|0.1850|0.0500|BULLISH
AMT|2025-09-04 19:30|195.2000|195.2500|194.5100|195.0800|710052|0.1200|0.0500|0.5700|BEARISH
AMT|2025-09-05 13:30|197.0700|198.0850|196.2800|197.9800|934584|0.9100|0.1050|0.7900|BULLISH
AMT|2025-09-05 14:30|198.0000|199.4000|197.7600|198.5500|733713|0.5500|0.8500|0.2400|BULLISH
AMT|2025-09-05 15:30|198.7100|199.0000|197.9200|198.8100|243254|0.1000|0.1900|0.7900|BULLISH
AMT|2025-09-05 16:30|198.8200|199.0000|198.4300|198.7600|236120|0.0600|0.1800|0.3300|BEARISH
AMT|2025-09-05 17:30|198.7200|199.2250|198.5000|198.5400|293857|0.1800|0.5050|0.0400|BEARISH
AMT|2025-09-05 18:30|198.5500|198.7000|197.9100|198.1050|302770|0.4450|0.1500|0.1950|BEARISH
AMT|2025-09-05 19:30|198.1150|198.7450|197.9700|198.3200|469957|0.2050|0.4250|0.1450|BULLISH
AMT|2025-09-08 13:30|194.3800|195.4700|190.3600|192.5500|997939|1.8300|1.0900|2.1900|BEARISH
AMT|2025-09-08 14:30|192.4800|192.6450|189.0700|190.2350|863791|2.2450|0.1650|1.1650|BEARISH
AMT|2025-09-08 15:30|190.2300|191.5200|189.0100|191.2300|596132|1.0000|0.2900|1.2200|BULLISH
AMT|2025-09-08 16:30|191.3000|192.0699|190.4000|191.2200|351247|0.0800|0.7699|0.8200|BEARISH
AMT|2025-09-08 17:30|191.1600|191.4100|189.9500|190.1600|521355|1.0000|0.2500|0.2100|BEARISH
AMT|2025-09-08 18:30|190.1650|192.0600|190.1650|192.0200|612526|1.8550|0.0400|0.0000|BULLISH
AMT|2025-09-08 19:30|192.0450|193.8200|191.7800|193.5800|796337|1.5350|0.2400|0.2650|BULLISH
AMT|2025-09-09 13:30|193.7600|194.3900|192.9300|194.1850|503450|0.4250|0.2050|0.8300|BULLISH
AMT|2025-09-09 14:30|194.1850|194.2500|192.1300|192.2000|215485|1.9850|0.0650|0.0700|BEARISH
AMT|2025-09-09 15:30|192.2500|192.9650|192.0000|192.7700|297747|0.5200|0.1950|0.2500|BULLISH
AMT|2025-09-09 16:30|192.8200|193.5700|192.3740|193.5600|576030|0.7400|0.0100|0.4460|BULLISH
AMT|2025-09-09 17:30|193.7400|194.5400|193.5400|194.4650|320709|0.7250|0.0750|0.2000|BULLISH
AMT|2025-09-09 18:30|194.5000|194.5300|193.7600|193.9600|393321|0.5400|0.0300|0.2000|BEARISH
