Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
AON|2025-09-02 13:30|367.6300|370.5747|365.9600|369.1195|158193|1.4895|1.4552|1.6700|BULLISH
AON|2025-09-02 14:30|369.1700|369.6700|368.6500|369.1850|125817|0.0150|0.4850|0.5200|BULLISH
AON|2025-09-02 15:30|369.2000|369.3800|368.3203|368.5700|111135|0.6300|0.1800|0.2497|BEARISH
AON|2025-09-02 16:30|368.6300|369.7800|367.9700|369.5911|94537|0.9611|0.1889|0.6600|BULLISH
AON|2025-09-02 17:30|369.6800|372.2300|369.5800|372.0700|126473|2.3900|0.1600|0.1000|BULLISH
AON|2025-09-02 18:30|372.2200|372.7500|371.3650|371.6150|156460|0.6050|0.5300|0.2500|BEARISH
AON|2025-09-02 19:30|371.6750|371.9900|371.0100|371.9900|237310|0.3150|0.0000|0.6650|BULLISH
AON|2025-09-03 13:30|372.6800|375.0000|368.2700|371.8300|122179|0.8500|2.3200|3.5600|BEARISH
AON|2025-09-03 14:30|371.9700|373.3000|371.2000|372.6708|106520|0.7008|0.6292|0.7700|BULLISH
AON|2025-09-03 15:30|372.9500|374.0900|372.7700|373.4300|95365|0.4800|0.6600|0.1800|BULLISH
AON|2025-09-03 16:30|373.4150|373.6100|372.3150|373.1900|100162|0.2250|0.1950|0.8750|BEARISH
AON|2025-09-03 17:30|373.1000|373.3100|372.2000|373.2250|116208|0.1250|0.0850|0.9000|BULLISH
AON|2025-09-03 18:30|372.8100|373.0500|371.5050|372.0650|141910|0.7450|0.2400|0.5600|BEARISH
AON|2025-09-03 19:30|372.1000|374.5500|372.0650|373.9600|263286|1.8600|0.5900|0.0350|BULLISH
AON|2025-09-04 13:30|375.4800|375.8700|371.6681|373.0800|70710|2.4000|0.3900|1.4119|BEARISH
AON|2025-09-04 14:30|373.0950|373.7400|370.8500|371.3100|44450|1.7850|0.6450|0.4600|BEARISH
AON|2025-09-04 15:30|371.3000|372.7800|371.2500|371.9700|73547|0.6700|0.8100|0.0500|BULLISH
AON|2025-09-04 16:30|371.7935|372.1200|371.4700|371.8700|61561|0.0765|0.2500|0.3235|BULLISH
AON|2025-09-04 17:30|371.5000|371.5500|370.9850|371.3300|70443|0.1700|0.0500|0.3450|BEARISH
AON|2025-09-04 18:30|371.2850|372.4200|370.9300|371.9850|76645|0.7000|0.4350|0.3550|BULLISH
AON|2025-09-04 19:30|371.9800|373.4900|371.9000|373.3400|216726|1.3600|0.1500|0.0800|BULLISH
AON|2025-09-05 13:30|372.9100|375.6350|372.1100|372.4700|77200|0.4400|2.7250|0.3600|BEARISH
AON|2025-09-05 14:30|371.8700|371.8700|370.0000|371.1800|92552|0.6900|0.0000|1.1800|BEARISH
AON|2025-09-05 15:30|371.0900|371.2700|369.8700|369.8700|53854|1.2200|0.1800|0.0000|BEARISH
AON|2025-09-05 16:30|369.8900|370.2000|369.3950|369.8200|26817|0.0700|0.3100|0.4250|BEARISH
AON|2025-09-05 17:30|369.5800|369.7500|368.0400|369.5200|81084|0.0600|0.1700|1.4800|BEARISH
AON|2025-09-05 18:30|369.6800|370.7500|369.6100|370.3100|74562|0.6300|0.4400|0.0700|BULLISH
AON|2025-09-05 19:30|370.3250|370.4500|369.4000|370.3600|133566|0.0350|0.0900|0.9250|BULLISH
AON|2025-09-08 13:30|370.5400|370.5400|365.4700|366.5500|165821|3.9900|0.0000|1.0800|BEARISH
AON|2025-09-08 14:30|366.6100|368.2050|366.0700|368.1600|100415|1.5500|0.0450|0.5400|BULLISH
AON|2025-09-08 15:30|368.1750|368.9000|367.8800|368.7450|65160|0.5700|0.1550|0.2950|BULLISH
AON|2025-09-08 16:30|368.8900|369.4150|368.3700|368.6050|36237|0.2850|0.5250|0.2350|BEARISH
AON|2025-09-08 17:30|368.6050|368.6900|367.1400|367.6350|96206|0.9700|0.0850|0.4950|BEARISH
AON|2025-09-08 18:30|367.7900|368.9450|367.6824|368.5369|69525|0.7469|0.4081|0.1076|BULLISH
AON|2025-09-08 19:30|368.5000|370.1300|367.8500|370.0300|216180|1.5300|0.1000|0.6500|BULLISH
AON|2025-09-09 13:30|368.2100|370.1800|367.5400|369.0700|95040|0.8600|1.1100|0.6700|BULLISH
AON|2025-09-09 14:30|369.0700|370.1100|368.6400|370.1000|92336|1.0300|0.0100|0.4300|BULLISH
