Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
APA|2025-09-02 13:30|23.2100|23.7300|23.0507|23.5350|1593657|0.3250|0.1950|0.1593|BULLISH
APA|2025-09-02 14:30|23.5300|23.6300|23.4000|23.4546|786008|0.0754|0.1000|0.0546|BEARISH
APA|2025-09-02 15:30|23.4600|23.7250|23.4500|23.6950|572177|0.2350|0.0300|0.0100|BULLISH
APA|2025-09-02 16:30|23.7000|23.8250|23.6950|23.7550|662850|0.0550|0.0700|0.0050|BULLISH
APA|2025-09-02 17:30|23.7600|23.8654|23.7250|23.7450|541320|0.0150|0.1054|0.0200|BEARISH
APA|2025-09-02 18:30|23.7450|23.7750|23.6565|23.7150|507026|0.0300|0.0300|0.0585|BEARISH
APA|2025-09-02 19:30|23.7200|23.8700|23.6900|23.8600|1238773|0.1400|0.0100|0.0300|BULLISH
APA|2025-09-03 13:30|23.3400|23.6900|22.9054|22.9400|1426222|0.4000|0.3500|0.0346|BEARISH
APA|2025-09-03 14:30|22.9400|23.0650|22.7400|22.7950|811214|0.1450|0.1250|0.0550|BEARISH
APA|2025-09-03 15:30|22.8000|23.0200|22.7400|22.7450|1048659|0.0550|0.2200|0.0050|BEARISH
APA|2025-09-03 16:30|22.7450|22.8450|22.7200|22.7700|688164|0.0250|0.0750|0.0250|BULLISH
APA|2025-09-03 17:30|22.7700|22.8050|22.5950|22.7300|616173|0.0400|0.0350|0.1350|BEARISH
APA|2025-09-03 18:30|22.7399|22.7400|22.5500|22.5850|907007|0.1549|0.0001|0.0350|BEARISH
APA|2025-09-03 19:30|22.5900|22.7500|22.5700|22.6700|1819279|0.0800|0.0800|0.0200|BULLISH
APA|2025-09-04 13:30|22.7400|23.0358|22.4500|22.9900|1074925|0.2500|0.0458|0.2900|BULLISH
APA|2025-09-04 14:30|22.9950|23.3000|22.9150|23.2750|507619|0.2800|0.0250|0.0800|BULLISH
APA|2025-09-04 15:30|23.2751|23.4800|23.2550|23.4650|623570|0.1899|0.0150|0.0201|BULLISH
APA|2025-09-04 16:30|23.4600|23.5000|23.3500|23.3950|419138|0.0650|0.0400|0.0450|BEARISH
APA|2025-09-04 17:30|23.3900|23.4000|23.2200|23.3800|422185|0.0100|0.0100|0.1600|BEARISH
APA|2025-09-04 18:30|23.3700|23.5000|23.3550|23.4350|890435|0.0650|0.0650|0.0150|BULLISH
APA|2025-09-04 19:30|23.4350|23.4600|23.3700|23.4550|1620980|0.0200|0.0050|0.0650|BULLISH
APA|2025-09-05 13:30|23.0000|23.4753|22.6400|22.9100|1156800|0.0900|0.4753|0.2700|BEARISH
APA|2025-09-05 14:30|22.9050|22.9200|22.6401|22.7200|728005|0.1850|0.0150|0.0799|BEARISH
APA|2025-09-05 15:30|22.7194|22.8950|22.6600|22.7950|587604|0.0756|0.1000|0.0594|BULLISH
APA|2025-09-05 16:30|22.7950|22.8850|22.6825|22.6950|417150|0.1000|0.0900|0.0125|BEARISH
APA|2025-09-05 17:30|22.7000|22.7550|22.5650|22.7200|715185|0.0200|0.0350|0.1350|BULLISH
APA|2025-09-05 18:30|22.7150|22.7899|22.7050|22.7150|377313|0.0000|0.0749|0.0100|BULLISH
APA|2025-09-05 19:30|22.7101|22.8100|22.6950|22.7500|1309584|0.0399|0.0600|0.0151|BULLISH
APA|2025-09-08 13:30|23.0000|23.0800|22.3500|22.4550|1467805|0.5450|0.0800|0.1050|BEARISH
APA|2025-09-08 14:30|22.4600|22.7450|22.4150|22.6700|528074|0.2100|0.0750|0.0450|BULLISH
APA|2025-09-08 15:30|22.6700|22.6700|22.2800|22.3500|1256442|0.3200|0.0000|0.0700|BEARISH
APA|2025-09-08 16:30|22.3600|22.4890|22.3350|22.4350|465699|0.0750|0.0540|0.0250|BULLISH
APA|2025-09-08 17:30|22.4400|22.4500|22.2650|22.3750|403186|0.0650|0.0100|0.1100|BEARISH
APA|2025-09-08 18:30|22.3800|22.4550|22.2400|22.2700|628061|0.1100|0.0750|0.0300|BEARISH
APA|2025-09-08 19:30|22.2750|22.2754|22.1750|22.2700|1393745|0.0050|0.0004|0.0950|BEARISH
APA|2025-09-09 13:30|22.4000|22.8900|22.3300|22.6600|925708|0.2600|0.2300|0.0700|BULLISH
APA|2025-09-09 14:30|22.6545|22.7600|22.6100|22.6700|454440|0.0155|0.0900|0.0445|BULLISH
APA|2025-09-09 15:30|22.6750|22.6799|22.4050|22.4900|442571|0.1850|0.0049|0.0850|BEARISH
APA|2025-09-09 16:30|22.4850|22.5300|22.4150|22.4400|252337|0.0450|0.0450|0.0250|BEARISH
APA|2025-09-09 17:30|22.4350|22.4599|22.3300|22.3850|339024|0.0500|0.0249|0.0550|BEARISH
APA|2025-09-09 18:30|22.3800|22.3900|22.0900|22.1150|894215|0.2650|0.0100|0.0250|BEARISH
APA|2025-09-09 19:30|22.1100|22.1100|21.6500|21.6500|2511287|0.4600|0.0000|0.0000|BEARISH
APA|2025-09-10 13:30|21.7750|22.4000|21.5700|22.1850|1012727|0.4100|0.2150|0.2050|BULLISH
APA|2025-09-10 14:30|22.1800|22.2550|21.8710|22.1850|885457|0.0050|0.0700|0.3090|BULLISH
APA|2025-09-10 15:30|22.1800|22.4650|22.1050|22.4250|326413|0.2450|0.0400|0.0750|BULLISH
APA|2025-09-10 16:30|22.4250|22.5850|22.2750|22.5700|735471|0.1450|0.0150|0.1500|BULLISH
APA|2025-09-10 17:30|22.5900|22.8800|22.5550|22.7900|1054630|0.2000|0.0900|0.0350|BULLISH
APA|2025-09-10 18:30|22.7850|23.0450|22.7850|22.9550|850349|0.1700|0.0900|0.0000|BULLISH
APA|2025-09-10 19:30|22.9550|23.3300|22.9450|23.2900|2490435|0.3350|0.0400|0.0100|BULLISH
APA|2025-09-11 13:30|22.9600|23.0400|22.6600|22.8600|1099431|0.1000|0.0800|0.2000|BEARISH
APA|2025-09-11 14:30|22.8600|23.0200|22.7050|23.0200|101571|0.1600|0.0000|0.1550|BULLISH
APA|2025-09-11 15:30|23.0150|23.0400|22.8000|22.8900|1022499|0.1250|0.0250|0.0900|BEARISH
APA|2025-09-11 16:30|22.8900|22.9600|22.8350|22.8550|360842|0.0350|0.0700|0.0200|BEARISH
APA|2025-09-11 17:30|22.8550|23.0500|22.8500|22.9700|449384|0.1150|0.0800|0.0050|BULLISH
APA|2025-09-11 18:30|22.9690|23.0000|22.8900|22.9850|587885|0.0160|0.0150|0.0790|BULLISH
APA|2025-09-11 19:30|22.9850|23.0250|22.9150|22.9900|1189275|0.0050|0.0350|0.0700|BULLISH
APA|2025-09-12 13:30|23.3000|23.7062|23.1450|23.2000|985146|0.1000|0.4062|0.0550|BEARISH
APA|2025-09-12 14:30|23.2100|23.4450|23.1550|23.3850|528859|0.1750|0.0600|0.0550|BULLISH
APA|2025-09-12 15:30|23.3800|23.4100|23.2901|23.3200|450548|0.0600|0.0300|0.0299|BEARISH
APA|2025-09-12 16:30|23.3200|23.3200|23.0900|23.1050|408206|0.2150|0.0000|0.0150|BEARISH
APA|2025-09-12 17:30|23.1050|23.2000|23.0100|23.0350|331859|0.0700|0.0950|0.0250|BEARISH
APA|2025-09-12 18:30|23.0350|23.1300|22.9100|22.9264|580225|0.1086|0.0950|0.0164|BEARISH
APA|2025-09-12 19:30|22.9250|22.9350|22.8200|22.8450|964842|0.0800|0.0100|0.0250|BEARISH
