Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
APD|2025-09-02 13:30|292.1300|293.4564|291.1600|292.2600|89785|0.1300|1.1964|0.9700|BULLISH
APD|2025-09-02 14:30|292.2924|293.1400|291.6500|292.3850|185844|0.0926|0.7550|0.6424|BULLISH
APD|2025-09-02 15:30|292.3050|292.9500|291.7000|291.9200|49262|0.3850|0.6450|0.2200|BEARISH
APD|2025-09-02 16:30|291.9900|292.0300|290.9612|291.7100|100908|0.2800|0.0400|0.7488|BEARISH
APD|2025-09-02 17:30|291.6800|292.4762|291.6800|292.1950|72928|0.5150|0.2812|0.0000|BULLISH
APD|2025-09-02 18:30|292.1950|292.5300|291.3900|292.5300|92113|0.3350|0.0000|0.8050|BULLISH
APD|2025-09-02 19:30|292.6599|292.7100|291.9600|292.1800|131197|0.4799|0.0501|0.2200|BEARISH
APD|2025-09-03 13:30|291.2300|292.3700|290.4300|291.8300|77809|0.6000|0.5400|0.8000|BULLISH
APD|2025-09-03 14:30|292.0100|292.5950|291.7309|292.2000|51958|0.1900|0.3950|0.2791|BULLISH
APD|2025-09-03 15:30|292.1950|292.2700|291.3100|291.9600|42246|0.2350|0.0750|0.6500|BEARISH
APD|2025-09-03 16:30|291.9600|292.0158|290.8800|291.7025|48276|0.2575|0.0558|0.8225|BEARISH
APD|2025-09-03 17:30|291.7600|291.9209|290.4750|291.8400|61502|0.0800|0.0809|1.2850|BULLISH
APD|2025-09-03 18:30|292.0800|292.3800|290.5650|290.5850|47409|1.4950|0.3000|0.0200|BEARISH
APD|2025-09-03 19:30|290.6700|291.5400|290.6400|291.2000|137301|0.5300|0.3400|0.0300|BULLISH
APD|2025-09-04 13:30|291.6600|291.9900|286.2201|287.1290|70083|4.5310|0.3300|0.9089|BEARISH
APD|2025-09-04 14:30|287.2500|288.4800|286.7000|288.1900|67116|0.9400|0.2900|0.5500|BULLISH
APD|2025-09-04 15:30|288.3200|289.5700|287.8300|289.5300|53107|1.2100|0.0400|0.4900|BULLISH
APD|2025-09-04 16:30|289.5000|290.0600|289.2900|289.8500|33846|0.3500|0.2100|0.2100|BULLISH
APD|2025-09-04 17:30|289.7400|290.3900|289.5400|289.9334|33773|0.1934|0.4566|0.2000|BULLISH
APD|2025-09-04 18:30|290.0200|290.0200|289.0000|289.2500|71190|0.7700|0.0000|0.2500|BEARISH
APD|2025-09-04 19:30|289.2000|290.1800|289.0550|289.9700|92552|0.7700|0.2100|0.1450|BULLISH
APD|2025-09-05 13:30|290.9600|292.6900|290.2825|290.6450|65273|0.3150|1.7300|0.3625|BEARISH
APD|2025-09-05 14:30|290.4400|290.4900|288.2130|288.8200|43826|1.6200|0.0500|0.6070|BEARISH
APD|2025-09-05 15:30|288.9608|289.5764|288.3500|288.8800|61642|0.0808|0.6157|0.5300|BEARISH
APD|2025-09-05 16:30|288.8000|289.3100|288.0600|288.2750|72967|0.5250|0.5100|0.2150|BEARISH
APD|2025-09-05 17:30|288.2500|288.7750|287.9700|288.5700|44165|0.3200|0.2050|0.2800|BULLISH
APD|2025-09-05 18:30|288.6800|289.7900|288.6800|289.3600|60610|0.6800|0.4300|0.0000|BULLISH
APD|2025-09-05 19:30|289.3600|290.0000|289.1000|289.8300|79215|0.4700|0.1700|0.2600|BULLISH
APD|2025-09-08 13:30|289.3700|289.3700|286.1800|286.4850|72518|2.8850|0.0000|0.3050|BEARISH
APD|2025-09-08 14:30|286.4850|289.2850|286.4700|288.8000|92306|2.3150|0.4850|0.0150|BULLISH
APD|2025-09-08 15:30|288.7400|289.3700|288.1100|288.3000|53775|0.4400|0.6300|0.1900|BEARISH
APD|2025-09-08 16:30|288.3600|288.4100|286.8000|287.5350|73767|0.8250|0.0500|0.7350|BEARISH
APD|2025-09-08 17:30|287.5650|287.7500|286.1600|286.2250|69110|1.3400|0.1850|0.0650|BEARISH
APD|2025-09-08 18:30|286.3450|287.8800|286.3450|287.3700|92159|1.0250|0.5100|0.0000|BULLISH
APD|2025-09-08 19:30|287.2750|289.1750|287.0300|289.1000|143147|1.8250|0.0750|0.2450|BULLISH
