Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
APTV|2025-09-02 13:30|78.1200|78.8900|77.5000|78.8000|422130|0.6800|0.0900|0.6200|BULLISH
APTV|2025-09-02 14:30|78.7950|78.8000|78.0800|78.2500|295845|0.5450|0.0050|0.1700|BEARISH
APTV|2025-09-02 15:30|78.2650|78.4700|78.1550|78.2450|168996|0.0200|0.2050|0.0900|BEARISH
APTV|2025-09-02 16:30|78.2700|78.3900|78.0900|78.1550|181520|0.1150|0.1200|0.0650|BEARISH
APTV|2025-09-02 17:30|78.1600|78.3500|78.0850|78.1700|255990|0.0100|0.1800|0.0750|BULLISH
APTV|2025-09-02 18:30|78.1650|78.3950|78.1500|78.2650|236608|0.1000|0.1300|0.0150|BULLISH
APTV|2025-09-02 19:30|78.2600|78.5900|78.1200|78.3800|650326|0.1200|0.2100|0.1400|BULLISH
APTV|2025-09-03 13:30|78.8600|80.4600|78.8000|79.5650|491435|0.7050|0.8950|0.0600|BULLISH
APTV|2025-09-03 14:30|79.5700|80.2900|79.5700|79.8500|339237|0.2800|0.4400|0.0000|BULLISH
APTV|2025-09-03 15:30|79.8600|79.8600|79.3050|79.6300|153897|0.2300|0.0000|0.3250|BEARISH
APTV|2025-09-03 16:30|79.6050|79.8365|79.5850|79.6650|116669|0.0600|0.1715|0.0200|BULLISH
APTV|2025-09-03 17:30|79.6900|79.6900|79.0700|79.2700|149581|0.4200|0.0000|0.2000|BEARISH
APTV|2025-09-03 18:30|79.2750|79.2800|78.9600|79.1750|177512|0.1000|0.0050|0.2150|BEARISH
APTV|2025-09-03 19:30|79.1800|79.7800|79.1650|79.6300|1098335|0.4500|0.1500|0.0150|BULLISH
APTV|2025-09-04 13:30|79.7800|80.0600|79.3200|80.0600|263449|0.2800|0.0000|0.4600|BULLISH
APTV|2025-09-04 14:30|80.0600|80.1100|79.7200|79.8650|150270|0.1950|0.0500|0.1450|BEARISH
APTV|2025-09-04 15:30|79.8500|80.4700|79.8450|80.3500|118273|0.5000|0.1200|0.0050|BULLISH
APTV|2025-09-04 16:30|80.3550|80.5100|80.1700|80.1900|122505|0.1650|0.1550|0.0200|BEARISH
APTV|2025-09-04 17:30|80.1900|80.3000|80.0193|80.2400|121916|0.0500|0.0600|0.1707|BULLISH
APTV|2025-09-04 18:30|80.2400|80.3400|80.0950|80.1700|247531|0.0700|0.1000|0.0750|BEARISH
APTV|2025-09-04 19:30|80.1800|80.6200|80.0600|80.4700|448445|0.2900|0.1500|0.1200|BULLISH
APTV|2025-09-05 13:30|81.4000|82.0500|80.7900|80.9300|581947|0.4700|0.6500|0.1400|BEARISH
APTV|2025-09-05 14:30|80.9300|80.9300|80.2250|80.5500|252307|0.3800|0.0000|0.3250|BEARISH
APTV|2025-09-05 15:30|80.5400|80.6200|80.2900|80.4700|193055|0.0700|0.0800|0.1800|BEARISH
APTV|2025-09-05 16:30|80.4400|80.5700|79.9900|80.0000|249892|0.4400|0.1300|0.0100|BEARISH
APTV|2025-09-05 17:30|79.9950|80.2600|79.6900|80.0400|242137|0.0450|0.2200|0.3050|BULLISH
APTV|2025-09-05 18:30|80.0600|80.3800|80.0250|80.2300|215231|0.1700|0.1500|0.0350|BULLISH
APTV|2025-09-05 19:30|80.2400|80.6400|80.1300|80.4800|514187|0.2400|0.1600|0.1100|BULLISH
APTV|2025-09-08 13:30|80.2600|80.6100|79.5000|80.0900|178519|0.1700|0.3500|0.5900|BEARISH
APTV|2025-09-08 14:30|80.1100|81.2350|80.1100|81.2000|230472|1.0900|0.0350|0.0000|BULLISH
APTV|2025-09-08 15:30|81.2000|81.5300|81.0600|81.4500|256922|0.2500|0.0800|0.1400|BULLISH
APTV|2025-09-08 16:30|81.4450|81.6600|81.4300|81.5750|340346|0.1300|0.0850|0.0150|BULLISH
APTV|2025-09-08 17:30|81.5700|81.9700|81.4600|81.9700|165467|0.4000|0.0000|0.1100|BULLISH
APTV|2025-09-08 18:30|81.9800|82.1800|81.9450|82.1700|209461|0.1900|0.0100|0.0350|BULLISH
APTV|2025-09-08 19:30|82.1800|82.3450|82.1100|82.3100|383814|0.1300|0.0350|0.0700|BULLISH
APTV|2025-09-09 13:30|82.3500|82.7400|80.9886|81.0712|176360|1.2788|0.3900|0.0826|BEARISH
APTV|2025-09-09 14:30|81.1500|81.2100|80.7750|81.1800|111137|0.0300|0.0300|0.3750|BULLISH
APTV|2025-09-09 15:30|81.2000|81.2200|80.8850|81.0000|125724|0.2000|0.0200|0.1150|BEARISH
APTV|2025-09-09 16:30|81.0100|81.3300|80.9400|81.2600|206695|0.2500|0.0700|0.0700|BULLISH
APTV|2025-09-09 17:30|81.2500|81.8500|81.1700|81.6900|179360|0.4400|0.1600|0.0800|BULLISH
APTV|2025-09-09 18:30|81.7100|81.8150|81.5300|81.7700|247810|0.0600|0.0450|0.1800|BULLISH
APTV|2025-09-09 19:30|81.7800|82.1500|81.7700|82.1500|355739|0.3700|0.0000|0.0100|BULLISH
APTV|2025-09-10 13:30|81.7250|82.1100|81.0700|81.6600|302008|0.0650|0.3850|0.5900|BEARISH
APTV|2025-09-10 14:30|81.5900|81.6600|81.2600|81.3900|273755|0.2000|0.0700|0.1300|BEARISH
APTV|2025-09-10 15:30|81.4200|81.8400|81.3065|81.6450|122296|0.2250|0.1950|0.1135|BULLISH
APTV|2025-09-10 16:30|81.6200|81.6600|80.4600|80.6850|455057|0.9350|0.0400|0.2250|BEARISH
APTV|2025-09-10 17:30|80.6500|81.3400|80.5250|81.3250|250391|0.6750|0.0150|0.1250|BULLISH
APTV|2025-09-10 18:30|81.3300|81.7800|81.3300|81.5150|222725|0.1850|0.2650|0.0000|BULLISH
APTV|2025-09-10 19:30|81.5450|81.8260|81.4050|81.6100|362639|0.0650|0.2160|0.1400|BULLISH
APTV|2025-09-11 13:30|82.5000|84.2400|82.2000|84.2400|275215|1.7400|0.0000|0.3000|BULLISH
APTV|2025-09-11 14:30|84.2100|84.4700|83.6300|83.7200|371246|0.4900|0.2600|0.0900|BEARISH
APTV|2025-09-11 15:30|83.7300|83.8000|83.2600|83.3000|149735|0.4300|0.0700|0.0400|BEARISH
APTV|2025-09-11 16:30|83.3000|83.4800|83.1500|83.4594|114372|0.1594|0.0206|0.1500|BULLISH
APTV|2025-09-11 17:30|83.4600|83.7200|83.1600|83.2550|138559|0.2050|0.2600|0.0950|BEARISH
APTV|2025-09-11 18:30|83.2550|83.7600|83.1800|83.7200|211150|0.4650|0.0400|0.0750|BULLISH
APTV|2025-09-11 19:30|83.7300|84.0400|83.7100|83.7200|386265|0.0100|0.3100|0.0100|BEARISH
APTV|2025-09-12 13:30|84.7200|84.7200|83.1300|83.1800|280488|1.5400|0.0000|0.0500|BEARISH
APTV|2025-09-12 14:30|83.1900|83.5099|82.9200|83.2400|160173|0.0500|0.2699|0.2700|BULLISH
APTV|2025-09-12 15:30|83.2500|83.4300|83.1800|83.4000|112543|0.1500|0.0300|0.0700|BULLISH
APTV|2025-09-12 16:30|83.4100|83.6350|83.3000|83.5100|115642|0.1000|0.1250|0.1100|BULLISH
APTV|2025-09-12 17:30|83.5050|83.5699|83.0937|83.3800|139018|0.1250|0.0649|0.2863|BEARISH
APTV|2025-09-12 18:30|83.3800|83.4300|82.9900|82.9950|186933|0.3850|0.0500|0.0050|BEARISH
APTV|2025-09-12 19:30|83.0100|83.1800|82.5850|82.8000|362876|0.2100|0.1700|0.2150|BEARISH
APTV|2025-09-15 13:30|82.9500|84.0800|82.7000|83.9200|233601|0.9700|0.1600|0.2500|BULLISH
APTV|2025-09-15 14:30|83.9400|84.0500|83.1500|83.2200|131526|0.7200|0.1100|0.0700|BEARISH
APTV|2025-09-15 15:30|83.2600|83.3050|82.7000|82.7000|106635|0.5600|0.0450|0.0000|BEARISH
APTV|2025-09-15 16:30|82.6700|82.9800|82.5800|82.7950|117222|0.1250|0.1850|0.0900|BULLISH
APTV|2025-09-15 17:30|82.8200|83.2000|82.6675|82.8800|122771|0.0600|0.3200|0.1525|BULLISH
APTV|2025-09-15 18:30|82.8800|83.0700|82.7300|82.7600|208478|0.1200|0.1900|0.0300|BEARISH
APTV|2025-09-15 19:30|82.7600|82.9700|82.5770|82.7900|384940|0.0300|0.1800|0.1830|BULLISH
APTV|2025-09-16 13:30|82.7400|83.3000|81.1400|82.0450|313406|0.6950|0.5600|0.9050|BEARISH
APTV|2025-09-16 14:30|82.0450|82.2200|81.6600|81.7300|246659|0.3150|0.1750|0.0700|BEARISH
APTV|2025-09-16 15:30|81.7100|82.0700|81.4800|81.7001|442421|0.0099|0.3600|0.2201|BEARISH
APTV|2025-09-16 16:30|81.7300|82.3200|81.5500|82.3200|427689|0.5900|0.0000|0.1800|BULLISH
APTV|2025-09-16 17:30|82.2900|83.0100|82.2700|82.8800|236693|0.5900|0.1300|0.0200|BULLISH
APTV|2025-09-16 18:30|82.9000|83.0600|82.5100|82.6400|352394|0.2600|0.1600|0.1300|BEARISH
APTV|2025-09-16 19:30|82.6500|83.2600|82.6000|83.1100|420426|0.4600|0.1500|0.0500|BULLISH
APTV|2025-09-17 13:30|83.0000|83.4400|82.5100|83.2600|218969|0.2600|0.1800|0.4900|BULLISH
