Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
ATO|2025-09-02 13:30|165.7400|166.7500|165.3700|166.3000|67140|0.5600|0.4500|0.3700|BULLISH
ATO|2025-09-02 14:30|166.2850|166.7300|166.0900|166.1500|61381|0.1350|0.4450|0.0600|BEARISH
ATO|2025-09-02 15:30|166.2100|166.4200|165.4700|165.6000|60336|0.6100|0.2100|0.1300|BEARISH
ATO|2025-09-02 16:30|165.6000|165.8400|165.5400|165.6014|57287|0.0014|0.2386|0.0600|BULLISH
ATO|2025-09-02 17:30|165.5200|165.8000|165.4900|165.6500|58905|0.1300|0.1500|0.0300|BULLISH
ATO|2025-09-02 18:30|165.6600|165.7000|165.4400|165.4700|65944|0.1900|0.0400|0.0300|BEARISH
ATO|2025-09-02 19:30|165.5200|165.8650|165.3600|165.4600|174766|0.0600|0.3450|0.1000|BEARISH
ATO|2025-09-03 13:30|165.2400|165.7600|164.3100|164.8200|52786|0.4200|0.5200|0.5100|BEARISH
ATO|2025-09-03 14:30|164.9300|165.6900|164.8000|165.6450|48619|0.7150|0.0450|0.1300|BULLISH
ATO|2025-09-03 15:30|165.6400|165.7600|165.2000|165.2300|36930|0.4100|0.1200|0.0300|BEARISH
ATO|2025-09-03 16:30|165.1500|165.2100|164.6347|164.8250|23743|0.3250|0.0600|0.1903|BEARISH
ATO|2025-09-03 17:30|164.7700|165.1700|164.4600|165.0600|38144|0.2900|0.1100|0.3100|BULLISH
ATO|2025-09-03 18:30|165.0200|165.2100|164.7900|164.8650|41569|0.1550|0.1900|0.0750|BEARISH
ATO|2025-09-03 19:30|164.8450|165.3800|164.8450|165.2100|97009|0.3650|0.1700|0.0000|BULLISH
ATO|2025-09-04 13:30|165.9800|166.4650|163.7041|164.0200|54376|1.9600|0.4850|0.3159|BEARISH
ATO|2025-09-04 14:30|163.9400|164.2800|162.9900|163.5300|72326|0.4100|0.3400|0.5400|BEARISH
ATO|2025-09-04 15:30|163.4750|164.1550|163.0500|164.0400|49395|0.5650|0.1150|0.4250|BULLISH
ATO|2025-09-04 16:30|164.1490|164.3400|163.9300|164.2350|55781|0.0860|0.1050|0.2190|BULLISH
ATO|2025-09-04 17:30|164.2350|164.3750|163.9300|164.2796|50101|0.0446|0.0954|0.3050|BULLISH
ATO|2025-09-04 18:30|164.3100|164.7200|164.2100|164.6900|85242|0.3800|0.0300|0.1000|BULLISH
ATO|2025-09-04 19:30|164.6500|165.1200|164.4200|164.7800|142616|0.1300|0.3400|0.2300|BULLISH
ATO|2025-09-05 13:30|165.2100|165.4900|164.8317|165.1200|72041|0.0900|0.2800|0.2883|BEARISH
ATO|2025-09-05 14:30|165.2100|165.5600|164.8400|165.5600|106714|0.3500|0.0000|0.3700|BULLISH
ATO|2025-09-05 15:30|165.5900|165.6600|165.0600|165.0600|83402|0.5300|0.0700|0.0000|BEARISH
ATO|2025-09-05 16:30|165.1300|165.6750|165.1300|165.6200|53635|0.4900|0.0550|0.0000|BULLISH
ATO|2025-09-05 17:30|165.6800|165.8400|165.4600|165.8000|72878|0.1200|0.0400|0.2200|BULLISH
ATO|2025-09-05 18:30|165.7400|166.1100|165.7400|165.8300|80795|0.0900|0.2800|0.0000|BULLISH
ATO|2025-09-05 19:30|165.8400|166.5700|165.7800|166.5300|179402|0.6900|0.0400|0.0600|BULLISH
