Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
AVB|2025-09-02 13:30|194.9200|194.9200|191.4359|192.3200|152370|2.6000|0.0000|0.8841|BEARISH
AVB|2025-09-02 14:30|192.1600|192.4550|190.2008|190.3400|117075|1.8200|0.2950|0.1392|BEARISH
AVB|2025-09-02 15:30|190.1500|190.7100|189.6450|189.6800|56547|0.4700|0.5600|0.0350|BEARISH
AVB|2025-09-02 16:30|189.5500|189.7100|188.9950|189.4800|93817|0.0700|0.1600|0.4850|BEARISH
AVB|2025-09-02 17:30|189.4600|189.8100|189.2350|189.5100|67275|0.0500|0.3000|0.2250|BULLISH
AVB|2025-09-02 18:30|189.4400|189.5900|188.4800|188.9300|97041|0.5100|0.1500|0.4500|BEARISH
AVB|2025-09-02 19:30|188.9600|189.4100|188.8400|189.0200|142229|0.0600|0.3900|0.1200|BULLISH
AVB|2025-09-03 13:30|188.1900|190.1350|188.1900|189.8800|39966|1.6900|0.2550|0.0000|BULLISH
AVB|2025-09-03 14:30|189.5485|190.1600|189.3529|190.0700|137399|0.5215|0.0900|0.1956|BULLISH
AVB|2025-09-03 15:30|190.0700|190.9300|189.9400|190.2200|87255|0.1500|0.7100|0.1300|BULLISH
AVB|2025-09-03 16:30|190.2800|190.7600|189.9700|190.6550|46693|0.3750|0.1050|0.3100|BULLISH
AVB|2025-09-03 17:30|190.5700|190.8700|190.1000|190.8600|42872|0.2900|0.0100|0.4700|BULLISH
AVB|2025-09-03 18:30|190.8100|191.0500|189.7401|190.2900|85209|0.5200|0.2400|0.5499|BEARISH
AVB|2025-09-03 19:30|190.2950|191.0900|190.2950|190.9700|107577|0.6750|0.1200|0.0000|BULLISH
AVB|2025-09-04 13:30|192.0500|193.0400|191.6300|192.3000|63711|0.2500|0.7400|0.4200|BULLISH
AVB|2025-09-04 14:30|192.1400|192.3500|191.6300|192.0000|72158|0.1400|0.2100|0.3700|BEARISH
AVB|2025-09-04 15:30|192.0300|192.1200|191.0700|191.2200|48934|0.8100|0.0900|0.1500|BEARISH
AVB|2025-09-04 16:30|191.2200|191.4600|191.0600|191.3600|44241|0.1400|0.1000|0.1600|BULLISH
AVB|2025-09-04 17:30|191.2300|191.8300|191.0611|191.6050|46235|0.3750|0.2250|0.1689|BULLISH
AVB|2025-09-04 18:30|191.6050|192.4300|191.4600|192.4300|71009|0.8250|0.0000|0.1450|BULLISH
AVB|2025-09-04 19:30|192.3800|193.1000|192.2900|192.7300|116261|0.3500|0.3700|0.0900|BULLISH
AVB|2025-09-05 13:30|193.9300|196.8500|193.8900|195.7900|85487|1.8600|1.0600|0.0400|BULLISH
AVB|2025-09-05 14:30|195.7150|195.8400|194.7600|195.8400|81353|0.1250|0.0000|0.9550|BULLISH
AVB|2025-09-05 15:30|195.8400|195.8400|195.0800|195.0800|52634|0.7600|0.0000|0.0000|BEARISH
AVB|2025-09-05 16:30|195.0600|195.2900|194.7900|194.9100|53608|0.1500|0.2300|0.1200|BEARISH
AVB|2025-09-05 17:30|194.9200|195.0500|194.2920|194.5200|70364|0.4000|0.1300|0.2280|BEARISH
AVB|2025-09-05 18:30|194.4700|195.4699|194.4700|195.2500|74734|0.7800|0.2199|0.0000|BULLISH
AVB|2025-09-05 19:30|195.2500|195.7300|195.0700|195.4100|80951|0.1600|0.3200|0.1800|BULLISH
AVB|2025-09-08 13:30|193.4500|194.0800|192.7900|193.1300|63048|0.3200|0.6300|0.3400|BEARISH
AVB|2025-09-08 14:30|193.0950|194.0100|193.0400|194.0100|55956|0.9150|0.0000|0.0550|BULLISH
AVB|2025-09-08 15:30|194.1100|194.1700|193.7342|193.7342|51998|0.3758|0.0600|0.0000|BEARISH
AVB|2025-09-08 16:30|193.8400|194.0700|193.6800|194.0200|34130|0.1800|0.0500|0.1600|BULLISH
AVB|2025-09-08 17:30|194.1000|194.4000|193.4500|193.4500|44024|0.6500|0.3000|0.0000|BEARISH
AVB|2025-09-08 18:30|193.5100|193.6400|193.0500|193.0900|57413|0.4200|0.1300|0.0400|BEARISH
AVB|2025-09-08 19:30|193.1300|194.7000|193.1000|194.4800|123962|1.3500|0.2200|0.0300|BULLISH
AVB|2025-09-09 13:30|194.3600|194.6600|193.4950|193.9950|88006|0.3650|0.3000|0.5000|BEARISH
AVB|2025-09-09 14:30|193.9925|194.6500|193.6800|194.6500|57106|0.6575|0.0000|0.3125|BULLISH
AVB|2025-09-09 15:30|194.6500|194.8600|193.6354|193.8000|56691|0.8500|0.2100|0.1646|BEARISH
