Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
AVY|2025-09-02 13:30|170.3900|170.7407|168.7700|170.0300|67356|0.3600|0.3507|1.2600|BEARISH
AVY|2025-09-02 14:30|169.8750|169.9600|169.2500|169.3200|37420|0.5550|0.0850|0.0700|BEARISH
AVY|2025-09-02 15:30|169.3100|169.5400|169.1200|169.1200|31274|0.1900|0.2300|0.0000|BEARISH
AVY|2025-09-02 16:30|169.2200|169.4700|168.7262|169.3200|26196|0.1000|0.1500|0.4938|BULLISH
AVY|2025-09-02 17:30|169.3742|169.6700|169.0000|169.0700|39394|0.3042|0.2958|0.0700|BEARISH
AVY|2025-09-02 18:30|169.1366|169.1599|168.8200|169.0100|51828|0.1266|0.0233|0.1900|BEARISH
AVY|2025-09-02 19:30|169.0050|169.5300|168.8100|169.3100|111651|0.3050|0.2200|0.1950|BULLISH
AVY|2025-09-03 13:30|167.6500|168.2000|165.9100|165.9500|49229|1.7000|0.5500|0.0400|BEARISH
AVY|2025-09-03 14:30|165.9900|166.9000|165.9900|166.2500|29706|0.2600|0.6500|0.0000|BULLISH
AVY|2025-09-03 15:30|166.3650|166.3650|165.7300|166.1700|29570|0.1950|0.0000|0.4400|BEARISH
AVY|2025-09-03 16:30|166.3600|166.8800|166.1100|166.7400|22119|0.3800|0.1400|0.2500|BULLISH
AVY|2025-09-03 17:30|166.6300|166.8300|165.8100|166.4300|39818|0.2000|0.2000|0.6200|BEARISH
AVY|2025-09-03 18:30|166.4950|166.6700|166.0800|166.2250|71357|0.2700|0.1750|0.1450|BEARISH
AVY|2025-09-03 19:30|166.2500|167.0300|166.2500|166.7700|129955|0.5200|0.2600|0.0000|BULLISH
AVY|2025-09-04 13:30|166.7000|167.2650|165.7100|166.2800|62008|0.4200|0.5650|0.5700|BEARISH
AVY|2025-09-04 14:30|166.2500|166.9600|166.0700|166.8700|67437|0.6200|0.0900|0.1800|BULLISH
AVY|2025-09-04 15:30|166.9000|167.6300|166.8200|167.1950|70877|0.2950|0.4350|0.0800|BULLISH
AVY|2025-09-04 16:30|167.2150|167.2800|166.6200|166.9500|64484|0.2650|0.0650|0.3300|BEARISH
AVY|2025-09-04 17:30|166.8800|167.1400|166.1850|166.3220|55056|0.5580|0.2600|0.1370|BEARISH
AVY|2025-09-04 18:30|166.3000|166.8800|166.3000|166.6500|186129|0.3500|0.2300|0.0000|BULLISH
AVY|2025-09-04 19:30|166.6400|167.0500|166.3700|167.0500|211544|0.4100|0.0000|0.2700|BULLISH
AVY|2025-09-05 13:30|167.2500|169.4300|167.2500|167.7000|139645|0.4500|1.7300|0.0000|BULLISH
AVY|2025-09-05 14:30|167.5300|167.8900|166.9300|167.8650|48600|0.3350|0.0250|0.6000|BULLISH
AVY|2025-09-05 15:30|167.8400|167.8900|167.3800|167.3800|29292|0.4600|0.0500|0.0000|BEARISH
AVY|2025-09-05 16:30|167.3100|167.3700|166.6600|166.6700|98278|0.6400|0.0600|0.0100|BEARISH
AVY|2025-09-05 17:30|166.6550|167.5000|166.5100|167.4400|51408|0.7850|0.0600|0.1450|BULLISH
AVY|2025-09-05 18:30|167.4600|168.2750|167.4600|168.1600|56035|0.7000|0.1150|0.0000|BULLISH
AVY|2025-09-05 19:30|168.1300|168.2650|167.7200|168.0000|90660|0.1300|0.1350|0.2800|BEARISH
AVY|2025-09-08 13:30|167.5300|167.5300|165.3600|165.3600|58114|2.1700|0.0000|0.0000|BEARISH
AVY|2025-09-08 14:30|165.5100|167.0700|165.5100|167.0400|77776|1.5300|0.0300|0.0000|BULLISH
AVY|2025-09-08 15:30|167.1000|167.5400|166.8020|166.8020|44544|0.2980|0.4400|0.0000|BEARISH
AVY|2025-09-08 16:30|167.1450|167.4600|167.0250|167.2100|40869|0.0650|0.2500|0.1200|BULLISH
AVY|2025-09-08 17:30|167.2050|167.5600|166.8200|167.5500|49013|0.3450|0.0100|0.3850|BULLISH
AVY|2025-09-08 18:30|167.5000|167.9600|167.4600|167.5600|73605|0.0600|0.4000|0.0400|BULLISH
AVY|2025-09-08 19:30|167.4500|168.4733|167.3700|168.4600|141293|1.0100|0.0133|0.0800|BULLISH
AVY|2025-09-09 13:30|168.4150|168.9822|167.1400|167.5950|47684|0.8200|0.5672|0.4550|BEARISH
AVY|2025-09-09 14:30|167.5700|168.1000|167.3700|167.9650|37630|0.3950|0.1350|0.2000|BULLISH
AVY|2025-09-09 15:30|168.0200|168.0700|167.0000|167.1700|32635|0.8500|0.0500|0.1700|BEARISH
