Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
AXON|2025-09-02 13:30|733.8100|748.8300|726.0001|743.7600|97791|9.9500|5.0700|7.8099|BULLISH
AXON|2025-09-02 14:30|744.7750|748.2900|741.5150|741.5150|38537|3.2600|3.5150|0.0000|BEARISH
AXON|2025-09-02 15:30|741.7200|741.7200|732.5150|734.1800|45847|7.5400|0.0000|1.6650|BEARISH
AXON|2025-09-02 16:30|733.9700|738.4000|733.8000|736.5000|41238|2.5300|1.9000|0.1700|BULLISH
AXON|2025-09-02 17:30|736.3200|738.2500|734.8600|735.0400|47870|1.2800|1.9300|0.1800|BEARISH
AXON|2025-09-02 18:30|735.1050|742.9999|734.8100|740.9575|54509|5.8525|2.0424|0.2950|BULLISH
AXON|2025-09-02 19:30|741.0800|744.9700|739.4701|743.9300|85046|2.8500|1.0400|1.6099|BULLISH
AXON|2025-09-03 13:30|737.2600|738.0000|727.4113|732.3800|103144|4.8800|0.7400|4.9687|BEARISH
AXON|2025-09-03 14:30|730.5500|732.2963|721.0500|721.2000|94832|9.3500|1.7463|0.1500|BEARISH
AXON|2025-09-03 15:30|721.5600|728.5250|721.3000|726.0000|57308|4.4400|2.5250|0.2600|BULLISH
AXON|2025-09-03 16:30|722.8600|724.1350|714.5050|715.6250|64670|7.2350|1.2750|1.1200|BEARISH
AXON|2025-09-03 17:30|715.7400|717.2800|713.2051|716.9100|55630|1.1700|0.3701|2.5349|BULLISH
AXON|2025-09-03 18:30|716.3400|722.1900|715.4200|721.2250|69037|4.8849|0.9650|0.9200|BULLISH
AXON|2025-09-03 19:30|721.4375|726.2000|721.2680|725.1800|98404|3.7425|1.0200|0.1695|BULLISH
AXON|2025-09-04 13:30|725.7800|728.9200|719.0000|725.2900|51090|0.4901|3.1400|6.2900|BEARISH
AXON|2025-09-04 14:30|725.6050|731.1900|725.4550|726.0800|28508|0.4750|5.1100|0.1500|BULLISH
AXON|2025-09-04 15:30|726.1000|727.6400|724.6000|725.5700|22899|0.5300|1.5400|0.9700|BEARISH
AXON|2025-09-04 16:30|726.1100|729.8500|725.3900|729.4300|28723|3.3200|0.4200|0.7200|BULLISH
AXON|2025-09-04 17:30|729.7500|729.8470|726.4150|727.5600|28275|2.1900|0.0970|1.1450|BEARISH
AXON|2025-09-04 18:30|727.7400|731.0100|727.7400|729.6800|46617|1.9400|1.3300|0.0000|BULLISH
AXON|2025-09-04 19:30|729.5600|730.4100|727.1000|729.9800|77048|0.4200|0.4300|2.4600|BULLISH
AXON|2025-09-05 13:30|731.0000|738.7700|709.0600|712.8850|96315|18.1150|7.7700|3.8250|BEARISH
AXON|2025-09-05 14:30|713.0300|715.6550|708.7592|713.1450|58199|0.1150|2.5100|4.2708|BULLISH
AXON|2025-09-05 15:30|712.9800|718.1900|712.7900|716.1300|27152|3.1500|2.0600|0.1900|BULLISH
AXON|2025-09-05 16:30|717.1803|720.9700|716.0100|720.2100|19200|3.0297|0.7599|1.1703|BULLISH
AXON|2025-09-05 17:30|720.9900|724.9000|720.6700|723.9439|32403|2.9539|0.9561|0.3200|BULLISH
AXON|2025-09-05 18:30|724.7400|728.4502|722.4401|728.3600|38550|3.6200|0.0902|2.2999|BULLISH
AXON|2025-09-05 19:30|728.5200|729.2400|726.4000|727.8700|57611|0.6500|0.7200|1.4700|BEARISH
AXON|2025-09-08 13:30|739.0800|744.8500|733.8750|744.2250|106634|5.1450|0.6250|5.2050|BULLISH
AXON|2025-09-08 14:30|744.3350|749.0200|744.3300|749.0200|95048|4.6850|0.0000|0.0050|BULLISH
AXON|2025-09-08 15:30|749.7700|750.0000|743.6320|744.3200|63233|5.4500|0.2300|0.6880|BEARISH
AXON|2025-09-08 16:30|744.4750|746.8800|743.5000|743.5000|39533|0.9750|2.4050|0.0000|BEARISH
AXON|2025-09-08 17:30|743.0500|743.6662|738.2600|743.5100|34016|0.4600|0.1562|4.7900|BULLISH
AXON|2025-09-08 18:30|743.5400|743.5400|739.2810|740.2425|53751|3.2975|0.0000|0.9615|BEARISH
AXON|2025-09-08 19:30|740.2900|742.5799|740.2900|740.6200|97279|0.3300|1.9599|0.0000|BULLISH
AXON|2025-09-09 13:30|736.7450|739.9999|726.2200|726.2200|51185|10.5250|3.2549|0.0000|BEARISH
AXON|2025-09-09 14:30|726.9300|726.9300|718.0171|719.3700|41413|7.5600|0.0000|1.3529|BEARISH
AXON|2025-09-09 15:30|719.0200|727.9000|718.9200|727.6800|30842|8.6600|0.2200|0.1000|BULLISH
AXON|2025-09-09 16:30|726.9500|729.7038|726.4650|726.8297|23267|0.1203|2.7538|0.3647|BEARISH
AXON|2025-09-09 17:30|727.0000|727.6700|724.0000|727.2600|18985|0.2600|0.4100|3.0000|BULLISH
AXON|2025-09-09 18:30|726.5900|731.5000|726.5900|729.7800|33309|3.1900|1.7200|0.0000|BULLISH
AXON|2025-09-09 19:30|730.1000|732.3200|728.1400|731.6600|61154|1.5600|0.6600|1.9600|BULLISH
AXON|2025-09-10 13:30|736.6600|750.9550|734.2600|745.7900|99413|9.1300|5.1650|2.4000|BULLISH
AXON|2025-09-10 14:30|745.1168|747.6450|738.1200|738.1200|42428|6.9968|2.5282|0.0000|BEARISH
AXON|2025-09-10 15:30|738.0100|740.1900|736.3313|736.7200|24771|1.2900|2.1800|0.3887|BEARISH
AXON|2025-09-10 16:30|737.1000|740.2300|737.1000|740.1900|20917|3.0900|0.0400|0.0000|BULLISH
AXON|2025-09-10 17:30|740.2100|741.6200|737.6400|739.0000|30001|1.2100|1.4100|1.3600|BEARISH
AXON|2025-09-10 18:30|738.8750|744.1300|738.1450|743.9000|51551|5.0250|0.2300|0.7300|BULLISH
AXON|2025-09-10 19:30|744.0000|748.7000|743.8400|747.5600|98084|3.5600|1.1400|0.1600|BULLISH
AXON|2025-09-11 13:30|751.4200|762.0650|750.7800|752.6350|108414|1.2150|9.4300|0.6400|BULLISH
AXON|2025-09-11 14:30|753.5100|764.9999|753.5100|760.3950|50266|6.8850|4.6049|0.0000|BULLISH
AXON|2025-09-11 15:30|760.2600|765.0050|759.9450|763.9800|28038|3.7200|1.0250|0.3150|BULLISH
AXON|2025-09-11 16:30|764.2850|764.2850|755.1975|755.1975|30296|9.0875|0.0000|0.0000|BEARISH
AXON|2025-09-11 17:30|755.0900|755.0900|745.9900|747.1400|47676|7.9500|0.0000|1.1500|BEARISH
AXON|2025-09-11 18:30|747.4800|748.7410|745.4284|748.7410|35790|1.2610|0.0000|2.0516|BULLISH
AXON|2025-09-11 19:30|748.0850|753.2593|748.0850|751.5400|57406|3.4550|1.7193|0.0000|BULLISH
AXON|2025-09-12 13:30|756.6600|764.1800|756.6600|764.0500|63145|7.3900|0.1300|0.0000|BULLISH
AXON|2025-09-12 14:30|765.3504|765.4400|761.4600|761.4600|31478|3.8904|0.0896|0.0000|BEARISH
AXON|2025-09-12 15:30|761.8000|761.8000|756.5900|756.5900|24293|5.2100|0.0000|0.0000|BEARISH
AXON|2025-09-12 16:30|756.8700|757.1150|754.5975|755.6800|19218|1.1900|0.2450|1.0825|BEARISH
AXON|2025-09-12 17:30|755.5600|758.9550|754.4600|758.5600|23757|3.0000|0.3950|1.1000|BULLISH
AXON|2025-09-12 18:30|758.9900|759.5000|755.9500|756.5500|34171|2.4400|0.5100|0.6000|BEARISH
AXON|2025-09-12 19:30|756.9800|759.0100|755.2124|756.1300|49324|0.8500|2.0300|0.9176|BEARISH
AXON|2025-09-15 13:30|760.0000|769.7950|758.3400|762.5100|55780|2.5100|7.2850|1.6600|BULLISH
AXON|2025-09-15 14:30|762.3950|768.2200|762.0000|767.0750|47539|4.6800|1.1450|0.3950|BULLISH
AXON|2025-09-15 15:30|765.8750|771.6350|764.2093|771.5400|36048|5.6650|0.0950|1.6657|BULLISH
AXON|2025-09-15 16:30|772.0600|774.2100|769.1550|769.2250|39859|2.8350|2.1500|0.0699|BEARISH
AXON|2025-09-15 17:30|769.3500|769.4300|762.2700|762.2700|32140|7.0800|0.0800|0.0000|BEARISH
AXON|2025-09-15 18:30|763.1500|763.1500|760.4600|761.4600|43886|1.6900|0.0000|1.0000|BEARISH
AXON|2025-09-15 19:30|761.2850|762.9400|759.4150|760.9000|61807|0.3849|1.6550|1.4850|BEARISH
AXON|2025-09-16 13:30|760.7900|766.6300|755.2200|762.4900|87359|1.7000|4.1400|5.5700|BULLISH
AXON|2025-09-16 14:30|762.0900|766.6300|756.2300|759.6000|75732|2.4901|4.5400|3.3700|BEARISH
AXON|2025-09-16 15:30|758.2500|763.8200|758.1800|762.4100|28658|4.1600|1.4100|0.0700|BULLISH
AXON|2025-09-16 16:30|762.5000|765.1650|761.0550|764.3050|35493|1.8050|0.8600|1.4450|BULLISH
AXON|2025-09-16 17:30|764.3120|765.8000|759.8800|760.0700|45033|4.2420|1.4880|0.1900|BEARISH
AXON|2025-09-16 18:30|759.1800|759.4900|753.3800|753.6550|43572|5.5250|0.3100|0.2750|BEARISH
AXON|2025-09-16 19:30|754.0000|755.2500|750.6500|750.7300|94369|3.2700|1.2500|0.0800|BEARISH
AXON|2025-09-17 13:30|750.6700|762.1750|750.6700|755.7900|64268|5.1200|6.3850|0.0000|BULLISH
AXON|2025-09-17 14:30|755.6650|760.3700|755.6650|757.1700|34723|1.5050|3.2000|0.0000|BULLISH
AXON|2025-09-17 15:30|757.8450|761.1300|752.6100|752.8450|43669|5.0000|3.2850|0.2350|BEARISH
AXON|2025-09-17 16:30|753.3600|756.9400|752.6700|756.3300|28852|2.9700|0.6100|0.6900|BULLISH
AXON|2025-09-17 17:30|755.4300|758.2400|749.5000|757.3100|58790|1.8800|0.9300|5.9300|BULLISH
AXON|2025-09-17 18:30|757.0350|758.1276|748.7300|758.1276|68564|1.0927|0.0000|8.3050|BULLISH
AXON|2025-09-17 19:30|757.9800|758.5000|750.6100|751.6600|87435|6.3200|0.5200|1.0500|BEARISH
AXON|2025-09-18 13:30|756.3500|771.9999|753.0000|768.6200|71177|12.2700|3.3799|3.3500|BULLISH
AXON|2025-09-18 14:30|769.1200|770.0199|765.5950|766.7600|53346|2.3600|0.8999|1.1650|BEARISH
AXON|2025-09-18 15:30|766.9050|766.9050|760.2500|764.5000|29017|2.4050|0.0000|4.2500|BEARISH
AXON|2025-09-18 16:30|766.8400|769.1050|764.7400|765.1754|20197|1.6646|2.2650|0.4354|BEARISH
AXON|2025-09-18 17:30|765.2700|765.2700|761.9900|763.1600|32324|2.1100|0.0000|1.1700|BEARISH
AXON|2025-09-18 18:30|762.5301|767.5200|762.5301|766.3100|47214|3.7799|1.2100|0.0000|BULLISH
AXON|2025-09-18 19:30|766.1350|768.0450|764.0150|767.0300|75403|0.8950|1.0150|2.1200|BULLISH
AXON|2025-09-19 13:30|771.7700|779.0200|765.0100|765.6600|169432|6.1100|7.2500|0.6500|BEARISH
