Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
AZO|2025-09-02 13:30|4198.0000|4225.0000|4192.1099|4200.5801|21180|2.5801|24.4199|5.8901|BULLISH
AZO|2025-09-02 14:30|4197.9448|4204.8799|4182.4102|4182.4102|14390|15.5347|6.9351|0.0000|BEARISH
AZO|2025-09-02 15:30|4184.6968|4186.6802|4174.9302|4177.7002|5367|6.9966|1.9834|2.7700|BEARISH
AZO|2025-09-02 16:30|4171.0098|4176.7900|4166.5801|4166.5801|9108|4.4297|5.7803|0.0000|BEARISH
AZO|2025-09-02 17:30|4165.1709|4173.2002|4165.1709|4173.2002|6351|8.0293|0.0000|0.0000|BULLISH
AZO|2025-09-02 18:30|4174.4849|4180.3149|4174.4849|4176.2852|7224|1.8003|4.0298|0.0000|BULLISH
AZO|2025-09-02 19:30|4170.8325|4178.8198|4170.8325|4178.8198|16996|7.9873|0.0000|0.0000|BULLISH
AZO|2025-09-03 13:30|4174.9399|4193.1099|4165.8198|4185.1001|11485|10.1602|8.0098|9.1201|BULLISH
AZO|2025-09-03 14:30|4180.3101|4185.1099|4169.4097|4185.1099|9767|4.7998|0.0000|10.9004|BULLISH
AZO|2025-09-03 15:30|4184.4399|4185.4702|4174.7998|4185.4702|7781|1.0303|0.0000|9.6401|BULLISH
AZO|2025-09-03 16:30|4185.4551|4185.4551|4180.9502|4183.7598|3904|1.6953|0.0000|2.8096|BEARISH
AZO|2025-09-03 17:30|4183.0000|4187.5298|4180.1851|4187.5298|23034|4.5298|0.0000|2.8149|BULLISH
AZO|2025-09-03 18:30|4195.4800|4195.4800|4190.9399|4190.9399|4948|4.5400|0.0000|0.0000|BEARISH
AZO|2025-09-03 19:30|4179.8950|4189.3799|4179.8950|4187.0298|13907|7.1348|2.3501|0.0000|BULLISH
AZO|2025-09-04 13:30|4195.1499|4222.4800|4180.0000|4214.0200|13149|18.8701|8.4600|15.1499|BULLISH
AZO|2025-09-04 14:30|4204.5049|4218.2300|4204.5049|4218.2300|6859|13.7251|0.0000|0.0000|BULLISH
AZO|2025-09-04 15:30|4226.1499|4231.0698|4219.8950|4224.4399|7378|1.7100|4.9199|4.5449|BEARISH
AZO|2025-09-04 16:30|4219.1001|4228.2549|4216.7749|4228.2549|5252|9.1548|0.0000|2.3252|BULLISH
AZO|2025-09-04 17:30|4226.6001|4229.0200|4226.5498|4227.1899|11448|0.5898|1.8301|0.0503|BULLISH
AZO|2025-09-04 18:30|4224.7500|4224.7500|4224.7500|4224.7500|4875|0.0000|0.0000|0.0000|BULLISH
AZO|2025-09-04 19:30|4229.5400|4238.1899|4229.4902|4236.7998|17362|7.2598|1.3901|0.0498|BULLISH
AZO|2025-09-05 13:30|4237.0498|4248.1401|4218.4448|4220.0801|20591|16.9697|11.0903|1.6353|BEARISH
AZO|2025-09-05 14:30|4210.7798|4226.3901|4210.7798|4220.8052|10960|10.0254|5.5850|0.0000|BULLISH
AZO|2025-09-05 15:30|4219.6851|4220.2051|4215.0000|4219.6699|5520|0.0151|0.5200|4.6699|BEARISH
AZO|2025-09-05 16:30|4219.5698|4222.1201|4206.2798|4215.0352|9495|4.5347|2.5503|8.7554|BEARISH
AZO|2025-09-05 17:30|4221.1099|4224.2202|4203.0898|4208.0752|4972|13.0347|3.1104|4.9854|BEARISH
AZO|2025-09-05 18:30|4209.6201|4221.6152|4200.0000|4219.6250|14116|10.0049|1.9902|9.6201|BULLISH
AZO|2025-09-05 19:30|4214.3701|4217.8599|4210.2148|4215.5801|13461|1.2100|2.2798|4.1553|BULLISH
AZO|2025-09-08 13:30|4218.0000|4248.9551|4218.0000|4236.8999|15868|18.8999|12.0552|0.0000|BULLISH
