Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
BBWI|2025-09-02 13:30|28.9800|29.2500|28.5560|29.0300|1048809|0.0500|0.2200|0.4240|BULLISH
BBWI|2025-09-02 14:30|29.0300|29.2400|28.9850|29.1650|708250|0.1350|0.0750|0.0450|BULLISH
BBWI|2025-09-02 15:30|29.1600|29.1900|29.0050|29.0650|579373|0.0950|0.0300|0.0600|BEARISH
BBWI|2025-09-02 16:30|29.0700|29.3800|29.0200|29.3499|414156|0.2799|0.0301|0.0500|BULLISH
BBWI|2025-09-02 17:30|29.3450|29.5550|29.3000|29.3900|713594|0.0450|0.1650|0.0450|BULLISH
BBWI|2025-09-02 18:30|29.3900|29.6150|29.3600|29.5150|814528|0.1250|0.1000|0.0300|BULLISH
BBWI|2025-09-02 19:30|29.5150|29.6800|29.5050|29.5500|1389863|0.0350|0.1300|0.0100|BULLISH
BBWI|2025-09-03 13:30|29.7700|30.6200|29.6450|30.4700|1469886|0.7000|0.1500|0.1250|BULLISH
BBWI|2025-09-03 14:30|30.4650|30.5900|30.2750|30.4900|748488|0.0250|0.1000|0.1900|BULLISH
BBWI|2025-09-03 15:30|30.4950|30.6350|30.4050|30.5550|787244|0.0600|0.0800|0.0900|BULLISH
BBWI|2025-09-03 16:30|30.5600|30.6700|30.5001|30.6150|506054|0.0550|0.0550|0.0599|BULLISH
BBWI|2025-09-03 17:30|30.6150|30.6150|30.2850|30.5100|583535|0.1050|0.0000|0.2250|BEARISH
BBWI|2025-09-03 18:30|30.5100|30.6300|30.3600|30.4750|646044|0.0350|0.1200|0.1150|BEARISH
BBWI|2025-09-03 19:30|30.4750|30.6800|30.4750|30.5600|1166880|0.0850|0.1200|0.0000|BULLISH
BBWI|2025-09-04 13:30|30.9800|32.0200|30.8900|31.6950|1642570|0.7150|0.3250|0.0900|BULLISH
BBWI|2025-09-04 14:30|31.6900|31.9950|31.5950|31.9600|710347|0.2700|0.0350|0.0950|BULLISH
BBWI|2025-09-04 15:30|31.9650|32.3200|31.9550|32.1900|620075|0.2250|0.1300|0.0100|BULLISH
BBWI|2025-09-04 16:30|32.1850|32.2250|31.9750|32.0500|708655|0.1350|0.0400|0.0750|BEARISH
BBWI|2025-09-04 17:30|32.0600|32.1200|31.8300|31.8500|741139|0.2100|0.0600|0.0200|BEARISH
BBWI|2025-09-04 18:30|31.8600|31.9050|31.7350|31.9000|941023|0.0400|0.0050|0.1250|BULLISH
BBWI|2025-09-04 19:30|31.9000|31.9800|31.8400|31.8900|1212848|0.0100|0.0800|0.0500|BEARISH
BBWI|2025-09-05 13:30|31.8800|32.0250|30.7300|30.8200|1617970|1.0600|0.1450|0.0900|BEARISH
BBWI|2025-09-05 14:30|30.8200|30.9400|30.5650|30.7550|841047|0.0650|0.1200|0.1900|BEARISH
BBWI|2025-09-05 15:30|30.7500|30.8450|30.5900|30.6250|581859|0.1250|0.0950|0.0350|BEARISH
BBWI|2025-09-05 16:30|30.6250|30.6950|30.0650|30.0950|1228147|0.5300|0.0700|0.0300|BEARISH
BBWI|2025-09-05 17:30|30.1050|30.2000|29.8750|29.9450|954009|0.1600|0.0950|0.0700|BEARISH
