Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
BDX|2025-09-02 13:30|192.7400|193.9900|189.4650|190.4900|170735|2.2500|1.2500|1.0250|BEARISH
BDX|2025-09-02 14:30|190.4700|190.8000|189.7600|189.9000|120485|0.5700|0.3300|0.1400|BEARISH
BDX|2025-09-02 15:30|189.7700|189.8500|188.9500|189.0000|123259|0.7700|0.0800|0.0500|BEARISH
BDX|2025-09-02 16:30|189.0200|189.0800|188.5800|188.9150|100504|0.1050|0.0600|0.3350|BEARISH
BDX|2025-09-02 17:30|188.9400|189.4100|188.9400|189.0000|124505|0.0600|0.4100|0.0000|BULLISH
BDX|2025-09-02 18:30|188.9950|189.2500|188.7000|189.0100|133936|0.0150|0.2400|0.2950|BULLISH
BDX|2025-09-02 19:30|188.9500|188.9550|188.0300|188.1300|509454|0.8200|0.0050|0.1000|BEARISH
BDX|2025-09-03 13:30|186.5500|186.5500|183.7250|184.2000|1120974|2.3500|0.0000|0.4750|BEARISH
BDX|2025-09-03 14:30|184.1950|186.1300|183.9500|186.0900|401971|1.8950|0.0400|0.2450|BULLISH
BDX|2025-09-03 15:30|186.1700|186.4150|185.7500|186.4100|190809|0.2400|0.0050|0.4200|BULLISH
BDX|2025-09-03 16:30|186.3600|187.2850|186.3600|187.1400|152458|0.7800|0.1450|0.0000|BULLISH
BDX|2025-09-03 17:30|187.1500|188.5150|187.0979|188.2900|193519|1.1400|0.2250|0.0521|BULLISH
BDX|2025-09-03 18:30|188.2700|189.0750|188.2600|188.5900|261615|0.3200|0.4850|0.0100|BULLISH
BDX|2025-09-03 19:30|188.5900|189.6200|188.5900|189.5900|501601|1.0000|0.0300|0.0000|BULLISH
BDX|2025-09-04 13:30|189.1300|190.3600|187.3150|189.1950|160495|0.0650|1.1650|1.8150|BULLISH
BDX|2025-09-04 14:30|189.1900|189.6100|188.9600|189.4600|129396|0.2700|0.1500|0.2300|BULLISH
BDX|2025-09-04 15:30|189.5100|190.4700|189.4350|190.4600|100591|0.9500|0.0100|0.0750|BULLISH
BDX|2025-09-04 16:30|190.4300|190.6100|190.1700|190.5000|81473|0.0700|0.1100|0.2600|BULLISH
BDX|2025-09-04 17:30|190.4350|190.5100|189.9900|190.0600|63360|0.3750|0.0750|0.0700|BEARISH
BDX|2025-09-04 18:30|190.0900|190.9600|189.9000|190.7047|151592|0.6147|0.2553|0.1900|BULLISH
BDX|2025-09-04 19:30|190.6700|191.6000|190.6200|191.3800|365527|0.7100|0.2200|0.0500|BULLISH
BDX|2025-09-05 13:30|191.0000|192.9800|190.8300|191.7250|144957|0.7250|1.2550|0.1700|BULLISH
BDX|2025-09-05 14:30|191.7150|192.2696|191.0800|191.8100|80728|0.0950|0.4596|0.6350|BULLISH
BDX|2025-09-05 15:30|191.9800|192.4300|191.7200|192.1850|70504|0.2050|0.2450|0.2600|BULLISH
BDX|2025-09-05 16:30|192.2500|192.2700|191.5500|191.6200|83355|0.6300|0.0200|0.0700|BEARISH
BDX|2025-09-05 17:30|191.5900|191.8600|191.3500|191.4400|138268|0.1500|0.2700|0.0900|BEARISH
BDX|2025-09-05 18:30|191.4500|192.4500|191.4500|192.2250|167932|0.7750|0.2250|0.0000|BULLISH
BDX|2025-09-05 19:30|192.1900|192.4350|191.7950|192.3300|259157|0.1400|0.1050|0.3950|BULLISH
