Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
BF-B|2025-09-02 13:30|29.5800|29.7400|29.0300|29.1600|600749|0.4200|0.1600|0.1300|BEARISH
BF-B|2025-09-02 14:30|29.1500|29.1800|28.7800|28.8900|403566|0.2600|0.0300|0.1100|BEARISH
BF-B|2025-09-02 15:30|28.8800|29.2150|28.8450|29.1200|318270|0.2400|0.0950|0.0350|BULLISH
BF-B|2025-09-02 16:30|29.1250|29.2100|29.0600|29.1730|253524|0.0480|0.0370|0.0650|BULLISH
BF-B|2025-09-02 17:30|29.1750|29.3000|29.1500|29.1700|251268|0.0050|0.1250|0.0200|BEARISH
BF-B|2025-09-02 18:30|29.1700|29.2450|29.1400|29.2399|390082|0.0699|0.0051|0.0300|BULLISH
BF-B|2025-09-02 19:30|29.2350|29.2590|29.1300|29.1400|722311|0.0950|0.0240|0.0100|BEARISH
BF-B|2025-09-03 13:30|28.7200|28.9550|28.5100|28.6700|445098|0.0500|0.2350|0.1600|BEARISH
BF-B|2025-09-03 14:30|28.6675|28.7400|28.5200|28.5700|342886|0.0975|0.0725|0.0500|BEARISH
BF-B|2025-09-03 15:30|28.5800|28.6100|28.4100|28.5200|306308|0.0600|0.0300|0.1100|BEARISH
BF-B|2025-09-03 16:30|28.5250|28.6000|28.4250|28.4350|224258|0.0900|0.0750|0.0100|BEARISH
BF-B|2025-09-03 17:30|28.4350|28.4350|28.1300|28.3300|372954|0.1050|0.0000|0.2000|BEARISH
BF-B|2025-09-03 18:30|28.3300|28.4050|28.0600|28.1550|434783|0.1750|0.0750|0.0950|BEARISH
BF-B|2025-09-03 19:30|28.1550|28.2250|28.1200|28.1850|735762|0.0300|0.0400|0.0350|BULLISH
BF-B|2025-09-04 13:30|28.4900|28.5700|28.2400|28.3200|352912|0.1700|0.0800|0.0800|BEARISH
BF-B|2025-09-04 14:30|28.3200|28.3550|28.1700|28.2300|258398|0.0900|0.0350|0.0600|BEARISH
BF-B|2025-09-04 15:30|28.2250|28.2800|28.0600|28.1700|255067|0.0550|0.0550|0.1100|BEARISH
BF-B|2025-09-04 16:30|28.1600|28.1750|28.0300|28.0700|223324|0.0900|0.0150|0.0400|BEARISH
BF-B|2025-09-04 17:30|28.0646|28.0800|27.9100|28.0000|326673|0.0646|0.0154|0.0900|BEARISH
BF-B|2025-09-04 18:30|28.0000|28.1900|27.9800|28.1900|395196|0.1900|0.0000|0.0200|BULLISH
BF-B|2025-09-04 19:30|28.1900|28.2500|28.1200|28.2100|874970|0.0200|0.0400|0.0700|BULLISH
BF-B|2025-09-05 13:30|28.1350|28.9000|27.9500|28.7825|554078|0.6475|0.1175|0.1850|BULLISH
BF-B|2025-09-05 14:30|28.7800|28.9850|28.6850|28.9200|414012|0.1400|0.0650|0.0950|BULLISH
BF-B|2025-09-05 15:30|28.9100|28.9850|28.8050|28.8100|241478|0.1000|0.0750|0.0050|BEARISH
BF-B|2025-09-05 16:30|28.8100|28.8200|28.6050|28.6500|259530|0.1600|0.0100|0.0450|BEARISH
BF-B|2025-09-05 17:30|28.6600|28.7750|28.6050|28.7100|237951|0.0500|0.0650|0.0550|BULLISH
BF-B|2025-09-05 18:30|28.7100|28.8950|28.6100|28.8000|599965|0.0900|0.0950|0.1000|BULLISH
BF-B|2025-09-05 19:30|28.7990|28.9390|28.7550|28.9100|685217|0.1110|0.0290|0.0440|BULLISH
BF-B|2025-09-08 13:30|28.5600|28.7000|27.5100|27.7498|682920|0.8102|0.1400|0.2398|BEARISH
BF-B|2025-09-08 14:30|27.7400|28.0580|27.6100|28.0500|382498|0.3100|0.0080|0.1300|BULLISH
BF-B|2025-09-08 15:30|28.0450|28.1000|27.8200|27.9000|198261|0.1450|0.0550|0.0800|BEARISH
BF-B|2025-09-08 16:30|27.9000|27.9200|27.6000|27.6100|394187|0.2900|0.0200|0.0100|BEARISH
BF-B|2025-09-08 17:30|27.6100|27.6150|27.4000|27.5250|434349|0.0850|0.0050|0.1250|BEARISH
BF-B|2025-09-08 18:30|27.5250|27.6300|27.4400|27.4550|443957|0.0700|0.1050|0.0150|BEARISH
BF-B|2025-09-08 19:30|27.4550|27.6550|27.4300|27.6100|704646|0.1550|0.0450|0.0250|BULLISH
BF-B|2025-09-09 13:30|27.5500|28.1400|27.4600|28.0500|451903|0.5000|0.0900|0.0900|BULLISH
BF-B|2025-09-09 14:30|28.0500|28.0750|27.7800|27.8550|263779|0.1950|0.0250|0.0750|BEARISH
BF-B|2025-09-09 15:30|27.8550|27.8800|27.6100|27.6450|239381|0.2100|0.0250|0.0350|BEARISH
BF-B|2025-09-09 16:30|27.6450|27.7100|27.5600|27.6250|169445|0.0200|0.0650|0.0650|BEARISH
BF-B|2025-09-09 17:30|27.6250|27.7400|27.6100|27.6900|199334|0.0650|0.0500|0.0150|BULLISH
BF-B|2025-09-09 18:30|27.7000|27.7300|27.4850|27.4950|377952|0.2050|0.0300|0.0100|BEARISH
BF-B|2025-09-09 19:30|27.4950|27.5600|27.4500|27.4650|652228|0.0300|0.0650|0.0150|BEARISH
BF-B|2025-09-10 13:30|27.2900|27.5100|27.2200|27.3700|341968|0.0800|0.1400|0.0700|BULLISH
BF-B|2025-09-10 14:30|27.3700|27.4400|27.1900|27.4000|283317|0.0300|0.0400|0.1800|BULLISH
BF-B|2025-09-10 15:30|27.4000|27.4500|27.3200|27.3200|187105|0.0800|0.0500|0.0000|BEARISH
BF-B|2025-09-10 16:30|27.3250|27.4300|27.2950|27.4000|169721|0.0750|0.0300|0.0300|BULLISH
BF-B|2025-09-10 17:30|27.4000|27.4350|27.3300|27.4100|224371|0.0100|0.0250|0.0700|BULLISH
BF-B|2025-09-10 18:30|27.4150|27.4600|27.3200|27.3200|278403|0.0950|0.0450|0.0000|BEARISH
BF-B|2025-09-10 19:30|27.3200|27.4100|27.2700|27.2800|745881|0.0400|0.0900|0.0100|BEARISH
BF-B|2025-09-11 13:30|27.2900|27.4500|27.1800|27.3900|349939|0.1000|0.0600|0.1100|BULLISH
BF-B|2025-09-11 14:30|27.3900|27.4700|27.2300|27.3500|570426|0.0400|0.0800|0.1200|BEARISH
BF-B|2025-09-11 15:30|27.3500|27.5650|27.3350|27.4800|377906|0.1300|0.0850|0.0150|BULLISH
BF-B|2025-09-11 16:30|27.4850|27.5100|27.3600|27.4150|305247|0.0700|0.0250|0.0550|BEARISH
BF-B|2025-09-11 17:30|27.4200|27.6250|27.4100|27.5200|328314|0.1000|0.1050|0.0100|BULLISH
BF-B|2025-09-11 18:30|27.5150|27.6050|27.5100|27.5350|297910|0.0200|0.0700|0.0050|BULLISH
BF-B|2025-09-11 19:30|27.5350|27.5600|27.4400|27.4450|683306|0.0900|0.0250|0.0050|BEARISH
BF-B|2025-09-12 13:30|27.4700|27.5000|26.9600|26.9655|289033|0.5045|0.0300|0.0055|BEARISH
BF-B|2025-09-12 14:30|26.9650|27.2100|26.8800|27.1600|222462|0.1950|0.0500|0.0850|BULLISH
