Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
BIIB|2025-09-02 13:30|133.5500|139.7200|133.5300|138.3500|493551|4.8000|1.3700|0.0200|BULLISH
BIIB|2025-09-02 14:30|138.2396|138.6100|137.0500|137.1700|186885|1.0696|0.3704|0.1200|BEARISH
BIIB|2025-09-02 15:30|137.1100|137.5900|136.7700|137.0479|191943|0.0621|0.4800|0.2779|BEARISH
BIIB|2025-09-02 16:30|137.1200|137.3500|136.6100|136.9250|125070|0.1950|0.2300|0.3150|BEARISH
BIIB|2025-09-02 17:30|136.9500|138.1200|136.9500|138.0162|165716|1.0662|0.1038|0.0000|BULLISH
BIIB|2025-09-02 18:30|138.0300|138.7500|137.7501|138.7500|208156|0.7200|0.0000|0.2799|BULLISH
BIIB|2025-09-02 19:30|138.7600|140.0600|138.5100|139.5700|464364|0.8100|0.4900|0.2500|BULLISH
BIIB|2025-09-03 13:30|139.9700|145.2699|139.5600|142.7700|658638|2.8000|2.4999|0.4100|BULLISH
BIIB|2025-09-03 14:30|142.7000|143.5000|141.5500|141.7500|302134|0.9500|0.8000|0.2000|BEARISH
BIIB|2025-09-03 15:30|141.7450|141.9800|140.5600|141.1500|163562|0.5950|0.2350|0.5900|BEARISH
BIIB|2025-09-03 16:30|141.2100|141.9600|141.0400|141.9600|122867|0.7500|0.0000|0.1700|BULLISH
BIIB|2025-09-03 17:30|141.9700|142.5800|141.5000|142.4700|152025|0.5000|0.1100|0.4700|BULLISH
BIIB|2025-09-03 18:30|142.3800|142.5500|141.2000|141.2000|136719|1.1800|0.1700|0.0000|BEARISH
BIIB|2025-09-03 19:30|141.2500|141.7700|140.8000|141.6200|342083|0.3700|0.1500|0.4500|BULLISH
BIIB|2025-09-04 13:30|141.7800|142.2800|138.6323|138.8255|159718|2.9545|0.5000|0.1932|BEARISH
BIIB|2025-09-04 14:30|138.7450|138.8600|137.6000|138.1300|108320|0.6150|0.1150|0.5300|BEARISH
BIIB|2025-09-04 15:30|138.1450|138.4500|137.4234|137.4600|92116|0.6850|0.3050|0.0366|BEARISH
BIIB|2025-09-04 16:30|137.5300|137.9400|137.1401|137.9350|108810|0.4050|0.0050|0.3899|BULLISH
BIIB|2025-09-04 17:30|137.9400|138.5850|137.8300|138.3900|83278|0.4500|0.1950|0.1100|BULLISH
BIIB|2025-09-04 18:30|138.3900|139.1800|138.2400|139.0900|120487|0.7000|0.0900|0.1500|BULLISH
BIIB|2025-09-04 19:30|139.0350|140.2000|139.0300|139.9800|343735|0.9450|0.2200|0.0050|BULLISH
BIIB|2025-09-05 13:30|140.1300|144.2000|139.9600|142.2700|291287|2.1400|1.9300|0.1700|BULLISH
BIIB|2025-09-05 14:30|142.1650|143.0700|141.6300|142.6300|177551|0.4650|0.4400|0.5350|BULLISH
BIIB|2025-09-05 15:30|142.6750|143.2000|142.2762|142.7300|116140|0.0550|0.4700|0.3988|BULLISH
BIIB|2025-09-05 16:30|142.7900|142.7900|141.8500|141.8500|77612|0.9400|0.0000|0.0000|BEARISH
BIIB|2025-09-05 17:30|141.9400|142.1000|141.5900|141.9300|70033|0.0100|0.1600|0.3400|BEARISH
BIIB|2025-09-05 18:30|141.9700|142.2800|141.3800|141.4350|124538|0.5350|0.3100|0.0550|BEARISH
BIIB|2025-09-05 19:30|141.4040|141.4040|140.3100|140.6700|408448|0.7340|0.0000|0.3600|BEARISH
BIIB|2025-09-08 13:30|139.8900|140.2200|137.1954|139.1530|202615|0.7370|0.3300|1.9576|BEARISH
BIIB|2025-09-08 14:30|139.0000|141.3600|138.6500|141.3600|197294|2.3600|0.0000|0.3500|BULLISH
BIIB|2025-09-08 15:30|141.3500|143.2300|141.3000|141.7900|198733|0.4400|1.4400|0.0500|BULLISH
