Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
BRO|2025-09-02 13:30|96.7900|97.1500|95.4400|95.6200|372992|1.1700|0.3600|0.1800|BEARISH
BRO|2025-09-02 14:30|95.6500|95.6900|94.7000|94.7600|359141|0.8900|0.0400|0.0600|BEARISH
BRO|2025-09-02 15:30|94.7550|94.8600|94.5850|94.6900|197006|0.0650|0.1050|0.1050|BEARISH
BRO|2025-09-02 16:30|94.6900|95.0050|94.4700|94.9800|215515|0.2900|0.0250|0.2200|BULLISH
BRO|2025-09-02 17:30|94.9650|95.4800|94.9650|95.4550|192170|0.4900|0.0250|0.0000|BULLISH
BRO|2025-09-02 18:30|95.4500|95.5900|95.2100|95.4450|262782|0.0050|0.1400|0.2350|BEARISH
BRO|2025-09-02 19:30|95.4450|95.5614|95.3200|95.4000|459719|0.0450|0.1164|0.0800|BEARISH
BRO|2025-09-03 13:30|95.2700|95.4200|94.5900|94.9300|229164|0.3400|0.1500|0.3400|BEARISH
BRO|2025-09-03 14:30|94.9600|95.2700|94.8000|95.2400|183722|0.2800|0.0300|0.1600|BULLISH
BRO|2025-09-03 15:30|95.2550|95.3000|95.0000|95.1800|131181|0.0750|0.0450|0.1800|BEARISH
BRO|2025-09-03 16:30|95.1800|95.3400|95.0500|95.3100|128733|0.1300|0.0300|0.1300|BULLISH
BRO|2025-09-03 17:30|95.3000|95.4362|95.2200|95.3400|160363|0.0400|0.0962|0.0800|BULLISH
BRO|2025-09-03 18:30|95.3300|95.3916|95.0100|95.0100|172635|0.3200|0.0616|0.0000|BEARISH
BRO|2025-09-03 19:30|95.0000|95.3900|94.9800|95.2900|424389|0.2900|0.1000|0.0200|BULLISH
BRO|2025-09-04 13:30|95.4300|95.5700|94.5500|95.0500|174943|0.3800|0.1400|0.5000|BEARISH
BRO|2025-09-04 14:30|95.0500|95.2000|94.3700|94.4600|331978|0.5900|0.1500|0.0900|BEARISH
BRO|2025-09-04 15:30|94.4600|95.3100|94.4100|95.1850|292483|0.7250|0.1250|0.0500|BULLISH
BRO|2025-09-04 16:30|95.1850|95.4000|94.9450|95.3300|146446|0.1450|0.0700|0.2400|BULLISH
BRO|2025-09-04 17:30|95.3300|95.3430|95.1050|95.1300|105280|0.2000|0.0130|0.0250|BEARISH
BRO|2025-09-04 18:30|95.1500|95.4500|95.1100|95.2490|181920|0.0990|0.2010|0.0400|BULLISH
BRO|2025-09-04 19:30|95.2400|95.6000|95.1500|95.4500|412659|0.2100|0.1500|0.0900|BULLISH
BRO|2025-09-05 13:30|95.4600|96.1300|94.7300|94.7300|181799|0.7300|0.6700|0.0000|BEARISH
BRO|2025-09-05 14:30|94.7539|94.7600|94.3950|94.6900|147359|0.0639|0.0061|0.2950|BEARISH
