Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
BR|2025-09-02 13:30|254.8400|256.6700|253.9700|254.7850|70986|0.0550|1.8300|0.8150|BEARISH
BR|2025-09-02 14:30|254.8500|255.0950|253.7100|253.8100|56420|1.0400|0.2450|0.1000|BEARISH
BR|2025-09-02 15:30|253.4250|253.4500|252.4100|252.5400|30450|0.8850|0.0250|0.1300|BEARISH
BR|2025-09-02 16:30|252.5100|253.0100|252.1201|252.6700|24778|0.1600|0.3400|0.3899|BULLISH
BR|2025-09-02 17:30|252.6525|253.1500|251.8900|251.9300|68657|0.7225|0.4975|0.0400|BEARISH
BR|2025-09-02 18:30|251.9850|252.3400|251.5000|251.5600|71691|0.4250|0.3550|0.0600|BEARISH
BR|2025-09-02 19:30|251.5950|252.3150|251.2250|251.8600|207012|0.2650|0.4550|0.3700|BULLISH
BR|2025-09-03 13:30|250.8000|252.1600|248.3600|249.0800|49258|1.7200|1.3600|0.7200|BEARISH
BR|2025-09-03 14:30|249.1400|250.1104|248.9600|249.1400|49128|0.0000|0.9704|0.1800|BULLISH
BR|2025-09-03 15:30|249.2300|249.2300|248.2600|248.4600|28913|0.7700|0.0000|0.2000|BEARISH
BR|2025-09-03 16:30|248.4100|248.7650|247.9701|248.2600|30998|0.1500|0.3550|0.2899|BEARISH
BR|2025-09-03 17:30|248.1900|248.5900|247.5150|248.4400|43254|0.2500|0.1500|0.6750|BULLISH
BR|2025-09-03 18:30|248.3900|249.0600|248.3900|248.9000|58039|0.5100|0.1600|0.0000|BULLISH
BR|2025-09-03 19:30|248.9300|250.1600|248.8100|249.7900|135631|0.8600|0.3700|0.1200|BULLISH
BR|2025-09-04 13:30|250.3100|250.3100|249.1458|249.6800|36566|0.6300|0.0000|0.5342|BEARISH
BR|2025-09-04 14:30|249.8900|250.9400|249.8200|250.9400|60225|1.0500|0.0000|0.0700|BULLISH
BR|2025-09-04 15:30|250.9400|251.9299|250.8100|251.4000|55693|0.4600|0.5299|0.1300|BULLISH
BR|2025-09-04 16:30|251.3300|251.3700|250.8200|250.9300|34399|0.4000|0.0400|0.1100|BEARISH
BR|2025-09-04 17:30|250.9300|251.5800|250.7700|251.2050|97170|0.2750|0.3750|0.1600|BULLISH
BR|2025-09-04 18:30|251.2000|252.0348|251.2000|251.5400|43231|0.3400|0.4948|0.0000|BULLISH
BR|2025-09-04 19:30|251.4700|252.1100|251.2601|251.9400|77655|0.4700|0.1700|0.2099|BULLISH
BR|2025-09-05 13:30|252.4400|253.9300|251.0575|251.2300|66061|1.2100|1.4900|0.1725|BEARISH
BR|2025-09-05 14:30|251.0100|251.1332|249.9800|250.1750|35985|0.8350|0.1232|0.1950|BEARISH
BR|2025-09-05 15:30|250.4000|250.5300|249.3750|249.4835|34235|0.9165|0.1300|0.1085|BEARISH
BR|2025-09-05 16:30|249.4700|250.4800|249.2350|250.2883|44350|0.8183|0.1917|0.2350|BULLISH
BR|2025-09-05 17:30|249.9300|250.4150|249.6600|250.2600|24261|0.3300|0.1550|0.2700|BULLISH
BR|2025-09-05 18:30|250.3250|251.0000|250.2900|250.7600|48743|0.4350|0.2400|0.0350|BULLISH
BR|2025-09-05 19:30|250.8066|251.0400|249.9800|251.0400|122415|0.2334|0.0000|0.8266|BULLISH
BR|2025-09-08 13:30|250.5400|252.3200|249.2528|252.1100|56979|1.5700|0.2100|1.2872|BULLISH
BR|2025-09-08 14:30|252.1500|253.7850|252.0000|253.3100|64407|1.1600|0.4750|0.1500|BULLISH
BR|2025-09-08 15:30|253.5000|253.5750|252.8400|253.1600|37540|0.3400|0.0750|0.3200|BEARISH
BR|2025-09-08 16:30|253.1100|253.7700|253.1000|253.4300|52589|0.3200|0.3400|0.0100|BULLISH
BR|2025-09-08 17:30|253.4850|253.4850|252.2700|253.0250|34264|0.4600|0.0000|0.7550|BEARISH
