Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
BSX|2025-09-02 13:30|105.4700|106.5200|104.2400|106.5200|1356659|1.0500|0.0000|1.2300|BULLISH
BSX|2025-09-02 14:30|106.5300|106.5600|106.0600|106.3500|660187|0.1800|0.0300|0.2900|BEARISH
BSX|2025-09-02 15:30|106.3400|106.5200|106.0700|106.1600|481416|0.1800|0.1800|0.0900|BEARISH
BSX|2025-09-02 16:30|106.1550|106.2800|105.9350|106.2531|408374|0.0981|0.0269|0.2200|BULLISH
BSX|2025-09-02 17:30|106.2500|106.7700|106.2400|106.5550|547258|0.3050|0.2150|0.0100|BULLISH
BSX|2025-09-02 18:30|106.5600|106.8686|106.4300|106.7765|948017|0.2165|0.0921|0.1300|BULLISH
BSX|2025-09-02 19:30|106.7800|106.8700|106.5700|106.6400|1080301|0.1400|0.0900|0.0700|BEARISH
BSX|2025-09-03 13:30|107.0000|107.6893|106.6900|107.1300|834778|0.1300|0.5593|0.3100|BULLISH
BSX|2025-09-03 14:30|107.1300|107.5900|107.0500|107.2900|687776|0.1600|0.3000|0.0800|BULLISH
BSX|2025-09-03 15:30|107.3000|107.3450|106.7450|106.9200|598035|0.3800|0.0450|0.1750|BEARISH
BSX|2025-09-03 16:30|106.9200|106.9500|105.1700|105.9150|1655996|1.0050|0.0300|0.7450|BEARISH
BSX|2025-09-03 17:30|105.9150|106.7000|105.8300|106.6950|695879|0.7800|0.0050|0.0850|BULLISH
BSX|2025-09-03 18:30|106.6900|107.0500|106.6100|106.9900|643488|0.3000|0.0600|0.0800|BULLISH
BSX|2025-09-03 19:30|107.0150|107.5400|106.9250|107.5300|1269143|0.5150|0.0100|0.0900|BULLISH
BSX|2025-09-04 13:30|107.5900|108.4650|107.1100|108.0200|1275028|0.4300|0.4450|0.4800|BULLISH
BSX|2025-09-04 14:30|108.0000|108.1300|107.4908|107.9400|1008344|0.0600|0.1300|0.4492|BEARISH
BSX|2025-09-04 15:30|107.9500|108.1350|107.8000|107.9550|789475|0.0050|0.1800|0.1500|BULLISH
BSX|2025-09-04 16:30|107.9559|108.1900|107.8100|107.9700|479108|0.0141|0.2200|0.1459|BULLISH
BSX|2025-09-04 17:30|107.9700|107.9800|107.4250|107.4600|381889|0.5100|0.0100|0.0350|BEARISH
BSX|2025-09-04 18:30|107.4600|107.4600|107.0800|107.1400|619842|0.3200|0.0000|0.0600|BEARISH
BSX|2025-09-04 19:30|107.1350|107.4450|106.6000|107.3000|1224278|0.1650|0.1450|0.5350|BULLISH
BSX|2025-09-05 13:30|107.1100|108.2500|107.0000|107.5800|605518|0.4700|0.6700|0.1100|BULLISH
BSX|2025-09-05 14:30|107.5900|107.5900|107.0000|107.1950|491222|0.3950|0.0000|0.1950|BEARISH
BSX|2025-09-05 15:30|107.1800|107.3350|106.9400|106.9900|401603|0.1900|0.1550|0.0500|BEARISH
BSX|2025-09-05 16:30|107.0100|107.1300|106.7950|106.7950|279856|0.2150|0.1200|0.0000|BEARISH
BSX|2025-09-05 17:30|106.7800|107.0262|106.7150|106.8700|285838|0.0900|0.1562|0.0650|BULLISH
BSX|2025-09-05 18:30|106.8700|107.2700|106.8700|107.1600|480698|0.2900|0.1100|0.0000|BULLISH
BSX|2025-09-05 19:30|107.1550|107.2200|106.9700|107.2200|691265|0.0650|0.0000|0.1850|BULLISH
BSX|2025-09-08 13:30|107.3700|108.5900|106.8000|108.1800|2372928|0.8100|0.4100|0.5700|BULLISH
BSX|2025-09-08 14:30|108.1900|108.6800|107.7550|108.3363|817027|0.1463|0.3437|0.4350|BULLISH
BSX|2025-09-08 15:30|108.3350|108.5400|108.0500|108.0800|449608|0.2550|0.2050|0.0300|BEARISH
BSX|2025-09-08 16:30|108.0800|108.4500|107.9300|108.3800|411697|0.3000|0.0700|0.1500|BULLISH
BSX|2025-09-08 17:30|108.4000|108.4500|107.9400|108.0900|456835|0.3100|0.0500|0.1500|BEARISH
BSX|2025-09-08 18:30|108.0900|108.1400|107.8000|107.8400|627668|0.2500|0.0500|0.0400|BEARISH
BSX|2025-09-08 19:30|107.8500|108.2650|107.7650|108.1500|1159796|0.3000|0.1150|0.0850|BULLISH
BSX|2025-09-09 13:30|107.8900|109.5000|107.8800|108.3050|1029367|0.4150|1.1950|0.0100|BULLISH
BSX|2025-09-09 14:30|108.2950|108.4600|108.0100|108.3850|554512|0.0900|0.0750|0.2850|BULLISH
BSX|2025-09-09 15:30|108.3850|108.6500|108.2400|108.3400|421347|0.0450|0.2650|0.1000|BEARISH
BSX|2025-09-09 16:30|108.3600|108.4900|108.1192|108.2700|311229|0.0900|0.1300|0.1508|BEARISH
BSX|2025-09-09 17:30|108.2900|108.3700|108.1600|108.1900|438228|0.1000|0.0800|0.0300|BEARISH
BSX|2025-09-09 18:30|108.2000|108.2900|107.9800|108.0100|912651|0.1900|0.0900|0.0300|BEARISH
BSX|2025-09-09 19:30|108.0100|108.2000|107.9200|108.1100|801340|0.1000|0.0900|0.0900|BULLISH
BSX|2025-09-10 13:30|108.0000|108.0700|105.2100|106.1050|1928884|1.8950|0.0700|0.8950|BEARISH
BSX|2025-09-10 14:30|106.0950|106.5500|104.9300|105.0850|811120|1.0100|0.4550|0.1550|BEARISH
BSX|2025-09-10 15:30|105.0850|105.7000|105.0200|105.1200|409656|0.0350|0.5800|0.0650|BULLISH
BSX|2025-09-10 16:30|105.1100|105.3850|103.8800|103.9700|1410565|1.1400|0.2750|0.0900|BEARISH
BSX|2025-09-10 17:30|103.9600|104.6900|103.6900|104.1300|756443|0.1700|0.5600|0.2700|BULLISH
BSX|2025-09-10 18:30|104.1400|104.8100|103.9600|104.7000|1851759|0.5600|0.1100|0.1800|BULLISH
