Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
BXP|2025-09-02 13:30|71.5200|72.4700|71.1800|72.3900|255289|0.8700|0.0800|0.3400|BULLISH
BXP|2025-09-02 14:30|72.4300|72.4400|71.8750|72.1450|98438|0.2850|0.0100|0.2700|BEARISH
BXP|2025-09-02 15:30|72.1300|72.2800|71.9200|72.2350|110076|0.1050|0.0450|0.2100|BULLISH
BXP|2025-09-02 16:30|72.2600|72.5100|72.2100|72.4750|104353|0.2150|0.0350|0.0500|BULLISH
BXP|2025-09-02 17:30|72.5100|72.6100|72.1400|72.1700|172789|0.3400|0.1000|0.0300|BEARISH
BXP|2025-09-02 18:30|72.1700|72.2550|71.8200|72.2550|216468|0.0850|0.0000|0.3500|BULLISH
BXP|2025-09-02 19:30|72.2800|72.5400|72.2700|72.4100|247922|0.1300|0.1300|0.0100|BULLISH
BXP|2025-09-03 13:30|72.1700|72.8875|72.0800|72.3500|106184|0.1800|0.5375|0.0900|BULLISH
BXP|2025-09-03 14:30|72.3800|72.6450|72.3300|72.3700|76295|0.0100|0.2650|0.0400|BEARISH
BXP|2025-09-03 15:30|72.3800|72.8600|72.3300|72.8500|88637|0.4700|0.0100|0.0500|BULLISH
BXP|2025-09-03 16:30|72.8600|73.3600|72.8600|73.3050|100293|0.4450|0.0550|0.0000|BULLISH
BXP|2025-09-03 17:30|73.2800|73.3800|73.0600|73.2600|78334|0.0200|0.1000|0.2000|BEARISH
BXP|2025-09-03 18:30|73.2500|73.5300|72.9700|73.5300|160570|0.2800|0.0000|0.2800|BULLISH
BXP|2025-09-03 19:30|73.5400|73.9000|73.5400|73.7800|329624|0.2400|0.1200|0.0000|BULLISH
BXP|2025-09-04 13:30|74.2100|75.6100|73.8900|74.8350|297467|0.6250|0.7750|0.3200|BULLISH
BXP|2025-09-04 14:30|74.8250|74.8600|74.2900|74.5850|479979|0.2400|0.0350|0.2950|BEARISH
BXP|2025-09-04 15:30|74.6200|74.9500|74.5500|74.9000|223338|0.2800|0.0500|0.0700|BULLISH
BXP|2025-09-04 16:30|74.9000|74.9000|74.4000|74.4700|259217|0.4300|0.0000|0.0700|BEARISH
BXP|2025-09-04 17:30|74.4459|75.0000|74.3100|74.9956|131539|0.5497|0.0044|0.1359|BULLISH
BXP|2025-09-04 18:30|74.9900|75.1600|74.6800|75.0950|222511|0.1050|0.0650|0.3100|BULLISH
BXP|2025-09-04 19:30|75.0950|75.4000|75.0300|75.3000|412647|0.2050|0.1000|0.0650|BULLISH
BXP|2025-09-05 13:30|76.0400|77.4200|75.6800|76.8600|248153|0.8200|0.5600|0.3600|BULLISH
BXP|2025-09-05 14:30|76.8700|76.9700|75.8650|76.7900|363692|0.0800|0.1000|0.9250|BEARISH
BXP|2025-09-05 15:30|76.7900|76.7900|76.3700|76.4300|86257|0.3600|0.0000|0.0600|BEARISH
BXP|2025-09-05 16:30|76.4600|76.5800|76.0401|76.0401|248075|0.4199|0.1200|0.0000|BEARISH
BXP|2025-09-05 17:30|76.0500|76.2400|75.6800|76.0600|185293|0.0100|0.1800|0.3700|BULLISH
BXP|2025-09-05 18:30|76.0418|76.4800|75.9801|76.3800|277060|0.3382|0.1000|0.0617|BULLISH
BXP|2025-09-05 19:30|76.3800|76.9200|76.3150|76.8800|315359|0.5000|0.0400|0.0650|BULLISH
BXP|2025-09-08 13:30|75.0000|76.1100|75.0000|75.8000|508274|0.8000|0.3100|0.0000|BULLISH
BXP|2025-09-08 14:30|75.7300|76.0700|75.4800|75.7500|351192|0.0200|0.3200|0.2500|BULLISH
BXP|2025-09-08 15:30|75.7100|75.7300|73.3200|73.9500|781095|1.7600|0.0200|0.6300|BEARISH
BXP|2025-09-08 16:30|73.9800|75.4100|73.9300|75.3950|232562|1.4150|0.0150|0.0500|BULLISH
BXP|2025-09-08 17:30|75.4150|76.0200|75.2100|75.9450|331863|0.5300|0.0750|0.2050|BULLISH
BXP|2025-09-08 18:30|75.9600|76.0950|75.5900|75.6500|333960|0.3100|0.1350|0.0600|BEARISH
BXP|2025-09-08 19:30|75.6600|76.1100|75.6600|75.8100|535698|0.1500|0.3000|0.0000|BULLISH
BXP|2025-09-09 13:30|74.9600|74.9600|73.1000|73.1450|408101|1.8150|0.0000|0.0450|BEARISH
BXP|2025-09-09 14:30|73.1650|73.3450|72.7600|72.9750|336492|0.1900|0.1800|0.2150|BEARISH
BXP|2025-09-09 15:30|73.0000|73.2750|72.9300|73.0200|406663|0.0200|0.2550|0.0700|BULLISH
BXP|2025-09-09 16:30|72.9900|72.9900|72.3400|72.5850|328457|0.4050|0.0000|0.2450|BEARISH
BXP|2025-09-09 17:30|72.5850|72.9600|72.4600|72.8150|233965|0.2300|0.1450|0.1250|BULLISH
BXP|2025-09-09 18:30|72.8000|72.8700|72.0100|72.4000|555073|0.4000|0.0700|0.3900|BEARISH
BXP|2025-09-09 19:30|72.4000|72.8600|72.3100|72.3900|573754|0.0100|0.4600|0.0800|BEARISH
BXP|2025-09-10 13:30|71.1900|72.6400|71.1900|72.5500|269620|1.3600|0.0900|0.0000|BULLISH
BXP|2025-09-10 14:30|72.5300|73.0800|72.4800|73.0000|247075|0.4700|0.0800|0.0500|BULLISH
BXP|2025-09-10 15:30|73.0150|73.5900|72.9900|73.4050|235329|0.3900|0.1850|0.0250|BULLISH
BXP|2025-09-10 16:30|73.4300|73.7600|73.1100|73.6750|259048|0.2450|0.0850|0.3200|BULLISH
BXP|2025-09-10 17:30|73.6750|73.8300|73.4350|73.6699|249513|0.0051|0.1550|0.2349|BEARISH
BXP|2025-09-10 18:30|73.6550|74.3300|73.6200|73.9950|319669|0.3400|0.3350|0.0350|BULLISH
BXP|2025-09-10 19:30|74.0100|74.1000|73.8400|73.8900|388441|0.1200|0.0900|0.0500|BEARISH
BXP|2025-09-11 13:30|73.9600|76.0400|73.6400|75.7700|211255|1.8100|0.2700|0.3200|BULLISH
BXP|2025-09-11 14:30|75.7500|76.1050|75.3200|75.9600|135535|0.2100|0.1450|0.4300|BULLISH
BXP|2025-09-11 15:30|75.9600|76.3000|75.5900|76.1200|136586|0.1600|0.1800|0.3700|BULLISH
BXP|2025-09-11 16:30|76.1300|76.2100|75.6900|75.8700|159968|0.2600|0.0800|0.1800|BEARISH
BXP|2025-09-11 17:30|75.8650|76.3400|75.8650|76.2100|139274|0.3450|0.1300|0.0000|BULLISH
BXP|2025-09-11 18:30|76.2350|76.4800|75.9250|76.4750|159962|0.2400|0.0050|0.3100|BULLISH
BXP|2025-09-11 19:30|76.4800|76.6000|76.0300|76.2100|318120|0.2700|0.1200|0.1800|BEARISH
BXP|2025-09-12 13:30|76.2700|76.7750|76.0450|76.3800|292424|0.1100|0.3950|0.2250|BULLISH
BXP|2025-09-12 14:30|76.3937|76.8950|76.3650|76.7450|122204|0.3513|0.1500|0.0287|BULLISH
BXP|2025-09-12 15:30|76.7600|76.9800|76.4400|76.9700|152692|0.2100|0.0100|0.3200|BULLISH
BXP|2025-09-12 16:30|76.9500|77.4800|76.9300|77.3700|111927|0.4200|0.1100|0.0200|BULLISH
