Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
CAG|2025-09-02 13:30|19.0700|19.2300|18.8650|18.8700|1269431|0.2000|0.1600|0.0050|BEARISH
CAG|2025-09-02 14:30|18.8650|18.9600|18.8250|18.8700|1134085|0.0050|0.0900|0.0400|BULLISH
CAG|2025-09-02 15:30|18.8600|18.9850|18.8500|18.8950|546637|0.0350|0.0900|0.0100|BULLISH
CAG|2025-09-02 16:30|18.8950|18.9250|18.8500|18.8700|785528|0.0250|0.0300|0.0200|BEARISH
CAG|2025-09-02 17:30|18.8650|18.8900|18.7900|18.8150|965690|0.0500|0.0250|0.0250|BEARISH
CAG|2025-09-02 18:30|18.8150|18.8300|18.7300|18.7550|1078736|0.0600|0.0150|0.0250|BEARISH
CAG|2025-09-02 19:30|18.7550|18.8300|18.7500|18.7700|1943855|0.0150|0.0600|0.0050|BULLISH
CAG|2025-09-03 13:30|18.6500|18.8650|18.6050|18.7900|1170685|0.1400|0.0750|0.0450|BULLISH
CAG|2025-09-03 14:30|18.7850|18.9600|18.7850|18.9459|918195|0.1609|0.0141|0.0000|BULLISH
CAG|2025-09-03 15:30|18.9500|18.9500|18.8001|18.8485|616894|0.1015|0.0000|0.0484|BEARISH
CAG|2025-09-03 16:30|18.8550|19.0285|18.8550|19.0150|742411|0.1600|0.0135|0.0000|BULLISH
CAG|2025-09-03 17:30|19.0150|19.1450|18.9850|19.1400|1484641|0.1250|0.0050|0.0300|BULLISH
CAG|2025-09-03 18:30|19.1350|19.1900|19.0700|19.1850|1312927|0.0500|0.0050|0.0650|BULLISH
CAG|2025-09-03 19:30|19.1850|19.2300|19.1700|19.2050|1643786|0.0200|0.0250|0.0150|BULLISH
CAG|2025-09-04 13:30|19.2200|19.2950|19.0150|19.0600|1414923|0.1600|0.0750|0.0450|BEARISH
CAG|2025-09-04 14:30|19.0700|19.0990|19.0250|19.0600|889444|0.0100|0.0290|0.0350|BEARISH
CAG|2025-09-04 15:30|19.0500|19.0800|18.8700|18.9300|1461932|0.1200|0.0300|0.0600|BEARISH
CAG|2025-09-04 16:30|18.9350|18.9899|18.8900|18.9550|672989|0.0200|0.0349|0.0450|BULLISH
CAG|2025-09-04 17:30|18.9550|19.0600|18.9350|19.0450|702776|0.0900|0.0150|0.0200|BULLISH
CAG|2025-09-04 18:30|19.0450|19.0800|18.9850|18.9850|1134592|0.0600|0.0350|0.0000|BEARISH
CAG|2025-09-04 19:30|18.9900|19.0000|18.9350|18.9450|1685067|0.0450|0.0100|0.0100|BEARISH
CAG|2025-09-05 13:30|18.9800|19.3750|18.9000|19.1400|1351011|0.1600|0.2350|0.0800|BULLISH
CAG|2025-09-05 14:30|19.1500|19.3300|19.0700|19.3000|927301|0.1500|0.0300|0.0800|BULLISH
