Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
CAH|2025-09-02 13:30|147.8700|150.4150|147.2701|150.3550|294426|2.4850|0.0600|0.5999|BULLISH
CAH|2025-09-02 14:30|150.3600|150.4500|149.7750|150.1200|142087|0.2400|0.0900|0.3450|BEARISH
CAH|2025-09-02 15:30|150.1200|150.1400|149.2650|149.3650|143644|0.7550|0.0200|0.1000|BEARISH
CAH|2025-09-02 16:30|149.3450|149.9800|149.2100|149.8600|121951|0.5150|0.1200|0.1350|BULLISH
CAH|2025-09-02 17:30|149.8400|150.1200|149.7610|149.8300|137263|0.0100|0.2800|0.0690|BEARISH
CAH|2025-09-02 18:30|149.8300|150.0950|149.5400|149.9400|173671|0.1100|0.1550|0.2900|BULLISH
CAH|2025-09-02 19:30|149.9400|150.0000|149.4200|149.4400|388048|0.5000|0.0600|0.0200|BEARISH
CAH|2025-09-03 13:30|149.5500|150.2000|148.8700|149.7450|182285|0.1950|0.4550|0.6800|BULLISH
CAH|2025-09-03 14:30|149.7500|150.4000|149.5950|150.3200|114425|0.5700|0.0800|0.1550|BULLISH
CAH|2025-09-03 15:30|150.3100|150.3100|149.8100|149.8800|113190|0.4300|0.0000|0.0700|BEARISH
CAH|2025-09-03 16:30|149.8800|149.8800|149.5200|149.5900|151167|0.2900|0.0000|0.0700|BEARISH
CAH|2025-09-03 17:30|149.5850|150.1900|149.5801|150.1100|90846|0.5250|0.0800|0.0049|BULLISH
CAH|2025-09-03 18:30|150.1000|150.2550|149.8800|150.1100|121634|0.0100|0.1450|0.2200|BULLISH
CAH|2025-09-03 19:30|150.1300|150.5800|150.0600|150.4900|326160|0.3600|0.0900|0.0700|BULLISH
CAH|2025-09-04 13:30|150.6200|151.3800|149.8900|150.9800|127386|0.3600|0.4000|0.7300|BULLISH
CAH|2025-09-04 14:30|150.9900|151.2350|146.2200|148.9050|540266|2.0850|0.2450|2.6850|BEARISH
CAH|2025-09-04 15:30|148.9300|149.5000|148.4500|149.1200|212969|0.1900|0.3800|0.4800|BULLISH
CAH|2025-09-04 16:30|149.2100|149.5400|148.8800|149.4700|106702|0.2600|0.0700|0.3300|BULLISH
CAH|2025-09-04 17:30|149.4700|149.5100|148.6750|148.7700|135907|0.7000|0.0400|0.0950|BEARISH
CAH|2025-09-04 18:30|148.7800|149.2450|148.5600|148.9400|219259|0.1600|0.3050|0.2200|BULLISH
