Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
CBOE|2025-09-02 13:30|236.6600|238.0300|235.5550|237.0900|154551|0.4300|0.9400|1.1050|BULLISH
CBOE|2025-09-02 14:30|237.0950|237.7000|234.8500|234.9900|160052|2.1050|0.6050|0.1400|BEARISH
CBOE|2025-09-02 15:30|234.9700|234.9700|233.2200|233.3400|85678|1.6300|0.0000|0.1200|BEARISH
CBOE|2025-09-02 16:30|233.2500|233.9100|232.9300|233.4850|65666|0.2350|0.4250|0.3200|BULLISH
CBOE|2025-09-02 17:30|233.2300|233.7450|232.7700|233.5000|126056|0.2700|0.2450|0.4600|BULLISH
CBOE|2025-09-02 18:30|233.5400|233.6410|232.0000|232.1100|234243|1.4300|0.1010|0.1100|BEARISH
CBOE|2025-09-02 19:30|232.1650|232.5600|231.7500|231.8900|188271|0.2750|0.3950|0.1400|BEARISH
CBOE|2025-09-03 13:30|231.5000|233.0200|230.1500|232.9950|242064|1.4950|0.0250|1.3500|BULLISH
CBOE|2025-09-03 14:30|233.1250|235.1850|232.9300|234.9250|89981|1.8000|0.2600|0.1950|BULLISH
CBOE|2025-09-03 15:30|234.8725|234.9200|233.7000|234.2400|55668|0.6325|0.0475|0.5400|BEARISH
CBOE|2025-09-03 16:30|234.1700|234.4200|233.9200|233.9200|45659|0.2500|0.2500|0.0000|BEARISH
CBOE|2025-09-03 17:30|233.9200|234.6250|233.7100|233.9600|62406|0.0400|0.6650|0.2100|BULLISH
CBOE|2025-09-03 18:30|233.9850|233.9900|233.4400|233.9200|91135|0.0650|0.0050|0.4800|BEARISH
CBOE|2025-09-03 19:30|233.8600|235.6300|233.5700|235.1400|250505|1.2800|0.4900|0.2900|BULLISH
CBOE|2025-09-04 13:30|232.7100|236.4900|232.7100|235.6100|82092|2.9000|0.8800|0.0000|BULLISH
CBOE|2025-09-04 14:30|235.5850|236.4799|235.1100|235.3600|44770|0.2250|0.8949|0.2500|BEARISH
CBOE|2025-09-04 15:30|235.5050|235.8100|235.0000|235.6100|46210|0.1050|0.2000|0.5050|BULLISH
CBOE|2025-09-04 16:30|235.5600|235.5725|235.0500|235.4600|27106|0.1000|0.0125|0.4100|BEARISH
CBOE|2025-09-04 17:30|235.3750|235.3750|234.0000|234.1811|40923|1.1939|0.0000|0.1811|BEARISH
CBOE|2025-09-04 18:30|234.0600|234.4000|233.6400|233.8300|55149|0.2300|0.3400|0.1900|BEARISH
CBOE|2025-09-04 19:30|233.8300|234.2100|233.8300|234.2100|88946|0.3800|0.0000|0.0000|BULLISH
CBOE|2025-09-05 13:30|233.8400|233.8400|230.8975|232.1250|90033|1.7150|0.0000|1.2275|BEARISH
CBOE|2025-09-05 14:30|232.1250|233.5100|231.0000|233.5100|50369|1.3850|0.0000|1.1250|BULLISH
CBOE|2025-09-05 15:30|233.6200|233.8750|231.8975|232.0800|46176|1.5400|0.2550|0.1825|BEARISH
CBOE|2025-09-05 16:30|231.8400|232.4350|231.4600|232.4050|51095|0.5650|0.0300|0.3800|BULLISH
CBOE|2025-09-05 17:30|232.3150|232.8634|231.5300|232.5700|32912|0.2550|0.2934|0.7850|BULLISH
CBOE|2025-09-05 18:30|232.6200|232.6350|231.9500|232.0000|50138|0.6200|0.0150|0.0500|BEARISH
CBOE|2025-09-05 19:30|231.9450|232.6400|231.5100|232.6400|127854|0.6950|0.0000|0.4350|BULLISH
CBOE|2025-09-08 13:30|233.8400|233.8400|230.9700|232.0250|121984|1.8150|0.0000|1.0550|BEARISH
CBOE|2025-09-08 14:30|232.0000|232.6000|231.7100|232.3050|49987|0.3050|0.2950|0.2900|BULLISH
CBOE|2025-09-08 15:30|232.2700|232.9100|231.5000|232.7000|39318|0.4300|0.2100|0.7700|BULLISH
CBOE|2025-09-08 16:30|232.7000|232.7000|231.7100|232.3300|33087|0.3700|0.0000|0.6200|BEARISH
CBOE|2025-09-08 17:30|232.3800|232.8800|232.3800|232.8400|36059|0.4600|0.0400|0.0000|BULLISH
CBOE|2025-09-08 18:30|232.8900|233.0099|232.4800|232.9200|60205|0.0300|0.0899|0.4100|BULLISH
CBOE|2025-09-08 19:30|232.9700|234.8400|232.9700|234.4000|153310|1.4300|0.4400|0.0000|BULLISH
CBOE|2025-09-09 13:30|233.2600|234.8450|233.2600|233.8900|67897|0.6300|0.9550|0.0000|BULLISH
CBOE|2025-09-09 14:30|233.8900|234.6000|233.1700|233.5400|111464|0.3500|0.7100|0.3700|BEARISH
CBOE|2025-09-09 15:30|233.4450|233.9890|232.3200|233.0100|68331|0.4350|0.5440|0.6900|BEARISH
CBOE|2025-09-09 16:30|232.7700|233.3800|232.7700|233.0600|33886|0.2900|0.3200|0.0000|BULLISH
CBOE|2025-09-09 17:30|233.1200|233.7600|232.6400|233.5700|55734|0.4500|0.1900|0.4800|BULLISH
CBOE|2025-09-09 18:30|233.5000|234.2100|233.1100|233.2700|81042|0.2300|0.7100|0.1600|BEARISH
CBOE|2025-09-09 19:30|233.2850|233.3050|232.1000|232.3000|149801|0.9850|0.0200|0.2000|BEARISH
CBOE|2025-09-10 13:30|233.4300|234.0550|230.9000|233.1100|115251|0.3200|0.6250|2.2100|BEARISH
