Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
CB|2025-09-02 13:30|276.6400|276.7800|273.0400|275.2000|245088|1.4400|0.1400|2.1600|BEARISH
CB|2025-09-02 14:30|275.2100|276.1050|274.9900|275.3100|131411|0.1000|0.7950|0.2200|BULLISH
CB|2025-09-02 15:30|275.3300|275.7676|274.9900|275.0050|132953|0.3250|0.4376|0.0150|BEARISH
CB|2025-09-02 16:30|274.9400|275.3300|274.3238|275.2300|83276|0.2900|0.1000|0.6162|BULLISH
CB|2025-09-02 17:30|275.2300|275.8050|275.1700|275.6700|120802|0.4400|0.1350|0.0600|BULLISH
CB|2025-09-02 18:30|275.7100|276.4000|275.2500|276.1400|195409|0.4300|0.2600|0.4600|BULLISH
CB|2025-09-02 19:30|276.1500|276.8200|276.1350|276.7400|232004|0.5900|0.0800|0.0150|BULLISH
CB|2025-09-03 13:30|275.6300|277.2550|275.6200|276.1800|125412|0.5500|1.0750|0.0100|BULLISH
CB|2025-09-03 14:30|276.2900|277.0700|276.0100|276.9250|88410|0.6350|0.1450|0.2800|BULLISH
CB|2025-09-03 15:30|277.0100|277.0100|276.3300|276.3400|78798|0.6700|0.0000|0.0100|BEARISH
CB|2025-09-03 16:30|276.3500|276.9700|276.3500|276.9500|68434|0.6000|0.0200|0.0000|BULLISH
CB|2025-09-03 17:30|276.9800|277.7611|276.8550|277.6150|82323|0.6350|0.1461|0.1250|BULLISH
CB|2025-09-03 18:30|277.5300|277.9700|277.2450|277.5700|138794|0.0400|0.4000|0.2850|BULLISH
CB|2025-09-03 19:30|277.5950|278.4400|277.5950|278.1000|234528|0.5050|0.3400|0.0000|BULLISH
CB|2025-09-04 13:30|280.0000|281.0000|278.8600|280.2400|173942|0.2400|0.7600|1.1400|BULLISH
CB|2025-09-04 14:30|280.1500|280.2900|279.2801|279.3670|108135|0.7830|0.1400|0.0869|BEARISH
CB|2025-09-04 15:30|279.3700|280.1700|279.3540|279.5800|98629|0.2100|0.5900|0.0160|BULLISH
CB|2025-09-04 16:30|279.6450|279.7100|279.1500|279.1750|76877|0.4700|0.0650|0.0250|BEARISH
CB|2025-09-04 17:30|279.1950|280.3250|279.0000|280.0900|335712|0.8950|0.2350|0.1950|BULLISH
CB|2025-09-04 18:30|280.0400|280.2050|279.4800|279.9300|164289|0.1100|0.1650|0.4500|BEARISH
CB|2025-09-04 19:30|279.9000|280.4600|279.7150|279.8400|323759|0.0600|0.5600|0.1250|BEARISH
CB|2025-09-05 13:30|279.1700|280.2000|278.7300|279.6100|966129|0.4400|0.5900|0.4400|BULLISH
CB|2025-09-05 14:30|279.5300|279.5300|277.8300|279.1700|336139|0.3600|0.0000|1.3400|BEARISH
