Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
CCI|2025-09-02 13:30|98.1700|99.8200|98.1700|98.9100|476635|0.7400|0.9100|0.0000|BULLISH
CCI|2025-09-02 14:30|98.8400|98.9400|98.3301|98.8400|410380|0.0000|0.1000|0.5099|BULLISH
CCI|2025-09-02 15:30|98.8000|99.0300|98.4707|98.6150|410338|0.1850|0.2300|0.1443|BEARISH
CCI|2025-09-02 16:30|98.5905|98.8650|98.2800|98.2900|539465|0.3005|0.2745|0.0100|BEARISH
CCI|2025-09-02 17:30|98.2900|98.3250|97.6400|97.9300|488916|0.3600|0.0350|0.2900|BEARISH
CCI|2025-09-02 18:30|97.9300|98.0500|97.6206|97.8600|372679|0.0700|0.1200|0.2394|BEARISH
CCI|2025-09-02 19:30|97.8600|98.2400|97.7700|98.1200|753867|0.2600|0.1200|0.0900|BULLISH
CCI|2025-09-03 13:30|97.9500|99.5200|97.4600|98.6000|577080|0.6500|0.9200|0.4900|BULLISH
CCI|2025-09-03 14:30|98.6000|98.8500|98.2750|98.4075|262730|0.1925|0.2500|0.1325|BEARISH
CCI|2025-09-03 15:30|98.4400|98.4600|98.2050|98.3550|194743|0.0850|0.0200|0.1500|BEARISH
CCI|2025-09-03 16:30|98.3650|98.5200|97.6300|97.7550|347335|0.6100|0.1550|0.1250|BEARISH
CCI|2025-09-03 17:30|97.7250|97.7250|96.9100|97.5000|239017|0.2250|0.0000|0.5900|BEARISH
CCI|2025-09-03 18:30|97.5000|97.6493|96.9450|97.0850|474084|0.4150|0.1493|0.1400|BEARISH
CCI|2025-09-03 19:30|97.0750|97.2200|96.9100|97.0850|649670|0.0100|0.1350|0.1650|BULLISH
CCI|2025-09-04 13:30|97.8400|97.8400|96.4300|96.6100|407264|1.2300|0.0000|0.1800|BEARISH
CCI|2025-09-04 14:30|96.6100|97.2900|96.3400|97.0500|592078|0.4400|0.2400|0.2700|BULLISH
CCI|2025-09-04 15:30|97.0350|97.2050|95.9250|96.0700|395893|0.9650|0.1700|0.1450|BEARISH
CCI|2025-09-04 16:30|96.0700|96.0999|95.3600|95.4864|259795|0.5836|0.0299|0.1264|BEARISH
CCI|2025-09-04 17:30|95.4900|95.6300|94.9000|95.0200|401282|0.4700|0.1400|0.1200|BEARISH
CCI|2025-09-04 18:30|95.0200|95.9000|94.9900|95.7900|535672|0.7700|0.1100|0.0300|BULLISH
CCI|2025-09-04 19:30|95.7950|95.8099|95.3100|95.4700|649730|0.3250|0.0149|0.1600|BEARISH
CCI|2025-09-05 13:30|96.5700|96.9300|95.5600|95.6850|562418|0.8850|0.3600|0.1250|BEARISH
CCI|2025-09-05 14:30|95.7100|96.5200|95.6000|96.2632|532371|0.5532|0.2568|0.1100|BULLISH
CCI|2025-09-05 15:30|96.2400|96.3300|96.0000|96.1900|407630|0.0500|0.0900|0.1900|BEARISH
CCI|2025-09-05 16:30|96.1900|96.6000|96.0000|96.3000|990357|0.1100|0.3000|0.1900|BULLISH
CCI|2025-09-05 17:30|96.3000|96.6200|96.1100|96.2100|335531|0.0900|0.3200|0.1000|BEARISH
CCI|2025-09-05 18:30|96.2000|96.3000|95.9000|95.9200|358336|0.2800|0.1000|0.0200|BEARISH
CCI|2025-09-05 19:30|95.9400|96.2790|95.8300|96.1500|1003473|0.2100|0.1290|0.1100|BULLISH
CCI|2025-09-08 13:30|93.0350|94.0000|91.3000|92.8700|1125307|0.1650|0.9650|1.5700|BEARISH
CCI|2025-09-08 14:30|92.8700|92.8700|91.5800|92.5100|1502285|0.3600|0.0000|0.9300|BEARISH
CCI|2025-09-08 15:30|92.4900|92.9100|92.0900|92.8100|328480|0.3200|0.1000|0.4000|BULLISH
CCI|2025-09-08 16:30|92.8300|93.3250|92.6000|92.7600|515511|0.0700|0.4950|0.1600|BEARISH
CCI|2025-09-08 17:30|92.7750|92.8400|91.6400|91.8152|1690112|0.9598|0.0650|0.1752|BEARISH
CCI|2025-09-08 18:30|91.8300|93.0900|91.7900|93.0300|1275781|1.2000|0.0600|0.0400|BULLISH
CCI|2025-09-08 19:30|93.0300|94.0100|92.9350|93.8600|1709062|0.8300|0.1500|0.0950|BULLISH
CCI|2025-09-09 13:30|94.1000|94.6300|93.6687|94.1350|659829|0.0350|0.4950|0.4313|BULLISH
CCI|2025-09-09 14:30|94.1200|94.1200|93.4650|93.5100|335787|0.6100|0.0000|0.0450|BEARISH
CCI|2025-09-09 15:30|93.5100|93.8000|93.1300|93.3900|908202|0.1200|0.2900|0.2600|BEARISH
CCI|2025-09-09 16:30|93.3850|94.0300|93.1100|93.9950|785980|0.6100|0.0350|0.2750|BULLISH
CCI|2025-09-09 17:30|93.9900|94.2200|93.7600|94.1900|448532|0.2000|0.0300|0.2300|BULLISH
CCI|2025-09-09 18:30|94.2000|94.4000|94.0401|94.2700|350518|0.0700|0.1300|0.1599|BULLISH
CCI|2025-09-09 19:30|94.2800|94.5500|94.1000|94.5100|753856|0.2300|0.0400|0.1800|BULLISH
CCI|2025-09-10 13:30|94.0200|94.7640|93.6500|94.1400|305466|0.1200|0.6240|0.3700|BULLISH
CCI|2025-09-10 14:30|94.0900|94.5200|93.9621|94.3500|156143|0.2600|0.1700|0.1279|BULLISH
CCI|2025-09-10 15:30|94.3300|94.7000|94.3300|94.3400|167095|0.0100|0.3600|0.0000|BULLISH
CCI|2025-09-10 16:30|94.3500|94.4100|93.9500|94.1900|260146|0.1600|0.0600|0.2400|BEARISH
CCI|2025-09-10 17:30|94.1950|94.6200|94.1700|94.3400|276875|0.1450|0.2800|0.0250|BULLISH
CCI|2025-09-10 18:30|94.3500|94.4936|94.1900|94.3100|345494|0.0400|0.1436|0.1200|BEARISH
CCI|2025-09-10 19:30|94.2600|94.3050|93.9100|94.0300|522933|0.2300|0.0450|0.1200|BEARISH
CCI|2025-09-11 13:30|94.0700|94.8000|93.6900|93.7820|368838|0.2880|0.7300|0.0920|BEARISH
CCI|2025-09-11 14:30|93.7700|94.4200|93.7300|94.2700|224548|0.5000|0.1500|0.0400|BULLISH
CCI|2025-09-11 15:30|94.2700|94.4800|94.1200|94.2550|139158|0.0150|0.2100|0.1350|BEARISH
CCI|2025-09-11 16:30|94.2550|94.4800|94.2300|94.3650|186460|0.1100|0.1150|0.0250|BULLISH
CCI|2025-09-11 17:30|94.3650|94.9500|94.2900|94.9150|247847|0.5500|0.0350|0.0750|BULLISH
CCI|2025-09-11 18:30|94.9000|95.5800|94.7800|95.4200|372852|0.5200|0.1600|0.1200|BULLISH
CCI|2025-09-11 19:30|95.4200|95.7500|95.3100|95.5900|699667|0.1700|0.1600|0.1100|BULLISH
CCI|2025-09-12 13:30|95.3300|95.6100|95.0000|95.3100|325905|0.0200|0.2800|0.3100|BEARISH
CCI|2025-09-12 14:30|95.3500|95.5400|95.2400|95.3600|213973|0.0100|0.1800|0.1100|BULLISH
CCI|2025-09-12 15:30|95.3600|95.5750|95.3300|95.5600|181276|0.2000|0.0150|0.0300|BULLISH
CCI|2025-09-12 16:30|95.5450|95.6500|95.4600|95.5950|195538|0.0500|0.0550|0.0850|BULLISH
CCI|2025-09-12 17:30|95.6000|95.7100|95.4800|95.5800|191957|0.0200|0.1100|0.1000|BEARISH
CCI|2025-09-12 18:30|95.5700|95.9050|95.5700|95.6450|268975|0.0750|0.2600|0.0000|BULLISH
CCI|2025-09-12 19:30|95.6300|95.7350|95.3500|95.4100|462486|0.2200|0.1050|0.0600|BEARISH
CCI|2025-09-15 13:30|95.0000|95.2400|94.3700|94.5100|414032|0.4900|0.2400|0.1400|BEARISH
CCI|2025-09-15 14:30|94.5300|95.0300|94.2550|94.2850|314417|0.2450|0.5000|0.0300|BEARISH
CCI|2025-09-15 15:30|94.3100|94.3950|92.2700|93.9100|708694|0.4000|0.0850|1.6400|BEARISH
CCI|2025-09-15 16:30|93.8800|94.1650|93.5900|93.6400|250185|0.2400|0.2850|0.0500|BEARISH
CCI|2025-09-15 17:30|93.6300|93.6600|92.9650|93.4600|366568|0.1700|0.0300|0.4950|BEARISH
CCI|2025-09-15 18:30|93.4400|93.6700|93.3300|93.4750|324352|0.0350|0.1950|0.1100|BULLISH
CCI|2025-09-15 19:30|93.4800|93.8200|93.3200|93.5900|728024|0.1100|0.2300|0.1600|BULLISH
CCI|2025-09-16 13:30|93.7350|94.2800|93.4000|93.6100|329163|0.1250|0.5450|0.2100|BEARISH
CCI|2025-09-16 14:30|93.6200|93.9300|93.4900|93.5150|201001|0.1050|0.3100|0.0250|BEARISH
CCI|2025-09-16 15:30|93.5300|93.8800|93.3900|93.5250|171268|0.0050|0.3500|0.1350|BEARISH
CCI|2025-09-16 16:30|93.5300|93.9600|93.4450|93.8950|146333|0.3650|0.0650|0.0850|BULLISH
CCI|2025-09-16 17:30|93.9000|93.9199|93.6584|93.7500|190005|0.1500|0.0199|0.0916|BEARISH
CCI|2025-09-16 18:30|93.7600|93.9700|93.6800|93.8700|235539|0.1100|0.1000|0.0800|BULLISH
CCI|2025-09-16 19:30|93.8500|93.9600|93.4800|93.5700|454702|0.2800|0.1100|0.0900|BEARISH
CCI|2025-09-17 13:30|93.6100|95.2650|93.5200|95.1800|609847|1.5700|0.0850|0.0900|BULLISH
CCI|2025-09-17 14:30|95.1500|95.8400|95.0601|95.7000|236985|0.5500|0.1400|0.0899|BULLISH
CCI|2025-09-17 15:30|95.6750|95.7000|95.2300|95.2701|274608|0.4049|0.0250|0.0401|BEARISH
CCI|2025-09-17 16:30|95.2700|95.7100|95.1350|95.6200|305857|0.3500|0.0900|0.1350|BULLISH
CCI|2025-09-17 17:30|95.6489|96.3400|95.5200|96.3000|325732|0.6511|0.0400|0.1289|BULLISH
CCI|2025-09-17 18:30|96.3000|96.3800|94.6700|95.0450|520041|1.2550|0.0800|0.3750|BEARISH
CCI|2025-09-17 19:30|95.0500|95.2200|94.6500|94.7900|592530|0.2600|0.1700|0.1400|BEARISH
CCI|2025-09-18 13:30|94.0000|94.3900|93.2600|93.4900|481477|0.5100|0.3900|0.2300|BEARISH
CCI|2025-09-18 14:30|93.4900|94.0500|93.3800|93.5400|219889|0.0500|0.5100|0.1100|BULLISH
CCI|2025-09-18 15:30|93.5700|93.7350|93.4300|93.6993|139010|0.1293|0.0357|0.1400|BULLISH
CCI|2025-09-18 16:30|93.7000|93.9400|93.3698|93.4200|126646|0.2800|0.2400|0.0502|BEARISH
CCI|2025-09-18 17:30|93.4200|93.5000|93.3450|93.3950|144959|0.0250|0.0800|0.0500|BEARISH
CCI|2025-09-18 18:30|93.3950|93.4200|92.7500|92.9100|203634|0.4850|0.0250|0.1600|BEARISH
CCI|2025-09-18 19:30|92.9100|93.0988|92.5950|92.9600|462832|0.0500|0.1388|0.3150|BULLISH
CCI|2025-09-19 13:30|92.9900|93.6000|92.3850|93.3300|822305|0.3400|0.2700|0.6050|BULLISH
CCI|2025-09-19 14:30|93.3600|93.4800|93.1300|93.3000|186584|0.0600|0.1200|0.1700|BEARISH
CCI|2025-09-19 15:30|93.2800|93.6500|93.2000|93.4700|135682|0.1900|0.1800|0.0800|BULLISH
CCI|2025-09-19 16:30|93.4600|93.8750|93.1400|93.8600|252145|0.4000|0.0150|0.3200|BULLISH
CCI|2025-09-19 17:30|93.8350|94.1300|93.7400|93.9250|200051|0.0900|0.2050|0.0950|BULLISH
CCI|2025-09-19 18:30|93.9100|94.1000|93.6900|94.0400|201353|0.1300|0.0600|0.2200|BULLISH
CCI|2025-09-19 19:30|94.0496|94.3200|93.5800|93.5950|614053|0.4546|0.2704|0.0150|BEARISH
CCI|2025-09-22 13:30|94.2100|94.7100|93.6100|94.2500|268751|0.0400|0.4600|0.6000|BULLISH
CCI|2025-09-22 14:30|94.2600|94.4400|94.0400|94.1100|333179|0.1500|0.1800|0.0700|BEARISH
CCI|2025-09-22 15:30|94.1150|94.2500|93.8300|94.1100|264742|0.0050|0.1350|0.2800|BEARISH
CCI|2025-09-22 16:30|94.1100|94.6000|93.8900|93.9450|242325|0.1650|0.4900|0.0550|BEARISH
CCI|2025-09-22 17:30|93.9500|94.2800|93.9000|94.1450|184953|0.1950|0.1350|0.0500|BULLISH
CCI|2025-09-22 18:30|94.1450|94.3800|93.9300|94.2900|275874|0.1450|0.0900|0.2150|BULLISH
CCI|2025-09-22 19:30|94.2700|94.3548|94.1000|94.2900|549264|0.0200|0.0648|0.1700|BULLISH
CCI|2025-09-23 13:30|94.4400|95.0500|94.2900|94.5700|174874|0.1300|0.4800|0.1500|BULLISH
CCI|2025-09-23 14:30|94.5310|94.5500|94.2800|94.3650|143233|0.1660|0.0190|0.0850|BEARISH
CCI|2025-09-23 15:30|94.3300|94.5700|94.1300|94.3700|215364|0.0400|0.2000|0.2000|BULLISH
CCI|2025-09-23 16:30|94.3700|94.7600|94.3500|94.4804|155144|0.1104|0.2796|0.0200|BULLISH
CCI|2025-09-23 17:30|94.5050|94.6000|94.1200|94.3400|141578|0.1650|0.0950|0.2200|BEARISH
CCI|2025-09-23 18:30|94.3500|94.5050|94.2700|94.4250|178495|0.0750|0.0800|0.0800|BULLISH
CCI|2025-09-23 19:30|94.4300|94.4426|94.1450|94.3600|323248|0.0700|0.0126|0.2150|BEARISH
CCI|2025-09-24 13:30|94.1800|94.3850|93.5400|94.0375|255420|0.1425|0.2050|0.4975|BEARISH
CCI|2025-09-24 14:30|94.0100|94.5350|93.9900|94.1900|148747|0.1800|0.3450|0.0200|BULLISH
CCI|2025-09-24 15:30|94.2000|94.3800|94.0550|94.3200|146906|0.1200|0.0600|0.1450|BULLISH
CCI|2025-09-24 16:30|94.3200|94.5600|94.2000|94.4400|102502|0.1200|0.1200|0.1200|BULLISH
CCI|2025-09-24 17:30|94.4400|94.4400|93.5700|93.6900|168964|0.7500|0.0000|0.1200|BEARISH
CCI|2025-09-24 18:30|93.6700|93.7000|93.4000|93.5900|182084|0.0800|0.0300|0.1900|BEARISH
CCI|2025-09-24 19:30|93.5800|93.8800|93.5300|93.6800|349578|0.1000|0.2000|0.0500|BULLISH
CCI|2025-09-25 13:30|94.1600|95.3200|94.0750|94.9075|326105|0.7475|0.4125|0.0850|BULLISH
CCI|2025-09-25 14:30|94.8700|94.8900|94.1600|94.2000|333149|0.6700|0.0200|0.0400|BEARISH
CCI|2025-09-25 15:30|94.1800|94.4000|93.8500|93.9050|140856|0.2750|0.2200|0.0550|BEARISH
CCI|2025-09-25 16:30|93.9300|94.1400|93.7400|93.9400|202561|0.0100|0.2000|0.1900|BULLISH
CCI|2025-09-25 17:30|93.9400|94.0700|93.7100|94.0400|257026|0.1000|0.0300|0.2300|BULLISH
CCI|2025-09-25 18:30|94.0600|94.2100|93.9900|94.1100|272142|0.0500|0.1000|0.0700|BULLISH
CCI|2025-09-25 19:30|94.1200|94.2550|93.9500|93.9850|476462|0.1350|0.1350|0.0350|BEARISH
CCI|2025-09-26 13:30|93.9600|95.2250|93.9600|95.1700|351416|1.2100|0.0550|0.0000|BULLISH
CCI|2025-09-26 14:30|95.1950|95.5200|94.6600|94.7100|257186|0.4850|0.3250|0.0500|BEARISH
CCI|2025-09-26 15:30|94.7100|95.0800|94.5000|95.0650|244198|0.3550|0.0150|0.2100|BULLISH
CCI|2025-09-26 16:30|95.0700|95.5000|95.0100|95.4400|175985|0.3700|0.0600|0.0600|BULLISH
CCI|2025-09-26 17:30|95.4350|95.4750|95.0000|95.0950|206264|0.3400|0.0400|0.0950|BEARISH
CCI|2025-09-26 18:30|95.1000|95.4500|95.0900|95.1500|334902|0.0500|0.3000|0.0100|BULLISH
CCI|2025-09-26 19:30|95.1450|95.3550|94.9700|95.3100|546651|0.1650|0.0450|0.1750|BULLISH
CCI|2025-09-29 13:30|95.5400|96.0499|94.8500|95.8000|408939|0.2600|0.2499|0.6900|BULLISH
CCI|2025-09-29 14:30|95.8400|96.6900|95.7550|96.5750|351115|0.7350|0.1150|0.0850|BULLISH
CCI|2025-09-29 15:30|96.5650|96.6250|96.3400|96.5100|225486|0.0550|0.0600|0.1700|BEARISH
CCI|2025-09-29 16:30|96.5150|96.6000|95.8800|95.9150|202807|0.6000|0.0850|0.0350|BEARISH
CCI|2025-09-29 17:30|95.9150|96.1600|95.6000|96.1200|249454|0.2050|0.0400|0.3150|BULLISH
CCI|2025-09-29 18:30|96.1200|96.4180|95.9200|96.4050|542879|0.2850|0.0130|0.2000|BULLISH
CCI|2025-09-29 19:30|96.4100|96.8200|96.1900|96.1900|728021|0.2200|0.4100|0.0000|BEARISH
CCI|2025-09-30 13:30|96.4350|97.2600|96.4350|96.4700|460659|0.0350|0.7900|0.0000|BULLISH
CCI|2025-09-30 14:30|96.5300|97.0600|96.2000|96.5250|265230|0.0050|0.5300|0.3250|BEARISH
CCI|2025-09-30 15:30|96.5300|96.5500|95.7400|96.2900|230604|0.2400|0.0200|0.5500|BEARISH
CCI|2025-09-30 16:30|96.2800|96.3600|96.0200|96.0200|270989|0.2600|0.0800|0.0000|BEARISH
CCI|2025-09-30 17:30|96.0500|96.2200|95.7860|96.0900|209482|0.0400|0.1300|0.2640|BULLISH
CCI|2025-09-30 18:30|96.0900|96.5750|95.9000|96.5400|393575|0.4500|0.0350|0.1900|BULLISH
CCI|2025-09-30 19:30|96.5400|96.5500|96.2050|96.4800|595557|0.0600|0.0100|0.2750|BEARISH
CCI|2025-10-01 13:30|96.9500|97.1900|95.5500|96.0800|513302|0.8700|0.2400|0.5300|BEARISH
CCI|2025-10-01 14:30|96.0900|96.7400|95.7900|96.0400|441965|0.0500|0.6500|0.2500|BEARISH
CCI|2025-10-01 15:30|96.0500|96.1300|95.3200|95.5150|297912|0.5350|0.0800|0.1950|BEARISH
CCI|2025-10-01 16:30|95.5000|95.5450|95.0900|95.1500|290162|0.3500|0.0450|0.0600|BEARISH
CCI|2025-10-01 17:30|95.1700|95.4800|95.0600|95.3300|269639|0.1600|0.1500|0.1100|BULLISH
CCI|2025-10-01 18:30|95.3300|95.6350|95.1750|95.5700|516866|0.2400|0.0650|0.1550|BULLISH
CCI|2025-10-01 19:30|95.5700|95.8800|95.4500|95.7300|426878|0.1600|0.1500|0.1200|BULLISH
CCI|2025-10-02 13:30|95.9500|96.4200|94.8150|95.9950|312477|0.0450|0.4250|1.1350|BULLISH
CCI|2025-10-02 14:30|95.9800|96.4100|95.7300|95.7300|243467|0.2500|0.4300|0.0000|BEARISH
CCI|2025-10-02 15:30|95.7600|95.7600|95.4300|95.5750|136492|0.1850|0.0000|0.1450|BEARISH
CCI|2025-10-02 16:30|95.5750|95.7400|95.3800|95.4300|132032|0.1450|0.1650|0.0500|BEARISH
CCI|2025-10-02 17:30|95.4400|95.7300|95.2100|95.7150|156996|0.2750|0.0150|0.2300|BULLISH
CCI|2025-10-02 18:30|95.6900|95.8000|95.4650|95.4950|254188|0.1950|0.1100|0.0300|BEARISH
CCI|2025-10-02 19:30|95.5100|95.5700|95.2900|95.4800|417194|0.0300|0.0600|0.1900|BEARISH
CCI|2025-10-03 13:30|95.3000|96.8900|95.1400|96.5600|190953|1.2600|0.3300|0.1600|BULLISH
CCI|2025-10-03 14:30|96.6000|97.0500|96.3900|96.6600|234110|0.0600|0.3900|0.2100|BULLISH
CCI|2025-10-03 15:30|96.6600|96.9600|96.4900|96.5050|146961|0.1550|0.3000|0.0150|BEARISH
CCI|2025-10-03 16:30|96.4700|96.6400|96.1900|96.2650|170139|0.2050|0.1700|0.0750|BEARISH
CCI|2025-10-03 17:30|96.2650|96.4300|96.0100|96.1674|167035|0.0976|0.1650|0.1574|BEARISH
CCI|2025-10-03 18:30|96.1650|96.2200|95.8900|96.0800|214102|0.0850|0.0550|0.1900|BEARISH
CCI|2025-10-03 19:30|96.0750|96.1700|95.4500|95.4600|731023|0.6150|0.0950|0.0100|BEARISH
CCI|2025-10-06 13:30|94.7100|94.9292|93.8100|94.7550|249592|0.0450|0.1742|0.9000|BULLISH
CCI|2025-10-06 14:30|94.8000|94.8000|94.2000|94.2200|156311|0.5800|0.0000|0.0200|BEARISH
CCI|2025-10-06 15:30|94.2200|94.3217|93.8600|93.9100|153147|0.3100|0.1017|0.0500|BEARISH
CCI|2025-10-06 16:30|93.9301|94.2900|93.9300|94.2650|138933|0.3349|0.0250|0.0001|BULLISH
CCI|2025-10-06 17:30|94.2800|94.4700|94.1790|94.2300|142831|0.0500|0.1900|0.0510|BEARISH
CCI|2025-10-06 18:30|94.2200|94.2300|93.8300|94.0600|192799|0.1600|0.0100|0.2300|BEARISH
CCI|2025-10-06 19:30|94.0650|94.2350|93.9700|94.0000|303832|0.0650|0.1700|0.0300|BEARISH
CCI|2025-10-07 13:30|94.2100|94.2450|93.4100|93.4750|222033|0.7350|0.0350|0.0650|BEARISH
CCI|2025-10-07 14:30|93.4900|94.0400|93.2800|93.9350|265576|0.4450|0.1050|0.2100|BULLISH
CCI|2025-10-07 15:30|93.9400|94.1872|93.8500|93.8900|150693|0.0500|0.2472|0.0400|BEARISH
CCI|2025-10-07 16:30|93.8500|94.1150|93.7750|93.9600|138676|0.1100|0.1550|0.0750|BULLISH
CCI|2025-10-07 17:30|93.9650|94.6600|93.7650|94.6200|1409348|0.6550|0.0400|0.2000|BULLISH
CCI|2025-10-07 18:30|94.6400|95.0800|94.3000|94.3700|397481|0.2700|0.4400|0.0700|BEARISH
CCI|2025-10-07 19:30|94.3560|95.1500|94.3500|95.1500|353038|0.7940|0.0000|0.0060|BULLISH
CCI|2025-10-08 13:30|94.8300|95.8800|94.6250|95.0800|374503|0.2500|0.8000|0.2050|BULLISH
CCI|2025-10-08 14:30|95.1100|95.6600|95.1100|95.4607|187563|0.3507|0.1993|0.0000|BULLISH
CCI|2025-10-08 15:30|95.4800|95.8100|95.3600|95.7800|147535|0.3000|0.0300|0.1200|BULLISH
CCI|2025-10-08 16:30|95.7750|96.2500|95.3900|95.6050|1876783|0.1700|0.4750|0.2150|BEARISH
CCI|2025-10-08 17:30|95.6500|96.3200|95.6200|96.1700|337551|0.5200|0.1500|0.0300|BULLISH
CCI|2025-10-08 18:30|96.2000|96.2250|95.4800|96.1500|360736|0.0500|0.0250|0.6700|BEARISH
CCI|2025-10-08 19:30|96.1600|96.5000|96.1600|96.4300|448894|0.2700|0.0700|0.0000|BULLISH
CCI|2025-10-09 13:30|96.9800|97.3500|96.1400|96.7400|311432|0.2400|0.3700|0.6000|BEARISH
CCI|2025-10-09 14:30|96.7150|97.2100|96.6500|96.9900|165024|0.2750|0.2200|0.0650|BULLISH
CCI|2025-10-09 15:30|97.0300|97.0800|96.6500|96.6950|176935|0.3350|0.0500|0.0450|BEARISH
CCI|2025-10-09 16:30|96.6950|97.0100|96.5600|96.9900|115053|0.2950|0.0200|0.1350|BULLISH
CCI|2025-10-09 17:30|96.9800|97.0350|96.4350|96.5500|145447|0.4300|0.0550|0.1150|BEARISH
CCI|2025-10-09 18:30|96.5416|96.6200|96.1200|96.5250|235022|0.0166|0.0784|0.4050|BEARISH
CCI|2025-10-09 19:30|96.5100|96.8270|96.4700|96.6500|345042|0.1400|0.1770|0.0400|BULLISH
CCI|2025-10-10 13:30|97.5000|97.5000|96.3300|96.3300|213931|1.1700|0.0000|0.0000|BEARISH
CCI|2025-10-10 14:30|96.3800|97.3100|95.5200|96.9700|224961|0.5900|0.3400|0.8600|BULLISH
CCI|2025-10-10 15:30|96.9200|97.2700|96.4300|96.7300|159265|0.1900|0.3500|0.3000|BEARISH
CCI|2025-10-10 16:30|96.7500|97.1400|96.6800|96.7158|204722|0.0342|0.3900|0.0358|BEARISH
CCI|2025-10-10 17:30|96.7200|97.2900|96.7200|97.1500|273469|0.4300|0.1400|0.0000|BULLISH
CCI|2025-10-10 18:30|97.1400|97.2690|96.8900|97.1500|317060|0.0100|0.1190|0.2500|BULLISH
CCI|2025-10-10 19:30|97.1700|97.8100|97.0800|97.6300|769466|0.4600|0.1800|0.0900|BULLISH
CCI|2025-10-13 13:30|96.2000|97.2732|95.6500|95.9900|256685|0.2100|1.0732|0.3400|BEARISH
CCI|2025-10-13 14:30|95.9500|96.0700|95.3500|96.0700|392397|0.1200|0.0000|0.6000|BULLISH
CCI|2025-10-13 15:30|96.0750|96.3250|95.9850|96.0300|214897|0.0450|0.2500|0.0450|BEARISH
CCI|2025-10-13 16:30|96.0300|96.1600|95.2900|95.7400|244299|0.2900|0.1300|0.4500|BEARISH
CCI|2025-10-13 17:30|95.7500|96.1600|95.6000|96.0000|214107|0.2500|0.1600|0.1500|BULLISH
CCI|2025-10-13 18:30|96.0300|96.1250|95.4050|95.7500|390548|0.2800|0.0950|0.3450|BEARISH
CCI|2025-10-13 19:30|95.7700|96.1900|95.7100|96.1000|438981|0.3300|0.0900|0.0600|BULLISH
