Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
CDNS|2025-09-02 13:30|343.9500|346.5900|340.9465|346.5200|230114|2.5700|0.0700|3.0035|BULLISH
CDNS|2025-09-02 14:30|346.5700|346.8600|343.6150|343.6600|152772|2.9100|0.2900|0.0450|BEARISH
CDNS|2025-09-02 15:30|343.3100|343.3100|341.9900|342.0900|89618|1.2200|0.0000|0.1000|BEARISH
CDNS|2025-09-02 16:30|342.1550|343.0200|341.8000|342.9900|66114|0.8350|0.0300|0.3550|BULLISH
CDNS|2025-09-02 17:30|343.0700|343.8300|341.2900|341.6100|94171|1.4600|0.7600|0.3200|BEARISH
CDNS|2025-09-02 18:30|341.5600|342.9900|341.5600|342.6200|124422|1.0600|0.3700|0.0000|BULLISH
CDNS|2025-09-02 19:30|342.5900|343.0500|342.2300|342.7600|172081|0.1700|0.2900|0.3600|BULLISH
CDNS|2025-09-03 13:30|340.8800|344.3450|340.5700|343.7550|165028|2.8750|0.5900|0.3100|BULLISH
CDNS|2025-09-03 14:30|343.5700|346.8400|343.4056|345.5600|97733|1.9900|1.2800|0.1644|BULLISH
CDNS|2025-09-03 15:30|345.6450|345.8100|344.9100|345.2400|61434|0.4050|0.1650|0.3300|BEARISH
CDNS|2025-09-03 16:30|344.9800|345.6850|344.7600|344.9400|56181|0.0400|0.7050|0.1800|BEARISH
CDNS|2025-09-03 17:30|344.8050|345.1400|343.4900|344.1950|42886|0.6100|0.3350|0.7050|BEARISH
CDNS|2025-09-03 18:30|343.9400|345.0972|343.8650|344.9375|54583|0.9975|0.1597|0.0750|BULLISH
CDNS|2025-09-03 19:30|345.0000|347.4200|344.9700|347.2810|256946|2.2810|0.1390|0.0300|BULLISH
CDNS|2025-09-04 13:30|346.9300|347.0050|344.4300|346.3019|137104|0.6281|0.0750|1.8719|BEARISH
CDNS|2025-09-04 14:30|346.5600|350.0000|346.5600|349.6300|81077|3.0700|0.3700|0.0000|BULLISH
CDNS|2025-09-04 15:30|349.5250|350.0400|348.6200|348.9500|63573|0.5750|0.5150|0.3300|BEARISH
CDNS|2025-09-04 16:30|348.8800|349.6650|348.8350|349.4100|46479|0.5300|0.2550|0.0450|BULLISH
CDNS|2025-09-04 17:30|349.5650|349.6500|348.7956|349.2800|60522|0.2850|0.0850|0.4844|BEARISH
CDNS|2025-09-04 18:30|349.5800|349.9899|348.5800|348.7543|112370|0.8257|0.4099|0.1743|BEARISH
CDNS|2025-09-04 19:30|348.6800|349.7400|348.2700|349.2500|177957|0.5700|0.4900|0.4100|BULLISH
CDNS|2025-09-05 13:30|354.0000|355.3050|349.8100|349.9200|280225|4.0800|1.3050|0.1100|BEARISH
CDNS|2025-09-05 14:30|349.8100|349.8600|345.8800|348.0500|151688|1.7600|0.0500|2.1700|BEARISH
CDNS|2025-09-05 15:30|347.7300|349.2825|347.6400|348.6850|97756|0.9550|0.5975|0.0900|BULLISH
CDNS|2025-09-05 16:30|348.6850|348.7600|347.7679|347.9200|57262|0.7650|0.0750|0.1521|BEARISH
CDNS|2025-09-05 17:30|347.9000|348.9600|347.4150|348.8475|103633|0.9475|0.1125|0.4850|BULLISH
CDNS|2025-09-05 18:30|349.1500|351.8450|349.0050|351.7447|92174|2.5947|0.1003|0.1450|BULLISH
CDNS|2025-09-05 19:30|351.7500|351.7500|350.1250|350.9900|142362|0.7600|0.0000|0.8650|BEARISH
CDNS|2025-09-08 13:30|353.6700|358.8600|353.3475|358.2200|225695|4.5500|0.6400|0.3225|BULLISH
CDNS|2025-09-08 14:30|358.6000|360.9300|358.5500|359.7900|197017|1.1900|1.1400|0.0500|BULLISH
CDNS|2025-09-08 15:30|359.8100|360.4600|358.3200|358.5700|223427|1.2400|0.6500|0.2500|BEARISH
CDNS|2025-09-08 16:30|358.6700|359.6800|358.0000|358.3700|162782|0.3000|1.0100|0.3700|BEARISH
CDNS|2025-09-08 17:30|358.5500|360.9600|357.5200|360.9600|202252|2.4100|0.0000|1.0300|BULLISH
CDNS|2025-09-08 18:30|360.9590|361.3600|359.4500|359.9750|192922|0.9840|0.4010|0.5250|BEARISH
CDNS|2025-09-08 19:30|360.1200|360.8590|359.3550|360.7600|291606|0.6400|0.0990|0.7650|BULLISH
CDNS|2025-09-09 13:30|362.0000|362.5744|357.7600|358.2100|143885|3.7900|0.5744|0.4500|BEARISH
CDNS|2025-09-09 14:30|358.0000|361.1500|356.4000|360.8500|119423|2.8500|0.3000|1.6000|BULLISH
CDNS|2025-09-09 15:30|360.7900|361.3750|360.1200|360.7801|85538|0.0099|0.5850|0.6601|BEARISH
CDNS|2025-09-09 16:30|360.7801|362.1200|360.3000|361.1600|93486|0.3799|0.9600|0.4801|BULLISH
CDNS|2025-09-09 17:30|361.0943|361.3600|359.8900|360.6500|79779|0.4443|0.2657|0.7600|BEARISH
CDNS|2025-09-09 18:30|360.5550|361.2796|359.8001|360.9300|159525|0.3750|0.3496|0.7549|BULLISH
CDNS|2025-09-09 19:30|360.9100|362.7100|360.3546|361.8800|271049|0.9700|0.8300|0.5554|BULLISH
CDNS|2025-09-10 13:30|348.5000|348.5300|326.3500|338.5600|2094653|9.9400|0.0300|12.2100|BEARISH
