Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
CEG|2025-09-02 13:30|300.4900|303.5000|296.9901|302.0200|591306|1.5300|1.4800|3.4999|BULLISH
CEG|2025-09-02 14:30|302.2900|305.1100|302.0900|303.5500|189222|1.2600|1.5600|0.2000|BULLISH
CEG|2025-09-02 15:30|303.4600|303.7500|300.8400|302.1250|235888|1.3350|0.2900|1.2850|BEARISH
CEG|2025-09-02 16:30|302.0500|304.1150|301.2900|304.1150|168705|2.0650|0.0000|0.7600|BULLISH
CEG|2025-09-02 17:30|304.1700|305.3400|303.7800|304.4600|162373|0.2900|0.8800|0.3900|BULLISH
CEG|2025-09-02 18:30|304.4050|306.9000|304.2100|306.3500|229914|1.9450|0.5500|0.1950|BULLISH
CEG|2025-09-02 19:30|306.3450|307.4550|306.2000|307.1000|267525|0.7550|0.3550|0.1450|BULLISH
CEG|2025-09-03 13:30|306.5200|308.1000|303.9200|307.8100|263456|1.2900|0.2900|2.6000|BULLISH
CEG|2025-09-03 14:30|308.0000|309.4500|307.3750|307.5900|138163|0.4100|1.4500|0.2150|BEARISH
CEG|2025-09-03 15:30|307.5100|309.0100|307.2550|307.7239|107483|0.2139|1.2861|0.2550|BULLISH
CEG|2025-09-03 16:30|307.5250|307.5400|306.2500|306.8700|114301|0.6550|0.0150|0.6200|BEARISH
CEG|2025-09-03 17:30|306.8750|307.7221|306.4398|306.7700|112000|0.1050|0.8471|0.3302|BEARISH
CEG|2025-09-03 18:30|306.5300|306.7700|306.0400|306.4450|134865|0.0850|0.2400|0.4050|BEARISH
CEG|2025-09-03 19:30|306.4705|309.5900|306.2750|308.2400|222925|1.7695|1.3500|0.1955|BULLISH
CEG|2025-09-04 13:30|310.0000|312.1600|308.5300|309.4450|304127|0.5550|2.1600|0.9150|BEARISH
CEG|2025-09-04 14:30|309.4450|311.4000|308.0050|308.8950|236180|0.5500|1.9550|0.8900|BEARISH
CEG|2025-09-04 15:30|308.8950|309.0250|307.2800|308.6250|205001|0.2700|0.1300|1.3450|BEARISH
CEG|2025-09-04 16:30|308.5500|310.3300|307.7050|309.8050|115297|1.2550|0.5250|0.8450|BULLISH
CEG|2025-09-04 17:30|309.8200|310.3715|309.3000|309.9000|84270|0.0800|0.4715|0.5200|BULLISH
CEG|2025-09-04 18:30|309.7850|310.3581|309.3700|309.9300|134187|0.1450|0.4281|0.4150|BULLISH
CEG|2025-09-04 19:30|309.7900|310.0100|308.9200|309.0200|271878|0.7700|0.2200|0.1000|BEARISH
CEG|2025-09-05 13:30|311.0500|312.9900|297.7100|298.3850|638795|12.6650|1.9400|0.6750|BEARISH
CEG|2025-09-05 14:30|298.0105|298.6400|293.1550|296.8699|426457|1.1406|0.6295|3.7149|BEARISH
CEG|2025-09-05 15:30|296.9200|298.8800|296.5600|297.7750|247885|0.8550|1.1050|0.3600|BULLISH
CEG|2025-09-05 16:30|297.7400|301.4690|297.7400|301.0200|237950|3.2800|0.4490|0.0000|BULLISH
CEG|2025-09-05 17:30|300.7200|301.5500|300.2650|301.0000|153847|0.2800|0.5500|0.4550|BULLISH
CEG|2025-09-05 18:30|301.0250|301.6399|300.1000|300.2600|220558|0.7650|0.6149|0.1600|BEARISH
CEG|2025-09-05 19:30|300.1800|301.7200|299.2750|301.7100|447512|1.5300|0.0100|0.9050|BULLISH
CEG|2025-09-08 13:30|304.0000|304.7900|297.1600|298.8200|450969|5.1800|0.7900|1.6600|BEARISH
CEG|2025-09-08 14:30|299.0200|300.5750|296.3600|300.5350|285797|1.5150|0.0400|2.6600|BULLISH
CEG|2025-09-08 15:30|300.4950|300.8700|299.0000|300.4200|169966|0.0750|0.3750|1.4200|BEARISH
CEG|2025-09-08 16:30|300.5750|300.7800|299.2900|299.2900|207147|1.2850|0.2050|0.0000|BEARISH
CEG|2025-09-08 17:30|299.2300|300.4600|299.2300|300.4600|144168|1.2300|0.0000|0.0000|BULLISH
CEG|2025-09-08 18:30|300.2500|300.3750|298.7800|298.9850|214506|1.2650|0.1250|0.2050|BEARISH
CEG|2025-09-08 19:30|299.0000|299.6867|298.4100|298.8100|308235|0.1900|0.6867|0.4000|BEARISH
CEG|2025-09-09 13:30|300.6100|305.3000|299.8650|299.9000|370909|0.7100|4.6900|0.0350|BEARISH
CEG|2025-09-09 14:30|299.7800|300.2000|296.3500|299.3500|228498|0.4300|0.4200|3.0000|BEARISH
