Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
CE|2025-09-02 13:30|46.6500|46.6500|45.2500|45.7050|279302|0.9450|0.0000|0.4550|BEARISH
CE|2025-09-02 14:30|45.5700|45.6800|44.9200|45.1325|182496|0.4375|0.1100|0.2125|BEARISH
CE|2025-09-02 15:30|45.1000|45.4150|44.9500|45.3600|121864|0.2600|0.0550|0.1500|BULLISH
CE|2025-09-02 16:30|45.4400|45.5400|45.2000|45.3593|175582|0.0807|0.1000|0.1593|BEARISH
CE|2025-09-02 17:30|45.3200|45.5800|45.2500|45.2900|239251|0.0300|0.2600|0.0400|BEARISH
CE|2025-09-02 18:30|45.3400|45.9000|45.3100|45.9000|173380|0.5600|0.0000|0.0300|BULLISH
CE|2025-09-02 19:30|45.9100|46.2400|45.7100|46.0300|372656|0.1200|0.2100|0.2000|BULLISH
CE|2025-09-03 13:30|45.5600|46.1000|45.0350|45.0700|146622|0.4900|0.5400|0.0350|BEARISH
CE|2025-09-03 14:30|45.0600|45.1900|44.3400|44.3551|182198|0.7049|0.1300|0.0151|BEARISH
CE|2025-09-03 15:30|44.4000|44.6800|44.3154|44.4300|147137|0.0300|0.2500|0.0846|BULLISH
CE|2025-09-03 16:30|44.4575|45.0300|44.4550|45.0000|118220|0.5425|0.0300|0.0025|BULLISH
CE|2025-09-03 17:30|45.0050|45.0050|44.4100|44.7200|142269|0.2850|0.0000|0.3100|BEARISH
CE|2025-09-03 18:30|44.7100|44.8900|44.4400|44.5750|268753|0.1350|0.1800|0.1350|BEARISH
CE|2025-09-03 19:30|44.5750|44.7900|44.4100|44.6300|431727|0.0550|0.1600|0.1650|BULLISH
CE|2025-09-04 13:30|44.4200|44.7500|43.7050|44.0550|169583|0.3650|0.3300|0.3500|BEARISH
CE|2025-09-04 14:30|44.0350|44.9100|43.9100|44.8700|182242|0.8350|0.0400|0.1250|BULLISH
CE|2025-09-04 15:30|44.8400|45.8200|44.7750|45.7900|156950|0.9500|0.0300|0.0650|BULLISH
CE|2025-09-04 16:30|45.8000|45.9000|45.6101|45.7195|69134|0.0805|0.1000|0.1094|BEARISH
CE|2025-09-04 17:30|45.7000|46.0500|45.5825|45.9798|89920|0.2798|0.0702|0.1175|BULLISH
CE|2025-09-04 18:30|45.9400|46.4300|45.9100|46.4000|209909|0.4600|0.0300|0.0300|BULLISH
CE|2025-09-04 19:30|46.4100|46.5300|46.2010|46.3900|392114|0.0200|0.1200|0.1890|BEARISH
CE|2025-09-05 13:30|46.5100|49.3299|46.3410|47.8600|402156|1.3500|1.4699|0.1690|BULLISH
CE|2025-09-05 14:30|47.8600|48.0700|47.2500|47.9500|310710|0.0900|0.1200|0.6100|BULLISH
CE|2025-09-05 15:30|48.0000|48.4400|47.7100|48.3150|149219|0.3150|0.1250|0.2900|BULLISH
CE|2025-09-05 16:30|48.3300|48.3800|48.0350|48.1750|126117|0.1550|0.0500|0.1400|BEARISH
CE|2025-09-05 17:30|48.2200|48.6200|48.0825|48.3650|158604|0.1450|0.2550|0.1375|BULLISH
CE|2025-09-05 18:30|48.3900|48.6700|48.3700|48.5100|159585|0.1200|0.1600|0.0200|BULLISH
CE|2025-09-05 19:30|48.5000|48.7700|48.4000|48.7600|404606|0.2600|0.0100|0.1000|BULLISH
CE|2025-09-08 13:30|47.8400|48.1600|45.6500|45.9700|340818|1.8700|0.3200|0.3200|BEARISH
CE|2025-09-08 14:30|45.9400|46.9700|45.7300|46.8400|257346|0.9000|0.1300|0.2100|BULLISH
CE|2025-09-08 15:30|46.8400|46.8500|46.1200|46.1950|176521|0.6450|0.0100|0.0750|BEARISH
CE|2025-09-08 16:30|46.1950|46.4400|46.1700|46.3000|145402|0.1050|0.1400|0.0250|BULLISH
CE|2025-09-08 17:30|46.3000|46.3200|45.9700|46.1900|137414|0.1100|0.0200|0.2200|BEARISH
CE|2025-09-08 18:30|46.2100|46.4100|46.1000|46.2000|207361|0.0100|0.2000|0.1000|BEARISH
CE|2025-09-08 19:30|46.1900|46.6000|46.1600|46.5000|413140|0.3100|0.1000|0.0300|BULLISH
CE|2025-09-09 13:30|46.2850|46.2850|45.3500|45.3800|160251|0.9050|0.0000|0.0300|BEARISH
CE|2025-09-09 14:30|45.4100|45.4200|44.7800|45.1150|201191|0.2950|0.0100|0.3350|BEARISH
CE|2025-09-09 15:30|45.1359|45.1950|44.6801|44.8800|161434|0.2559|0.0591|0.1999|BEARISH
CE|2025-09-09 16:30|44.9000|44.9700|44.5600|44.5650|97641|0.3350|0.0700|0.0050|BEARISH
CE|2025-09-09 17:30|44.5650|44.8900|44.5100|44.8569|176745|0.2919|0.0331|0.0550|BULLISH
CE|2025-09-09 18:30|44.8765|44.9500|44.6200|44.7000|184633|0.1765|0.0735|0.0800|BEARISH
CE|2025-09-09 19:30|44.7150|44.9000|44.5800|44.6800|469201|0.0350|0.1850|0.1000|BEARISH
CE|2025-09-10 13:30|44.5000|45.6300|44.0500|44.9900|265185|0.4900|0.6400|0.4500|BULLISH
CE|2025-09-10 14:30|44.9600|45.0050|44.7000|44.7300|139748|0.2300|0.0450|0.0300|BEARISH
CE|2025-09-10 15:30|44.7400|44.8900|44.5900|44.5900|114371|0.1500|0.1500|0.0000|BEARISH
CE|2025-09-10 16:30|44.6100|44.6600|44.3800|44.4700|104108|0.1400|0.0500|0.0900|BEARISH
CE|2025-09-10 17:30|44.4700|44.4900|44.2400|44.4075|81624|0.0625|0.0200|0.1675|BEARISH
CE|2025-09-10 18:30|44.4100|44.6200|44.2100|44.2100|154052|0.2000|0.2100|0.0000|BEARISH
CE|2025-09-10 19:30|44.2450|44.4400|44.0500|44.1900|469145|0.0550|0.1950|0.1400|BEARISH
