Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
CFG|2025-09-02 13:30|51.4000|51.8650|51.1500|51.6500|596021|0.2500|0.2150|0.2500|BULLISH
CFG|2025-09-02 14:30|51.6550|51.6800|51.1150|51.1650|628412|0.4900|0.0250|0.0500|BEARISH
CFG|2025-09-02 15:30|51.1750|51.2450|50.9950|51.0650|383223|0.1100|0.0700|0.0700|BEARISH
CFG|2025-09-02 16:30|51.0650|51.3200|51.0650|51.2950|292982|0.2300|0.0250|0.0000|BULLISH
CFG|2025-09-02 17:30|51.3000|51.4850|51.2200|51.2350|412618|0.0650|0.1850|0.0150|BEARISH
CFG|2025-09-02 18:30|51.2350|51.4900|51.2350|51.4650|377605|0.2300|0.0250|0.0000|BULLISH
CFG|2025-09-02 19:30|51.4650|51.6000|51.4450|51.6000|800925|0.1350|0.0000|0.0200|BULLISH
CFG|2025-09-03 13:30|51.6100|52.2150|51.4100|51.5750|651441|0.0350|0.6050|0.1650|BEARISH
CFG|2025-09-03 14:30|51.5900|51.7650|51.4400|51.4600|314526|0.1300|0.1750|0.0200|BEARISH
CFG|2025-09-03 15:30|51.4899|51.5100|51.1850|51.2200|321585|0.2699|0.0201|0.0350|BEARISH
CFG|2025-09-03 16:30|51.2250|51.4200|51.1300|51.4050|235781|0.1800|0.0150|0.0950|BULLISH
CFG|2025-09-03 17:30|51.4100|51.4400|51.0600|51.3050|278738|0.1050|0.0300|0.2450|BEARISH
CFG|2025-09-03 18:30|51.3100|51.3850|51.2150|51.3650|317755|0.0550|0.0200|0.0950|BULLISH
CFG|2025-09-03 19:30|51.3700|51.7100|51.3700|51.6700|509267|0.3000|0.0400|0.0000|BULLISH
CFG|2025-09-04 13:30|51.9300|52.1622|51.6100|52.0100|289268|0.0800|0.1522|0.3200|BULLISH
CFG|2025-09-04 14:30|52.0000|52.0900|51.9100|52.0300|301269|0.0300|0.0600|0.0900|BULLISH
CFG|2025-09-04 15:30|52.0300|52.1100|51.9750|52.0100|244281|0.0200|0.0800|0.0350|BEARISH
CFG|2025-09-04 16:30|52.0100|52.1500|51.9500|52.1313|198429|0.1213|0.0187|0.0600|BULLISH
CFG|2025-09-04 17:30|52.1400|52.3150|52.1000|52.2800|205413|0.1400|0.0350|0.0400|BULLISH
CFG|2025-09-04 18:30|52.2700|52.3750|52.1600|52.3750|303469|0.1050|0.0000|0.1100|BULLISH
CFG|2025-09-04 19:30|52.3700|52.5150|52.3250|52.5100|629210|0.1400|0.0050|0.0450|BULLISH
CFG|2025-09-05 13:30|52.6100|52.8400|51.6000|51.6400|611337|0.9700|0.2300|0.0400|BEARISH
CFG|2025-09-05 14:30|51.6500|51.6700|51.2500|51.6200|336169|0.0300|0.0200|0.3700|BEARISH
CFG|2025-09-05 15:30|51.6200|51.8000|51.5300|51.6400|223232|0.0200|0.1600|0.0900|BULLISH
CFG|2025-09-05 16:30|51.6500|51.8600|51.6100|51.7000|155578|0.0500|0.1600|0.0400|BULLISH
CFG|2025-09-05 17:30|51.6900|51.7600|51.3900|51.5000|256963|0.1900|0.0700|0.1100|BEARISH
CFG|2025-09-05 18:30|51.5200|51.8600|51.5200|51.8000|338043|0.2800|0.0600|0.0000|BULLISH
CFG|2025-09-05 19:30|51.8050|51.8450|51.6300|51.7200|483867|0.0850|0.0400|0.0900|BEARISH
CFG|2025-09-08 13:30|51.8700|51.8700|50.9200|51.1000|342215|0.7700|0.0000|0.1800|BEARISH
CFG|2025-09-08 14:30|51.0900|51.7600|51.0850|51.7150|448955|0.6250|0.0450|0.0050|BULLISH
CFG|2025-09-08 15:30|51.7150|51.7300|51.2650|51.4600|266553|0.2550|0.0150|0.1950|BEARISH
CFG|2025-09-08 16:30|51.4700|51.6800|51.4300|51.6000|229694|0.1300|0.0800|0.0400|BULLISH
CFG|2025-09-08 17:30|51.6050|51.6150|51.3100|51.5750|433137|0.0300|0.0100|0.2650|BEARISH
CFG|2025-09-08 18:30|51.5800|51.8200|51.5600|51.6600|306959|0.0800|0.1600|0.0200|BULLISH
CFG|2025-09-08 19:30|51.6650|51.7950|51.6200|51.7200|742022|0.0550|0.0750|0.0450|BULLISH
CFG|2025-09-09 13:30|51.7550|52.3050|51.6000|51.9600|779296|0.2050|0.3450|0.1550|BULLISH
CFG|2025-09-09 14:30|51.9500|52.1450|51.7450|52.1100|550278|0.1600|0.0350|0.2050|BULLISH
CFG|2025-09-09 15:30|52.1100|52.1350|51.5550|51.6300|447642|0.4800|0.0250|0.0750|BEARISH
CFG|2025-09-09 16:30|51.6300|51.7350|51.4600|51.5700|319712|0.0600|0.1050|0.1100|BEARISH
CFG|2025-09-09 17:30|51.5700|51.8850|51.5300|51.8300|255385|0.2600|0.0550|0.0400|BULLISH
CFG|2025-09-09 18:30|51.8300|51.9150|51.5890|51.6350|451932|0.1950|0.0850|0.0460|BEARISH
CFG|2025-09-09 19:30|51.6350|51.7850|51.5950|51.7100|618028|0.0750|0.0750|0.0400|BULLISH
CFG|2025-09-10 13:30|52.0100|52.1400|51.6600|51.9100|468569|0.1000|0.1300|0.2500|BEARISH
CFG|2025-09-10 14:30|51.9100|51.9100|51.5000|51.6200|283544|0.2900|0.0000|0.1200|BEARISH
CFG|2025-09-10 15:30|51.6200|51.9900|51.5700|51.8000|251146|0.1800|0.1900|0.0500|BULLISH
CFG|2025-09-10 16:30|51.8100|52.0600|51.7850|51.8400|302688|0.0300|0.2200|0.0250|BULLISH
CFG|2025-09-10 17:30|51.8500|51.9250|51.7750|51.8545|300076|0.0045|0.0705|0.0750|BULLISH
CFG|2025-09-10 18:30|51.8550|52.0350|51.7730|51.7800|331922|0.0750|0.1800|0.0070|BEARISH
CFG|2025-09-10 19:30|51.8050|51.9400|51.6700|51.8350|735148|0.0300|0.1050|0.1350|BULLISH
CFG|2025-09-11 13:30|51.8100|52.0050|51.4100|51.9050|562771|0.0950|0.1000|0.4000|BULLISH
CFG|2025-09-11 14:30|51.9100|52.1050|51.6950|51.8000|436832|0.1100|0.1950|0.1050|BEARISH
CFG|2025-09-11 15:30|51.8800|51.9482|51.6642|51.7200|324512|0.1600|0.0682|0.0558|BEARISH
CFG|2025-09-11 16:30|51.7200|51.9050|51.6850|51.8250|252873|0.1050|0.0800|0.0350|BULLISH
CFG|2025-09-11 17:30|51.8250|51.9300|51.7358|51.7400|480178|0.0850|0.1050|0.0042|BEARISH
CFG|2025-09-11 18:30|51.7400|51.8350|51.6100|51.8300|369881|0.0900|0.0050|0.1300|BULLISH
CFG|2025-09-11 19:30|51.8300|51.9650|51.7150|51.7400|1368532|0.0900|0.1350|0.0250|BEARISH
CFG|2025-09-12 13:30|51.6700|51.8700|51.4950|51.7400|495385|0.0700|0.1300|0.1750|BULLISH
CFG|2025-09-12 14:30|51.7350|51.8782|51.6900|51.7900|373502|0.0550|0.0882|0.0450|BULLISH
CFG|2025-09-12 15:30|51.7982|51.9000|51.7100|51.8900|304349|0.0918|0.0100|0.0882|BULLISH
CFG|2025-09-12 16:30|51.8950|52.0150|51.8950|51.9250|321665|0.0300|0.0900|0.0000|BULLISH
CFG|2025-09-12 17:30|51.9300|52.0250|51.8200|51.8950|602116|0.0350|0.0950|0.0750|BEARISH
