Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
CF|2025-09-02 13:30|86.5900|87.4200|86.0000|87.0850|323902|0.4950|0.3350|0.5900|BULLISH
CF|2025-09-02 14:30|87.0600|87.0900|86.7501|86.9450|204769|0.1150|0.0300|0.1949|BEARISH
CF|2025-09-02 15:30|86.9500|87.0550|86.7101|86.8500|125697|0.1000|0.1050|0.1399|BEARISH
CF|2025-09-02 16:30|86.8650|87.1700|86.6600|87.1100|141773|0.2450|0.0600|0.2050|BULLISH
CF|2025-09-02 17:30|87.1300|87.2500|87.0500|87.1300|184061|0.0000|0.1200|0.0800|BULLISH
CF|2025-09-02 18:30|87.1300|87.3100|86.9200|87.3100|281163|0.1800|0.0000|0.2100|BULLISH
CF|2025-09-02 19:30|87.3000|87.5050|87.2500|87.4300|497375|0.1300|0.0750|0.0500|BULLISH
CF|2025-09-03 13:30|86.7500|87.6100|85.3300|85.7700|294470|0.9800|0.8600|0.4400|BEARISH
CF|2025-09-03 14:30|85.7750|85.8800|85.4400|85.8750|235130|0.1000|0.0050|0.3350|BULLISH
CF|2025-09-03 15:30|85.8750|86.0900|85.4800|85.8300|207712|0.0450|0.2150|0.3500|BEARISH
CF|2025-09-03 16:30|85.8700|85.9900|85.6400|85.9900|102256|0.1200|0.0000|0.2300|BULLISH
CF|2025-09-03 17:30|85.9400|85.9800|85.6175|85.7900|124200|0.1500|0.0400|0.1725|BEARISH
CF|2025-09-03 18:30|85.7900|85.8003|84.9724|85.0400|222941|0.7500|0.0103|0.0676|BEARISH
CF|2025-09-03 19:30|85.0200|85.0400|84.7300|84.7700|485849|0.2500|0.0200|0.0400|BEARISH
CF|2025-09-04 13:30|83.8000|84.1500|81.7200|83.0700|778395|0.7300|0.3500|1.3500|BEARISH
CF|2025-09-04 14:30|83.0500|83.3000|82.8000|83.0500|386004|0.0000|0.2500|0.2500|BULLISH
CF|2025-09-04 15:30|83.0550|83.1400|82.7100|82.7900|306121|0.2650|0.0850|0.0800|BEARISH
CF|2025-09-04 16:30|82.8100|83.0000|82.6800|82.9950|278082|0.1850|0.0050|0.1300|BULLISH
CF|2025-09-04 17:30|82.9800|83.2300|82.8900|83.1400|250018|0.1600|0.0900|0.0900|BULLISH
CF|2025-09-04 18:30|83.1400|83.8300|83.1200|83.8300|457357|0.6900|0.0000|0.0200|BULLISH
CF|2025-09-04 19:30|83.8300|84.3100|83.7700|84.1700|534495|0.3400|0.1400|0.0600|BULLISH
CF|2025-09-05 13:30|84.0000|84.6750|83.2800|84.0800|349934|0.0800|0.5950|0.7200|BULLISH
CF|2025-09-05 14:30|84.0800|84.2700|83.9100|84.1200|268454|0.0400|0.1500|0.1700|BULLISH
CF|2025-09-05 15:30|84.1400|84.3000|83.9500|83.9600|279131|0.1800|0.1600|0.0100|BEARISH
CF|2025-09-05 16:30|83.9700|84.2450|83.9700|83.9800|200505|0.0100|0.2650|0.0000|BULLISH
CF|2025-09-05 17:30|83.9800|84.1100|83.8800|84.0550|207399|0.0750|0.0550|0.1000|BULLISH
CF|2025-09-05 18:30|84.0550|84.3400|83.9700|84.2900|188456|0.2350|0.0500|0.0850|BULLISH
CF|2025-09-05 19:30|84.2800|84.5000|84.1200|84.4500|425565|0.1700|0.0500|0.1600|BULLISH
CF|2025-09-08 13:30|85.1900|85.1900|83.5700|83.8600|342159|1.3300|0.0000|0.2900|BEARISH
CF|2025-09-08 14:30|83.9000|84.4200|83.9000|84.1550|198446|0.2550|0.2650|0.0000|BULLISH
CF|2025-09-08 15:30|84.1550|84.2300|83.7300|83.7600|155967|0.3950|0.0750|0.0300|BEARISH
CF|2025-09-08 16:30|83.7700|83.7850|83.5300|83.7550|127781|0.0150|0.0150|0.2250|BEARISH
CF|2025-09-08 17:30|83.7700|84.2000|83.7310|84.1400|158966|0.3700|0.0600|0.0390|BULLISH
CF|2025-09-08 18:30|84.1350|84.3650|84.1300|84.1400|146450|0.0050|0.2250|0.0050|BULLISH
CF|2025-09-08 19:30|84.1400|84.6100|84.0900|84.5200|407166|0.3800|0.0900|0.0500|BULLISH
CF|2025-09-09 13:30|84.7700|85.1100|84.3700|84.6700|274211|0.1000|0.3400|0.3000|BEARISH
CF|2025-09-09 14:30|84.7000|85.3850|84.6700|84.8000|324199|0.1000|0.5850|0.0300|BULLISH
CF|2025-09-09 15:30|84.8100|84.9500|84.5700|84.7700|196430|0.0400|0.1400|0.2000|BEARISH
CF|2025-09-09 16:30|84.7700|85.0000|84.7600|84.7600|152490|0.0100|0.2300|0.0000|BEARISH
CF|2025-09-09 17:30|84.7450|84.7500|84.5200|84.6900|212713|0.0550|0.0050|0.1700|BEARISH
CF|2025-09-09 18:30|84.7000|84.9500|84.7000|84.8100|281689|0.1100|0.1400|0.0000|BULLISH
CF|2025-09-09 19:30|84.8180|84.8500|84.5700|84.6250|497547|0.1930|0.0320|0.0550|BEARISH
CF|2025-09-10 13:30|84.5300|85.6800|84.5300|85.3900|225878|0.8600|0.2900|0.0000|BULLISH
CF|2025-09-10 14:30|85.3900|85.4400|85.1100|85.1550|156332|0.2350|0.0500|0.0450|BEARISH
CF|2025-09-10 15:30|85.1600|85.8900|85.0400|85.7400|124425|0.5800|0.1500|0.1200|BULLISH
CF|2025-09-10 16:30|85.7450|85.8000|85.5100|85.7800|117493|0.0350|0.0200|0.2350|BULLISH
CF|2025-09-10 17:30|85.7750|86.2300|85.7000|86.1950|173741|0.4200|0.0350|0.0750|BULLISH
CF|2025-09-10 18:30|86.2100|86.9100|86.1950|86.8300|380485|0.6200|0.0800|0.0150|BULLISH
CF|2025-09-10 19:30|86.8700|87.3100|86.6800|86.9050|692989|0.0350|0.4050|0.1900|BULLISH
CF|2025-09-11 13:30|87.2300|87.3200|86.4700|86.4750|221351|0.7550|0.0900|0.0050|BEARISH
CF|2025-09-11 14:30|86.4900|87.3600|86.4556|87.2850|148052|0.7950|0.0750|0.0344|BULLISH
CF|2025-09-11 15:30|87.3300|87.3900|86.9050|86.9050|136235|0.4250|0.0600|0.0000|BEARISH
CF|2025-09-11 16:30|86.9000|87.0700|86.6700|87.0600|114338|0.1600|0.0100|0.2300|BULLISH
CF|2025-09-11 17:30|87.0900|87.2100|86.8300|86.8300|123942|0.2600|0.1200|0.0000|BEARISH
