Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
CHD|2025-09-02 13:30|93.4600|94.0300|92.7300|92.9550|343481|0.5050|0.5700|0.2250|BEARISH
CHD|2025-09-02 14:30|92.9550|93.2600|92.8000|92.9500|240259|0.0050|0.3050|0.1500|BEARISH
CHD|2025-09-02 15:30|92.8900|93.2700|92.8900|93.0800|131814|0.1900|0.1900|0.0000|BULLISH
CHD|2025-09-02 16:30|93.0800|93.1150|92.8300|93.0900|189304|0.0100|0.0250|0.2500|BULLISH
CHD|2025-09-02 17:30|93.0900|93.2000|93.0500|93.1450|127245|0.0550|0.0550|0.0400|BULLISH
CHD|2025-09-02 18:30|93.1500|93.1900|92.9250|93.1800|196126|0.0300|0.0100|0.2250|BULLISH
CHD|2025-09-02 19:30|93.1900|93.4400|93.1400|93.2500|383172|0.0600|0.1900|0.0500|BULLISH
CHD|2025-09-03 13:30|92.8500|93.3900|92.0000|92.1700|234726|0.6800|0.5400|0.1700|BEARISH
CHD|2025-09-03 14:30|92.1400|92.5900|92.0500|92.4637|129364|0.3237|0.1263|0.0900|BULLISH
CHD|2025-09-03 15:30|92.4700|92.6350|92.2600|92.5000|122465|0.0300|0.1350|0.2100|BULLISH
CHD|2025-09-03 16:30|92.5100|92.7900|92.5100|92.7400|114584|0.2300|0.0500|0.0000|BULLISH
CHD|2025-09-03 17:30|92.7503|93.1700|92.7300|93.1300|139126|0.3797|0.0400|0.0203|BULLISH
CHD|2025-09-03 18:30|93.1400|93.2700|93.0800|93.1350|154196|0.0050|0.1300|0.0550|BEARISH
CHD|2025-09-03 19:30|93.1300|93.4400|93.1103|93.2900|379837|0.1600|0.1500|0.0197|BULLISH
CHD|2025-09-04 13:30|93.2500|94.3200|93.2500|94.1617|154042|0.9117|0.1583|0.0000|BULLISH
CHD|2025-09-04 14:30|94.2500|94.6000|94.1600|94.4300|120236|0.1800|0.1700|0.0900|BULLISH
CHD|2025-09-04 15:30|94.4400|94.6800|94.4200|94.6600|175215|0.2200|0.0200|0.0200|BULLISH
CHD|2025-09-04 16:30|94.6800|94.7500|94.5160|94.7300|115939|0.0500|0.0200|0.1640|BULLISH
CHD|2025-09-04 17:30|94.7300|94.9100|94.5500|94.9100|96407|0.1800|0.0000|0.1800|BULLISH
CHD|2025-09-04 18:30|94.9100|95.3000|94.8100|95.2150|176251|0.3050|0.0850|0.1000|BULLISH
CHD|2025-09-04 19:30|95.2300|95.4100|95.1200|95.2500|404799|0.0200|0.1600|0.1100|BULLISH
CHD|2025-09-05 13:30|94.9500|96.5300|94.8850|95.9900|325607|1.0400|0.5400|0.0650|BULLISH
CHD|2025-09-05 14:30|95.9900|96.3750|95.7500|96.1000|183618|0.1100|0.2750|0.2400|BULLISH
CHD|2025-09-05 15:30|96.1000|96.2100|95.5100|95.5950|286672|0.5050|0.1100|0.0850|BEARISH
CHD|2025-09-05 16:30|95.5950|95.6700|95.2700|95.4000|157863|0.1950|0.0750|0.1300|BEARISH
