Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
CLX|2025-09-02 13:30|118.7400|119.8000|117.8700|119.0400|375308|0.3000|0.7600|0.8700|BULLISH
CLX|2025-09-02 14:30|119.0500|119.6900|118.7200|119.4500|230941|0.4000|0.2400|0.3300|BULLISH
CLX|2025-09-02 15:30|119.4450|120.2250|119.3900|119.8400|215012|0.3950|0.3850|0.0550|BULLISH
CLX|2025-09-02 16:30|119.8500|119.8500|119.3200|119.6400|132103|0.2100|0.0000|0.3200|BEARISH
CLX|2025-09-02 17:30|119.6900|119.8700|119.5000|119.6800|134461|0.0100|0.1800|0.1800|BEARISH
CLX|2025-09-02 18:30|119.6600|119.7250|119.4100|119.5750|162436|0.0850|0.0650|0.1650|BEARISH
CLX|2025-09-02 19:30|119.5750|120.0000|119.5400|119.9800|358817|0.4050|0.0200|0.0350|BULLISH
CLX|2025-09-03 13:30|119.6450|123.0100|119.5001|122.2800|756992|2.6350|0.7300|0.1449|BULLISH
CLX|2025-09-03 14:30|122.2900|122.7600|121.6600|122.5700|300163|0.2800|0.1900|0.6300|BULLISH
CLX|2025-09-03 15:30|122.6100|122.7700|121.8200|122.0150|407093|0.5950|0.1600|0.1950|BEARISH
CLX|2025-09-03 16:30|122.0150|122.6700|122.0150|122.2500|188528|0.2350|0.4200|0.0000|BULLISH
CLX|2025-09-03 17:30|122.2400|122.3100|121.7950|122.2550|154171|0.0150|0.0550|0.4450|BULLISH
CLX|2025-09-03 18:30|122.2800|122.5000|122.0450|122.1350|203326|0.1450|0.2200|0.0900|BEARISH
CLX|2025-09-03 19:30|122.1200|123.0100|122.1200|122.9800|453284|0.8600|0.0300|0.0000|BULLISH
CLX|2025-09-04 13:30|123.0600|123.8900|122.9700|123.2500|242563|0.1900|0.6400|0.0900|BULLISH
CLX|2025-09-04 14:30|123.2600|123.8075|123.0409|123.3800|378534|0.1200|0.4275|0.2191|BULLISH
CLX|2025-09-04 15:30|123.3650|123.6900|123.1100|123.4000|476473|0.0350|0.2900|0.2550|BULLISH
CLX|2025-09-04 16:30|123.3800|123.7550|123.1600|123.6616|265446|0.2816|0.0934|0.2200|BULLISH
CLX|2025-09-04 17:30|123.6650|124.1400|123.3800|124.1400|192442|0.4750|0.0000|0.2850|BULLISH
CLX|2025-09-04 18:30|124.1300|124.6400|124.0100|124.4100|258917|0.2800|0.2300|0.1200|BULLISH
CLX|2025-09-04 19:30|124.4400|124.7200|124.2300|124.6500|437431|0.2100|0.0700|0.2100|BULLISH
CLX|2025-09-05 13:30|124.5000|127.5650|124.5000|127.0800|339811|2.5800|0.4850|0.0000|BULLISH
