Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
CMA|2025-09-02 13:30|69.5400|69.6150|68.8900|69.3650|143319|0.1750|0.0750|0.4750|BEARISH
CMA|2025-09-02 14:30|69.4500|69.6250|68.7978|69.0663|173870|0.3837|0.1750|0.2685|BEARISH
CMA|2025-09-02 15:30|68.9700|68.9700|68.7300|68.8900|119647|0.0800|0.0000|0.1600|BEARISH
CMA|2025-09-02 16:30|68.8900|69.2350|68.8900|69.2250|82915|0.3350|0.0100|0.0000|BULLISH
CMA|2025-09-02 17:30|69.2100|69.4900|69.2100|69.2900|101273|0.0800|0.2000|0.0000|BULLISH
CMA|2025-09-02 18:30|69.3100|69.5600|69.2600|69.5200|106688|0.2100|0.0400|0.0500|BULLISH
CMA|2025-09-02 19:30|69.5000|70.9900|69.4700|70.0900|1701165|0.5900|0.9000|0.0300|BULLISH
CMA|2025-09-03 13:30|69.9000|71.2700|69.6550|70.2700|217176|0.3700|1.0000|0.2450|BULLISH
CMA|2025-09-03 14:30|70.2600|70.3800|69.9300|69.9400|118450|0.3200|0.1200|0.0100|BEARISH
CMA|2025-09-03 15:30|69.9400|69.9950|69.2300|69.3050|180120|0.6350|0.0550|0.0750|BEARISH
CMA|2025-09-03 16:30|69.3150|69.6400|69.2500|69.5700|101082|0.2550|0.0700|0.0650|BULLISH
CMA|2025-09-03 17:30|69.6000|69.6800|69.1000|69.2400|130123|0.3600|0.0800|0.1400|BEARISH
CMA|2025-09-03 18:30|69.2300|69.3750|69.0500|69.3500|207513|0.1200|0.0250|0.1800|BULLISH
CMA|2025-09-03 19:30|69.3700|69.9800|69.3600|69.9600|343710|0.5900|0.0200|0.0100|BULLISH
CMA|2025-09-04 13:30|70.6000|70.6000|69.7700|70.0900|114100|0.5100|0.0000|0.3200|BEARISH
CMA|2025-09-04 14:30|70.1400|70.4400|70.0900|70.3950|64976|0.2550|0.0450|0.0500|BULLISH
CMA|2025-09-04 15:30|70.4000|70.5850|70.3350|70.4600|111197|0.0600|0.1250|0.0650|BULLISH
CMA|2025-09-04 16:30|70.4600|70.4800|70.2292|70.4350|86506|0.0250|0.0200|0.2058|BEARISH
CMA|2025-09-04 17:30|70.4700|70.6700|70.3900|70.5500|104591|0.0800|0.1200|0.0800|BULLISH
CMA|2025-09-04 18:30|70.5400|70.6250|70.4350|70.5800|166332|0.0400|0.0450|0.1050|BULLISH
CMA|2025-09-04 19:30|70.5700|70.6650|70.4600|70.6000|295134|0.0300|0.0650|0.1100|BULLISH
CMA|2025-09-05 13:30|70.7600|71.1300|69.2800|69.3600|114843|1.4000|0.3700|0.0800|BEARISH
CMA|2025-09-05 14:30|69.3900|69.4300|68.7200|69.1650|110464|0.2250|0.0400|0.4450|BEARISH
CMA|2025-09-05 15:30|69.1500|69.4042|69.0700|69.2109|59704|0.0609|0.1933|0.0800|BULLISH
CMA|2025-09-05 16:30|69.1900|69.3850|69.1100|69.1200|54797|0.0700|0.1950|0.0100|BEARISH
CMA|2025-09-05 17:30|69.1600|69.1800|68.8200|68.8800|53057|0.2800|0.0200|0.0600|BEARISH
CMA|2025-09-05 18:30|68.9200|69.2250|68.9200|69.1050|157210|0.1850|0.1200|0.0000|BULLISH
CMA|2025-09-05 19:30|69.1050|69.1300|68.7300|68.8600|355766|0.2450|0.0250|0.1300|BEARISH
CMA|2025-09-08 13:30|68.5400|68.7600|67.3750|67.3800|334443|1.1600|0.2200|0.0050|BEARISH
CMA|2025-09-08 14:30|67.4600|67.9700|67.2700|67.8700|313449|0.4100|0.1000|0.1900|BULLISH
CMA|2025-09-08 15:30|67.8650|67.9300|67.2100|67.4800|163103|0.3850|0.0650|0.2700|BEARISH
CMA|2025-09-08 16:30|67.5800|67.8000|67.4500|67.6900|110134|0.1100|0.1100|0.1300|BULLISH
CMA|2025-09-08 17:30|67.7150|67.9400|67.6400|67.9400|103516|0.2250|0.0000|0.0750|BULLISH
CMA|2025-09-08 18:30|67.9300|68.4000|67.9300|68.2500|135036|0.3200|0.1500|0.0000|BULLISH
CMA|2025-09-08 19:30|68.2300|68.7500|68.1950|68.6850|370940|0.4550|0.0650|0.0350|BULLISH
CMA|2025-09-09 13:30|68.2600|69.5800|68.2600|68.9900|428688|0.7300|0.5900|0.0000|BULLISH
CMA|2025-09-09 14:30|68.9900|69.4100|68.7200|69.3850|246677|0.3950|0.0250|0.2700|BULLISH
CMA|2025-09-09 15:30|69.3950|69.4250|68.5200|68.7300|113410|0.6650|0.0300|0.2100|BEARISH
CMA|2025-09-09 16:30|68.7154|68.8000|68.3800|68.5500|75212|0.1654|0.0846|0.1700|BEARISH
CMA|2025-09-09 17:30|68.4800|69.1100|68.4800|69.0000|117311|0.5200|0.1100|0.0000|BULLISH
