Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
CME|2025-09-02 13:30|266.8800|268.0625|265.3600|265.5400|379909|1.3400|1.1825|0.1800|BEARISH
CME|2025-09-02 14:30|265.6700|266.1850|264.3100|264.9800|395633|0.6900|0.5150|0.6700|BEARISH
CME|2025-09-02 15:30|265.0150|265.0150|263.0000|263.3300|357965|1.6850|0.0000|0.3300|BEARISH
CME|2025-09-02 16:30|263.3100|263.5400|262.5450|263.1600|110336|0.1500|0.2300|0.6150|BEARISH
CME|2025-09-02 17:30|263.1600|264.1900|263.0950|264.1600|160870|1.0000|0.0300|0.0650|BULLISH
CME|2025-09-02 18:30|264.1050|264.2400|263.0000|263.7750|458102|0.3300|0.1350|0.7750|BEARISH
CME|2025-09-02 19:30|263.7500|265.5800|263.7500|265.3900|509630|1.6400|0.1900|0.0000|BULLISH
CME|2025-09-03 13:30|264.9800|267.2200|264.1500|266.5650|458842|1.5850|0.6550|0.8300|BULLISH
CME|2025-09-03 14:30|264.8600|268.4300|264.8300|268.0950|413671|3.2350|0.3350|0.0300|BULLISH
CME|2025-09-03 15:30|267.4490|268.4300|266.9375|267.4000|324475|0.0490|0.9810|0.4625|BEARISH
CME|2025-09-03 16:30|267.4200|268.7600|267.3400|268.0400|183563|0.6200|0.7200|0.0800|BULLISH
CME|2025-09-03 17:30|267.9750|268.5400|267.4600|268.0200|147001|0.0450|0.5200|0.5150|BULLISH
CME|2025-09-03 18:30|267.9870|268.1600|267.5100|267.9400|225029|0.0470|0.1730|0.4300|BEARISH
CME|2025-09-03 19:30|267.9400|269.7700|267.8900|269.3300|382905|1.3900|0.4400|0.0500|BULLISH
CME|2025-09-04 13:30|269.5800|271.5950|269.3400|269.6400|645246|0.0600|1.9550|0.2400|BULLISH
CME|2025-09-04 14:30|269.7200|269.8200|268.5500|268.7500|152149|0.9700|0.1000|0.2000|BEARISH
CME|2025-09-04 15:30|268.8200|269.0299|268.3300|268.3850|109814|0.4350|0.2099|0.0550|BEARISH
CME|2025-09-04 16:30|268.3300|269.0400|267.9000|268.6900|109833|0.3600|0.3500|0.4300|BULLISH
CME|2025-09-04 17:30|268.6400|268.6500|267.0750|267.1500|88240|1.4900|0.0100|0.0750|BEARISH
CME|2025-09-04 18:30|267.1450|267.6900|266.9500|267.1650|133763|0.0200|0.5250|0.1950|BULLISH
CME|2025-09-04 19:30|267.1150|267.6200|267.0900|267.3600|181951|0.2450|0.2600|0.0250|BULLISH
CME|2025-09-05 13:30|266.0200|266.0400|262.5000|263.0150|206129|3.0050|0.0200|0.5150|BEARISH
CME|2025-09-05 14:30|263.2250|263.8300|262.3229|263.8300|149335|0.6050|0.0000|0.9021|BULLISH
CME|2025-09-05 15:30|263.7900|264.0200|260.5800|261.2772|317840|2.5128|0.2300|0.6972|BEARISH
CME|2025-09-05 16:30|261.3700|262.2750|261.0000|262.1500|125969|0.7800|0.1250|0.3700|BULLISH
CME|2025-09-05 17:30|262.1700|262.1800|261.3500|261.8900|136006|0.2800|0.0100|0.5400|BEARISH
CME|2025-09-05 18:30|261.8900|262.1500|261.4600|261.9000|96984|0.0100|0.2500|0.4300|BULLISH
CME|2025-09-05 19:30|261.9050|262.0600|261.4550|262.0300|217580|0.1250|0.0300|0.4500|BULLISH
CME|2025-09-08 13:30|261.6200|261.6200|258.5100|259.9800|256976|1.6400|0.0000|1.4700|BEARISH
CME|2025-09-08 14:30|259.9000|260.7600|259.8000|260.3500|151628|0.4500|0.4100|0.1000|BULLISH
CME|2025-09-08 15:30|260.2400|261.6400|259.9479|261.6150|136620|1.3750|0.0250|0.2921|BULLISH
CME|2025-09-08 16:30|261.6300|261.7800|261.1900|261.3150|117440|0.3150|0.1500|0.1250|BEARISH
CME|2025-09-08 17:30|261.3900|261.5899|260.7517|261.0500|107710|0.3400|0.1999|0.2983|BEARISH
CME|2025-09-08 18:30|261.0550|261.3500|260.5400|260.5950|305148|0.4600|0.2950|0.0550|BEARISH
CME|2025-09-08 19:30|260.6300|262.6700|260.6300|262.5300|514240|1.9000|0.1400|0.0000|BULLISH
CME|2025-09-09 13:30|260.9700|262.4950|260.9700|261.7700|185203|0.8000|0.7250|0.0000|BULLISH
CME|2025-09-09 14:30|261.8325|262.4630|261.3650|262.0050|103388|0.1725|0.4580|0.4675|BULLISH
CME|2025-09-09 15:30|262.0200|262.5200|261.9300|262.3500|109206|0.3300|0.1700|0.0900|BULLISH
CME|2025-09-09 16:30|262.2650|262.7300|262.1100|262.4650|55241|0.2000|0.2650|0.1550|BULLISH
CME|2025-09-09 17:30|262.4650|263.0100|262.1600|262.8350|171796|0.3700|0.1750|0.3050|BULLISH
CME|2025-09-09 18:30|262.8300|263.1900|261.6000|261.6850|216244|1.1450|0.3600|0.0850|BEARISH
CME|2025-09-09 19:30|261.6000|261.7100|260.4600|261.5600|410421|0.0400|0.1100|1.1000|BEARISH
CME|2025-09-10 13:30|262.6700|262.6700|258.9600|260.1900|319541|2.4800|0.0000|1.2300|BEARISH
CME|2025-09-10 14:30|260.7500|261.3250|259.3500|259.5250|407820|1.2250|0.5750|0.1750|BEARISH
CME|2025-09-10 15:30|259.8700|260.5650|259.3500|259.7250|303059|0.1450|0.6950|0.3750|BEARISH
CME|2025-09-10 16:30|259.7573|260.2150|259.4400|260.1895|71145|0.4322|0.0255|0.3173|BULLISH
CME|2025-09-10 17:30|260.2600|260.6000|259.9000|260.3000|119048|0.0400|0.3000|0.3600|BULLISH
CME|2025-09-10 18:30|260.4000|260.5300|259.5700|259.8000|249015|0.6000|0.1300|0.2300|BEARISH
CME|2025-09-10 19:30|259.7600|260.0900|259.1650|259.8100|328436|0.0500|0.2800|0.5950|BULLISH
CME|2025-09-11 13:30|260.7400|261.7600|259.5700|261.4850|300948|0.7450|0.2750|1.1700|BULLISH
CME|2025-09-11 14:30|261.4850|261.8700|260.7000|261.1100|92628|0.3750|0.3850|0.4100|BEARISH
