Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
CMG|2025-09-02 13:30|41.8100|42.1600|41.5200|41.8400|3204404|0.0300|0.3200|0.2900|BULLISH
CMG|2025-09-02 14:30|41.8350|41.9050|41.7600|41.8500|1714651|0.0150|0.0550|0.0750|BULLISH
CMG|2025-09-02 15:30|41.8500|41.8550|41.6000|41.6350|3062581|0.2150|0.0050|0.0350|BEARISH
CMG|2025-09-02 16:30|41.6350|41.7600|41.4700|41.7200|1615918|0.0850|0.0400|0.1650|BULLISH
CMG|2025-09-02 17:30|41.7235|41.7700|41.6250|41.7250|1209045|0.0015|0.0450|0.0985|BULLISH
CMG|2025-09-02 18:30|41.7299|41.8200|41.6600|41.7850|1694638|0.0551|0.0350|0.0699|BULLISH
CMG|2025-09-02 19:30|41.7850|41.9000|41.7300|41.7700|6081307|0.0150|0.1150|0.0400|BEARISH
CMG|2025-09-03 13:30|42.0000|42.2600|41.7700|41.9350|2672985|0.0650|0.2600|0.1650|BEARISH
CMG|2025-09-03 14:30|41.9350|42.0300|41.7350|41.7950|1528596|0.1400|0.0950|0.0600|BEARISH
CMG|2025-09-03 15:30|41.8000|41.8160|41.6900|41.7200|893871|0.0800|0.0160|0.0300|BEARISH
CMG|2025-09-03 16:30|41.7250|41.8600|41.7250|41.8150|1044924|0.0900|0.0450|0.0000|BULLISH
CMG|2025-09-03 17:30|41.8150|41.8180|41.6450|41.7500|915118|0.0650|0.0030|0.1050|BEARISH
CMG|2025-09-03 18:30|41.7500|41.8100|41.7050|41.7150|1056994|0.0350|0.0600|0.0100|BEARISH
CMG|2025-09-03 19:30|41.7150|41.8054|41.7101|41.7900|1934351|0.0750|0.0154|0.0049|BULLISH
CMG|2025-09-04 13:30|41.7200|41.7950|41.0350|41.3400|3109415|0.3800|0.0750|0.3050|BEARISH
CMG|2025-09-04 14:30|41.3450|41.5000|41.2950|41.4750|1730900|0.1300|0.0250|0.0500|BULLISH
CMG|2025-09-04 15:30|41.4800|41.4950|41.3600|41.3850|1214687|0.0950|0.0150|0.0250|BEARISH
CMG|2025-09-04 16:30|41.3900|41.4550|41.1400|41.4150|2209336|0.0250|0.0400|0.2500|BULLISH
