Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
CNC|2025-09-02 13:30|29.1300|29.6500|28.7200|29.5150|2940965|0.3850|0.1350|0.4100|BULLISH
CNC|2025-09-02 14:30|29.5100|29.7400|29.4950|29.6100|1213726|0.1000|0.1300|0.0150|BULLISH
CNC|2025-09-02 15:30|29.6150|29.7900|29.5442|29.5950|1044147|0.0200|0.1750|0.0508|BEARISH
CNC|2025-09-02 16:30|29.6000|29.6550|29.5200|29.5300|580727|0.0700|0.0550|0.0100|BEARISH
CNC|2025-09-02 17:30|29.5350|29.6050|29.4900|29.5912|608922|0.0562|0.0138|0.0450|BULLISH
CNC|2025-09-02 18:30|29.5962|29.5962|29.4400|29.5050|741703|0.0912|0.0000|0.0650|BEARISH
CNC|2025-09-02 19:30|29.5050|29.6100|29.4800|29.6100|1519854|0.1050|0.0000|0.0250|BULLISH
CNC|2025-09-03 13:30|29.5000|29.9650|29.4150|29.5100|1956900|0.0100|0.4550|0.0850|BULLISH
CNC|2025-09-03 14:30|29.5100|29.8800|29.4600|29.8050|1196598|0.2950|0.0750|0.0500|BULLISH
CNC|2025-09-03 15:30|29.8050|29.8850|29.5800|29.5800|659484|0.2250|0.0800|0.0000|BEARISH
CNC|2025-09-03 16:30|29.5850|29.8300|29.4900|29.8150|2043536|0.2300|0.0150|0.0950|BULLISH
CNC|2025-09-03 17:30|29.8150|29.9200|29.7300|29.8950|1184674|0.0800|0.0250|0.0850|BULLISH
CNC|2025-09-03 18:30|29.8950|30.0200|29.7200|29.7350|993248|0.1600|0.1250|0.0150|BEARISH
CNC|2025-09-03 19:30|29.7350|30.0500|29.7350|30.0500|1864759|0.3150|0.0000|0.0000|BULLISH
CNC|2025-09-04 13:30|29.2500|29.3000|28.4600|28.8250|6089949|0.4250|0.0500|0.3650|BEARISH
CNC|2025-09-04 14:30|28.8300|28.8600|28.3000|28.3250|3712731|0.5050|0.0300|0.0250|BEARISH
