Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
CNP|2025-09-02 13:30|37.6500|38.0700|37.5750|37.9250|644954|0.2750|0.1450|0.0750|BULLISH
CNP|2025-09-02 14:30|37.9250|38.1390|37.9146|38.1050|434569|0.1800|0.0340|0.0104|BULLISH
CNP|2025-09-02 15:30|38.1050|38.1550|37.8850|37.9450|367031|0.1600|0.0500|0.0600|BEARISH
CNP|2025-09-02 16:30|37.9450|37.9450|37.8000|37.8350|489094|0.1100|0.0000|0.0350|BEARISH
CNP|2025-09-02 17:30|37.8350|37.8600|37.7600|37.7950|227339|0.0400|0.0250|0.0350|BEARISH
CNP|2025-09-02 18:30|37.8000|37.9100|37.7500|37.8250|504605|0.0250|0.0850|0.0500|BULLISH
CNP|2025-09-02 19:30|37.8300|37.9450|37.8100|37.9250|782575|0.0950|0.0200|0.0200|BULLISH
CNP|2025-09-03 13:30|37.8800|38.0150|37.5750|37.8000|554919|0.0800|0.1350|0.2250|BEARISH
CNP|2025-09-03 14:30|37.7950|37.8800|37.7050|37.7750|320598|0.0200|0.0850|0.0700|BEARISH
CNP|2025-09-03 15:30|37.7800|37.7850|37.6650|37.7050|341813|0.0750|0.0050|0.0400|BEARISH
CNP|2025-09-03 16:30|37.7050|37.7100|37.3850|37.4550|1018442|0.2500|0.0050|0.0700|BEARISH
CNP|2025-09-03 17:30|37.4550|37.5800|37.4350|37.5400|230514|0.0850|0.0400|0.0200|BULLISH
CNP|2025-09-03 18:30|37.5350|37.6150|37.5150|37.5550|458767|0.0200|0.0600|0.0200|BULLISH
CNP|2025-09-03 19:30|37.5550|37.6750|37.5350|37.6300|656042|0.0750|0.0450|0.0200|BULLISH
CNP|2025-09-04 13:30|37.8300|37.8800|36.6050|36.7550|2229678|1.0750|0.0500|0.1500|BEARISH
CNP|2025-09-04 14:30|36.7550|37.1950|36.7450|37.1000|1138703|0.3450|0.0950|0.0100|BULLISH
CNP|2025-09-04 15:30|37.1050|37.4150|36.9850|37.3050|901656|0.2000|0.1100|0.1200|BULLISH
CNP|2025-09-04 16:30|37.3050|37.4150|37.1900|37.3900|720520|0.0850|0.0250|0.1150|BULLISH
CNP|2025-09-04 17:30|37.3950|37.4300|37.2650|37.2750|581587|0.1200|0.0350|0.0100|BEARISH
CNP|2025-09-04 18:30|37.2750|37.4350|37.2700|37.4050|371546|0.1300|0.0300|0.0050|BULLISH
CNP|2025-09-04 19:30|37.4050|37.5000|37.3450|37.4600|1151957|0.0550|0.0400|0.0600|BULLISH
CNP|2025-09-05 13:30|37.6700|37.8317|37.5100|37.6650|932627|0.0050|0.1617|0.1550|BEARISH
CNP|2025-09-05 14:30|37.6650|37.7050|37.4200|37.7050|859238|0.0400|0.0000|0.2450|BULLISH
CNP|2025-09-05 15:30|37.7100|37.7200|37.4750|37.4850|521742|0.2250|0.0100|0.0100|BEARISH
CNP|2025-09-05 16:30|37.4850|37.6550|37.4400|37.6200|397534|0.1350|0.0350|0.0450|BULLISH
CNP|2025-09-05 17:30|37.6300|37.6950|37.5850|37.6850|552928|0.0550|0.0100|0.0450|BULLISH
CNP|2025-09-05 18:30|37.6900|37.7450|37.6450|37.6450|387270|0.0450|0.0550|0.0000|BEARISH
CNP|2025-09-05 19:30|37.6500|37.8100|37.6300|37.7900|692123|0.1400|0.0200|0.0200|BULLISH
CNP|2025-09-08 13:30|37.6400|37.7350|37.4200|37.4600|270250|0.1800|0.0950|0.0400|BEARISH
CNP|2025-09-08 14:30|37.4600|37.5250|37.3450|37.4200|300553|0.0400|0.0650|0.0750|BEARISH
CNP|2025-09-08 15:30|37.4250|37.4450|37.3350|37.3700|189068|0.0550|0.0200|0.0350|BEARISH
CNP|2025-09-08 16:30|37.3800|37.3850|37.2450|37.2550|158593|0.1250|0.0050|0.0100|BEARISH
CNP|2025-09-08 17:30|37.2600|37.3000|37.1900|37.1900|214187|0.0700|0.0400|0.0000|BEARISH
CNP|2025-09-08 18:30|37.1950|37.2200|37.1250|37.2050|359832|0.0100|0.0150|0.0700|BULLISH
CNP|2025-09-08 19:30|37.2100|37.3400|37.1700|37.3300|941452|0.1200|0.0100|0.0400|BULLISH
CNP|2025-09-09 13:30|37.2500|37.6500|37.2500|37.3450|422577|0.0950|0.3050|0.0000|BULLISH
CNP|2025-09-09 14:30|37.3550|37.5400|37.3000|37.5000|627217|0.1450|0.0400|0.0550|BULLISH
CNP|2025-09-09 15:30|37.5050|37.5900|37.3800|37.4350|200397|0.0700|0.0850|0.0550|BEARISH
CNP|2025-09-09 16:30|37.4350|37.5800|37.4100|37.5400|333259|0.1050|0.0400|0.0250|BULLISH
CNP|2025-09-09 17:30|37.5500|37.7850|37.5500|37.7850|791410|0.2350|0.0000|0.0000|BULLISH
CNP|2025-09-09 18:30|37.7850|37.8350|37.5400|37.5500|841163|0.2350|0.0500|0.0100|BEARISH
CNP|2025-09-09 19:30|37.5500|37.6200|37.4700|37.5500|722176|0.0000|0.0700|0.0800|BULLISH
