Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
COR|2025-09-02 13:30|291.9700|296.0400|290.9866|296.0300|110191|4.0600|0.0100|0.9834|BULLISH
COR|2025-09-02 14:30|296.0300|297.1600|295.7000|296.8400|103885|0.8100|0.3200|0.3300|BULLISH
COR|2025-09-02 15:30|296.9700|297.0200|295.4650|295.5300|138369|1.4400|0.0500|0.0650|BEARISH
COR|2025-09-02 16:30|295.5000|296.3200|294.9550|295.9050|81970|0.4050|0.4150|0.5450|BULLISH
COR|2025-09-02 17:30|295.9000|296.2800|295.4050|295.5610|85001|0.3390|0.3800|0.1560|BEARISH
COR|2025-09-02 18:30|295.6150|296.0400|295.0700|295.8199|103077|0.2049|0.2201|0.5450|BULLISH
COR|2025-09-02 19:30|295.8200|296.0500|294.7200|294.8500|255333|0.9700|0.2300|0.1300|BEARISH
COR|2025-09-03 13:30|295.0200|296.0000|292.7400|294.1800|96349|0.8400|0.9800|1.4400|BEARISH
COR|2025-09-03 14:30|294.5500|295.5800|294.1500|295.4000|125340|0.8500|0.1800|0.4000|BULLISH
COR|2025-09-03 15:30|295.4000|295.4850|293.9007|294.0400|58969|1.3600|0.0850|0.1393|BEARISH
COR|2025-09-03 16:30|294.2100|294.2200|293.1900|293.6400|69869|0.5700|0.0100|0.4500|BEARISH
COR|2025-09-03 17:30|293.6150|295.3700|293.5301|294.7100|81089|1.0950|0.6600|0.0849|BULLISH
COR|2025-09-03 18:30|294.6900|294.9900|294.3000|294.3500|75285|0.3400|0.3000|0.0500|BEARISH
COR|2025-09-03 19:30|294.3600|295.2300|294.1000|295.2200|245695|0.8600|0.0100|0.2600|BULLISH
COR|2025-09-04 13:30|295.6000|297.4900|294.3850|297.4900|72949|1.8900|0.0000|1.2150|BULLISH
COR|2025-09-04 14:30|297.5300|298.0900|294.7800|296.0650|128456|1.4650|0.5600|1.2850|BEARISH
COR|2025-09-04 15:30|296.0700|296.0700|294.5921|294.7500|58697|1.3200|0.0000|0.1579|BEARISH
COR|2025-09-04 16:30|295.1400|295.2300|294.1252|294.4699|42596|0.6701|0.0900|0.3447|BEARISH
COR|2025-09-04 17:30|294.1100|294.1100|291.5900|291.6900|61226|2.4200|0.0000|0.1000|BEARISH
COR|2025-09-04 18:30|291.8000|292.5400|291.1850|291.8700|90293|0.0700|0.6700|0.6150|BULLISH
COR|2025-09-04 19:30|291.8500|292.9900|291.5500|292.6300|209078|0.7800|0.3600|0.3000|BULLISH
COR|2025-09-05 13:30|290.8500|293.3900|290.0450|292.1050|146651|1.2550|1.2850|0.8050|BULLISH
COR|2025-09-05 14:30|291.8600|293.5400|291.6500|293.5400|61427|1.6800|0.0000|0.2100|BULLISH
COR|2025-09-05 15:30|293.6100|293.7300|292.8300|293.3100|51131|0.3000|0.1200|0.4800|BEARISH
COR|2025-09-05 16:30|293.2600|293.4700|292.1050|292.1500|48657|1.1100|0.2100|0.0450|BEARISH
COR|2025-09-05 17:30|292.2300|292.2600|291.3400|291.5100|62922|0.7200|0.0300|0.1700|BEARISH
COR|2025-09-05 18:30|291.4900|292.5550|291.3200|292.3100|99290|0.8200|0.2450|0.1700|BULLISH
COR|2025-09-05 19:30|292.3150|292.7100|291.3750|292.4650|198887|0.1500|0.2450|0.9400|BULLISH
COR|2025-09-08 13:30|292.7700|295.6500|290.6700|293.2450|182556|0.4750|2.4050|2.1000|BULLISH
COR|2025-09-08 14:30|293.3700|294.0000|293.1000|293.7700|115493|0.4000|0.2300|0.2700|BULLISH
COR|2025-09-08 15:30|293.6400|295.0000|293.5400|294.8900|83925|1.2500|0.1100|0.1000|BULLISH
COR|2025-09-08 16:30|294.8900|295.6150|294.5400|295.0250|99366|0.1350|0.5900|0.3500|BULLISH
COR|2025-09-08 17:30|295.0250|295.8000|294.8350|295.7800|94380|0.7550|0.0200|0.1900|BULLISH
COR|2025-09-08 18:30|295.6700|296.7500|295.3000|296.7500|182709|1.0800|0.0000|0.3700|BULLISH
COR|2025-09-08 19:30|296.7250|298.3000|296.5700|297.7600|383057|1.0350|0.5400|0.1550|BULLISH
COR|2025-09-09 13:30|297.7300|298.2250|296.2900|297.2300|128780|0.5000|0.4950|0.9400|BEARISH
COR|2025-09-09 14:30|297.5050|299.0100|296.7850|299.0100|163166|1.5050|0.0000|0.7200|BULLISH
COR|2025-09-09 15:30|298.9575|299.6000|298.5750|298.7850|56557|0.1725|0.6425|0.2100|BEARISH
COR|2025-09-09 16:30|298.6836|299.0200|298.4450|299.0200|48028|0.3364|0.0000|0.2386|BULLISH
COR|2025-09-09 17:30|299.1000|299.7200|299.0050|299.2400|81011|0.1400|0.4800|0.0950|BULLISH
COR|2025-09-09 18:30|299.3500|300.2450|298.4100|298.5150|108113|0.8350|0.8950|0.1050|BEARISH
COR|2025-09-09 19:30|298.3900|299.0900|297.8500|298.5800|278694|0.1900|0.5100|0.5400|BULLISH
COR|2025-09-10 13:30|297.5000|301.1800|297.1200|299.8000|119414|2.3000|1.3800|0.3800|BULLISH
COR|2025-09-10 14:30|299.8300|299.8300|297.8000|299.1800|368452|0.6500|0.0000|1.3800|BEARISH
COR|2025-09-10 15:30|299.1800|299.7000|295.2200|296.2550|103207|2.9250|0.5200|1.0350|BEARISH
COR|2025-09-10 16:30|296.3100|296.4100|295.6200|296.2600|62967|0.0500|0.1000|0.6400|BEARISH
COR|2025-09-10 17:30|296.2400|296.6250|296.0100|296.3700|63265|0.1300|0.2550|0.2300|BULLISH
COR|2025-09-10 18:30|296.3400|297.4750|296.3300|297.0650|90740|0.7250|0.4100|0.0100|BULLISH
COR|2025-09-10 19:30|297.0800|297.0800|296.1900|296.2800|272701|0.8000|0.0000|0.0900|BEARISH
COR|2025-09-11 13:30|297.3200|299.0050|295.6800|298.9800|277481|1.6600|0.0250|1.6400|BULLISH
COR|2025-09-11 14:30|298.9500|302.0550|298.9350|302.0300|88771|3.0800|0.0250|0.0150|BULLISH
COR|2025-09-11 15:30|301.9800|302.8100|301.2700|302.5051|88479|0.5251|0.3049|0.7100|BULLISH
COR|2025-09-11 16:30|302.6800|302.9400|301.6700|301.6700|88732|1.0100|0.2600|0.0000|BEARISH
COR|2025-09-11 17:30|301.7400|301.9500|300.8600|301.3300|117557|0.4100|0.2100|0.4700|BEARISH
COR|2025-09-11 18:30|301.3850|301.8848|300.6300|301.6100|106682|0.2250|0.2748|0.7550|BULLISH
COR|2025-09-11 19:30|301.6100|303.6150|301.5300|302.7100|276889|1.1000|0.9050|0.0800|BULLISH
COR|2025-09-12 13:30|302.2200|307.5100|301.9900|305.5700|108192|3.3500|1.9400|0.2300|BULLISH
COR|2025-09-12 14:30|305.6150|306.1100|305.2400|305.7200|64795|0.1050|0.3900|0.3750|BULLISH
COR|2025-09-12 15:30|305.7200|305.7800|305.1900|305.7750|74444|0.0550|0.0050|0.5300|BULLISH
COR|2025-09-12 16:30|305.7350|305.7700|303.9800|303.9800|58294|1.7550|0.0350|0.0000|BEARISH
COR|2025-09-12 17:30|303.9850|304.7300|303.7200|304.1193|95110|0.1343|0.6107|0.2650|BULLISH
COR|2025-09-12 18:30|304.0375|304.6800|303.5200|304.0650|123282|0.0275|0.6150|0.5175|BULLISH
COR|2025-09-12 19:30|304.0600|304.0600|302.3500|302.4000|255438|1.6600|0.0000|0.0500|BEARISH
COR|2025-09-15 13:30|301.4000|303.2950|295.6250|295.8400|194294|5.5600|1.8950|0.2150|BEARISH
