Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
CPB|2025-09-02 13:30|32.0250|32.4200|31.7850|31.7950|1197066|0.2300|0.3950|0.0100|BEARISH
CPB|2025-09-02 14:30|31.7950|32.0200|31.4750|31.6350|1223289|0.1600|0.2250|0.1600|BEARISH
CPB|2025-09-02 15:30|31.6354|31.7650|31.5350|31.5350|701397|0.1004|0.1296|0.0000|BEARISH
CPB|2025-09-02 16:30|31.5400|31.5900|31.4250|31.4650|738727|0.0750|0.0500|0.0400|BEARISH
CPB|2025-09-02 17:30|31.4650|31.5100|31.3250|31.3850|1238943|0.0800|0.0450|0.0600|BEARISH
CPB|2025-09-02 18:30|31.3850|31.4054|31.1750|31.2850|1353009|0.1000|0.0204|0.1100|BEARISH
CPB|2025-09-02 19:30|31.2900|31.5100|31.2850|31.4400|1897657|0.1500|0.0700|0.0050|BULLISH
CPB|2025-09-03 13:30|32.7450|33.3200|32.2500|32.6650|4536193|0.0800|0.5750|0.4150|BEARISH
CPB|2025-09-03 14:30|32.6650|33.0100|32.6550|32.9500|1792911|0.2850|0.0600|0.0100|BULLISH
CPB|2025-09-03 15:30|32.9500|33.0400|32.8350|32.9850|1344136|0.0350|0.0550|0.1150|BULLISH
CPB|2025-09-03 16:30|32.9900|33.1800|32.9400|33.1800|1220140|0.1900|0.0000|0.0500|BULLISH
CPB|2025-09-03 17:30|33.1900|33.4800|33.1650|33.4500|1040197|0.2600|0.0300|0.0250|BULLISH
CPB|2025-09-03 18:30|33.4550|33.5900|33.3650|33.5500|1343965|0.0950|0.0400|0.0900|BULLISH
CPB|2025-09-03 19:30|33.5450|33.7700|33.5300|33.7300|2777000|0.1850|0.0400|0.0150|BULLISH
CPB|2025-09-04 13:30|33.7400|33.7400|33.2500|33.3700|1077563|0.3700|0.0000|0.1200|BEARISH
CPB|2025-09-04 14:30|33.3700|33.4250|32.9500|33.0150|626018|0.3550|0.0550|0.0650|BEARISH
CPB|2025-09-04 15:30|33.0100|33.0550|32.8400|33.0100|562449|0.0000|0.0450|0.1700|BULLISH
CPB|2025-09-04 16:30|33.0100|33.0100|32.7600|32.7850|470084|0.2250|0.0000|0.0250|BEARISH
CPB|2025-09-04 17:30|32.7800|32.8900|32.7300|32.8700|560670|0.0900|0.0200|0.0500|BULLISH
CPB|2025-09-04 18:30|32.8650|32.9350|32.6800|32.6800|790381|0.1850|0.0700|0.0000|BEARISH
CPB|2025-09-04 19:30|32.6800|32.7200|32.6050|32.6600|1883077|0.0200|0.0400|0.0550|BEARISH
CPB|2025-09-05 13:30|32.7600|33.8000|32.6950|33.7500|1426885|0.9900|0.0500|0.0650|BULLISH
CPB|2025-09-05 14:30|33.7550|34.0300|33.6400|33.9000|1156286|0.1450|0.1300|0.1150|BULLISH
CPB|2025-09-05 15:30|33.8950|33.9350|33.7050|33.7350|609782|0.1600|0.0400|0.0300|BEARISH
CPB|2025-09-05 16:30|33.7300|33.8200|33.6100|33.7450|1093793|0.0150|0.0750|0.1200|BULLISH
CPB|2025-09-05 17:30|33.7600|33.7950|33.6300|33.7250|668703|0.0350|0.0350|0.0950|BEARISH
CPB|2025-09-05 18:30|33.7300|33.8000|33.5801|33.7250|1390918|0.0050|0.0700|0.1449|BEARISH
CPB|2025-09-05 19:30|33.7250|34.0600|33.6890|34.0500|1775274|0.3250|0.0100|0.0360|BULLISH
CPB|2025-09-08 13:30|33.9600|34.0300|33.3384|33.6800|1370546|0.2800|0.0700|0.3416|BEARISH
CPB|2025-09-08 14:30|33.6700|34.0600|33.6700|33.9000|963082|0.2300|0.1600|0.0000|BULLISH
CPB|2025-09-08 15:30|33.8950|33.9600|33.7100|33.8650|783989|0.0300|0.0650|0.1550|BEARISH
CPB|2025-09-08 16:30|33.8650|33.9100|33.6150|33.6650|619673|0.2000|0.0450|0.0500|BEARISH
CPB|2025-09-08 17:30|33.6650|33.8100|33.6400|33.7700|723308|0.1050|0.0400|0.0250|BULLISH
CPB|2025-09-08 18:30|33.7750|33.8700|33.6500|33.6550|967735|0.1200|0.0950|0.0050|BEARISH
CPB|2025-09-08 19:30|33.6550|33.9100|33.6450|33.9000|1049759|0.2450|0.0100|0.0100|BULLISH
CPB|2025-09-09 13:30|33.6400|33.9600|33.5100|33.7100|968131|0.0700|0.2500|0.1300|BULLISH
CPB|2025-09-09 14:30|33.7050|33.7300|33.4750|33.7100|584079|0.0050|0.0200|0.2300|BULLISH
CPB|2025-09-09 15:30|33.7050|33.8300|33.5750|33.6450|299217|0.0600|0.1250|0.0700|BEARISH
CPB|2025-09-09 16:30|33.6500|33.6775|33.5400|33.6100|254350|0.0400|0.0275|0.0700|BEARISH
CPB|2025-09-09 17:30|33.6100|33.7400|33.6100|33.6800|264258|0.0700|0.0600|0.0000|BULLISH
CPB|2025-09-09 18:30|33.6750|33.7190|33.5300|33.7000|408823|0.0250|0.0190|0.1450|BULLISH
CPB|2025-09-09 19:30|33.7050|33.8000|33.6750|33.7400|1070417|0.0350|0.0600|0.0300|BULLISH
CPB|2025-09-10 13:30|33.5500|33.6450|32.8045|32.8300|863110|0.7200|0.0950|0.0255|BEARISH
CPB|2025-09-10 14:30|32.8200|32.9350|32.7400|32.9000|706041|0.0800|0.0350|0.0800|BULLISH
CPB|2025-09-10 15:30|32.8950|33.1450|32.8800|32.9950|403913|0.1000|0.1500|0.0150|BULLISH
CPB|2025-09-10 16:30|32.9950|33.0350|32.8825|33.0350|354498|0.0400|0.0000|0.1125|BULLISH
CPB|2025-09-10 17:30|33.0350|33.3700|33.0300|33.3535|524973|0.3185|0.0165|0.0050|BULLISH
CPB|2025-09-10 18:30|33.3600|33.5100|33.3050|33.4350|542216|0.0750|0.0750|0.0550|BULLISH
CPB|2025-09-10 19:30|33.4350|33.5600|33.3850|33.5000|1096613|0.0650|0.0600|0.0500|BULLISH
CPB|2025-09-11 13:30|33.6600|34.0800|33.3750|33.6150|1029421|0.0450|0.4200|0.2400|BEARISH
CPB|2025-09-11 14:30|33.6150|33.6250|33.4050|33.5650|243339|0.0500|0.0100|0.1600|BEARISH
CPB|2025-09-11 15:30|33.5650|33.5700|33.3800|33.4900|1138671|0.0750|0.0050|0.1100|BEARISH
CPB|2025-09-11 16:30|33.4850|33.5450|33.4200|33.5300|509995|0.0450|0.0150|0.0650|BULLISH
CPB|2025-09-11 17:30|33.5400|33.7200|33.5400|33.6800|535321|0.1400|0.0400|0.0000|BULLISH
CPB|2025-09-11 18:30|33.6850|33.7000|33.5600|33.5950|593574|0.0900|0.0150|0.0350|BEARISH
CPB|2025-09-11 19:30|33.5950|33.7900|33.5950|33.7700|1258825|0.1750|0.0200|0.0000|BULLISH
CPB|2025-09-12 13:30|33.6000|33.7300|33.2500|33.3050|563907|0.2950|0.1300|0.0550|BEARISH
CPB|2025-09-12 14:30|33.3100|33.3500|33.2050|33.2100|369214|0.1000|0.0400|0.0050|BEARISH
