Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
CPT|2025-09-02 13:30|111.0600|111.4250|109.9600|110.2400|97381|0.8200|0.3650|0.2800|BEARISH
CPT|2025-09-02 14:30|110.2650|110.3575|109.5000|109.6700|104138|0.5950|0.0925|0.1700|BEARISH
CPT|2025-09-02 15:30|109.6200|109.7000|109.1500|109.1900|72379|0.4300|0.0800|0.0400|BEARISH
CPT|2025-09-02 16:30|109.2300|109.2300|108.8850|108.9800|56481|0.2500|0.0000|0.0950|BEARISH
CPT|2025-09-02 17:30|109.0100|109.0200|108.6000|108.7800|73295|0.2300|0.0100|0.1800|BEARISH
CPT|2025-09-02 18:30|108.8000|108.8600|108.3700|108.5200|98400|0.2800|0.0600|0.1500|BEARISH
CPT|2025-09-02 19:30|108.5350|108.9600|108.5100|108.6000|210830|0.0650|0.3600|0.0250|BULLISH
CPT|2025-09-03 13:30|107.9500|108.9600|107.9500|108.7100|45019|0.7600|0.2500|0.0000|BULLISH
CPT|2025-09-03 14:30|108.7050|108.9100|108.6300|108.8500|34120|0.1450|0.0600|0.0750|BULLISH
CPT|2025-09-03 15:30|108.8300|109.3600|108.8300|109.1600|37753|0.3300|0.2000|0.0000|BULLISH
CPT|2025-09-03 16:30|109.1500|109.4000|109.0500|109.3550|39808|0.2050|0.0450|0.1000|BULLISH
CPT|2025-09-03 17:30|109.3100|109.5000|109.0700|109.5000|34907|0.1900|0.0000|0.2400|BULLISH
CPT|2025-09-03 18:30|109.4600|109.5200|109.0600|109.0850|76534|0.3750|0.0600|0.0250|BEARISH
CPT|2025-09-03 19:30|109.0850|109.4400|109.0600|109.3800|203808|0.2950|0.0600|0.0250|BULLISH
CPT|2025-09-04 13:30|109.9100|110.4800|109.4120|110.1950|56734|0.2850|0.2850|0.4980|BULLISH
CPT|2025-09-04 14:30|110.1858|110.2900|109.5650|109.8000|37348|0.3858|0.1042|0.2350|BEARISH
CPT|2025-09-04 15:30|109.8000|109.8600|109.2800|109.2950|32576|0.5050|0.0600|0.0150|BEARISH
CPT|2025-09-04 16:30|109.2950|109.4300|109.1700|109.3900|43905|0.0950|0.0400|0.1250|BULLISH
CPT|2025-09-04 17:30|109.3900|109.5500|109.1750|109.4750|61771|0.0850|0.0750|0.2150|BULLISH
CPT|2025-09-04 18:30|109.4750|109.9600|109.3400|109.9600|108853|0.4850|0.0000|0.1350|BULLISH
CPT|2025-09-04 19:30|109.9400|110.4700|109.8650|110.3600|146078|0.4200|0.1100|0.0750|BULLISH
CPT|2025-09-05 13:30|111.0000|112.2700|111.0000|112.0300|79403|1.0300|0.2400|0.0000|BULLISH
CPT|2025-09-05 14:30|111.9700|112.2500|111.6800|112.2250|148834|0.2550|0.0250|0.2900|BULLISH
CPT|2025-09-05 15:30|112.2000|112.2050|111.3700|111.4100|139639|0.7900|0.0050|0.0400|BEARISH
CPT|2025-09-05 16:30|111.3701|111.6000|111.3200|111.5000|110993|0.1299|0.1000|0.0501|BULLISH
CPT|2025-09-05 17:30|111.4500|111.5300|110.7600|110.8800|93767|0.5700|0.0800|0.1200|BEARISH
CPT|2025-09-05 18:30|110.9300|111.3700|110.9300|111.2900|72549|0.3600|0.0800|0.0000|BULLISH
CPT|2025-09-05 19:30|111.3150|111.5500|111.1600|111.3700|213297|0.0550|0.1800|0.1550|BULLISH
