Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
CRL|2025-09-02 13:30|160.9500|162.4400|158.6900|160.6000|77255|0.3500|1.4900|1.9100|BEARISH
CRL|2025-09-02 14:30|160.7950|160.9700|159.9600|160.0800|37463|0.7150|0.1750|0.1200|BEARISH
CRL|2025-09-02 15:30|160.0800|160.5500|159.6700|160.1550|40305|0.0750|0.3950|0.4100|BULLISH
CRL|2025-09-02 16:30|160.3100|160.7350|160.0050|160.4550|29703|0.1450|0.2800|0.3050|BULLISH
CRL|2025-09-02 17:30|160.4750|161.3800|160.2600|160.7700|30295|0.2950|0.6100|0.2150|BULLISH
CRL|2025-09-02 18:30|160.8600|160.9500|160.4700|160.5950|57650|0.2650|0.0900|0.1250|BEARISH
CRL|2025-09-02 19:30|160.5900|161.6850|160.4800|161.2500|114671|0.6600|0.4350|0.1100|BULLISH
CRL|2025-09-03 13:30|160.9500|162.7000|159.5250|159.8900|61426|1.0600|1.7500|0.3650|BEARISH
CRL|2025-09-03 14:30|159.9800|160.2700|159.2100|159.3600|76158|0.6200|0.2900|0.1500|BEARISH
CRL|2025-09-03 15:30|159.4400|160.1950|159.2350|160.1900|65019|0.7500|0.0050|0.2050|BULLISH
CRL|2025-09-03 16:30|160.3900|160.6000|160.2800|160.4600|20143|0.0700|0.1400|0.1100|BULLISH
CRL|2025-09-03 17:30|160.4000|161.2550|159.9550|161.2550|51976|0.8550|0.0000|0.4450|BULLISH
CRL|2025-09-03 18:30|161.1400|161.7900|160.9200|160.9200|77437|0.2200|0.6500|0.0000|BEARISH
CRL|2025-09-03 19:30|161.0000|162.3800|160.9500|162.2600|206911|1.2600|0.1200|0.0500|BULLISH
CRL|2025-09-04 13:30|161.3100|161.6150|157.2000|160.9050|80988|0.4050|0.3050|3.7050|BEARISH
CRL|2025-09-04 14:30|160.9050|161.3000|160.2400|161.2100|52205|0.3050|0.0900|0.6650|BULLISH
CRL|2025-09-04 15:30|161.0200|162.1600|160.7400|161.7150|54015|0.6950|0.4450|0.2800|BULLISH
CRL|2025-09-04 16:30|161.7900|161.8050|161.0900|161.1800|40835|0.6100|0.0150|0.0900|BEARISH
CRL|2025-09-04 17:30|161.3200|161.7700|160.9550|161.4900|36057|0.1700|0.2800|0.3650|BULLISH
CRL|2025-09-04 18:30|161.5900|163.1800|161.5400|162.5800|60705|0.9900|0.6000|0.0500|BULLISH
CRL|2025-09-04 19:30|162.5500|163.1700|162.1500|162.3200|208496|0.2300|0.6200|0.1700|BEARISH
CRL|2025-09-05 13:30|162.6100|166.6200|162.6100|163.9900|83973|1.3800|2.6300|0.0000|BULLISH
CRL|2025-09-05 14:30|163.7450|164.1300|162.2900|163.6650|56874|0.0800|0.3850|1.3750|BEARISH
CRL|2025-09-05 15:30|163.6900|164.6453|163.5400|164.3550|31908|0.6650|0.2903|0.1500|BULLISH
CRL|2025-09-05 16:30|164.4100|165.3250|164.1900|164.7000|34830|0.2900|0.6250|0.2200|BULLISH
CRL|2025-09-05 17:30|164.7900|164.9000|164.0000|164.7100|26591|0.0800|0.1100|0.7100|BEARISH
CRL|2025-09-05 18:30|164.7100|164.8300|164.0300|164.2450|59704|0.4650|0.1200|0.2150|BEARISH
CRL|2025-09-05 19:30|164.2550|164.7300|163.6200|163.9400|127948|0.3150|0.4750|0.3200|BEARISH
CRL|2025-09-08 13:30|163.1700|164.5900|162.6100|163.9850|93262|0.8150|0.6050|0.5600|BULLISH
CRL|2025-09-08 14:30|163.9300|165.1100|163.8600|164.3100|51153|0.3800|0.8000|0.0700|BULLISH
CRL|2025-09-08 15:30|164.2950|164.5500|162.7900|162.8750|65392|1.4200|0.2550|0.0850|BEARISH
CRL|2025-09-08 16:30|162.8850|162.8850|149.0300|160.3950|507295|2.4900|0.0000|11.3650|BEARISH
CRL|2025-09-08 17:30|160.1200|161.5675|159.5800|161.4300|57742|1.3100|0.1375|0.5400|BULLISH
CRL|2025-09-08 18:30|161.5500|162.1050|161.1400|161.3900|54720|0.1600|0.5550|0.2500|BEARISH
CRL|2025-09-08 19:30|161.4100|162.5500|161.4000|161.9900|138457|0.5800|0.5600|0.0100|BULLISH
CRL|2025-09-09 13:30|166.7550|167.3299|155.2700|157.3000|340405|9.4550|0.5749|2.0300|BEARISH
CRL|2025-09-09 14:30|157.5900|158.3700|155.0300|157.7200|210920|0.1300|0.6500|2.5600|BULLISH
CRL|2025-09-09 15:30|157.8700|158.8900|157.2050|157.6300|84899|0.2400|1.0200|0.4250|BEARISH
CRL|2025-09-09 16:30|157.6300|159.3100|157.5700|158.8400|70014|1.2100|0.4700|0.0600|BULLISH
CRL|2025-09-09 17:30|158.8100|159.2650|158.6300|159.0700|55752|0.2600|0.1950|0.1800|BULLISH
CRL|2025-09-09 18:30|159.0950|159.2100|157.7400|158.3600|81595|0.7350|0.1150|0.6200|BEARISH
CRL|2025-09-09 19:30|158.3800|158.8425|153.1800|157.6700|309852|0.7100|0.4625|4.4900|BEARISH
CRL|2025-09-10 13:30|157.5500|157.9650|155.4850|155.4850|57425|2.0650|0.4150|0.0000|BEARISH
CRL|2025-09-10 14:30|155.3300|155.4700|154.1700|154.9800|140414|0.3500|0.1400|0.8100|BEARISH
CRL|2025-09-10 15:30|154.9600|155.4250|154.5525|155.2900|65773|0.3300|0.1350|0.4075|BULLISH
CRL|2025-09-10 16:30|155.2900|156.3600|155.1900|155.6850|68495|0.3950|0.6750|0.1000|BULLISH
CRL|2025-09-10 17:30|155.6000|155.9000|154.6100|155.4900|103065|0.1100|0.3000|0.8800|BEARISH
CRL|2025-09-10 18:30|155.6000|155.7000|153.4600|153.5000|130822|2.1000|0.1000|0.0400|BEARISH
CRL|2025-09-10 19:30|153.5650|153.8989|152.1800|153.2500|365813|0.3150|0.3339|1.0700|BEARISH
CRL|2025-09-11 13:30|154.1400|156.5300|153.5250|156.3700|54143|2.2300|0.1600|0.6150|BULLISH
CRL|2025-09-11 14:30|156.5400|156.9000|156.1300|156.3500|41584|0.1900|0.3600|0.2200|BEARISH
CRL|2025-09-11 15:30|156.5900|156.6500|156.0200|156.4200|40367|0.1700|0.0600|0.4000|BEARISH
CRL|2025-09-11 16:30|156.5150|157.5900|156.1800|157.4850|46511|0.9700|0.1050|0.3350|BULLISH
CRL|2025-09-11 17:30|157.5100|157.9600|157.2900|157.7550|51489|0.2450|0.2050|0.2200|BULLISH
CRL|2025-09-11 18:30|157.5900|158.9000|157.3700|158.9000|74358|1.3100|0.0000|0.2200|BULLISH
CRL|2025-09-11 19:30|158.8300|159.7800|158.3800|159.7600|205547|0.9300|0.0200|0.4500|BULLISH
CRL|2025-09-12 13:30|158.1900|158.8000|155.5775|155.5775|61247|2.6125|0.6100|0.0000|BEARISH
CRL|2025-09-12 14:30|155.6100|155.9100|154.7900|154.8700|32447|0.7400|0.3000|0.0800|BEARISH
CRL|2025-09-12 15:30|154.9300|154.9300|153.8400|154.0000|36754|0.9300|0.0000|0.1600|BEARISH
CRL|2025-09-12 16:30|154.1400|154.4500|153.6100|153.7900|32597|0.3500|0.3100|0.1800|BEARISH
CRL|2025-09-12 17:30|153.8000|154.3000|153.6300|153.9550|48830|0.1550|0.3450|0.1700|BULLISH
CRL|2025-09-12 18:30|153.9800|154.1200|153.3100|153.4150|87954|0.5650|0.1400|0.1050|BEARISH
CRL|2025-09-12 19:30|153.4600|153.8900|152.8900|152.9200|145038|0.5400|0.4300|0.0300|BEARISH
CRL|2025-09-15 13:30|153.0500|154.1650|152.9800|153.4000|57650|0.3500|0.7650|0.0700|BULLISH
CRL|2025-09-15 14:30|153.3700|153.8250|151.9900|152.0800|52561|1.2900|0.4550|0.0900|BEARISH
CRL|2025-09-15 15:30|152.0800|152.5100|151.6350|152.1400|47883|0.0600|0.3700|0.4450|BULLISH
CRL|2025-09-15 16:30|152.2700|153.1050|152.1400|152.1400|32605|0.1300|0.8350|0.0000|BEARISH
CRL|2025-09-15 17:30|152.2350|153.1100|152.1700|152.6300|38527|0.3950|0.4800|0.0650|BULLISH
CRL|2025-09-15 18:30|152.6000|153.0300|152.1370|152.1370|46129|0.4630|0.4300|0.0000|BEARISH
CRL|2025-09-15 19:30|152.1300|152.8000|151.7400|152.2500|115577|0.1200|0.5500|0.3900|BULLISH
CRL|2025-09-16 13:30|150.5600|152.9300|149.9000|151.1300|98924|0.5700|1.8000|0.6600|BULLISH
CRL|2025-09-16 14:30|151.1300|151.3400|150.5950|150.9100|50145|0.2200|0.2100|0.3150|BEARISH
CRL|2025-09-16 15:30|150.9300|152.3675|150.7800|151.7900|132219|0.8600|0.5775|0.1500|BULLISH
CRL|2025-09-16 16:30|151.8501|152.7500|151.6700|152.1500|60689|0.2999|0.6000|0.1801|BULLISH
CRL|2025-09-16 17:30|152.2800|152.2900|151.5250|151.7600|46643|0.5200|0.0100|0.2350|BEARISH
CRL|2025-09-16 18:30|151.8300|152.4700|151.5400|151.7000|87021|0.1300|0.6400|0.1600|BEARISH
CRL|2025-09-16 19:30|151.7200|152.4200|151.1800|151.5200|188340|0.2000|0.7000|0.3400|BEARISH
CRL|2025-09-17 13:30|151.6000|153.6000|151.6000|152.8900|54532|1.2900|0.7100|0.0000|BULLISH
CRL|2025-09-17 14:30|153.1600|155.6900|152.7700|155.0700|628557|1.9100|0.6200|0.3900|BULLISH
CRL|2025-09-17 15:30|155.2000|155.2100|153.0600|153.3000|36371|1.9000|0.0100|0.2400|BEARISH
CRL|2025-09-17 16:30|153.2500|153.3950|152.7901|153.1100|20323|0.1400|0.1450|0.3199|BEARISH
CRL|2025-09-17 17:30|153.1100|157.0100|152.9800|155.2950|60298|2.1850|1.7150|0.1300|BULLISH
CRL|2025-09-17 18:30|155.1150|155.1150|151.2700|153.1275|84725|1.9875|0.0000|1.8575|BEARISH
CRL|2025-09-17 19:30|152.7900|153.5300|152.2500|152.6900|166800|0.1000|0.7400|0.4400|BEARISH
CRL|2025-09-18 13:30|155.0000|157.0900|153.4708|157.0900|51031|2.0900|0.0000|1.5292|BULLISH
CRL|2025-09-18 14:30|156.5400|156.8700|155.3700|155.9000|32698|0.6400|0.3300|0.5300|BEARISH
CRL|2025-09-18 15:30|155.8800|156.8450|155.7200|156.8450|19781|0.9650|0.0000|0.1600|BULLISH
CRL|2025-09-18 16:30|156.9250|157.5300|156.4100|156.4750|30308|0.4500|0.6050|0.0650|BEARISH
CRL|2025-09-18 17:30|156.7500|157.0800|156.0600|156.1100|44008|0.6400|0.3300|0.0500|BEARISH
CRL|2025-09-18 18:30|156.1550|156.8200|155.9500|156.4800|55914|0.3250|0.3400|0.2050|BULLISH
CRL|2025-09-18 19:30|156.4600|157.6300|156.3600|157.0100|106570|0.5500|0.6200|0.1000|BULLISH
CRL|2025-09-19 13:30|157.2600|157.9500|155.0500|155.0900|425449|2.1700|0.6900|0.0400|BEARISH
CRL|2025-09-19 14:30|155.0800|155.2800|153.3850|153.3850|36187|1.6950|0.2000|0.0000|BEARISH
CRL|2025-09-19 15:30|153.3850|154.3400|153.2131|154.1400|22624|0.7550|0.2000|0.1719|BULLISH
CRL|2025-09-19 16:30|154.0600|154.5900|153.7600|154.3200|34536|0.2600|0.2700|0.3000|BULLISH
CRL|2025-09-19 17:30|154.2200|154.3500|153.5900|153.8000|34924|0.4200|0.1300|0.2100|BEARISH
CRL|2025-09-19 18:30|153.7500|155.3750|153.7500|155.2900|72063|1.5400|0.0850|0.0000|BULLISH
CRL|2025-09-19 19:30|155.2100|155.5400|154.4700|155.2900|148985|0.0800|0.2500|0.7400|BULLISH
CRL|2025-09-22 13:30|154.4900|155.8150|151.4100|155.2800|39000|0.7900|0.5350|3.0800|BULLISH
CRL|2025-09-22 14:30|155.2800|156.1100|155.1000|155.1000|31938|0.1800|0.8300|0.0000|BEARISH
CRL|2025-09-22 15:30|155.0800|155.1700|153.9500|153.9500|30003|1.1300|0.0900|0.0000|BEARISH
CRL|2025-09-22 16:30|154.0700|154.3100|153.0601|153.3700|23373|0.7000|0.2400|0.3099|BEARISH
CRL|2025-09-22 17:30|153.3800|153.6600|153.1501|153.5500|37054|0.1700|0.1100|0.2299|BULLISH
CRL|2025-09-22 18:30|153.5000|153.9500|153.3300|153.4100|39350|0.0900|0.4500|0.0800|BEARISH
CRL|2025-09-22 19:30|153.4700|154.1500|153.0500|153.8900|172055|0.4200|0.2600|0.4200|BULLISH
CRL|2025-09-23 13:30|154.2200|154.9400|153.6700|154.0200|59923|0.2000|0.7200|0.3500|BEARISH
CRL|2025-09-23 14:30|153.9425|154.6500|153.6300|153.9600|71700|0.0175|0.6900|0.3125|BULLISH
CRL|2025-09-23 15:30|154.0750|154.1800|152.9150|153.0450|73318|1.0300|0.1050|0.1300|BEARISH
CRL|2025-09-23 16:30|152.9600|153.3550|152.3600|152.5000|56637|0.4600|0.3950|0.1400|BEARISH
CRL|2025-09-23 17:30|152.5300|152.8400|150.7500|151.3600|98711|1.1700|0.3100|0.6100|BEARISH
CRL|2025-09-23 18:30|151.3500|151.4700|150.0700|150.1200|103312|1.2300|0.1200|0.0500|BEARISH
CRL|2025-09-23 19:30|150.1300|150.7800|149.9120|150.2500|186497|0.1200|0.5300|0.2180|BULLISH
CRL|2025-09-24 13:30|150.1300|150.8700|149.1300|149.7100|65662|0.4200|0.7400|0.5800|BEARISH
CRL|2025-09-24 14:30|149.7500|149.9799|147.8900|148.0850|67143|1.6650|0.2299|0.1950|BEARISH
CRL|2025-09-24 15:30|147.9500|148.5700|147.8500|148.3200|71060|0.3700|0.2500|0.1000|BULLISH
CRL|2025-09-24 16:30|148.3900|149.0800|148.0400|148.0400|78698|0.3500|0.6900|0.0000|BEARISH
CRL|2025-09-24 17:30|148.0950|148.1650|147.4550|147.9900|117199|0.1050|0.0700|0.5350|BEARISH
CRL|2025-09-24 18:30|147.9400|149.1700|147.7900|149.1200|153511|1.1800|0.0500|0.1500|BULLISH
CRL|2025-09-24 19:30|149.0800|149.7700|148.8000|149.4800|230357|0.4000|0.2900|0.2800|BULLISH
CRL|2025-09-25 13:30|148.3900|148.3900|146.9600|146.9900|48332|1.4000|0.0000|0.0300|BEARISH
CRL|2025-09-25 14:30|147.0600|147.0600|145.3800|145.4950|45445|1.5650|0.0000|0.1150|BEARISH
CRL|2025-09-25 15:30|145.5050|146.3350|145.4700|146.0400|62943|0.5350|0.2950|0.0350|BULLISH
CRL|2025-09-25 16:30|146.0900|146.3300|144.2600|145.0900|157718|1.0000|0.2400|0.8300|BEARISH
CRL|2025-09-25 17:30|145.2650|146.0600|145.1250|145.5000|141520|0.2350|0.5600|0.1400|BULLISH
CRL|2025-09-25 18:30|145.4800|145.6150|144.4800|144.9700|103165|0.5100|0.1350|0.4900|BEARISH
CRL|2025-09-25 19:30|145.0400|145.7340|144.6500|145.6000|188590|0.5600|0.1340|0.3900|BULLISH
CRL|2025-09-26 13:30|146.0000|146.3700|145.3200|145.8600|33914|0.1400|0.3700|0.5400|BEARISH
CRL|2025-09-26 14:30|145.7850|146.6900|145.4350|146.3050|71948|0.5200|0.3850|0.3500|BULLISH
CRL|2025-09-26 15:30|146.3050|147.0900|145.9300|147.0900|96155|0.7850|0.0000|0.3750|BULLISH
CRL|2025-09-26 16:30|146.9900|147.8000|146.9300|147.6900|81915|0.7000|0.1100|0.0600|BULLISH
CRL|2025-09-26 17:30|147.7075|148.4700|147.3750|148.1800|79412|0.4725|0.2900|0.3325|BULLISH
CRL|2025-09-26 18:30|148.1900|149.1700|148.0350|148.7750|95322|0.5850|0.3950|0.1550|BULLISH
CRL|2025-09-26 19:30|148.7100|148.8200|148.1200|148.5600|162023|0.1500|0.1100|0.4400|BEARISH
CRL|2025-09-29 13:30|148.9200|148.9200|145.4700|146.0700|66550|2.8500|0.0000|0.6000|BEARISH
CRL|2025-09-29 14:30|145.8900|146.9475|145.7500|146.6900|44239|0.8000|0.2575|0.1400|BULLISH
CRL|2025-09-29 15:30|146.5700|146.6950|146.1900|146.5600|58315|0.0100|0.1250|0.3700|BEARISH
CRL|2025-09-29 16:30|146.5750|146.8800|146.2800|146.8600|48884|0.2850|0.0200|0.2950|BULLISH
CRL|2025-09-29 17:30|146.8700|147.5100|146.7500|147.4100|56464|0.5400|0.1000|0.1200|BULLISH
CRL|2025-09-29 18:30|147.4900|147.7900|147.2000|147.5100|78281|0.0200|0.2800|0.2900|BULLISH
CRL|2025-09-29 19:30|147.4450|147.7600|146.3000|146.9900|186704|0.4550|0.3150|0.6900|BEARISH
CRL|2025-09-30 13:30|147.5400|149.6650|146.8950|148.8300|51180|1.2900|0.8350|0.6450|BULLISH
CRL|2025-09-30 14:30|148.6500|149.0400|147.6700|149.0300|44279|0.3800|0.0100|0.9800|BULLISH
CRL|2025-09-30 15:30|149.0400|151.0850|148.9000|150.7400|84550|1.7000|0.3450|0.1400|BULLISH
CRL|2025-09-30 16:30|150.8000|153.8600|150.8000|152.4250|170978|1.6250|1.4350|0.0000|BULLISH
CRL|2025-09-30 17:30|152.5600|154.3950|152.4700|154.0650|110637|1.5050|0.3300|0.0900|BULLISH
CRL|2025-09-30 18:30|154.1100|155.8200|154.1100|155.7900|146352|1.6800|0.0300|0.0000|BULLISH
CRL|2025-09-30 19:30|155.8300|156.7900|155.8300|156.4400|264938|0.6100|0.3500|0.0000|BULLISH
CRL|2025-10-01 13:30|156.0600|164.3500|156.0600|164.1800|225620|8.1200|0.1700|0.0000|BULLISH
CRL|2025-10-01 14:30|164.1700|167.0000|163.9800|166.2475|149368|2.0775|0.7525|0.1900|BULLISH
CRL|2025-10-01 15:30|166.3200|167.2000|165.9500|166.4500|65500|0.1300|0.7500|0.3700|BULLISH
CRL|2025-10-01 16:30|166.3100|167.2200|165.8750|166.4700|59510|0.1600|0.7500|0.4350|BULLISH
CRL|2025-10-01 17:30|166.4800|167.9600|166.0000|167.9600|122855|1.4800|0.0000|0.4800|BULLISH
CRL|2025-10-01 18:30|167.7000|170.3500|167.6500|169.7550|190673|2.0550|0.5950|0.0500|BULLISH
CRL|2025-10-01 19:30|169.9300|170.6600|169.5600|170.4500|280561|0.5200|0.2100|0.3700|BULLISH
CRL|2025-10-02 13:30|173.2500|178.1900|173.2400|175.1100|415590|1.8600|3.0800|0.0100|BULLISH
CRL|2025-10-02 14:30|174.8300|174.8300|173.1500|173.7037|172745|1.1263|0.0000|0.5537|BEARISH
CRL|2025-10-02 15:30|173.6800|174.5000|173.3300|173.5100|107016|0.1700|0.8200|0.1800|BEARISH
CRL|2025-10-02 16:30|173.5675|175.4600|173.2500|175.1150|109413|1.5475|0.3450|0.3175|BULLISH
CRL|2025-10-02 17:30|175.1150|176.6506|175.1000|176.3700|113762|1.2550|0.2806|0.0150|BULLISH
CRL|2025-10-02 18:30|176.3000|176.9200|176.0800|176.7100|202890|0.4100|0.2100|0.2200|BULLISH
CRL|2025-10-02 19:30|176.7600|176.9200|173.9950|175.3600|412894|1.4000|0.1600|1.3650|BEARISH
CRL|2025-10-03 13:30|176.0000|181.4477|175.9700|181.1750|381042|5.1750|0.2727|0.0300|BULLISH
CRL|2025-10-03 14:30|180.9500|181.1500|178.6250|178.7600|152199|2.1900|0.2000|0.1350|BEARISH
CRL|2025-10-03 15:30|178.7600|180.6200|178.7550|180.2600|80441|1.5000|0.3600|0.0050|BULLISH
CRL|2025-10-03 16:30|180.1900|180.7500|178.9400|178.9400|115841|1.2500|0.5600|0.0000|BEARISH
CRL|2025-10-03 17:30|178.6300|178.7500|176.1700|177.3400|76206|1.2900|0.1200|1.1700|BEARISH
CRL|2025-10-03 18:30|177.3300|178.0800|176.6240|177.7550|61213|0.4250|0.3250|0.7060|BULLISH
CRL|2025-10-03 19:30|177.8000|178.1500|177.0150|177.4900|136017|0.3100|0.3500|0.4750|BEARISH
CRL|2025-10-06 13:30|178.1500|179.6420|175.5700|176.7965|91674|1.3535|1.4920|1.2265|BEARISH
CRL|2025-10-06 14:30|176.6100|179.1150|176.6000|179.0100|70557|2.4000|0.1050|0.0100|BULLISH
CRL|2025-10-06 15:30|179.0100|179.5000|178.3710|179.0150|46752|0.0050|0.4850|0.6390|BULLISH
