Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
CRWD|2025-09-02 13:30|415.3100|418.0000|410.0800|411.6128|1035028|3.6972|2.6900|1.5328|BEARISH
CRWD|2025-09-02 14:30|411.8200|414.4100|409.1900|409.1900|466567|2.6300|2.5900|0.0000|BEARISH
CRWD|2025-09-02 15:30|409.1100|410.2500|407.6950|409.4200|383828|0.3100|0.8300|1.4150|BULLISH
CRWD|2025-09-02 16:30|409.4072|412.9604|409.1900|411.8000|267673|2.3928|1.1604|0.2172|BULLISH
CRWD|2025-09-02 17:30|411.9800|413.1500|411.4200|411.9900|206490|0.0100|1.1600|0.5600|BULLISH
CRWD|2025-09-02 18:30|411.7968|413.8600|411.5201|413.7486|264078|1.9518|0.1114|0.2767|BULLISH
CRWD|2025-09-02 19:30|413.4800|414.1500|412.0400|413.4910|574393|0.0110|0.6590|1.4400|BULLISH
CRWD|2025-09-03 13:30|412.9850|412.9850|404.2801|407.5300|1013911|5.4550|0.0000|3.2499|BEARISH
CRWD|2025-09-03 14:30|407.9200|413.3800|407.5300|410.6995|453364|2.7795|2.6805|0.3900|BULLISH
CRWD|2025-09-03 15:30|410.5700|414.4799|409.8600|413.4350|344754|2.8650|1.0449|0.7100|BULLISH
CRWD|2025-09-03 16:30|413.4600|414.0000|411.2000|411.6600|148315|1.8000|0.5400|0.4600|BEARISH
CRWD|2025-09-03 17:30|411.9300|412.8745|409.0601|410.5300|176134|1.4000|0.9445|1.4699|BEARISH
CRWD|2025-09-03 18:30|410.4200|412.3500|409.7600|411.8400|162857|1.4200|0.5100|0.6600|BULLISH
CRWD|2025-09-03 19:30|412.0500|413.3200|410.8300|413.1400|427741|1.0900|0.1800|1.2200|BULLISH
CRWD|2025-09-04 13:30|413.0000|413.2000|402.6600|406.3038|765904|6.6962|0.2000|3.6438|BEARISH
CRWD|2025-09-04 14:30|406.4500|411.0250|406.3101|410.6000|364109|4.1500|0.4250|0.1399|BULLISH
CRWD|2025-09-04 15:30|410.7000|412.3912|410.2400|410.9000|258868|0.2000|1.4912|0.4600|BULLISH
CRWD|2025-09-04 16:30|410.6180|415.1400|410.5700|414.6650|212310|4.0470|0.4750|0.0480|BULLISH
CRWD|2025-09-04 17:30|414.5501|415.4899|413.0600|413.4900|181137|1.0601|0.9398|0.4300|BEARISH
CRWD|2025-09-04 18:30|413.4600|415.0000|411.3052|411.6499|208348|1.8101|1.5400|0.3447|BEARISH
CRWD|2025-09-04 19:30|411.5200|412.6400|410.3169|412.3700|393645|0.8500|0.2700|1.2031|BULLISH
CRWD|2025-09-05 13:30|414.0000|418.1117|409.5900|409.8550|625015|4.1450|4.1117|0.2650|BEARISH
CRWD|2025-09-05 14:30|409.8650|411.8400|407.0600|411.6750|292917|1.8100|0.1650|2.8050|BULLISH
CRWD|2025-09-05 15:30|411.7400|413.9500|410.6400|412.7984|182257|1.0584|1.1516|1.1000|BULLISH
CRWD|2025-09-05 16:30|412.5000|414.4200|411.4801|413.9880|140761|1.4880|0.4320|1.0199|BULLISH
CRWD|2025-09-05 17:30|413.7422|416.6972|413.6822|416.0800|197478|2.3378|0.6172|0.0600|BULLISH
CRWD|2025-09-05 18:30|416.1150|417.7300|416.0000|416.9800|246279|0.8650|0.7500|0.1150|BULLISH
CRWD|2025-09-05 19:30|417.0700|417.8999|416.8000|417.5800|264298|0.5100|0.3199|0.2700|BULLISH
CRWD|2025-09-08 13:30|418.9400|422.4900|416.4201|419.8050|591127|0.8650|2.6850|2.5199|BULLISH
CRWD|2025-09-08 14:30|419.9400|425.6100|419.5000|423.5600|400022|3.6200|2.0500|0.4400|BULLISH
CRWD|2025-09-08 15:30|423.9453|424.6699|421.9700|421.9700|264845|1.9753|0.7246|0.0000|BEARISH
CRWD|2025-09-08 16:30|422.2650|424.4050|421.5000|424.2950|164205|2.0300|0.1100|0.7650|BULLISH
CRWD|2025-09-08 17:30|424.2000|427.1000|423.2100|426.9800|207552|2.7800|0.1200|0.9900|BULLISH
CRWD|2025-09-08 18:30|426.8800|428.3700|426.2300|426.6500|353540|0.2300|1.4900|0.4200|BEARISH
CRWD|2025-09-08 19:30|426.7350|428.8450|426.7350|428.1700|345246|1.4350|0.6750|0.0000|BULLISH
CRWD|2025-09-09 13:30|428.1700|431.0070|422.8000|423.0000|570424|5.1700|2.8370|0.2000|BEARISH
CRWD|2025-09-09 14:30|422.8300|424.6155|421.3750|424.0900|218131|1.2600|0.5255|1.4550|BULLISH
CRWD|2025-09-09 15:30|423.8900|424.1600|420.6300|423.5203|290003|0.3697|0.2700|2.8903|BEARISH
CRWD|2025-09-09 16:30|423.5300|424.1300|421.9200|422.7050|136587|0.8250|0.6000|0.7850|BEARISH
CRWD|2025-09-09 17:30|422.7300|423.9800|422.1570|423.9700|145597|1.2400|0.0100|0.5730|BULLISH
CRWD|2025-09-09 18:30|423.7067|424.8799|422.8414|423.1200|176541|0.5867|1.1732|0.2786|BEARISH
CRWD|2025-09-09 19:30|423.1450|425.0000|422.4000|423.5100|253524|0.3650|1.4900|0.7450|BULLISH
CRWD|2025-09-10 13:30|427.9500|433.8069|427.8300|431.9970|660393|4.0470|1.8099|0.1200|BULLISH
CRWD|2025-09-10 14:30|432.0600|432.5100|429.0500|431.4500|271215|0.6100|0.4500|2.4000|BEARISH
CRWD|2025-09-10 15:30|431.4900|431.6500|426.8500|426.8500|215157|4.6400|0.1600|0.0000|BEARISH
CRWD|2025-09-10 16:30|426.7000|427.6199|424.1750|424.2250|166047|2.4750|0.9199|0.0500|BEARISH
CRWD|2025-09-10 17:30|424.4700|426.8200|424.2000|426.7000|121555|2.2300|0.1200|0.2700|BULLISH
CRWD|2025-09-10 18:30|426.5000|426.6899|422.1700|423.3300|201172|3.1700|0.1899|1.1600|BEARISH
CRWD|2025-09-10 19:30|423.4100|425.7000|423.2200|424.8000|295456|1.3900|0.9000|0.1900|BULLISH
CRWD|2025-09-11 13:30|428.5000|435.4000|427.2100|435.1580|597160|6.6580|0.2420|1.2900|BULLISH
CRWD|2025-09-11 14:30|435.0050|438.2599|432.0101|434.8600|189190|0.1450|3.2549|2.8499|BEARISH
CRWD|2025-09-11 15:30|434.8700|436.5600|433.3779|433.5600|465716|1.3100|1.6900|0.1821|BEARISH
CRWD|2025-09-11 16:30|433.6700|435.2600|433.1400|434.1100|188744|0.4400|1.1500|0.5300|BULLISH
CRWD|2025-09-11 17:30|434.1541|434.9800|432.5100|432.7544|149808|1.3997|0.8259|0.2444|BEARISH
CRWD|2025-09-11 18:30|432.9800|434.8100|432.5450|434.6950|165852|1.7150|0.1150|0.4350|BULLISH
CRWD|2025-09-11 19:30|434.7050|435.1800|433.0800|433.3800|374698|1.3250|0.4750|0.3000|BEARISH
CRWD|2025-09-12 13:30|435.0000|441.5000|435.0000|440.1900|767030|5.1900|1.3100|0.0000|BULLISH
CRWD|2025-09-12 14:30|439.7415|442.1000|439.0001|441.8850|424002|2.1435|0.2150|0.7414|BULLISH
CRWD|2025-09-12 15:30|441.8100|443.0000|437.5600|437.8250|341188|3.9850|1.1900|0.2650|BEARISH
CRWD|2025-09-12 16:30|437.9400|439.3800|435.6200|436.6300|209184|1.3100|1.4400|1.0100|BEARISH
CRWD|2025-09-12 17:30|436.5500|437.6100|435.6101|437.4400|167745|0.8900|0.1700|0.9399|BULLISH
CRWD|2025-09-12 18:30|437.4400|438.2800|436.3650|437.3150|234158|0.1250|0.8400|0.9500|BEARISH
CRWD|2025-09-12 19:30|437.3200|437.9400|436.0400|436.0500|366771|1.2700|0.6200|0.0100|BEARISH
CRWD|2025-09-15 13:30|440.7100|448.8000|436.7500|444.5900|821066|3.8800|4.2100|3.9600|BULLISH
CRWD|2025-09-15 14:30|444.5500|448.5000|444.3100|445.4750|319303|0.9250|3.0250|0.2400|BULLISH
CRWD|2025-09-15 15:30|445.1701|447.1800|444.4265|446.8700|211884|1.6999|0.3100|0.7436|BULLISH
CRWD|2025-09-15 16:30|446.7900|447.9900|445.1375|445.3550|172365|1.4350|1.2000|0.2175|BEARISH
CRWD|2025-09-15 17:30|445.5300|446.2900|443.1300|443.6900|209426|1.8400|0.7600|0.5600|BEARISH
CRWD|2025-09-15 18:30|443.9000|445.3300|443.0900|443.4100|203916|0.4900|1.4300|0.3200|BEARISH
CRWD|2025-09-15 19:30|443.4050|445.1600|442.8400|444.8600|390197|1.4550|0.3000|0.5650|BULLISH
CRWD|2025-09-16 13:30|444.8000|445.5000|434.8100|442.8750|666455|1.9250|0.7000|8.0650|BEARISH
CRWD|2025-09-16 14:30|442.7400|446.1900|442.1301|442.3300|297091|0.4100|3.4500|0.1999|BEARISH
CRWD|2025-09-16 15:30|442.3500|445.4699|441.7600|443.6500|300602|1.3000|1.8199|0.5900|BULLISH
CRWD|2025-09-16 16:30|443.5250|446.3700|442.0630|443.8650|285753|0.3400|2.5050|1.4620|BULLISH
CRWD|2025-09-16 17:30|443.1601|446.7400|443.1601|446.3800|215341|3.2199|0.3600|0.0000|BULLISH
CRWD|2025-09-16 18:30|446.5000|448.3200|445.4500|445.4750|299560|1.0250|1.8200|0.0250|BEARISH
CRWD|2025-09-16 19:30|445.6600|445.8300|444.3900|445.0600|416405|0.6000|0.1700|0.6700|BEARISH
CRWD|2025-09-17 13:30|445.0000|453.9999|443.4000|448.6890|671384|3.6890|5.3109|1.6000|BULLISH
CRWD|2025-09-17 14:30|448.6900|448.7000|437.3390|438.1700|608824|10.5200|0.0100|0.8310|BEARISH
CRWD|2025-09-17 15:30|438.2790|441.6699|435.2500|438.2300|449396|0.0490|3.3909|2.9800|BEARISH
CRWD|2025-09-17 16:30|438.2150|440.3700|436.4900|439.4600|247819|1.2450|0.9100|1.7250|BULLISH
CRWD|2025-09-17 17:30|439.5088|442.0700|434.3400|439.1045|314229|0.4043|2.5612|4.7645|BEARISH
CRWD|2025-09-17 18:30|438.9800|448.3725|434.7588|447.9700|632869|8.9900|0.4025|4.2212|BULLISH
