Symbol|DateTime|Open|High|Low|Close|Volume|Body|UpperShadow|LowerShadow|Direction
CSX|2025-09-02 13:30|32.1200|32.3000|32.0000|32.2550|1974912|0.1350|0.0450|0.1200|BULLISH
CSX|2025-09-02 14:30|32.2600|32.2600|32.0950|32.1600|995270|0.1000|0.0000|0.0650|BEARISH
CSX|2025-09-02 15:30|32.1550|32.2850|32.0550|32.0750|920059|0.0800|0.1300|0.0200|BEARISH
CSX|2025-09-02 16:30|32.0750|32.1850|31.9650|32.1850|952931|0.1100|0.0000|0.1100|BULLISH
CSX|2025-09-02 17:30|32.1850|32.2700|32.1500|32.1750|906769|0.0100|0.0850|0.0250|BEARISH
CSX|2025-09-02 18:30|32.1750|32.2153|32.1450|32.2050|1091487|0.0300|0.0103|0.0300|BULLISH
CSX|2025-09-02 19:30|32.2000|32.2450|32.1700|32.1850|1554907|0.0150|0.0450|0.0150|BEARISH
CSX|2025-09-03 13:30|32.2000|32.2400|31.9442|32.0050|2290385|0.1950|0.0400|0.0608|BEARISH
CSX|2025-09-03 14:30|32.0050|32.1054|31.9800|32.0450|1097267|0.0400|0.0604|0.0250|BULLISH
CSX|2025-09-03 15:30|32.0500|32.0700|31.9310|32.0100|892100|0.0400|0.0200|0.0790|BEARISH
CSX|2025-09-03 16:30|32.0050|32.1250|31.9150|32.1150|744042|0.1100|0.0100|0.0900|BULLISH
CSX|2025-09-03 17:30|32.1150|32.1700|32.0200|32.1500|767545|0.0350|0.0200|0.0950|BULLISH
CSX|2025-09-03 18:30|32.1450|32.1700|32.0900|32.1050|913790|0.0400|0.0250|0.0150|BEARISH
CSX|2025-09-03 19:30|32.1100|32.2800|32.1050|32.2800|1988467|0.1700|0.0000|0.0050|BULLISH
CSX|2025-09-04 13:30|32.3500|32.4850|32.0500|32.4625|1253963|0.1125|0.0225|0.3000|BULLISH
CSX|2025-09-04 14:30|32.4650|32.5400|32.4200|32.5050|1150460|0.0400|0.0350|0.0450|BULLISH
CSX|2025-09-04 15:30|32.5035|32.6000|32.4500|32.5150|666473|0.0115|0.0850|0.0535|BULLISH
CSX|2025-09-04 16:30|32.5150|32.5950|32.4600|32.5900|930542|0.0750|0.0050|0.0550|BULLISH
CSX|2025-09-04 17:30|32.5900|32.6450|32.5250|32.6300|980643|0.0400|0.0150|0.0650|BULLISH
CSX|2025-09-04 18:30|32.6350|32.7000|32.5812|32.5950|1248590|0.0400|0.0650|0.0138|BEARISH
CSX|2025-09-04 19:30|32.5950|32.6850|32.5600|32.6700|2392895|0.0750|0.0150|0.0350|BULLISH
CSX|2025-09-05 13:30|32.6000|32.7550|32.4200|32.4800|1681242|0.1200|0.1550|0.0600|BEARISH
CSX|2025-09-05 14:30|32.4700|32.4700|32.1701|32.3200|1317529|0.1500|0.0000|0.1499|BEARISH
CSX|2025-09-05 15:30|32.3150|32.3900|32.2500|32.3150|711186|0.0000|0.0750|0.0650|BULLISH
CSX|2025-09-05 16:30|32.3100|32.4050|32.2650|32.2950|653765|0.0150|0.0950|0.0300|BEARISH
CSX|2025-09-05 17:30|32.2950|32.4100|32.2550|32.3800|577896|0.0850|0.0300|0.0400|BULLISH
CSX|2025-09-05 18:30|32.3900|32.5500|32.3900|32.4950|837373|0.1050|0.0550|0.0000|BULLISH
CSX|2025-09-05 19:30|32.5000|32.5650|32.4425|32.5300|1376432|0.0300|0.0350|0.0575|BULLISH
CSX|2025-09-08 13:30|32.5000|32.5800|31.9950|32.3150|2801955|0.1850|0.0800|0.3200|BEARISH
CSX|2025-09-08 14:30|32.3150|32.4300|32.3150|32.3750|911446|0.0600|0.0550|0.0000|BULLISH
